Site,DisplayName,DisplayCode,DisplayCodePosition,lat,long,Archetype_MayUpdate,Archetype_2020Update,ArchetypeCode_2020Update,RSUsubregion,Nearest_NOAA,Nearest_USGS_code,Include_073020,Area_m_updated,Area_Ha,Elev_mean,Perc_Vegetated,Dist_NS_km,restorationActivities,DevelArea_PercChange,Devel2016_percentArea,CDIP_region,PercVegWetland,PercWater,CPAD_access,estuaryEngineering,Armored_mouth,Engineered_channel,percTimeMouthOpen,percTimeMouthCLOSED,closureBin,SCCWRP_Name_Final_Estuary_Boundary_kmz,PopDensChange,restAcreage,restPercArea
AguaHedionda,Agua Hedionda Lagoon,AHL,1,33.1420161,-117.3247379,Large lagoon,Large lagoon,5,San Diego Coast,LaJolla,NA,1,1556911.508,155.69,0.71,19.874179,616.69,Small,3.406208551,52.65851478,D,41.9,58.1,Open Access,Jettied Mouth,Y,N,100,0,predominantly open,AguaHedionda,182.211542,NA,NA
AlisoCanyonCreek,Aliso Canyon Creek,ACC,1,33.2675209,-117.4414178,Small creek,Small creeks and lagoons,1,San Diego Coast,LaJolla,NA,1,49046.854,4.9,2.81,66.38264709,591.16,None,2.410881143,1.58346695,D,96.1,3.9,Restricted Access,None,N,N,0,100,predominantly closed,AlisoCynCreek,11.24971481,NA,NA
AnaheimBay,Seal Beach Wetlands,SBW,1,33.738222,-118.0772014,Large lagoon,Large lagoon,5,San Pedro Bay,LosAngeles,NA,1,4210777.319,421.08,1.01,54.7370356,432.99,Small,43.32764423,6.480728989,OC,81,19,Restricted Access,Jettied Mouth,Y,N,100,0,predominantly open,AnaheimBay,6.643042333,116,11.14838201
BallonaWetlands,Ballona Wetlands,BW,1,33.965674,-118.4411956,Fragmented river valley estuary,Fragmented river valley estuary,3,Santa Monica Bay,SantaMonica,NA,1,685938.638,68.59,1.68,74.40403875,267.84,Small,0.745314246,74.89376203,L,100,0,Restricted Access,Jettied Mouth,Y,N,100,0,predominantly open,BallonaWetlandsFinal,277.4162114,NA,NA
BatiquitosLagoon,Batiquitos Lagoon,BL,2,33.089197,-117.289552,Large lagoon,Large lagoon,5,San Diego Coast,LaJolla,NA,1,2182700.631,218.27,1.17,50.42060942,622.98,Small,9.162212063,50.11839192,D,71.8,28.2,Restricted Access,Jettied Mouth,Y,N,100,0,predominantly open,BatiquitosLagoon,210.2954597,146,27.06931552
BellCanyonCreek,Bell Canyon Creek,BCC,1,34.4297941,-119.912791,Small creek,Small creeks and lagoons,1,Gaviota Coast,SantaBarbara,NA,1,10298.887,1.03,2.6,59.16862667,56.53,None,0.068944094,3.294249649,B,88.2,11.8,Open Access,None,N,N,33.33,66.67,predominantly closed,BellCanyonCreek,10.15146744,NA,NA
BolsaChica,Bolsa Chica Lagoon,BCL,2,33.696745,-118.0387613,Large lagoon,Large lagoon,5,San Pedro Bay,LosAngeles,NA,1,2356987.914,235.7,0.72,14.16364793,464.09,Large,0.901085498,80.31739413,OC,36.1,63.9,Restricted Access,Jettied Mouth,Y,N,100,0,predominantly open,BolsaChicaFullyTidal,348.8118161,566,97.17964663
BuenaVistaLagoon,Buena Vista Lagoon,BVL,2,33.1729383,-117.3500361,Large lagoon,Large lagoon,5,San Diego Coast,LaJolla,NA,1,915094.21,91.51,2.77,44.50408117,612.79,None,0.515472071,78.11055169,D,72.9,27.1,Open Access,None,N,N,58.33,41.67,intermittently open/closed,BuenaVistaLagoon_DELETE,374.13111,NA,NA
Carpinteria,Carpinteria Salt Marsh,CSM,2,34.4009783,-119.5357528,Intermediate estuary,Intermediate estuary,2,Gaviota Coast,SantaBarbara,11119500,1,888105.205,88.81,1.73,77.76952732,96.27,Large,0.709320545,5.322176884,B,95.6,4.4,Restricted Access,Channelized,N,Y,100,0,predominantly open,CarpinteriaSaltMarsh,18.05897138,28,12.75894097
DevereuxLagoon,Devereux Lagoon,DL,2,34.4138077,-119.8767311,Large lagoon,Large lagoon,5,Gaviota Coast,SantaBarbara,NA,1,235801.841,23.58,2.81,36.43487245,60.19,Large,3.110936454,42.13610952,B,53.1,46.9,Restricted Access,None,N,N,0,100,predominantly closed,DevereuxLagoon_NEW,201.0599131,95,100
