YEAR,BiMonth,MEI
1979,DJ,0.47
1979,JF,0.26
1979,FM,-0.08
1979,MA,0.2
1979,AM,0.27
1979,MJ,-0.15
1979,JJ,-0.14
1979,JA,0.44
1979,AS,0.38
1979,SO,0.24
1979,ON,0.52
1979,ND,0.65
1980,DJ,0.35
1980,JF,0.19
1980,FM,0.41
1980,MA,0.59
1980,AM,0.55
1980,MJ,0.62
1980,JJ,0.62
1980,JA,0.15
1980,AS,0.2
1980,SO,0.09
1980,ON,-0.03
1980,ND,-0.06
1981,DJ,-0.33
1981,JF,-0.24
1981,FM,0.33
1981,MA,0.41
1981,AM,-0.27
1981,MJ,-0.6
1981,JJ,-0.51
1981,JA,-0.31
1981,AS,-0.01
1981,SO,-0.1
1981,ON,-0.22
1981,ND,-0.16
1982,DJ,-0.38
1982,JF,-0.47
1982,FM,-0.28
1982,MA,-0.34
1982,AM,-0.03
1982,MJ,0.78
1982,JJ,1.79
1982,JA,2.02
1982,AS,1.81
1982,SO,1.93
1982,ON,2.28
1982,ND,2.48
1983,DJ,2.57
1983,JF,2.74
1983,FM,2.68
1983,MA,2.79
1983,AM,2.89
1983,MJ,2.02
1983,JJ,0.75
1983,JA,-0.11
1983,AS,-0.41
1983,SO,-0.43
1983,ON,-0.43
1983,ND,-0.43
1984,DJ,-0.5
1984,JF,-0.52
1984,FM,-0.11
1984,MA,0.09
1984,AM,-0.47
1984,MJ,-0.72
1984,JJ,-0.31
1984,JA,-0.15
1984,AS,-0.11
1984,SO,-0.15
1984,ON,-0.58
1984,ND,-0.31
1985,DJ,-0.25
1985,JF,-0.58
1985,FM,-0.6
1985,MA,-0.76
1985,AM,-1.22
1985,MJ,-0.57
1985,JJ,-0.02
1985,JA,-0.37
1985,AS,-0.44
1985,SO,-0.04
1985,ON,0
1985,ND,-0.34
1986,DJ,-0.36
1986,JF,-0.3
1986,FM,-0.39
1986,MA,-0.52
1986,AM,-0.18
1986,MJ,0.12
1986,JJ,0.56
1986,JA,1.05
1986,AS,1.31
1986,SO,0.57
1986,ON,0.65
1986,ND,1.06
1987,DJ,0.98
1987,JF,1.08
1987,FM,1.47
1987,MA,1.66
1987,AM,1.91
1987,MJ,2.02
1987,JJ,1.92
1987,JA,1.48
1987,AS,1.23
1987,SO,1.13
1987,ON,0.85
1987,ND,0.75
1988,DJ,0.59
1988,JF,0.31
1988,FM,0.19
1988,MA,-0.01
1988,AM,-0.36
1988,MJ,-1.19
1988,JJ,-1.77
1988,JA,-1.79
1988,AS,-1.77
1988,SO,-1.54
1988,ON,-1.61
1988,ND,-1.49
1989,DJ,-1.09
1989,JF,-1.06
1989,FM,-1.2
1989,MA,-1.09
1989,AM,-1.04
1989,MJ,-1.02
1989,JJ,-1.12
1989,JA,-0.73
1989,AS,-0.61
1989,SO,-0.56
1989,ON,-0.33
1989,ND,-0.02
1990,DJ,0.12
1990,JF,0.43
1990,FM,0.61
1990,MA,0.17
1990,AM,0.03
1990,MJ,0.04
1990,JJ,0.17
1990,JA,0.06
1990,AS,0.21
1990,SO,-0.06
1990,ON,0.12
1990,ND,0.28
1991,DJ,0.16
1991,JF,0.08
1991,FM,0.21
1991,MA,0.21
1991,AM,0.35
1991,MJ,0.89
1991,JJ,0.88
1991,JA,0.42
1991,AS,0.62
1991,SO,1.09
1991,ON,1.17
1991,ND,1.29
1992,DJ,1.7
1992,JF,1.59
1992,FM,1.72
1992,MA,1.98
1992,AM,1.69
1992,MJ,1.58
1992,JJ,0.76
1992,JA,0.08
1992,AS,0.5
1992,SO,0.81
1992,ON,0.73
1992,ND,0.78
1993,DJ,0.83
1993,JF,0.93
1993,FM,0.78
1993,MA,0.98
1993,AM,1.48
1993,MJ,1.5
1993,JJ,0.91
1993,JA,0.62
1993,AS,0.64
1993,SO,0.95
1993,ON,0.7
1993,ND,0.26
1994,DJ,0.02
1994,JF,-0.17
1994,FM,-0.21
1994,MA,0.03
1994,AM,0
1994,MJ,0.25
1994,JJ,0.88
1994,JA,0.84
1994,AS,1.06
1994,SO,1.47
1994,ON,0.99
1994,ND,0.87
1995,DJ,0.77
1995,JF,0.48
1995,FM,0.14
1995,MA,0.18
1995,AM,0.16
1995,MJ,0
1995,JJ,-0.25
1995,JA,-0.65
1995,AS,-0.86
1995,SO,-0.65
1995,ON,-0.67
1995,ND,-0.82
1996,DJ,-0.83
1996,JF,-0.81
1996,FM,-0.64
1996,MA,-0.69
1996,AM,-0.83
1996,MJ,-0.9
1996,JJ,-0.76
1996,JA,-0.6
1996,AS,-0.26
1996,SO,-0.31
1996,ON,-0.3
1996,ND,-0.45
1997,DJ,-0.66
1997,JF,-0.72
1997,FM,-0.29
1997,MA,0.17
1997,AM,0.68
1997,MJ,2.25
1997,JJ,2.11
1997,JA,2.2
1997,AS,2.17
1997,SO,2.01
1997,ON,2.06
1997,ND,2.03
1998,DJ,2.23
1998,JF,2.43
1998,FM,2.27
1998,MA,2.55
1998,AM,2.26
