YEAR,MON/MMM,NINO34_MEAN,NINO34_CLIM,NINO34_ANOM,ONI,PHASE
1950,1,24.56,26.13,-1.57,-1.45,L
1950,2,25.07,26.34,-1.27,-1.29,L
1950,3,25.88,26.9,-1.02,-1.12,L
1950,4,26.29,27.36,-1.08,-1.15,L
1950,5,26.19,27.55,-1.35,-1.04,L
1950,6,26.47,27.15,-0.68,-0.8,L
1950,7,26.28,26.63,-0.35,-0.45,N
1950,8,25.88,26.19,-0.31,-0.32,N
1950,9,25.73,26.02,-0.29,-0.26,N
1950,10,25.68,25.87,-0.18,-0.3,N
1950,11,25.46,25.91,-0.45,-0.45,N
1950,12,25.29,26.02,-0.73,-0.7,L
1951,1,25.25,26.18,-0.93,-0.77,L
1951,2,25.72,26.39,-0.66,-0.54,L
1951,3,26.91,26.95,-0.04,-0.17,N
1951,4,27.59,27.39,0.2,0.18,N
1951,5,27.93,27.56,0.36,0.36,N
1951,6,27.73,27.21,0.52,0.58,E
1951,7,27.59,26.72,0.87,0.7,E
1951,8,27.01,26.3,0.71,0.89,E
1951,9,27.22,26.14,1.08,0.99,E
1951,10,27.2,26.01,1.19,1.15,E
1951,11,27.25,26.06,1.19,1.04,E
1951,12,26.92,26.18,0.74,0.81,E
1952,1,26.67,26.18,0.49,0.53,E
1952,2,26.75,26.39,0.37,0.37,N
1952,3,27.19,26.95,0.24,0.34,N
1952,4,27.81,27.39,0.42,0.29,N
1952,5,27.79,27.56,0.23,0.2,N
1952,6,27.18,27.21,-0.03,0,N
1952,7,26.53,26.72,-0.2,-0.08,N
1952,8,26.3,26.3,0,0,N
1952,9,26.35,26.14,0.21,0.15,N
1952,10,26.25,26.01,0.25,0.1,N
1952,11,25.92,26.06,-0.14,0.04,N
1952,12,26.21,26.18,0.03,0.15,N
1953,1,26.74,26.18,0.56,0.4,N
1953,2,27,26.39,0.61,0.6,E
1953,3,27.57,26.95,0.62,0.63,E
1953,4,28.03,27.39,0.64,0.66,E
1953,5,28.28,27.56,0.71,0.75,E
1953,6,28.12,27.21,0.9,0.77,E
1953,7,27.42,26.72,0.7,0.75,E
1953,8,26.93,26.3,0.63,0.73,E
1953,9,27,26.14,0.85,0.78,E
