PRISM Time Series Data
Location:  Lat: 33.1420   Lon: -117.3247   Elev: 33m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,5.87,7.5,13.9,20.3,2.9,2.25,15.08
1984-02,1.81,6.6,13.2,19.9,2.5,1.96,14.78
1984-03,0.57,8.7,14.4,20.1,6.4,1.23,12.72
1984-04,17.93,10.6,15.1,19.6,6.9,1.80,11.73
1984-05,0.00,13.2,17.4,21.7,11.0,1.61,10.43
1984-06,1.43,15.7,19.0,22.3,12.0,2.61,10.59
1984-07,0.53,19.3,22.9,26.4,15.7,2.91,14.35
1984-08,2.15,19.2,22.7,26.2,16.1,2.59,12.38
1984-09,0.92,19.4,23.7,28.0,16.4,2.70,17.28
1984-10,6.93,12.7,17.8,22.8,8.9,2.53,14.80
1984-11,38.55,8.7,13.9,19.1,6.2,1.77,10.93
1984-12,115.67,7.0,11.9,16.8,4.4,1.48,9.44
1985-01,13.92,5.8,11.6,17.3,2.7,1.64,11.24
1985-02,24.43,6.9,12.1,17.3,2.9,1.90,11.17
1985-03,14.23,6.6,11.6,16.7,4.9,1.41,8.60
1985-04,5.93,10.4,14.6,18.8,7.4,1.40,9.89
1985-05,0.00,12.8,15.5,18.2,8.9,2.32,7.45
1985-06,0.05,14.3,17.5,20.7,11.4,1.77,8.49
1985-07,0.00,18.2,21.5,24.8,14.3,2.96,13.34
1985-08,0.00,16.4,19.9,23.4,13.3,2.52,11.87
1985-09,2.28,14.9,19.1,23.2,12.1,2.13,12.73
1985-10,7.04,13.2,18.1,23.0,10.2,2.03,14.42
1985-11,89.11,8.7,13.6,18.5,6.1,1.34,10.83
1985-12,37.33,6.7,12.9,19.0,3.6,1.48,13.57
1986-01,17.11,8.8,14.3,19.8,5.1,1.74,13.62
1986-02,81.44,8.2,13.1,17.9,7.2,0.72,8.93
1986-03,82.46,9.8,13.9,18.0,8.3,0.92,7.95
1986-04,21.92,9.8,14.6,19.4,8.2,1.62,10.91
1986-05,0.00,12.0,15.7,19.5,10.5,2.05,7.83
1986-06,0.00,15.0,17.9,20.7,12.9,2.74,6.85
1986-07,0.72,15.6,18.8,22.1,13.9,2.55,7.57
1986-08,0.00,16.3,19.6,22.9,14.5,2.55,8.16
1986-09,18.18,13.2,17.1,20.9,12.0,2.18,7.69
1986-10,17.68,11.2,16.3,21.4,10.4,1.69,10.42
1986-11,24.37,9.0,16.0,23.1,5.7,1.83,17.92
1986-12,39.27,4.5,12.3,20.1,4.2,1.28,14.43
1987-01,45.94,5.2,11.3,17.4,2.2,1.41,11.81
1987-02,37.32,6.0,12.3,18.6,4.8,1.44,12.19
1987-03,26.58,7.7,12.9,18.1,7.4,1.25,9.51
1987-04,10.33,10.4,15.3,20.2,8.1,1.93,11.98
1987-05,0.75,13.6,16.5,19.4,11.2,2.04,6.27
1987-06,0.00,14.6,17.3,20.1,12.2,2.23,6.28
1987-07,2.47,15.0,18.0,21.0,12.3,2.68,7.74
1987-08,4.37,15.6,19.0,22.4,13.7,2.61,8.97
1987-09,0.37,15.4,19.3,23.1,13.6,2.61,11.06
1987-10,53.07,15.2,19.1,23.0,12.7,2.02,11.65
1987-11,33.42,9.2,15.6,22.1,7.7,2.05,15.60
1987-12,72.13,4.2,10.3,16.5,3.9,1.01,9.79
1988-01,30.72,4.9,11.6,18.3,3.9,1.27,13.17
1988-02,28.54,6.2,13.2,20.2,4.3,1.56,15.59
1988-03,9.29,7.7,14.1,20.5,6.3,1.48,15.21
1988-04,83.05,9.6,14.5,19.4,9.1,1.03,10.89
1988-05,0.35,12.1,15.7,19.3,10.7,1.53,8.42
1988-06,0.00,12.7,16.1,19.5,12.0,1.85,6.82
1988-07,0.00,17.4,20.1,22.8,15.7,2.12,5.65
1988-08,4.95,17.1,20.7,24.4,15.2,2.25,10.16
1988-09,0.00,15.2,19.3,23.3,16.2,1.36,9.23
1988-10,0.00,14.2,17.5,20.7,13.6,1.75,8.50
1988-11,28.73,8.7,13.9,19.2,8.1,1.68,10.69
1988-12,66.55,5.9,12.1,18.2,2.8,1.96,14.22
1989-01,9.83,3.7,10.7,17.7,0.3,1.95,14.11
1989-02,15.96,6.6,11.8,17.1,4.0,1.99,11.41
1989-03,18.29,8.3,12.9,17.5,8.5,0.79,7.24
1989-04,0.93,12.1,16.4,20.7,9.4,2.70,13.74
1989-05,5.14,12.5,15.7,18.9,11.2,1.69,7.31
1989-06,0.86,14.6,17.4,20.2,12.6,3.56,8.07
1989-07,0.00,16.6,19.8,23.0,14.7,2.98,9.12
1989-08,0.00,17.2,20.0,22.8,16.1,3.29,9.10
1989-09,3.68,14.5,18.9,23.3,14.4,1.68,12.26
1989-10,8.20,12.9,17.1,21.2,11.9,2.26,10.93
1989-11,3.54,9.2,16.9,24.5,4.7,2.88,22.05
1989-12,0.00,5.7,13.1,20.6,2.0,2.61,17.68
1990-01,65.82,5.2,12.0,18.8,2.8,1.96,12.92
1990-02,35.69,4.9,10.6,16.4,2.8,1.88,10.09
1990-03,12.34,8.6,13.4,18.2,8.0,1.66,10.15
1990-04,25.08,12.1,15.6,19.1,9.6,2.75,9.35
1990-05,10.29,12.6,16.1,19.6,10.7,2.59,8.29
1990-06,15.81,15.4,18.8,22.2,13.2,2.75,9.61
1990-07,0.00,17.7,20.8,23.9,15.6,3.39,9.90
1990-08,2.17,17.7,20.3,22.9,15.6,3.23,8.30
1990-09,0.00,16.3,20.3,24.4,15.0,2.80,11.22
1990-10,0.11,12.9,18.3,23.7,10.2,3.12,16.23
1990-11,12.12,8.6,15.5,22.4,4.6,3.49,18.91
1990-12,9.02,4.4,11.7,18.9,-0.6,3.00,15.91
1991-01,23.35,7.0,12.4,17.8,4.2,1.93,11.47
1991-02,35.16,8.0,13.0,18.1,6.1,1.60,11.39
1991-03,185.57,7.6,11.9,16.1,5.5,1.53,8.73
1991-04,2.16,9.6,14.0,18.4,7.7,1.78,8.67
1991-05,0.00,11.6,14.8,18.0,9.0,2.47,6.84
1991-06,0.00,13.8,16.5,19.2,11.1,2.75,6.92
1991-07,0.03,16.2,18.5,20.9,12.9,3.55,7.62
