"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",5.87,7.5,13.9,20.3,2.9,2.25,15.08,41.2819350056303,-0.755837391238932,-1.08214325731754,-1.40569086037547
"1984-02","1984-02",1984-02-01,1984,"1984",1.81,6.6,13.2,19.9,2.5,1.96,14.78,36.5560274523296,-1.47488395771438,-2.14529464188296,-1.43449013439086
"1984-03","1984-03",1984-03-01,1984,"1984",0.57,8.7,14.4,20.1,6.4,1.23,12.72,50.7531773736814,-2.02702871672571,-2.08722997493572,-1.73621019186619
"1984-04","1984-04",1984-04-01,1984,"1984",17.93,10.6,15.1,19.6,6.9,1.8,11.73,57.776501357838,-2.09581261772315,0.255350647167103,0.0601701143511406
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.2,17.4,21.7,11,1.61,10.43,80.0614404230843,-2.33133212563769,-0.764709673786387,-1.16669796606476
"1984-06","1984-06",1984-06-01,1984,"1984",1.43,15.7,19,22.3,12,2.61,10.59,91.9661462835114,-2.42143666875532,0.74924167148856,-1.30969141605121
"1984-07","1984-07",1984-07-01,1984,"1984",0.53,19.3,22.9,26.4,15.7,2.91,14.35,127.128687232012,-2.44480666422108,0.569797444647381,-2.0392792114881
"1984-08","1984-08",1984-08-01,1984,"1984",2.15,19.2,22.7,26.2,16.1,2.59,12.38,119.095117771926,-2.2487950999527,0.936570099183246,-1.87486576549318
"1984-09","1984-09",1984-09-01,1984,"1984",0.92,19.4,23.7,28,16.4,2.7,17.28,114.276070052862,-2.26021886470577,0.393331219098416,-2.42952182426178
"1984-10","1984-10",1984-10-01,1984,"1985",6.93,12.7,17.8,22.8,8.9,2.53,14.8,67.8568342849704,-2.30637510293467,0.225536246017994,0.0121254643292158
"1984-11","1984-11",1984-11-01,1984,"1985",38.55,8.7,13.9,19.1,6.2,1.77,10.93,40.6989669219237,-1.78566002259352,0.879162840010335,1.09856356953889
"1984-12","1984-12",1984-12-01,1984,"1985",115.67,7,11.9,16.8,4.4,1.48,9.44,31.4781455966495,-0.587208283359166,1.44177087424696,1.57450744748996
"1985-01","1985-01",1985-01-01,1985,"1985",13.92,5.8,11.6,17.3,2.7,1.64,11.24,30.7856298945875,-1.09960898455019,-0.619581952362059,-0.62824578880146
"1985-02","1985-02",1985-02-01,1985,"1985",24.43,6.9,12.1,17.3,2.9,1.9,11.17,31.7445654465594,-1.46996298296214,-0.53270694899324,-0.591541118289021
"1985-03","1985-03",1985-03-01,1985,"1985",14.23,6.6,11.6,16.7,4.9,1.41,8.6,35.7403395596363,-1.60800616267224,-0.425232617056866,-0.0773989584776563
"1985-04","1985-04",1985-04-01,1985,"1985",5.93,10.4,14.6,18.8,7.4,1.4,9.89,54.7056639734813,-1.71982395787502,-0.58185226526013,-0.461214291842645
"1985-05","1985-05",1985-05-01,1985,"1985",0,12.8,15.5,18.2,8.9,2.32,7.45,66.3705017816112,-1.77348414339841,-0.764709673786387,-0.0437303897057734
"1985-06","1985-06",1985-06-01,1985,"1985",0.05,14.3,17.5,20.7,11.4,1.77,8.49,80.4823430501029,-1.77379790247535,0.205313186482562,0.191484496027606
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.2,21.5,24.8,14.3,2.96,13.34,114.764636137015,-1.78070088580031,-0.282216147062508,-1.35378845311195
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.4,19.9,23.4,13.3,2.52,11.87,96.1977486830331,-1.74053330432323,0.210428394247925,0.463550217464831
"1985-09","1985-09",1985-09-01,1985,"1985",2.28,14.9,19.1,23.2,12.1,2.13,12.73,80.5300790824719,-1.66647223871423,0.629319203140397,0.405967153560767
"1985-10","1985-10",1985-10-01,1985,"1986",7.04,13.2,18.1,23,10.2,2.03,14.42,69.7214385323449,-1.75511711122391,0.231967237626353,-0.118639185383086
"1985-11","1985-11",1985-11-01,1985,"1986",89.11,8.7,13.6,18.5,6.1,1.34,10.83,39.2838777449612,0.693043157513625,1.98665191829044,2.07677259123469
"1985-12","1985-12",1985-12-01,1985,"1986",37.33,6.7,12.9,19,3.6,1.48,13.57,35.8794098390018,-0.231780438911094,0.0123902715373641,-0.211024467016724
"1986-01","1986-01",1986-01-01,1986,"1986",17.11,8.8,14.3,19.8,5.1,1.74,13.62,43.2258927663787,-0.76335762653815,-0.494573504622506,-0.983852638997256
"1986-02","1986-02",1986-02-01,1986,"1986",81.44,8.2,13.1,17.9,7.2,0.72,8.93,36.1079157409587,0.123926590933848,0.666029713958618,0.640290940851228
"1986-03","1986-03",1986-03-01,1986,"1986",82.46,9.8,13.9,18,8.3,0.92,7.95,47.9259440145307,0.517957715183472,1.2560744041569,1.33907581277353
"1986-04","1986-04",1986-04-01,1986,"1986",21.92,9.8,14.6,19.4,8.2,1.62,10.91,54.7056639734813,0.695914800583093,0.447829709362256,0.408905876423217
"1986-05","1986-05",1986-05-01,1986,"1986",0,12,15.7,19.5,10.5,2.05,7.83,67.7650583092475,0.90110964772657,-0.764709673786387,-0.168863753439779
"1986-06","1986-06",1986-06-01,1986,"1986",0,15,17.9,20.7,12.9,2.74,6.85,83.4871469287257,1.00446955453096,0,-0.270970407240274
"1986-07","1986-07",1986-07-01,1986,"1986",0.72,15.6,18.8,22.1,13.9,2.55,7.57,92.317117348095,1.00434746661578,0.645988392518584,1.03013589347585
"1986-08","1986-08",1986-08-01,1986,"1986",0,16.3,19.6,22.9,14.5,2.55,8.16,93.8566753376522,0.962805042620837,0.210428394247925,0.755395237754991
"1986-09","1986-09",1986-09-01,1986,"1986",18.18,13.2,17.1,20.9,12,2.18,7.69,67.3048041033945,1.28913336013484,1.66348424891179,3.34830874360995
"1986-10","1986-10",1986-10-01,1986,"1987",17.68,11.2,16.3,21.4,10.4,1.69,10.42,58.8280053179797,1.3253482321976,0.678123213351215,0.953585365444593
"1986-11","1986-11",1986-11-01,1986,"1987",24.37,9,16,23.1,5.7,1.83,17.92,51.1317236557521,-0.0341805331748047,0.405976884871386,0.114733676195284
"1986-12","1986-12",1986-12-01,1986,"1987",39.27,4.5,12.3,20.1,4.2,1.28,14.43,33.2121318306989,-0.153870240484429,0.0647136479889306,-0.0684880438671124
"1987-01","1987-01",1987-01-01,1987,"1987",45.94,5.2,11.3,17.4,2.2,1.41,11.81,29.5047171704503,-0.189296478818437,0.211372845008318,0.298086394650668
"1987-02","1987-02",1987-02-01,1987,"1987",37.32,6,12.3,18.6,4.8,1.44,12.19,32.5999518666554,-0.389080915989794,-0.160820536809247,-0.261337019843226
"1987-03","1987-03",1987-03-01,1987,"1987",26.58,7.7,12.9,18.1,7.4,1.25,9.51,42.4600136690554,-0.482040981132192,0.0673223781034535,0.1442096492518
"1987-04","1987-04",1987-04-01,1987,"1987",10.33,10.4,15.3,20.2,8.1,1.93,11.98,59.0227733495913,-0.851111201693851,-0.205100671382272,-0.455962866952898
"1987-05","1987-05",1987-05-01,1987,"1987",0.75,13.6,16.5,19.4,11.2,2.04,6.27,73.4536826482043,-1.32087974219886,-0.250424048970131,-0.5965571586877
"1987-06","1987-06",1987-06-01,1987,"1987",0,14.6,17.3,20.1,12.2,2.23,6.28,78.9958233039752,-1.57885163257262,0,0.40117623456475
"1987-07","1987-07",1987-07-01,1987,"1987",2.47,15,18,21,12.3,2.68,7.74,86.0303965141429,-0.0261696641630107,1.05227041142025,1.9903916204069
"1987-08","1987-08",1987-08-01,1987,"1987",4.37,15.6,19,22.4,13.7,2.61,8.97,89.2411971191918,0.0967314868662277,1.35548131258752,1.73642512762368
"1987-09","1987-09",1987-09-01,1987,"1987",0.37,15.4,19.3,23.1,13.6,2.61,11.06,81.9021962232297,0.039250710902305,0.225955220924485,0.0211335037078523
"1987-10","1987-10",1987-10-01,1987,"1988",53.07,15.2,19.1,23,12.7,2.02,11.65,76.0756528484659,0.492702052725688,1.46336794070067,1.4042998949419
"1987-11","1987-11",1987-11-01,1987,"1988",33.42,9.2,15.6,22.1,7.7,2.05,15.6,49.0746171191625,0.568141925007615,0.723323603129339,0.63316109080017
"1987-12","1987-12",1987-12-01,1987,"1988",72.13,4.2,10.3,16.5,3.9,1.01,9.79,24.9057515314642,0.780305250922638,0.772083379868725,0.963168962488238
"1988-01","1988-01",1988-01-01,1988,"1988",30.72,4.9,11.6,18.3,3.9,1.27,13.17,30.7856298945875,-0.256510807473228,-0.10065137671428,-0.102624237466161
"1988-02","1988-02",1988-02-01,1988,"1988",28.54,6.2,13.2,20.2,4.3,1.56,15.59,36.5560274523296,-0.634708263833008,-0.40148104248448,-0.6115976584701
"1988-03","1988-03",1988-03-01,1988,"1988",9.29,7.7,14.1,20.5,6.3,1.48,15.21,49.0493782287726,-1.06517965146328,-0.715702709766741,-1.00628510652531
"1988-04","1988-04",1988-04-01,1988,"1988",83.05,9.6,14.5,19.4,9.1,1.03,10.89,54.0992360763873,0.507242705605679,2.17869232584652,1.99727966750642
"1988-05","1988-05",1988-05-01,1988,"1988",0.35,12.1,15.7,19.3,10.7,1.53,8.42,67.7650583092475,0.595003012582341,-0.403620466313362,-0.137585367950488
"1988-06","1988-06",1988-06-01,1988,"1988",0,12.7,16.1,19.5,12,1.85,6.82,70.3020131000507,0.57650323098862,0,1.47365337441865
"1988-07","1988-07",1988-07-01,1988,"1988",0,17.4,20.1,22.8,15.7,2.12,5.65,102.891516247178,0.562214288387328,-0.282216147062508,-0.308110747403501
"1988-08","1988-08",1988-08-01,1988,"1988",4.95,17.1,20.7,24.4,15.2,2.25,10.16,102.548086661054,0.661068656885132,1.44833952904417,0.284381878436082
"1988-09","1988-09",1988-09-01,1988,"1988",0,15.2,19.3,23.3,16.2,1.36,9.23,81.9021962232297,-0.137810705604238,-0.210428394247925,-0.0215457235865056
"1988-10","1988-10",1988-10-01,1988,"1989",0,14.2,17.5,20.7,13.6,1.75,8.5,66.0116726589498,-0.484108214854936,-0.967421566101701,-0.402764520819726
"1988-11","1988-11",1988-11-01,1988,"1989",28.73,8.7,13.9,19.2,8.1,1.68,10.69,40.6989669219237,0.0736449587177435,0.566902854184086,0.775502339349234
"1988-12","1988-12",1988-12-01,1988,"1989",66.55,5.9,12.1,18.2,2.8,1.96,14.22,32.340682490325,0.213839007981146,0.669252288896756,0.683869988128307
"1989-01","1989-01",1989-01-01,1989,"1989",9.83,3.7,10.7,17.7,0.3,1.95,14.11,27.0060373077616,-0.430510221368654,-0.816721581671572,-0.639322031676057
"1989-02","1989-02",1989-02-01,1989,"1989",15.96,6.6,11.8,17.1,4,1.99,11.41,30.4779058657795,-0.899201339847087,-0.864874482741501,-0.801452719084224
"1989-03","1989-03",1989-03-01,1989,"1989",18.29,8.3,12.9,17.5,8.5,0.79,7.24,42.4600136690554,-1.2647359428276,-0.238011357628139,-0.191614395102248
"1989-04","1989-04",1989-04-01,1989,"1989",0.93,12.1,16.4,20.7,9.4,2.7,13.74,66.0577976295463,-1.90861113451137,-1.33250811885867,-1.63884261502803
"1989-05","1989-05",1989-05-01,1989,"1989",5.14,12.5,15.7,18.9,11.2,1.69,7.31,67.7650583092475,-2.13334775616513,0.43616527969124,0.296046113540604
"1989-06","1989-06",1989-06-01,1989,"1989",0.86,14.6,17.4,20.2,12.6,3.56,8.07,79.7377548974594,-2.25960525438579,0.612010768469575,0.418081525886925
"1989-07","1989-07",1989-07-01,1989,"1989",0,16.6,19.8,23,14.7,2.98,9.12,100.412341565037,-2.27671694688604,-0.282216147062508,-0.0334420033913631
"1989-08","1989-08",1989-08-01,1989,"1989",0,17.2,20,22.8,16.1,3.29,9.1,96.9830132292782,-2.20623953629905,0.210428394247925,0.363387198327819
"1989-09","1989-09",1989-09-01,1989,"1989",3.68,14.5,18.9,23.3,14.4,1.68,12.26,79.1668684363781,-2.03647787196625,0.792951602084519,0.731468127878307
"1989-10","1989-10",1989-10-01,1989,"1990",8.2,12.9,17.1,21.2,11.9,2.26,10.93,63.5819183383655,-2.04626112942126,0.296105622128872,0.358905601377012
"1989-11","1989-11",1989-11-01,1989,"1990",3.54,9.2,16.9,24.5,4.7,2.88,22.05,55.8776192705379,-2.42336588586723,-0.946506126385555,-1.73295281482603
"1989-12","1989-12",1989-12-01,1989,"1990",0,5.7,13.1,20.6,2,2.61,17.68,36.7859701948548,-3.00417949562409,-1.91450582505556,-1.53034634347818
"1990-01","1990-01",1990-01-01,1990,"1990",65.82,5.2,12,18.8,2.8,1.96,12.92,32.5257880219694,-2.65291247469605,0.525741223295133,0.620378933567969
"1990-02","1990-02",1990-02-01,1990,"1990",35.69,4.9,10.6,16.4,2.8,1.88,10.09,25.6119625212941,-2.64292519251661,-0.202227431341613,-0.123271958478959
"1990-03","1990-03",1990-03-01,1990,"1990",12.34,8.6,13.4,18.2,8,1.66,10.15,45.1612651981233,-2.80915444683907,-0.525927137205553,-0.610579248450701
"1990-04","1990-04",1990-04-01,1990,"1990",25.08,12.1,15.6,19.1,9.6,2.75,9.35,60.9112402928749,-2.76412273077044,0.585131862326627,0.265183071659455
"1990-05","1990-05",1990-05-01,1990,"1990",10.29,12.6,16.1,19.6,10.7,2.59,8.29,70.5873954022241,-2.72310142679333,0.848147106969167,0.506450302679872
"1990-06","1990-06",1990-06-01,1990,"1990",15.81,15.4,18.8,22.2,13.2,2.75,9.61,90.4011795460507,-2.27404523798952,2.0697354297727,0.989712825366325
"1990-07","1990-07",1990-07-01,1990,"1990",0,17.7,20.8,23.9,15.6,3.39,9.9,108.765945373066,-2.26280641791182,-0.282216147062508,-0.88129513391056
"1990-08","1990-08",1990-08-01,1990,"1990",2.17,17.7,20.3,22.9,15.6,3.23,8.3,99.3534622076742,-2.06123316783162,0.940988407009155,0.33768593012898
"1990-09","1990-09",1990-09-01,1990,"1990",0,16.3,20.3,24.4,15,2.8,11.22,88.8951711243741,-2.08245671684856,-0.210428394247925,-0.770939499348195
"1990-10","1990-10",1990-10-01,1990,"1991",0.11,12.9,18.3,23.7,10.2,3.12,16.23,70.9752488866415,-2.32218703029741,-0.694704136068767,-0.929128918260096
"1990-11","1990-11",1990-11-01,1990,"1991",12.12,8.6,15.5,22.4,4.6,3.49,18.91,48.56541339566,-2.44031507411538,-0.184223197718823,-0.468788098689373
"1990-12","1990-12",1990-12-01,1990,"1991",9.02,4.4,11.7,18.9,-0.6,3,15.91,30.6245774938385,-2.82091685596522,-1.12545433897903,-0.985195203240964
"1991-01","1991-01",1991-01-01,1991,"1991",23.35,7,12.4,17.8,4.2,1.93,11.47,34.3024013621756,-3.00780053752244,-0.293156385190509,-0.427358428676255
"1991-02","1991-02",1991-02-01,1991,"1991",35.16,8,13,18.1,6.1,1.6,11.39,35.6619263663161,-3.12687105328623,-0.215975795895843,-0.401306015800549
"1991-03","1991-03",1991-03-01,1991,"1991",185.57,7.6,11.9,16.1,5.5,1.53,8.73,37.2515183027726,1.11098473495211,2.47553646091413,2.32349974257768
"1991-04","1991-04",1991-04-01,1991,"1991",2.16,9.6,14,18.4,7.7,1.78,8.67,51.1061650355279,1.09846770388942,-1.0788285610126,-0.472039741715553
"1991-05","1991-05",1991-05-01,1991,"1991",0,11.6,14.8,18,9,2.47,6.84,61.5776930733807,1.20418452806477,-0.764709673786387,0.390997275072772
"1991-06","1991-06",1991-06-01,1991,"1991",0,13.8,16.5,19.2,11.1,2.75,6.92,73.1567120497311,1.28357294065036,0,1.16120429683932
