PRISM Time Series Data
Location:  Lat: 33.2675   Lon: -117.4414   Elev: 28m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.73,8.2,14.5,20.7,2.6,2.77,15.82
1984-02,2.29,7.1,13.7,20.3,2.4,2.14,15.38
1984-03,0.35,9.0,14.7,20.4,6.1,1.57,13.33
1984-04,17.42,10.9,15.4,20.0,6.6,2.19,12.57
1984-05,0.00,13.3,17.7,22.2,10.7,1.91,11.55
1984-06,1.36,15.9,19.2,22.5,11.7,3.00,11.31
1984-07,0.22,19.4,23.1,26.8,15.1,3.50,15.89
1984-08,0.07,19.4,23.0,26.6,16.1,2.67,13.31
1984-09,2.77,19.6,24.0,28.4,15.9,3.30,18.98
1984-10,6.41,13.1,18.1,23.1,8.2,3.12,15.98
1984-11,37.64,9.1,14.2,19.2,6.0,2.00,11.42
1984-12,110.89,7.7,12.4,17.1,4.1,1.89,9.97
1985-01,19.56,6.4,12.0,17.7,2.6,1.90,11.81
1985-02,25.25,7.6,12.7,17.7,2.9,2.23,11.65
1985-03,13.78,6.4,11.7,16.9,4.5,1.56,9.09
1985-04,3.87,10.5,15.1,19.6,7.2,1.56,11.08
1985-05,0.00,12.8,15.7,18.5,9.0,2.20,7.77
1985-06,0.00,14.3,17.6,21.0,11.4,1.67,8.91
1985-07,0.00,18.2,21.7,25.1,14.0,3.23,14.39
1985-08,0.00,16.5,20.2,23.9,13.1,2.66,12.98
1985-09,4.83,14.9,19.1,23.4,11.7,2.30,13.73
1985-10,4.48,13.5,18.5,23.5,9.8,2.39,15.59
1985-11,98.22,9.3,14.0,18.7,6.2,1.53,11.02
1985-12,29.68,7.2,13.5,19.7,3.6,1.75,14.39
1986-01,20.66,9.4,15.0,20.5,5.2,1.98,14.40
1986-02,83.34,8.4,13.4,18.3,7.2,0.77,9.41
1986-03,82.11,9.9,14.1,18.2,8.3,0.96,8.14
1986-04,18.78,9.9,14.8,19.7,8.1,1.68,11.38
1986-05,0.00,12.1,16.0,19.8,10.3,2.51,8.54
1986-06,0.00,15.2,18.1,21.0,12.8,2.88,7.30
1986-07,0.55,15.6,19.0,22.4,13.6,2.66,8.39
1986-08,0.00,16.3,19.8,23.4,14.3,2.64,9.39
