"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.73,8.2,14.5,20.7,2.6,2.77,15.82,43.1238874106794,-0.771930317334394,-1.21106338808178,-1.51415720410778
"1984-02","1984-02",1984-02-01,1984,"1984",2.29,7.1,13.7,20.3,2.4,2.14,15.38,37.8032449094135,-1.45153820821975,-2.03121635259112,-1.42488687102656
"1984-03","1984-03",1984-03-01,1984,"1984",0.35,9,14.7,20.4,6.1,1.57,13.33,51.2579218751138,-1.96176512951112,-2.24836921667761,-1.65905284531056
"1984-04","1984-04",1984-04-01,1984,"1984",17.42,10.9,15.4,20,6.6,2.19,12.57,58.3915227162789,-2.03351968103278,0.288946137551811,0.0597937455385427
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.3,17.7,22.2,10.7,1.91,11.55,81.040621468928,-2.27092608152917,-0.589455797849779,-1.19996074593418
"1984-06","1984-06",1984-06-01,1984,"1984",1.36,15.9,19.2,22.5,11.7,3,11.31,92.4026746757391,-2.37586756326833,0.630166850564041,-1.35968287082405
"1984-07","1984-07",1984-07-01,1984,"1984",0.22,19.4,23.1,26.8,15.1,3.5,15.89,128.286210370589,-2.40903962680803,0.455948819262865,-2.09630801718035
"1984-08","1984-08",1984-08-01,1984,"1984",0.07,19.4,23,26.6,16.1,2.67,13.31,120.998739272362,-2.33122729105815,0.360821537404947,-1.9988003331953
"1984-09","1984-09",1984-09-01,1984,"1984",2.77,19.6,24,28.4,15.9,3.3,18.98,116.15133888734,-2.28338303242356,0.599233766265462,-2.56544304204927
"1984-10","1984-10",1984-10-01,1984,"1985",6.41,13.1,18.1,23.1,8.2,3.12,15.98,68.6390213543933,-2.29562264454684,0.35108421420146,0.135278489489237
"1984-11","1984-11",1984-11-01,1984,"1985",37.64,9.1,14.2,19.2,6,2,11.42,41.068233448299,-1.82520814714113,0.802471307939522,1.01810939137493
"1984-12","1984-12",1984-12-01,1984,"1985",110.89,7.7,12.4,17.1,4.1,1.89,9.97,32.6191339304032,-0.711931825646069,1.37038728725819,1.5009798943947
"1985-01","1985-01",1985-01-01,1985,"1985",19.56,6.4,12,17.7,2.6,1.9,11.81,31.4913648252445,-1.14754901155787,-0.443139018903682,-0.420019503976401
"1985-02","1985-02",1985-02-01,1985,"1985",25.25,7.6,12.7,17.7,2.9,2.23,11.65,33.3310122912716,-1.49907562347266,-0.518903192892026,-0.57813743708202
"1985-03","1985-03",1985-03-01,1985,"1985",13.78,6.4,11.7,16.9,4.5,1.56,9.09,35.0821715971416,-1.61685074746606,-0.438161096154757,-0.0309027219277007
"1985-04","1985-04",1985-04-01,1985,"1985",3.87,10.5,15.1,19.6,7.2,1.56,11.08,56.5141389244385,-1.76404715571825,-0.702339087308635,-0.628353070772234
