PRISM Time Series Data
Location:  Lat: 33.7382   Lon: -118.0772   Elev: 2m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,9.33,8.6,14.8,20.9,3.0,2.74,16.11
1984-02,0.09,8.5,14.6,20.7,2.9,2.48,16.04
1984-03,3.30,10.8,16.3,21.8,6.2,2.36,15.83
1984-04,20.26,11.3,16.3,21.3,6.2,2.46,15.49
1984-05,0.00,14.5,19.3,24.2,10.4,2.80,16.79
1984-06,0.00,16.5,20.1,23.8,11.7,3.41,14.02
1984-07,0.00,19.2,23.6,28.1,14.4,3.74,20.94
1984-08,2.44,20.1,24.0,28.0,16.6,2.77,16.18
1984-09,1.42,20.6,25.4,30.1,16.5,3.64,23.28
1984-10,7.03,14.2,19.0,23.8,8.6,3.46,17.10
1984-11,39.10,9.6,14.6,19.7,6.5,1.96,12.04
1984-12,123.80,7.8,12.6,17.3,4.7,1.69,9.92
1985-01,26.47,7.6,12.8,18.0,3.2,2.17,12.02
1985-02,42.19,8.0,13.3,18.6,3.3,2.16,13.00
1985-03,17.23,8.1,12.9,17.7,5.3,1.53,10.10
1985-04,0.00,11.5,16.6,21.6,7.4,1.86,14.73
1985-05,3.17,13.1,16.9,20.7,9.9,1.65,10.64
1985-06,0.00,15.6,19.4,23.2,12.6,1.62,13.21
1985-07,0.00,18.6,23.1,27.7,14.5,2.74,21.78
1985-08,0.00,17.0,21.4,25.7,13.7,2.41,17.56
1985-09,3.34,16.4,20.8,25.3,12.7,2.50,17.02
1985-10,3.17,14.7,19.7,24.7,10.6,2.51,17.54
1985-11,97.30,10.2,14.8,19.3,7.3,1.43,11.00
1985-12,16.73,8.2,14.3,20.3,4.1,2.01,14.89
1986-01,27.46,10.5,16.0,21.5,6.3,2.06,15.17
1986-02,141.11,9.9,14.6,19.2,8.0,0.87,10.13
1986-03,75.24,11.0,15.4,19.7,9.3,0.94,10.11
1986-04,11.42,11.7,16.5,21.3,9.3,1.74,13.26
1986-05,0.00,13.5,17.8,22.1,11.2,2.12,12.70
1986-06,0.00,15.8,19.2,22.7,13.7,2.35,11.73
1986-07,3.79,16.9,21.0,25.2,14.2,2.60,14.62
1986-08,0.00,17.2,22.1,27.0,15.3,1.95,17.15
1986-09,35.71,15.1,19.1,23.1,13.1,1.87,12.27
1986-10,4.84,13.5,18.6,23.7,11.6,1.41,15.25
1986-11,23.36,11.4,17.5,23.5,7.2,2.49,18.44
1986-12,12.96,8.1,14.0,19.8,6.0,1.49,13.21
1987-01,55.14,6.7,12.4,18.0,4.1,1.59,11.77
1987-02,30.32,8.5,13.9,19.3,4.6,2.52,13.80
1987-03,20.67,9.6,14.5,19.4,6.7,2.25,12.66
1987-04,2.24,12.5,17.4,22.4,8.6,2.80,17.69
1987-05,0.00,14.2,17.7,21.3,11.0,2.17,10.75
1987-06,1.84,15.2,18.8,22.3,12.3,2.21,11.24
1987-07,1.47,15.7,19.3,22.8,12.6,2.41,11.76
1987-08,1.63,16.5,20.6,24.7,14.0,2.46,14.38
1987-09,0.00,16.6,21.3,26.0,14.6,2.44,16.23
1987-10,15.71,16.1,20.4,24.8,13.7,1.93,15.69
1987-11,37.45,10.9,16.0,21.2,8.5,1.90,13.83
1987-12,40.48,6.3,11.2,16.1,3.3,1.56,9.73
1988-01,40.02,7.2,12.8,18.5,3.2,2.16,13.84
1988-02,21.81,8.9,15.1,21.3,3.6,2.81,17.45
1988-03,9.61,10.3,16.2,22.0,5.7,2.81,18.03
1988-04,37.85,11.5,16.1,20.7,9.0,1.80,13.28
1988-05,0.00,13.0,17.3,21.7,9.9,2.34,13.52
1988-06,0.00,13.9,17.8,21.7,11.7,2.26,11.86
1988-07,0.00,18.1,21.6,25.1,16.2,2.29,11.91
1988-08,0.80,17.3,21.2,25.0,15.5,2.29,12.97
1988-09,0.97,16.2,20.5,24.9,14.3,2.50,16.09
1988-10,0.00,15.3,19.1,23.0,12.5,2.83,13.93
1988-11,17.57,10.4,15.1,19.8,9.0,2.04,12.00
1988-12,45.12,7.6,13.0,18.4,2.8,2.73,14.51
1989-01,12.44,6.0,12.0,18.0,1.6,2.32,14.22
1989-02,29.76,7.5,12.5,17.5,5.2,1.49,11.34
1989-03,16.52,10.3,15.1,19.9,8.6,1.14,11.40
1989-04,0.00,13.7,18.5,23.2,9.3,3.40,18.32
1989-05,0.00,13.5,17.5,21.5,10.3,2.54,12.41
1989-06,0.00,15.5,18.7,22.0,12.4,2.80,12.51
1989-07,0.00,17.3,21.7,26.0,15.2,2.29,15.00
1989-08,0.00,17.3,21.2,25.0,15.0,3.10,14.93
1989-09,8.40,16.0,21.1,26.2,14.3,2.13,18.50
1989-10,11.65,14.1,18.6,23.2,11.7,2.38,14.68
1989-11,4.08,11.9,18.0,24.0,5.2,3.28,21.18
1989-12,0.00,8.2,14.9,21.5,4.1,2.43,19.01
1990-01,36.75,7.7,13.5,19.4,4.9,1.66,13.89
1990-02,57.57,7.6,12.5,17.5,4.8,1.43,11.74
1990-03,2.32,10.3,14.8,19.3,7.7,1.71,12.18
1990-04,9.55,13.2,16.8,20.5,11.2,1.84,10.67
1990-05,20.87,13.9,17.6,21.3,10.7,2.69,12.92
1990-06,0.50,16.2,20.5,24.8,12.9,2.93,17.00
1990-07,0.00,19.0,22.7,26.4,15.9,3.03,16.49
1990-08,0.36,18.4,21.7,25.0,15.7,2.99,13.36
1990-09,0.00,17.6,22.0,26.5,15.8,2.27,16.91
1990-10,0.00,15.1,20.3,25.5,11.8,2.79,18.85
1990-11,5.63,10.8,17.0,23.2,5.5,3.15,19.81
1990-12,1.20,6.6,12.9,19.2,-0.5,3.38,16.43
1991-01,34.91,8.4,13.5,18.5,5.5,1.74,12.19
1991-02,52.64,10.3,15.6,20.9,8.0,1.41,14.62
1991-03,165.43,9.0,13.2,17.4,5.7,1.81,10.46
1991-04,0.41,11.1,15.3,19.6,7.9,1.73,11.62
1991-05,0.00,12.5,16.1,19.8,8.8,2.46,11.36
1991-06,0.00,14.0,17.1,20.2,11.3,2.35,9.53
1991-07,2.30,16.2,19.2,22.2,13.6,2.57,9.87
1991-08,0.00,16.9,20.3,23.8,14.6,2.20,11.12
1991-09,1.31,16.5,20.2,23.9,14.9,1.75,11.26
1991-10,0.85,14.8,19.6,24.5,13.1,1.55,14.31
1991-11,0.84,10.2,16.4,22.6,5.0,2.23,16.24
1991-12,39.87,8.5,13.7,18.9,5.9,1.85,11.12
1992-01,37.52,7.2,13.5,19.8,5.6,1.51,11.62
1992-02,134.49,10.3,15.3,20.3,7.1,2.19,11.68
1992-03,109.57,11.0,14.8,18.6,9.3,1.92,8.32
1992-04,5.62,13.6,18.0,22.5,11.5,2.58,10.67
1992-05,0.00,16.3,19.1,21.8,13.4,2.47,9.72
1992-06,0.00,15.1,18.8,22.5,12.3,3.30,10.06
1992-07,4.95,18.4,21.9,25.3,15.9,4.94,14.45
1992-08,0.00,19.9,23.6,27.4,16.7,3.49,17.46
1992-09,0.00,17.6,22.0,26.5,15.2,2.39,18.08
1992-10,12.04,15.2,19.1,23.1,14.1,1.69,11.67
1992-11,0.00,10.5,16.5,22.5,4.4,3.03,18.79
1992-12,78.22,6.7,12.2,17.7,2.3,2.08,13.03
1993-01,245.29,9.1,13.2,17.4,7.1,1.18,9.43
1993-02,143.90,9.5,13.6,17.6,7.0,1.66,9.94
1993-03,46.52,11.0,15.7,20.4,8.9,1.59,12.51
1993-04,0.00,11.7,16.3,21.0,9.6,1.61,12.92
1993-05,0.00,14.1,17.9,21.7,11.5,2.10,12.08
1993-06,26.62,15.8,19.4,23.0,13.7,2.11,11.82
1993-07,0.00,17.6,20.3,23.1,13.6,3.51,11.92
1993-08,0.00,17.3,20.8,24.3,15.5,1.82,11.82
1993-09,0.00,16.2,20.4,24.5,14.7,1.60,13.35
1993-10,1.74,14.8,19.4,23.9,12.8,1.49,14.72
1993-11,18.96,10.8,16.3,21.8,6.6,1.91,16.30
1993-12,23.94,7.8,13.8,19.9,3.8,1.84,15.30
1994-01,12.20,8.0,14.2,20.3,4.9,1.54,15.03
1994-02,99.43,8.4,13.0,17.7,3.5,2.15,11.72
1994-03,42.05,11.0,15.7,20.4,8.6,1.64,12.51
1994-04,20.81,12.0,15.4,18.9,9.4,1.87,9.18
1994-05,4.98,13.9,16.6,19.3,11.2,1.87,8.29
1994-06,0.00,15.8,19.7,23.6,13.6,2.05,13.10
1994-07,0.00,17.3,20.3,23.3,14.7,2.82,10.70
1994-08,0.00,18.5,22.9,27.2,16.2,2.52,17.58
1994-09,0.00,16.8,21.3,25.7,14.5,2.36,16.01
1994-10,4.14,13.7,18.3,23.0,10.5,2.53,15.85
1994-11,18.58,7.5,13.2,18.9,3.3,2.07,14.25
1994-12,19.75,8.2,13.3,18.4,5.5,1.46,11.84
1995-01,330.05,9.4,12.9,16.3,8.8,0.85,6.22
1995-02,29.24,11.4,16.0,20.7,9.6,1.45,12.56
1995-03,145.42,11.1,15.1,19.2,8.5,1.61,10.41
