"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",9.33,8.6,14.8,20.9,3,2.74,16.11,41.3175822984247,-0.899302237979971,-0.772137273118806,-1.18966141957395
"1984-02","1984-02",1984-02-01,1984,"1984",0.09,8.5,14.6,20.7,2.9,2.48,16.04,38.8988702206843,-1.69876113878595,-2.96567389512526,-1.44638199048658
"1984-03","1984-03",1984-03-01,1984,"1984",3.3,10.8,16.3,21.8,6.2,2.36,15.83,57.2156258759358,-2.18498505956439,-1.21948092864707,-1.40459081462358
"1984-04","1984-04",1984-04-01,1984,"1984",20.26,11.3,16.3,21.3,6.2,2.46,15.49,60.4226696837848,-2.10699959713924,0.769008683347862,0.573384889242605
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.5,19.3,24.2,10.4,2.8,16.79,90.0868595704244,-2.35743325730656,-0.282216147062508,-1.43256799264829
"1984-06","1984-06",1984-06-01,1984,"1984",0,16.5,20.1,23.8,11.7,3.41,14.02,96.532920761678,-2.49110981091121,0.355490417839531,-1.01485400056501
"1984-07","1984-07",1984-07-01,1984,"1984",0,19.2,23.6,28.1,14.4,3.74,20.94,131.284501475997,-2.49591918496671,0.430727299295457,-1.65677515506059
"1984-08","1984-08",1984-08-01,1984,"1984",2.44,20.1,24,28,16.6,2.77,16.18,128.413821234161,0.113593105795086,2.13752341604951,-1.53445333466921
"1984-09","1984-09",1984-09-01,1984,"1984",1.42,20.6,25.4,30.1,16.5,3.64,23.28,126.925119249697,-0.122106114649171,0.651514962360937,-2.77855116943499
"1984-10","1984-10",1984-10-01,1984,"1985",7.03,14.2,19,23.8,8.6,3.46,17.1,71.2341373666959,-0.198026690486874,0.368545988232275,0.280958137823112
"1984-11","1984-11",1984-11-01,1984,"1985",39.1,9.6,14.6,19.7,6.5,1.96,12.04,39.7769535212189,0.248265655956266,0.922646497171545,1.18978624603979
"1984-12","1984-12",1984-12-01,1984,"1985",123.8,7.8,12.6,17.3,4.7,1.69,9.92,30.3889576826095,0.934353034355156,1.56070977556216,1.67505257352966
"1985-01","1985-01",1985-01-01,1985,"1985",26.47,7.6,12.8,18,3.2,2.17,12.02,31.8787381679285,-0.63766514793101,-0.213604307037824,-0.179394560695483
"1985-02","1985-02",1985-02-01,1985,"1985",42.19,8,13.3,18.6,3.3,2.16,13,32.9296271053184,-1.05857833506387,-0.119534454887633,-0.180360097740063
"1985-03","1985-03",1985-03-01,1985,"1985",17.23,8.1,12.9,17.7,5.3,1.53,10.1,37.6723899501816,-1.11970669721272,-0.304635345700794,0.022475883397389
"1985-04","1985-04",1985-04-01,1985,"1985",0,11.5,16.6,21.6,7.4,1.86,14.73,62.4236024760378,-0.989556750715946,-1.22064034884735,-0.919406766625998
"1985-05","1985-05",1985-05-01,1985,"1985",3.17,13.1,16.9,20.7,9.9,1.65,10.64,71.0624835822299,-0.901094459409237,0.241545654829601,0.275608170659317
"1985-06","1985-06",1985-06-01,1985,"1985",0,15.6,19.4,23.2,12.6,1.62,13.21,90.609863112149,-0.875146048430092,0.355490417839531,-0.227631714108751
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.6,23.1,27.7,14.5,2.74,21.78,126.357252058445,-0.935404556570733,0.430727299295457,-1.37246742522374
"1985-08","1985-08",1985-08-01,1985,"1985",0,17,21.4,25.7,13.7,2.41,17.56,104.629714786845,-0.891572099820843,0.967421566101701,0.453080765701271
"1985-09","1985-09",1985-09-01,1985,"1985",3.34,16.4,20.8,25.3,12.7,2.5,17.02,88.8267005638196,-0.812608593800646,0.839205033819706,0.5991012136268
"1985-10","1985-10",1985-10-01,1985,"1986",3.17,14.7,19.7,24.7,10.6,2.51,17.54,75.9900516100679,-0.970236256632583,0.0769948561360572,-0.330312317262391
"1985-11","1985-11",1985-11-01,1985,"1986",97.3,10.2,14.8,19.3,7.3,1.43,11,40.7555661370667,0.957250106016246,2.14954668393598,2.2007465228746
"1985-12","1985-12",1985-12-01,1985,"1986",16.73,8.2,14.3,20.3,4.1,2.01,14.89,38.0982070766119,-0.328227597885269,-0.505841654277895,-0.772933650909188
"1986-01","1986-01",1986-01-01,1986,"1986",27.46,10.5,16,21.5,6.3,2.06,15.17,47.491765024954,-0.806193903526809,-0.190604071009181,-0.658631566651684
"1986-02","1986-02",1986-02-01,1986,"1986",141.11,9.9,14.6,19.2,8,0.87,10.13,38.8988702206843,0.441791232781205,1.08578164224234,1.15115800302773
"1986-03","1986-03",1986-03-01,1986,"1986",75.24,11,15.4,19.7,9.3,0.94,10.11,51.6952285893875,0.810953969810827,1.06584397399805,1.08679127845529
"1986-04","1986-04",1986-04-01,1986,"1986",11.42,11.7,16.5,21.3,9.3,1.74,13.26,61.7534371567634,1.0110574879849,0.27608592480764,-0.0177523509109462
"1986-05","1986-05",1986-05-01,1986,"1986",0,13.5,17.8,22.1,11.2,2.12,12.7,77.9638360966235,1.179992726473,-0.282216147062508,-0.471437676972879
"1986-06","1986-06",1986-06-01,1986,"1986",0,15.8,19.2,22.7,13.7,2.35,11.73,88.9479435357163,1.16650005832483,0.355490417839531,-0.022554095198088
"1986-07","1986-07",1986-07-01,1986,"1986",3.79,16.9,21,25.2,14.2,2.6,14.62,106.575530029099,1.1992953554895,1.25311387519081,0.531182579617288
"1986-08","1986-08",1986-08-01,1986,"1986",0,17.2,22.1,27,15.3,1.95,17.15,110.821958764777,1.15369462951517,0.967421566101701,-0.199389338411824
"1986-09","1986-09",1986-09-01,1986,"1986",35.71,15.1,19.1,23.1,13.1,1.87,12.27,76.277120356752,2.02325280581185,2.22002198839856,2.88171785713503
"1986-10","1986-10",1986-10-01,1986,"1987",4.84,13.5,18.6,23.7,11.6,1.41,15.25,68.5773869552679,-0.133822208682865,0.218415882149931,0.3090085809778
"1986-11","1986-11",1986-11-01,1986,"1987",23.36,11.4,17.5,23.5,7.2,2.49,18.44,54.9784415163362,-0.164754128061813,0.407103624017966,-0.00629346687894373
"1986-12","1986-12",1986-12-01,1986,"1987",12.96,8.1,14,19.8,6,1.49,13.21,36.6822220374531,-0.633993534148864,-0.662367417738031,-0.857308013537346
"1987-01","1987-01",1987-01-01,1987,"1987",55.14,6.7,12.4,18,4.1,1.59,11.77,30.1210521606754,-0.542707260026504,0.300755124350698,0.48471256710653
"1987-02","1987-02",1987-02-01,1987,"1987",30.32,8.5,13.9,19.3,4.6,2.52,13.8,35.63028654913,-0.860135475567622,-0.376735668200204,-0.510946646855854
"1987-03","1987-03",1987-03-01,1987,"1987",20.67,9.6,14.5,19.4,6.7,2.25,12.66,46.4228730916763,-1.06935271809241,-0.170200046110995,-0.161579775410965
"1987-04","1987-04",1987-04-01,1987,"1987",2.24,12.5,17.4,22.4,8.6,2.8,17.69,67.8991462751685,-1.68989229922011,-0.629993062202377,-1.19306374571812
"1987-05","1987-05",1987-05-01,1987,"1987",0,14.2,17.7,21.3,11,2.17,10.75,77.1831364696177,-2.13511247467814,-0.282216147062508,-0.410456824353371
"1987-06","1987-06",1987-06-01,1987,"1987",1.84,15.2,18.8,22.3,12.3,2.21,11.24,85.6648085195596,-2.22365898744174,1.10547238511442,0.544094339957532
"1987-07","1987-07",1987-07-01,1987,"1987",1.47,15.7,19.3,22.8,12.6,2.41,11.76,91.6569943699981,-2.126668400041,0.973993345375351,1.64257675619637
"1987-08","1987-08",1987-08-01,1987,"1987",1.63,16.5,20.6,24.7,14,2.46,14.38,97.7454988651877,-1.85436296205872,1.80249667199893,1.30820757300401
"1987-09","1987-09",1987-09-01,1987,"1987",0,16.6,21.3,26,14.6,2.44,16.23,92.6770514868279,-1.87073135524583,0.355490417839531,-0.0381527399266431
"1987-10","1987-10",1987-10-01,1987,"1988",15.71,16.1,20.4,24.8,13.7,1.93,15.69,80.8807475637074,-1.60110049253501,0.793829602373137,0.221363561278086
"1987-11","1987-11",1987-11-01,1987,"1988",37.45,10.9,16,21.2,8.5,1.9,13.83,46.8457654772878,-1.14942068050203,0.875243456634282,0.929277789517355
"1987-12","1987-12",1987-12-01,1987,"1988",40.48,6.3,11.2,16.1,3.3,1.56,9.73,24.6228572708415,-1.04342049711133,0.20390620507607,0.367093419643371
"1988-01","1988-01",1988-01-01,1988,"1988",40.02,7.2,12.8,18.5,3.2,2.16,13.84,31.8787381679285,-1.11248719759578,0.0611605146351676,0.158694163507142
"1988-02","1988-02",1988-02-01,1988,"1988",21.81,8.9,15.1,21.3,3.6,2.81,17.45,41.3105553537847,-1.51394856640452,-0.6107860627737,-0.875043110106133
"1988-03","1988-03",1988-03-01,1988,"1988",9.61,10.3,16.2,22,5.7,2.81,18.03,56.5900942618713,-2.02700574287125,-0.686191622709343,-1.05327219346216
"1988-04","1988-04",1988-04-01,1988,"1988",37.85,11.5,16.1,20.7,9,1.8,13.28,59.1046808571337,-1.78216798647698,1.4528031281559,1.33158149116169
"1988-05","1988-05",1988-05-01,1988,"1988",0,13,17.3,21.7,9.9,2.34,13.52,74.0949878960102,-2.15219367175859,-0.282216147062508,-0.173180662894701
"1988-06","1988-06",1988-06-01,1988,"1988",0,13.9,17.8,21.7,11.7,2.26,11.86,77.6958565918092,-2.27065117105109,0.355490417839531,1.08588326031594
"1988-07","1988-07",1988-07-01,1988,"1988",0,18.1,21.6,25.1,16.2,2.29,11.91,112.076038856554,-2.26714875520147,0.430727299295457,-0.314619523466139
"1988-08","1988-08",1988-08-01,1988,"1988",0.8,17.3,21.2,25,15.5,2.29,12.97,102.889339446991,-2.06427905873428,1.40893184546801,0.71841015454168
"1988-09","1988-09",1988-09-01,1988,"1988",0.97,16.2,20.5,24.9,14.3,2.5,16.09,86.5510762600685,-2.01474243328944,0.593467612548835,0.591258619099989
"1988-10","1988-10",1988-10-01,1988,"1989",0,15.3,19.1,23,12.5,2.83,13.93,71.9052625999548,-2.17176498089964,-0.508488059109357,-0.256188811510352
"1988-11","1988-11",1988-11-01,1988,"1989",17.57,10.4,15.1,19.8,9,2.04,12,42.2430788071955,-2.07870401342851,0.165228917290675,0.336333323217746
"1988-12","1988-12",1988-12-01,1988,"1989",45.12,7.6,13,18.4,2.8,2.73,14.51,32.1337837457102,-1.92237987662761,0.310723439533555,0.293378685809263
"1989-01","1989-01",1989-01-01,1989,"1989",12.44,6,12,18,1.6,2.32,14.22,28.4073968201727,-2.17835117001497,-0.634624619513176,-0.51039211897335
"1989-02","1989-02",1989-02-01,1989,"1989",29.76,7.5,12.5,17.5,5.2,1.49,11.34,29.4753576581067,-2.2921767983235,-0.390543662516486,-0.37899257061509
"1989-03","1989-03",1989-03-01,1989,"1989",16.52,10.3,15.1,19.9,8.6,1.14,11.4,49.9100626601517,-2.6041634896982,-0.33459842877493,-0.452850231103835
"1989-04","1989-04",1989-04-01,1989,"1989",0,13.7,18.5,23.2,9.3,3.4,18.32,75.7568532159963,-3.21827084090058,-1.22064034884735,-2.14092655918846
"1989-05","1989-05",1989-05-01,1989,"1989",0,13.5,17.5,21.5,10.3,2.54,12.41,75.6321237695319,-3.50601378124621,-0.282216147062508,-0.290407191309408
"1989-06","1989-06",1989-06-01,1989,"1989",0,15.5,18.7,22,12.4,2.8,12.51,84.8525270404891,-3.56108298756999,0.355490417839531,0.43891270013756
"1989-07","1989-07",1989-07-01,1989,"1989",0,17.3,21.7,26,15.2,2.29,15,113.00462057046,-3.47579100726415,0.430727299295457,-0.394340928091607
"1989-08","1989-08",1989-08-01,1989,"1989",0,17.3,21.2,25,15,3.1,14.93,102.889339446991,-3.26834946314873,0.967421566101701,0.635516480496562
"1989-09","1989-09",1989-09-01,1989,"1989",8.4,16,21.1,26.2,14.3,2.13,18.5,91.1282822005004,-2.79046905564789,1.17677538784929,0.821026248464708
"1989-10","1989-10",1989-10-01,1989,"1990",11.65,14.1,18.6,23.2,11.7,2.38,14.68,68.5773869552679,-2.54090947592991,0.617307909136363,0.670196728720879
"1989-11","1989-11",1989-11-01,1989,"1990",4.08,11.9,18,24,5.2,3.28,21.18,57.8159540560136,-2.8259204582912,-0.691453204073173,-1.43039836539084
"1989-12","1989-12",1989-12-01,1989,"1990",0,8.2,14.9,21.5,4.1,2.43,19.01,41.0007370472571,-3.34336345303813,-1.38299412710064,-1.51312562577663
"1990-01","1990-01",1990-01-01,1990,"1990",36.75,7.7,13.5,19.4,4.9,1.66,13.89,35.0597483608702,-3.29239448919848,0.00153368372344513,0.00797680577611421
"1990-02","1990-02",1990-02-01,1990,"1990",57.57,7.6,12.5,17.5,4.8,1.43,11.74,29.4753576581067,-3.04789571242299,0.146590796423112,0.187307921957474
"1990-03","1990-03",1990-03-01,1990,"1990",2.32,10.3,14.8,19.3,7.7,1.71,12.18,48.1525711924311,-3.33970479938536,-1.35406309944397,-0.998285923849477
"1990-04","1990-04",1990-04-01,1990,"1990",9.55,13.2,16.8,20.5,11.2,1.84,10.67,63.7734757279542,-3.56931704825022,0.14396716004038,-0.285212631687405
"1990-05","1990-05",1990-05-01,1990,"1990",20.87,13.9,17.6,21.3,10.7,2.69,12.92,76.4058976301231,-3.35235751896391,1.30976593806508,1.0192505412633
"1990-06","1990-06",1990-06-01,1990,"1990",0.5,16.2,20.5,24.8,12.9,2.93,17,99.9914473154653,-3.43040217875282,0.881757995120218,-1.42484736121649
"1990-07","1990-07",1990-07-01,1990,"1990",0,19,22.7,26.4,15.9,3.03,16.49,122.475309841046,-3.36538053313409,0.430727299295457,-1.12125241674896
"1990-08","1990-08",1990-08-01,1990,"1990",0.36,18.4,21.7,25,15.7,2.99,13.36,107.26434049872,-3.13377922299419,1.17267877491038,0.212217545785752
"1990-09","1990-09",1990-09-01,1990,"1990",0,17.6,22,26.5,15.8,2.27,16.91,98.1879849469184,-3.07594886296604,0.355490417839531,-0.556851004296876
"1990-10","1990-10",1990-10-01,1990,"1991",0,15.1,20.3,25.5,11.8,2.79,18.85,80.1738632005055,-3.1955617571918,-0.508488059109357,-1.01974658651708
"1990-11","1990-11",1990-11-01,1990,"1991",5.63,10.8,17,23.2,5.5,3.15,19.81,52.2039757322173,-3.360515913425,-0.551159801243736,-0.916143268333116
"1990-12","1990-12",1990-12-01,1990,"1991",1.2,6.6,12.9,19.2,-0.5,3.38,16.43,31.6935596475248,-3.73552409267367,-1.31948888629086,-1.10673378532355
"1991-01","1991-01",1991-01-01,1991,"1991",34.91,8.4,13.5,18.5,5.5,1.74,12.19,35.0597483608702,-3.67789084645164,-0.0336217052071902,-0.0382627611646166
"1991-02","1991-02",1991-02-01,1991,"1991",52.64,10.3,15.6,20.9,8,1.41,14.62,43.7858696459223,-3.58679291785636,0.0673086309539644,-0.189010868086403
"1991-03","1991-03",1991-03-01,1991,"1991",165.43,9,13.2,17.4,5.7,1.81,10.46,39.251719848898,1.1493323928194,2.16966534735846,2.15327370395321
"1991-04","1991-04",1991-04-01,1991,"1991",0.41,11.1,15.3,19.6,7.9,1.73,11.62,53.9611947586823,1.2087287116542,-1.04486964241976,-0.237363625691922
"1991-05","1991-05",1991-05-01,1991,"1991",0,12.5,16.1,19.8,8.8,2.46,11.36,65.1655310781881,1.32074726054945,-0.282216147062508,0.457837182619736
"1991-06","1991-06",1991-06-01,1991,"1991",0,14,17.1,20.2,11.3,2.35,9.53,72.3223172485321,1.38263057536295,0.355490417839531,1.45902172321498
"1991-07","1991-07",1991-07-01,1991,"1991",2.3,16.2,19.2,22.2,13.6,2.57,9.87,90.8103639838045,1.47451614649843,1.09002282460786,1.77838296426144
"1991-08","1991-08",1991-08-01,1991,"1991",0,16.9,20.3,23.8,14.6,2.2,11.12,95.217215097519,1.45027977517965,0.967421566101701,1.39170315975616
"1991-09","1991-09",1991-09-01,1991,"1991",1.31,16.5,20.2,23.9,14.9,1.75,11.26,84.301489979827,1.37158296770104,0.638146265690407,0.800470214326845
"1991-10","1991-10",1991-10-01,1991,"1992",0.85,14.8,19.6,24.5,13.1,1.55,14.31,75.3023594451824,1.17896664462293,-0.216594585445631,-0.468598770734938
"1991-11","1991-11",1991-11-01,1991,"1992",0.84,10.2,16.4,22.6,5,2.23,16.24,48.958391015747,0.900846354017308,-1.08205267834135,-1.02279546390285
"1991-12","1991-12",1991-12-01,1991,"1992",39.87,8.5,13.7,18.9,5.9,1.85,11.12,35.28989865383,0.827433011096375,0.18933012188681,0.0636065627671213
"1992-01","1992-01",1992-01-01,1992,"1992",37.52,7.2,13.5,19.8,5.6,1.51,11.62,35.0597483608702,0.711361250584486,0.0158893227714005,0.0268774124769726
"1992-02","1992-02",1992-02-01,1992,"1992",134.49,10.3,15.3,20.3,7.1,2.19,11.68,42.2930706796302,1.11533705914908,1.02757565581345,1.0537681318251
"1992-03","1992-03",1992-03-01,1992,"1992",109.57,11,14.8,18.6,9.3,1.92,8.32,48.1525711924311,1.78260030406154,1.54959483128301,1.60851055043044
"1992-04","1992-04",1992-04-01,1992,"1992",5.62,13.6,18,22.5,11.5,2.58,10.67,72.1382338400807,1.89282505557508,-0.196020983583639,-1.26783923616041
"1992-05","1992-05",1992-05-01,1992,"1992",0,16.3,19.1,21.8,13.4,2.47,9.72,88.4260064534726,1.93745242051426,-0.282216147062508,-1.30151733215618
"1992-06","1992-06",1992-06-01,1992,"1992",0,15.1,18.8,22.5,12.3,3.3,10.06,85.6648085195596,1.79528010036281,0.355490417839531,0.35271815055542
"1992-07","1992-07",1992-07-01,1992,"1992",4.95,18.4,21.9,25.3,15.9,4.94,14.45,114.871894082877,1.81810729680364,1.35846328156052,-0.124977375708912
"1992-08","1992-08",1992-08-01,1992,"1992",0,19.9,23.6,27.4,16.7,3.49,17.46,124.615660823758,1.75270698944284,0.967421566101701,-1.43537743277059
"1992-09","1992-09",1992-09-01,1992,"1992",0,17.6,22,26.5,15.2,2.39,18.08,98.1879849469184,1.62077276474184,0.355490417839531,-0.556851004296876
"1992-10","1992-10",1992-10-01,1992,"1993",12.04,15.2,19.1,23.1,14.1,1.69,11.67,71.9052625999548,1.61002866800907,0.635596906665575,0.52474028767912
"1992-11","1992-11",1992-11-01,1992,"1993",0,10.5,16.5,22.5,4.4,3.03,18.79,49.4929484047424,1.3071350740046,-1.22064034884735,-1.11963768832192
"1992-12","1992-12",1992-12-01,1992,"1993",78.22,6.7,12.2,17.7,2.3,2.08,13.03,28.6871548384505,1.58299153981366,0.929561434703833,1.07125140447684
"1993-01","1993-01",1993-01-01,1993,"1993",245.29,9.1,13.2,17.4,7.1,1.18,9.43,33.6801571556884,2.61600205179105,1.86131274399408,1.87027417805735
"1993-02","1993-02",1993-02-01,1993,"1993",143.9,9.5,13.6,17.6,7,1.66,9.94,34.2682448594176,2.87126403913437,1.10979704177214,1.21864775426478
"1993-03","1993-03",1993-03-01,1993,"1993",46.52,11,15.7,20.4,8.9,1.59,12.51,53.5079529081328,2.90511377733438,0.539077819279427,0.42660263256733
"1993-04","1993-04",1993-04-01,1993,"1993",0,11.7,16.3,21,9.6,1.61,12.92,60.4226696837848,2.8943640763287,-1.22064034884735,-0.756515510239932
"1993-05","1993-05",1993-05-01,1993,"1993",0,14.1,17.9,21.7,11.5,2.1,12.08,78.7479923483894,2.89163409792884,-0.282216147062508,-0.532997944066738
"1993-06","1993-06",1993-06-01,1993,"1993",26.62,15.8,19.4,23,13.7,2.11,11.82,90.609863112149,3.279228493408,2.16737872047674,1.90624151323138
"1993-07","1993-07",1993-07-01,1993,"1993",0,17.6,20.3,23.1,13.6,3.51,11.92,100.312790008712,3.19941237897396,0.430727299295457,0.759631588672415
"1993-08","1993-08",1993-08-01,1993,"1993",0,17.3,20.8,24.3,15.5,1.82,11.82,99.4472052599719,3.09462563400197,0.967421566101701,0.986263741981404
"1993-09","1993-09",1993-09-01,1993,"1993",0,16.2,20.4,24.5,14.7,1.6,13.35,85.7983170270053,2.93232164514862,0.355490417839531,0.5731449900582
"1993-10","1993-10",1993-10-01,1993,"1994",1.74,14.8,19.4,23.9,12.8,1.49,14.72,73.935238822859,2.70975556323942,-0.0803729654457299,-0.279428035770406
"1993-11","1993-11",1993-11-01,1993,"1994",18.96,10.8,16.3,21.8,6.6,1.91,16.3,48.4263906727145,2.5896734044759,0.227128728781401,0.105292622904635
"1993-12","1993-12",1993-12-01,1993,"1994",23.94,7.8,13.8,19.9,3.8,1.84,15.3,35.7513706597388,2.33977889548944,-0.250636277740051,-0.443837542691395
"1994-01","1994-01",1994-01-01,1994,"1994",12.2,8,14.2,20.3,4.9,1.54,15.03,38.3731809145774,2.02728566936603,-0.644301121180551,-0.910809141827389
"1994-02","1994-02",1994-02-01,1994,"1994",99.43,8.4,13,17.7,3.5,2.15,11.72,31.6145451834762,2.23586594527407,0.684039627255133,0.780642576829111
"1994-03","1994-03",1994-03-01,1994,"1994",42.05,11,15.7,20.4,8.6,1.64,12.51,53.5079529081328,2.22156934702171,0.439583686647409,0.301636790354678
"1994-04","1994-04",1994-04-01,1994,"1994",20.81,12,15.4,18.9,9.4,1.87,9.18,54.5928437112149,2.33640934522635,0.794908216865268,0.871257169638529
"1994-05","1994-05",1994-05-01,1994,"1994",4.98,13.9,16.6,19.3,11.2,1.87,8.29,68.8247893089457,2.33275477228707,0.41027406432412,0.54242429341629
"1994-06","1994-06",1994-06-01,1994,"1994",0,15.8,19.7,23.6,13.6,2.05,13.1,93.1280981017752,2.28481294904292,0.355490417839531,-0.55387572613477
"1994-07","1994-07",1994-07-01,1994,"1994",0,17.3,20.3,23.3,14.7,2.82,10.7,100.312790008712,2.16806414879106,0.430727299295457,0.759631588672415
