PRISM Time Series Data
Location:  Lat: 33.9657   Lon: -118.4412   Elev: 14m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,5.27,10.4,15.3,20.2,3.1,3.32,15.16
1984-02,0.00,10.6,15.1,19.6,3.9,3.07,13.90
1984-03,3.21,12.2,16.2,20.2,7.7,2.33,12.26
1984-04,18.25,12.4,16.1,19.8,7.0,2.74,12.19
1984-05,0.00,14.8,18.3,21.8,10.9,2.85,11.62
1984-06,0.44,16.4,19.0,21.6,11.7,3.20,10.14
1984-07,0.00,18.5,21.4,24.2,14.2,3.07,11.80
1984-08,5.71,19.3,22.2,25.1,15.3,3.22,12.07
1984-09,2.76,20.6,23.9,27.1,16.7,3.82,17.02
1984-10,6.86,15.1,18.6,22.1,7.1,4.57,16.07
1984-11,32.37,11.2,15.0,18.9,5.2,3.00,11.92
1984-12,87.15,9.2,13.1,16.9,3.7,2.30,10.26
1985-01,21.13,8.9,13.2,17.6,3.4,2.44,11.54
1985-02,49.47,9.6,13.8,18.0,3.9,2.64,11.71
1985-03,29.87,9.4,13.1,16.7,5.6,2.13,8.39
1985-04,0.10,12.1,15.6,19.1,5.9,2.97,12.12
1985-05,2.65,13.0,15.8,18.5,7.6,3.25,9.86
1985-06,0.00,15.5,18.2,20.9,11.8,2.42,9.24
1985-07,0.00,18.1,21.5,24.9,14.0,3.01,14.81
1985-08,0.00,16.9,20.0,23.2,13.3,3.03,12.53
1985-09,3.43,16.9,19.8,22.8,12.2,3.82,12.92
1985-10,6.82,15.6,19.3,23.0,10.5,3.66,15.36
1985-11,87.44,11.0,14.9,18.8,6.3,1.99,11.02
1985-12,15.07,9.6,14.5,19.5,4.1,2.41,14.39
1986-01,49.56,12.6,16.4,20.2,5.7,2.77,13.77
1986-02,179.73,11.1,14.5,17.9,7.6,1.25,8.54
1986-03,114.58,11.8,14.7,17.6,9.4,0.97,6.77
1986-04,8.63,12.7,16.2,19.6,9.6,2.00,10.72
1986-05,0.00,13.7,16.7,19.6,12.1,1.63,7.35
1986-06,0.00,15.5,18.0,20.5,13.7,1.68,7.15
1986-07,1.20,16.7,19.5,22.3,14.6,1.91,8.92
1986-08,0.00,16.6,19.3,21.9,14.9,1.41,8.02
1986-09,36.61,15.5,18.1,20.8,13.0,1.88,9.03
1986-10,8.58,15.1,18.6,22.1,11.9,1.75,12.93
1986-11,26.48,13.5,18.1,22.7,7.3,3.13,17.56
1986-12,8.02,10.4,14.8,19.2,5.8,1.73,12.94
1987-01,38.86,8.8,13.0,17.2,2.7,2.08,11.77
1987-02,22.24,10.5,14.7,18.9,3.8,3.02,13.67
1987-03,25.53,10.7,14.4,18.1,7.1,1.90,10.45
1987-04,0.69,13.0,16.6,20.2,10.1,1.52,11.36
1987-05,0.00,14.8,17.2,19.6,11.9,1.79,7.45
1987-06,1.41,15.3,17.5,19.7,12.8,1.46,6.36
1987-07,2.30,15.7,18.2,20.6,13.6,1.33,7.13
1987-08,0.00,16.4,18.8,21.3,14.8,1.50,7.41
1987-09,1.34,17.3,19.9,22.5,15.0,2.04,9.23
1987-10,27.45,17.0,20.0,23.0,14.4,1.81,12.30
1987-11,50.49,12.8,16.6,20.3,8.2,2.53,13.19
1987-12,44.47,8.4,12.2,15.9,2.4,2.35,10.41
1988-01,45.86,9.3,13.5,17.7,3.0,3.01,13.19
1988-02,27.93,10.6,15.6,20.6,5.5,2.33,16.25
1988-03,23.74,12.2,16.2,20.2,6.9,3.03,15.81
1988-04,45.15,12.7,15.8,19.0,10.3,1.58,10.25
1988-05,0.00,13.4,16.4,19.4,10.3,2.04,9.75
1988-06,0.00,14.2,16.8,19.4,11.8,2.00,8.39
1988-07,0.00,17.5,19.8,22.1,16.0,1.81,7.35
1988-08,1.05,17.0,19.2,21.5,15.6,1.83,7.86
1988-09,0.64,16.3,19.0,21.7,14.1,2.13,10.37
1988-10,0.00,16.0,18.5,21.0,13.3,2.27,9.94
1988-11,20.87,11.9,15.2,18.5,8.5,2.15,10.26
1988-12,83.36,9.7,13.7,17.8,2.7,3.11,14.03
1989-01,17.65,8.1,12.8,17.5,1.8,2.81,13.65
1989-02,38.80,8.6,12.4,16.2,5.4,1.52,9.59
1989-03,26.08,11.2,14.8,18.4,9.2,0.94,8.57
1989-04,0.00,14.1,17.5,21.0,9.8,3.17,14.59
1989-05,0.53,13.5,16.5,19.4,11.0,1.97,8.60
1989-06,0.00,15.6,17.8,19.9,12.7,2.39,7.54
1989-07,0.00,17.1,19.9,22.6,15.6,1.48,8.34
1989-08,0.00,16.6,18.9,21.1,15.5,1.75,6.83
1989-09,6.21,16.2,19.4,22.6,14.5,1.72,11.06
1989-10,8.98,14.8,18.2,21.5,11.8,2.34,12.18
1989-11,10.12,13.1,17.6,22.1,5.1,3.32,18.77
1989-12,0.00,10.6,15.6,20.7,3.2,3.35,17.69
1990-01,24.43,9.4,14.0,18.6,4.6,1.91,13.08
1990-02,77.77,8.8,12.7,16.7,4.8,1.58,10.59
1990-03,3.51,10.6,13.9,17.1,8.6,1.21,8.03
1990-04,7.19,13.5,16.4,19.3,11.4,1.83,8.94
1990-05,24.82,13.6,16.7,19.7,10.9,2.15,9.47
1990-06,0.00,16.1,19.1,22.1,13.0,2.70,11.55
1990-07,0.00,18.2,20.8,23.4,16.3,2.45,9.96
1990-08,0.95,17.7,19.9,22.1,15.7,2.40,8.53
1990-09,0.00,18.0,20.8,23.7,15.4,2.74,11.58
1990-10,0.00,16.2,20.0,23.7,12.1,2.86,16.50
1990-11,6.62,12.5,17.2,21.9,5.1,3.62,18.64
1990-12,1.42,9.0,13.7,18.3,-2.0,4.91,16.04
1991-01,36.94,9.9,13.9,17.9,4.7,2.40,11.89
1991-02,41.73,11.3,15.0,18.7,8.3,1.45,10.97
1991-03,160.17,9.3,12.8,16.3,6.1,1.70,8.58
1991-04,0.06,12.1,15.5,19.0,7.8,2.33,11.74
1991-05,0.00,12.1,15.1,18.0,9.3,1.89,8.47
1991-06,0.00,14.4,16.7,19.0,11.5,2.18,7.74
1991-07,3.40,16.2,18.3,20.4,14.2,1.82,6.82
1991-08,0.00,17.0,19.3,21.6,14.3,2.51,8.46
1991-09,1.23,16.5,19.0,21.5,14.8,1.59,8.03
1991-10,6.47,15.7,18.9,22.1,12.5,2.13,12.00
1991-11,0.00,12.4,16.7,20.9,4.5,3.43,17.40
1991-12,73.05,10.6,14.5,18.4,4.2,2.55,12.99
1992-01,51.62,9.8,14.3,18.9,3.4,2.88,13.85
1992-02,145.01,12.2,15.9,19.6,6.9,2.81,12.94
1992-03,157.73,12.1,14.9,17.6,10.1,1.51,6.85
1992-04,6.67,15.0,18.0,21.1,12.7,2.11,10.17
1992-05,0.09,16.0,18.2,20.3,13.7,2.23,7.24
1992-06,0.00,15.4,17.9,20.4,14.0,1.45,7.30
1992-07,4.92,18.2,20.8,23.4,16.1,1.91,9.86
