"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",5.27,10.4,15.3,20.2,3.1,3.32,15.16,45.5856390974175,-1.01938042203528,-1.00075668214654,-1.4000612275
"1984-02","1984-02",1984-02-01,1984,"1984",0,10.6,15.1,19.6,3.9,3.07,13.9,43.0222719410653,-1.76043749564256,-1.91450582505556,-1.40125790531108
"1984-03","1984-03",1984-03-01,1984,"1984",3.21,12.2,16.2,20.2,7.7,2.33,12.26,58.6781915742844,-2.31119770953955,-1.18009183109823,-1.43158331465317
"1984-04","1984-04",1984-04-01,1984,"1984",18.25,12.4,16.1,19.8,7,2.74,12.19,61.3587427028001,-2.35106795936802,0.657944583740647,0.448668191319725
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.8,18.3,21.8,10.9,2.85,11.62,84.2889663880984,-2.64794023735356,-0.355490417839531,-1.35632772396515
"1984-06","1984-06",1984-06-01,1984,"1984",0.44,16.4,19,21.6,11.7,3.2,10.14,89.5981511480794,-2.76868461614966,0.863966427685737,-1.07006815186233
"1984-07","1984-07",1984-07-01,1984,"1984",0,18.5,21.4,24.2,14.2,3.07,11.8,112.134048818431,-2.76523732693317,0.355490417839531,-1.36771676278155
"1984-08","1984-08",1984-08-01,1984,"1984",5.71,19.3,22.2,25.1,15.3,3.22,12.07,113.296283786983,-2.20079490814816,2.32936658994301,-1.31591095310238
"1984-09","1984-09",1984-09-01,1984,"1984",2.76,20.6,23.9,27.1,16.7,3.82,17.02,114.75328899814,-2.13902843583656,0.87222726482058,-2.47022431929499
"1984-10","1984-10",1984-10-01,1984,"1985",6.86,15.1,18.6,22.1,7.1,4.57,16.07,70.353232078848,-2.11310685922682,0.320056894025287,0.199203774990356
"1984-11","1984-11",1984-11-01,1984,"1985",32.37,11.2,15,18.9,5.2,3,11.92,43.4749369705422,-1.70486711346172,0.764126852573039,1.0201185595431
"1984-12","1984-12",1984-12-01,1984,"1985",87.15,9.2,13.1,16.9,3.7,2.3,10.26,34.2525011370945,-1.09693953221063,0.881826206410251,0.979880839005704
