PRISM Time Series Data
Location:  Lat: 33.0892   Lon: -117.2896   Elev: 40m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,5.45,7.3,13.8,20.3,2.8,2.23,15.23
1984-02,1.68,6.4,13.2,20.0,2.3,2.02,14.98
1984-03,0.61,8.7,14.4,20.2,6.4,1.20,12.82
1984-04,19.15,10.4,15.1,19.9,7.0,1.67,12.14
1984-05,0.00,13.2,17.5,21.8,11.1,1.59,10.59
1984-06,1.38,15.6,19.0,22.4,12.0,2.51,10.74
1984-07,0.53,19.4,23.0,26.6,15.8,2.88,14.60
1984-08,2.27,19.1,22.6,26.2,16.0,2.57,12.51
1984-09,0.32,19.3,23.7,28.0,16.3,2.66,17.36
1984-10,6.62,12.6,17.8,23.0,8.9,2.52,14.93
1984-11,40.05,8.6,13.9,19.2,6.2,1.76,11.10
1984-12,117.66,6.8,11.8,16.8,4.3,1.41,9.51
1985-01,12.22,5.7,11.5,17.3,2.6,1.65,11.36
1985-02,20.52,6.5,12.0,17.5,2.9,1.77,11.44
1985-03,14.83,6.7,11.8,16.9,5.0,1.38,8.79
1985-04,6.32,10.4,14.9,19.4,7.4,1.39,10.71
1985-05,0.00,12.8,15.7,18.6,8.9,2.45,8.10
1985-06,0.00,14.4,17.8,21.3,11.3,1.92,9.44
1985-07,0.00,18.1,21.7,25.4,14.4,2.84,14.23
1985-08,0.14,16.3,20.0,23.8,13.2,2.46,12.40
1985-09,1.30,15.0,19.2,23.5,12.0,2.25,13.18
1985-10,6.61,13.2,18.2,23.2,10.1,2.04,14.78
1985-11,92.73,8.6,13.7,18.7,6.0,1.37,11.17
1985-12,38.34,6.6,13.0,19.4,3.5,1.49,14.19
1986-01,16.38,8.6,14.4,20.1,4.9,1.74,14.14
1986-02,80.14,8.4,13.3,18.2,7.2,0.81,9.25
1986-03,79.35,9.8,14.0,18.1,8.2,0.95,8.23
1986-04,22.49,9.9,14.9,19.9,8.3,1.60,11.55
1986-05,0.00,12.1,16.0,19.9,10.6,2.08,8.47
1986-06,0.00,15.1,18.1,21.2,13.1,2.56,7.74
1986-07,0.62,15.8,19.2,22.7,14.2,2.39,8.59
1986-08,0.00,16.4,19.9,23.5,14.7,2.35,9.38
1986-09,15.20,13.3,17.2,21.2,12.1,2.10,8.52
1986-10,16.72,11.4,16.6,21.7,10.6,1.57,11.19
1986-11,22.99,8.9,16.0,23.0,6.0,1.80,17.76
1986-12,34.48,5.1,12.5,19.9,4.5,1.29,14.24
1987-01,40.09,5.1,11.3,17.6,2.5,1.38,11.96
1987-02,35.74,6.3,12.5,18.7,4.7,1.63,12.52
1987-03,27.51,8.0,13.1,18.3,7.1,1.50,10.13
1987-04,10.01,10.4,15.6,20.8,7.7,2.13,13.46
1987-05,1.25,13.6,16.7,19.8,11.0,2.14,7.38
1987-06,0.00,14.6,17.6,20.5,11.9,2.41,7.51
1987-07,2.31,15.1,18.2,21.3,12.1,2.90,8.89
1987-08,3.29,15.7,19.2,22.7,13.8,2.58,9.80
1987-09,0.22,15.4,19.4,23.4,13.8,2.30,11.45
1987-10,51.66,15.3,19.4,23.6,13.0,1.92,12.77
1987-11,33.50,9.1,15.4,21.7,8.0,1.85,14.89
1987-12,72.21,4.3,10.4,16.6,4.0,1.06,9.94
1988-01,25.08,5.1,11.8,18.5,3.7,1.40,13.49
1988-02,28.75,6.3,13.4,20.4,4.2,1.68,15.90
1988-03,11.03,8.0,14.4,20.7,6.2,1.62,15.57
1988-04,77.14,9.8,14.8,19.7,9.1,1.13,11.37
1988-05,0.19,12.2,15.9,19.6,10.7,1.60,8.90
1988-06,0.00,12.9,16.5,20.2,12.0,1.90,8.06
1988-07,0.00,17.4,20.3,23.3,15.9,2.08,7.03
1988-08,0.11,17.0,20.6,24.1,15.4,2.27,10.14
1988-09,0.00,15.2,19.4,23.6,15.5,1.62,10.82
1988-10,0.00,14.3,17.7,21.0,13.4,1.75,9.17
1988-11,30.47,8.8,14.1,19.4,8.3,1.52,10.84
1988-12,52.98,6.0,12.3,18.5,2.8,2.07,14.51
1989-01,7.75,3.9,10.8,17.7,0.7,1.87,14.08
1989-02,11.38,6.6,12.0,17.3,4.4,1.79,11.54
1989-03,18.52,8.4,13.1,17.8,8.5,0.83,7.86
1989-04,0.93,12.2,16.7,21.1,9.6,2.61,14.19
1989-05,4.22,12.6,15.9,19.2,11.4,1.54,7.56
1989-06,0.86,14.6,17.6,20.6,12.7,3.03,8.25
1989-07,0.00,16.6,20.0,23.4,15.0,2.39,9.19
1989-08,0.00,17.2,20.1,23.1,16.1,2.85,9.42
1989-09,3.58,14.5,19.0,23.5,14.4,1.52,12.60
1989-10,8.72,12.9,17.0,21.2,11.8,2.26,11.10
1989-11,4.45,9.3,16.6,23.9,4.7,2.82,20.91
1989-12,0.02,5.8,13.4,20.9,2.0,2.65,18.06
1990-01,61.78,5.4,12.2,18.9,3.1,1.93,13.37
1990-02,34.57,5.1,10.9,16.6,3.0,1.88,10.68
1990-03,11.17,8.8,13.5,18.2,7.9,1.68,10.15
1990-04,25.98,12.1,15.9,19.6,10.1,2.32,9.78
1990-05,9.63,12.7,16.4,20.1,10.7,2.58,9.67
1990-06,14.37,15.6,19.2,22.9,13.3,2.61,11.25
1990-07,0.00,17.8,21.2,24.5,15.7,3.21,11.39
1990-08,2.14,17.7,20.5,23.3,15.7,3.10,9.32
1990-09,0.00,16.5,20.5,24.6,15.0,2.85,12.09
1990-10,0.05,13.2,18.5,23.9,10.1,3.18,16.88
1990-11,13.25,8.8,15.7,22.7,4.7,3.50,19.10
1990-12,7.61,4.9,12.0,19.1,-0.2,3.00,16.00
1991-01,22.45,6.9,12.5,18.0,4.2,1.95,11.67
1991-02,31.00,8.0,13.3,18.6,6.1,1.68,12.08
1991-03,186.28,7.7,12.0,16.3,5.5,1.57,8.95
1991-04,2.77,9.8,14.4,18.9,7.5,1.89,10.19
1991-05,0.00,11.7,15.1,18.5,8.8,2.55,8.24
1991-06,0.00,13.9,16.8,19.7,10.9,2.86,8.13
1991-07,0.01,16.3,18.9,21.4,13.2,3.27,8.45
1991-08,9.64,16.8,19.4,22.0,14.7,2.11,7.70
1991-09,2.59,16.2,19.2,22.1,14.8,1.68,8.74
1991-10,13.07,13.9,18.6,23.4,12.1,1.70,14.05
1991-11,1.22,8.8,16.2,23.6,4.4,2.45,20.78
1991-12,46.81,7.0,13.0,19.1,4.1,2.29,13.72
1992-01,59.68,6.3,13.1,19.9,3.0,2.29,15.18
1992-02,104.23,9.6,15.6,21.6,6.6,2.60,16.06
1992-03,88.31,10.6,14.7,18.8,9.2,1.96,9.32
1992-04,6.26,13.1,17.6,22.1,11.5,2.70,12.31
1992-05,1.66,16.5,19.0,21.5,13.1,3.57,8.97
1992-06,0.00,15.6,18.6,21.5,11.9,4.00,10.01
