"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",5.45,7.3,13.8,20.3,2.8,2.23,15.23,40.3203752358658,-0.750075618812789,-1.04567093541089,-1.35740184810264
"1984-02","1984-02",1984-02-01,1984,"1984",1.68,6.4,13.2,20,2.3,2.02,14.98,36.0898754849212,-1.47057971447329,-2.11725741587413,-1.38626841107006
"1984-03","1984-03",1984-03-01,1984,"1984",0.61,8.7,14.4,20.2,6.4,1.2,12.82,50.1775041902424,-2.029869139669,-2.08089590076746,-1.69115130725381
"1984-04","1984-04",1984-04-01,1984,"1984",19.15,10.4,15.1,19.9,7,1.67,12.14,57.1617424426526,-2.0554784766478,0.321939004102557,0.198535524843331
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.2,17.5,21.8,11.1,1.59,10.59,80.158253040457,-2.2842549733471,-0.861634120174172,-1.08840213476936
"1984-06","1984-06",1984-06-01,1984,"1984",1.38,15.6,19,22.4,12,2.51,10.74,91.3595847083582,-2.36546589072341,0.912008641411713,-1.12268557101794
"1984-07","1984-07",1984-07-01,1984,"1984",0.53,19.4,23,26.6,15.8,2.88,14.6,127.639299743375,-2.38911900400366,0.746261774679045,-1.98705375513403
"1984-08","1984-08",1984-08-01,1984,"1984",2.27,19.1,22.6,26.2,16,2.57,12.51,117.857180384437,-2.17072071074407,1.07869545340932,-1.71860564485758
"1984-09","1984-09",1984-09-01,1984,"1984",0.32,19.3,23.7,28,16.3,2.66,17.36,114.018371447843,-2.20860282952743,0.318538637525722,-2.32706825097889
"1984-10","1984-10",1984-10-01,1984,"1985",6.62,12.6,17.8,23,8.9,2.52,14.93,67.35853294884,-2.26274784839699,0.255367142319371,0.109197030369391
"1984-11","1984-11",1984-11-01,1984,"1985",40.05,8.6,13.9,19.2,6.2,1.76,11.1,40.2227546099468,0.206529937396744,0.905523272863449,1.13772073247586
"1984-12","1984-12",1984-12-01,1984,"1985",117.66,6.8,11.8,16.8,4.3,1.41,9.51,30.5969282841649,0.808176982677282,1.51797597426775,1.66248307393707
"1985-01","1985-01",1985-01-01,1985,"1985",12.22,5.7,11.5,17.3,2.6,1.65,11.36,29.8974440082076,-0.565604072553792,-0.632579839084351,-0.601926894041416
"1985-02","1985-02",1985-02-01,1985,"1985",20.52,6.5,12,17.5,2.9,1.77,11.44,30.8662587727529,-1.02784270857153,-0.633728124891063,-0.647053127340646
"1985-03","1985-03",1985-03-01,1985,"1985",14.83,6.7,11.8,16.9,5,1.38,8.79,36.1946794141919,-1.20265787566323,-0.414425399210464,-0.0862654567896977
"1985-04","1985-04",1985-04-01,1985,"1985",6.32,10.4,14.9,19.4,7.4,1.39,10.71,55.9250412385052,-1.3256966481094,-0.573917838223905,-0.457289865868395
"1985-05","1985-05",1985-05-01,1985,"1985",0,12.8,15.7,18.6,8.9,2.45,8.1,67.0843896916447,-1.40540421402209,-0.861634120174172,0.00327890568183553
"1985-06","1985-06",1985-06-01,1985,"1985",0,14.4,17.8,21.3,11.3,1.92,9.44,82.0871378547349,-1.42435593064351,0.139710298881862,0.133680921435514
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.1,21.7,25.4,14.4,2.84,14.23,116.020333994628,-1.4569388479415,-0.210428394247925,-1.33590199164135
"1985-08","1985-08",1985-08-01,1985,"1985",0.14,16.3,20,23.8,13.2,2.46,12.4,96.4461961477722,-1.42336246600362,0.369280306618562,0.540732941135845
"1985-09","1985-09",1985-09-01,1985,"1985",1.3,15,19.2,23.5,12,2.25,13.18,80.7166536152883,-1.40668856924888,0.595282217329727,0.356533028046615
"1985-10","1985-10",1985-10-01,1985,"1986",6.61,13.2,18.2,23.2,10.1,2.04,14.78,69.8594152956546,-1.51958444752055,0.254790306802755,-0.0616742001791704
"1985-11","1985-11",1985-11-01,1985,"1986",92.73,8.6,13.7,18.7,6,1.37,11.17,39.2777519618412,0.795988027992878,1.99597952986906,2.06187832110846
"1985-12","1985-12",1985-12-01,1985,"1986",38.34,6.6,13,19.4,3.5,1.49,14.19,35.8654349834355,-0.169010144802907,0.130988642855738,-0.0883102351568085
"1986-01","1986-01",1986-01-01,1986,"1986",16.38,8.6,14.4,20.1,4.9,1.74,14.14,43.2359608112178,-0.706636368729897,-0.462707617129496,-0.972416001381065
"1986-02","1986-02",1986-02-01,1986,"1986",80.14,8.4,13.3,18.2,7.2,0.81,9.25,36.5394667044292,0.132547267039452,0.66708011251699,0.629630807262721
"1986-03","1986-03",1986-03-01,1986,"1986",79.35,9.8,14,18.1,8.2,0.95,8.23,47.9114603258219,0.531470557212904,1.18545054606575,1.26541868246977
"1986-04","1986-04",1986-04-01,1986,"1986",22.49,9.9,14.9,19.9,8.3,1.6,11.55,55.9250412385052,0.743787728764006,0.485753908909469,0.420809704745472
"1986-05","1986-05",1986-05-01,1986,"1986",0,12.1,16,19.9,10.6,2.08,8.47,69.2000275999765,0.978118578022683,-0.861634120174172,-0.183001867093507
"1986-06","1986-06",1986-06-01,1986,"1986",0,15.1,18.1,21.2,13.1,2.56,7.74,84.3688678464303,1.09409843465999,0.139710298881862,-0.231325765618149
"1986-07","1986-07",1986-07-01,1986,"1986",0.62,15.8,19.2,22.7,14.2,2.39,8.59,94.9143402859452,1.08918033656981,0.77932969339555,0.85016298968248
"1986-08","1986-08",1986-08-01,1986,"1986",0,16.4,19.9,23.5,14.7,2.35,9.38,95.6564020653993,1.04477628507212,0.210428394247925,0.621518474108626
"1986-09","1986-09",1986-09-01,1986,"1986",15.2,13.3,17.2,21.2,12.1,2.1,8.52,67.3900407728331,1.34783527289803,1.58112206267542,3.50265665822926
"1986-10","1986-10",1986-10-01,1986,"1987",16.72,11.4,16.6,21.7,10.6,1.57,11.19,60.0714821846811,1.3771328239215,0.675010189210162,0.906773650755465
"1986-11","1986-11",1986-11-01,1986,"1987",22.99,8.9,16,23,6,1.8,17.76,50.6652250494364,-0.0618156520814372,0.352574295880059,0.0823653030095991
"1986-12","1986-12",1986-12-01,1986,"1987",34.48,5.1,12.5,19.9,4.5,1.29,14.24,33.6305733192489,-0.226333502758618,0.0251645069335951,-0.140513457608584
"1987-01","1987-01",1987-01-01,1987,"1987",40.09,5.1,11.3,17.6,2.5,1.38,11.96,29.0492584030263,-0.319308658471022,0.146803247014999,0.238456504915326
"1987-02","1987-02",1987-02-01,1987,"1987",35.74,6.3,12.5,18.7,4.7,1.63,12.52,33.0040029841193,-0.55132738332076,-0.168389641450655,-0.284814247301976
"1987-03","1987-03",1987-03-01,1987,"1987",27.51,8,13.1,18.3,7.1,1.5,10.13,42.9637551798295,-0.727051060274048,0.077554144997892,0.142753654263281
