PRISM Time Series Data
Location:  Lat: 34.4298   Lon: -119.9128   Elev: 24m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,1.45,6.6,12.6,18.7,3.5,1.70,12.34
1984-02,2.82,6.0,12.2,18.4,2.5,1.85,12.49
1984-03,15.73,8.3,14.1,19.9,5.8,1.28,13.20
1984-04,3.33,8.6,13.8,19.0,3.4,2.67,13.30
1984-05,0.00,11.4,16.2,21.0,8.1,2.33,12.04
1984-06,0.00,12.8,16.3,19.8,10.1,1.87,9.03
1984-07,0.00,15.1,18.6,22.1,12.8,1.49,9.55
1984-08,3.13,16.3,19.7,23.2,14.1,1.87,10.59
1984-09,8.68,17.2,21.8,26.4,13.8,3.08,16.38
1984-10,10.84,11.1,16.1,21.0,5.7,3.36,14.59
1984-11,59.32,8.0,12.9,17.8,4.8,1.97,10.09
1984-12,119.58,6.2,10.7,15.3,2.6,1.91,8.40
1985-01,19.96,5.5,10.6,15.7,1.4,1.98,9.61
1985-02,61.18,5.9,11.2,16.4,1.7,2.00,10.04
1985-03,43.26,6.4,11.2,16.1,2.9,1.78,9.37
1985-04,1.06,9.2,13.5,17.8,5.1,2.13,10.72
1985-05,0.00,9.4,13.4,17.5,5.3,2.46,9.34
1985-06,0.00,12.2,16.2,20.3,9.6,1.55,9.23
1985-07,0.00,14.7,19.1,23.6,11.3,2.32,15.15
1985-08,0.00,13.2,17.6,22.0,11.1,2.10,11.84
1985-09,1.67,12.8,17.4,22.0,9.5,2.81,12.98
1985-10,12.98,10.4,15.8,21.2,7.0,2.46,14.06
1985-11,99.48,7.3,12.5,17.8,4.5,1.53,10.71
1985-12,28.33,5.9,12.0,18.2,2.7,1.46,12.37
1986-01,50.54,7.9,13.4,18.8,5.3,1.24,11.32
1986-02,203.99,8.9,13.1,17.2,5.6,1.19,8.90
1986-03,158.08,9.3,13.5,17.6,7.3,1.02,8.21
1986-04,14.33,9.1,13.7,18.2,6.7,1.66,10.51
1986-05,0.00,9.6,14.0,18.5,8.7,1.15,8.28
1986-06,0.00,11.8,16.0,20.2,11.6,0.72,8.59
1986-07,0.00,12.8,17.1,21.3,12.5,0.93,9.28
1986-08,0.00,13.1,17.4,21.7,12.4,0.69,10.49
1986-09,40.52,11.4,16.0,20.7,10.7,1.34,9.86
1986-10,0.00,11.0,16.2,21.5,9.9,1.23,13.15
1986-11,21.28,8.7,15.3,21.9,6.4,1.68,16.70
1986-12,11.29,6.0,12.5,19.0,5.0,0.91,12.34
1987-01,35.81,4.2,10.5,16.7,2.6,1.04,10.65
1987-02,62.07,6.6,12.4,18.1,3.8,1.70,12.54
1987-03,113.03,7.2,12.5,17.8,5.6,1.41,10.33
1987-04,0.00,9.3,14.6,19.8,7.6,1.30,12.39
1987-05,1.66,11.7,15.6,19.5,9.7,1.61,8.75
1987-06,0.00,12.1,15.8,19.6,11.2,0.92,8.28
1987-07,0.01,12.1,16.4,20.7,11.7,1.07,9.39
1987-08,0.00,13.0,17.4,21.8,12.7,1.14,10.14
1987-09,0.00,13.1,17.5,21.8,13.2,0.92,9.66
1987-10,48.95,13.6,18.0,22.4,12.6,1.28,11.66
1987-11,27.84,8.7,14.3,19.9,8.1,1.30,11.84
1987-12,84.22,4.8,10.4,15.9,4.1,1.10,8.84
1988-01,66.07,4.7,10.9,17.1,5.0,0.89,10.41
1988-02,42.30,5.4,12.4,19.5,5.6,0.95,13.24
1988-03,37.91,8.1,14.9,21.7,5.5,1.78,17.38
1988-04,93.38,8.9,14.0,19.2,9.2,1.04,9.76
1988-05,0.11,9.9,14.6,19.3,8.7,1.62,11.02
1988-06,0.96,11.3,15.3,19.4,10.9,1.35,8.74
1988-07,0.00,14.5,17.8,21.2,14.8,1.02,6.05
1988-08,0.00,13.8,17.7,21.5,14.2,1.14,7.87
1988-09,0.00,12.3,16.5,20.8,12.9,1.30,9.55
1988-10,0.00,12.0,15.9,19.8,12.1,1.45,8.40
1988-11,28.24,8.3,13.6,18.8,7.5,1.59,10.58
1988-12,101.55,6.3,11.6,16.9,3.4,2.03,12.08
1989-01,12.89,4.2,10.1,16.0,2.3,1.41,11.31
