"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",1.45,6.6,12.6,18.7,3.5,1.7,12.34,39.5647551072813,-0.888051337703031,-1.49467663681513,-1.53793373554337
"1984-02","1984-02",1984-02-01,1984,"1984",2.82,6,12.2,18.4,2.5,1.85,12.49,36.4024076990937,-1.61101077878616,-1.85263567416788,-1.34343745216008
"1984-03","1984-03",1984-03-01,1984,"1984",15.73,8.3,14.1,19.9,5.8,1.28,13.2,54.3371120438281,-2.20486175019203,-0.851229865557543,-1.05570924884027
"1984-04","1984-04",1984-04-01,1984,"1984",3.33,8.6,13.8,19,3.4,2.67,13.3,55.5993907578346,-2.66570847670801,-0.355418501916134,-0.575210977338045
"1984-05","1984-05",1984-05-01,1984,"1984",0,11.4,16.2,21,8.1,2.33,12.04,77.4881304764522,-3.1758640581768,-0.674489750196082,-1.87047930653195
"1984-06","1984-06",1984-06-01,1984,"1984",0,12.8,16.3,19.8,10.1,1.87,9.03,77.916475244921,-3.44751889356132,-0.139710298881862,-0.617527505270105
"1984-07","1984-07",1984-07-01,1984,"1984",0,15.1,18.6,22.1,12.8,1.49,9.55,96.4821308426344,-3.49358284574389,0.589455797849779,-1.31001906869835
"1984-08","1984-08",1984-08-01,1984,"1984",3.13,16.3,19.7,23.2,14.1,1.87,10.59,99.6139378958367,-3.12004152396505,1.79285908398502,-1.48406327290195
"1984-09","1984-09",1984-09-01,1984,"1984",8.68,17.2,21.8,26.4,13.8,3.08,16.38,103.189651319425,-2.67983988105725,1.16831668598876,-2.39510220312411
"1984-10","1984-10",1984-10-01,1984,"1985",10.84,11.1,16.1,21,5.7,3.36,14.59,62.4624097379612,-2.6825947787671,0.224230161249524,0.113144930919831
"1984-11","1984-11",1984-11-01,1984,"1985",59.32,8,12.9,17.8,4.8,1.97,10.09,40.3910836629629,-2.02045689099901,0.847854715564165,1.02066257771688
"1984-12","1984-12",1984-12-01,1984,"1985",119.58,6.2,10.7,15.3,2.6,1.91,8.4,30.547352091313,-1.25723376712188,0.859921024575063,0.970044288237448
"1985-01","1985-01",1985-01-01,1985,"1985",19.96,5.5,10.6,15.7,1.4,1.98,9.61,30.7299976681024,-1.90188315133793,-0.617624829585734,-0.710523127587595
"1985-02","1985-02",1985-02-01,1985,"1985",61.18,5.9,11.2,16.4,1.7,2,10.04,32.1238875480362,-2.18163492784318,-0.148942109462189,-0.237126681240206
"1985-03","1985-03",1985-03-01,1985,"1985",43.26,6.4,11.2,16.1,2.9,1.78,9.37,38.8054839115554,-2.30534340999899,-0.201337430590737,-0.170929949489247
"1985-04","1985-04",1985-04-01,1985,"1985",1.06,9.2,13.5,17.8,5.1,2.13,10.72,53.8411838935586,-2.39957865413672,-0.652922878015811,-0.609208890715465
"1985-05","1985-05",1985-05-01,1985,"1985",0,9.4,13.4,17.5,5.3,2.46,9.34,58.7151152872508,-2.38242392282414,-0.674489750196082,0.173717978036456
"1985-06","1985-06",1985-06-01,1985,"1985",0,12.2,16.2,20.3,9.6,1.55,9.23,77.2185997259469,-2.33927463588485,-0.139710298881862,-0.458436816004239
"1985-07","1985-07",1985-07-01,1985,"1985",0,14.7,19.1,23.6,11.3,2.32,15.15,100.297465511812,-2.3052507758733,0.589455797849779,-1.62591037567863
"1985-08","1985-08",1985-08-01,1985,"1985",0,13.2,17.6,22,11.1,2.1,11.84,84.4790649448908,-2.22066785794747,0.508488059109357,-0.0419424892027767
"1985-09","1985-09",1985-09-01,1985,"1985",1.67,12.8,17.4,22,9.5,2.81,12.98,74.2153834745246,-2.13565391958021,0.447813041787228,0.0388530047990066
"1985-10","1985-10",1985-10-01,1985,"1986",12.98,10.4,15.8,21.2,7,2.46,14.06,60.7681218208327,-2.12427549895899,0.300484097278965,0.297006957077495
"1985-11","1985-11",1985-11-01,1985,"1986",99.48,7.3,12.5,17.8,4.5,1.53,10.71,38.5731879937806,0.744154586840502,1.51316865223497,1.703776433021
"1985-12","1985-12",1985-12-01,1985,"1986",28.33,5.9,12,18.2,2.7,1.46,12.37,36.1225493690484,-0.875024724518555,-0.441769268618957,-0.628042101243598
"1986-01","1986-01",1986-01-01,1986,"1986",50.54,7.9,13.4,18.8,5.3,1.24,11.32,43.2906848366357,-1.24402725866097,-0.109729268638886,-0.329886105235746
"1986-02","1986-02",1986-02-01,1986,"1986",203.99,8.9,13.1,17.2,5.6,1.19,8.9,40.3945937401749,0.45774998370839,0.999251060705466,1.08444522560268
"1986-03","1986-03",1986-03-01,1986,"1986",158.08,9.3,13.5,17.6,7.3,1.02,8.21,50.9900959137991,0.920747643971933,1.02639519261127,1.09470804608888
"1986-04","1986-04",1986-04-01,1986,"1986",14.33,9.1,13.7,18.2,6.7,1.66,10.51,55.0113393802236,0.844638922675771,0.22016434197668,0.0522665612801188
"1986-05","1986-05",1986-05-01,1986,"1986",0,9.6,14,18.5,8.7,1.15,8.28,62.5982574417601,0.761349012730827,-0.674489750196082,-0.116426608359962
"1986-06","1986-06",1986-06-01,1986,"1986",0,11.8,16,20.2,11.6,0.72,8.59,75.8288177950017,0.666850879994995,-0.139710298881862,-0.17186842585152
"1986-07","1986-07",1986-07-01,1986,"1986",0,12.8,17.1,21.3,12.5,0.93,9.28,85.3215227716815,0.581860298454669,0.589455797849779,0.0479784039132826
"1986-08","1986-08",1986-08-01,1986,"1986",0,13.1,17.4,21.7,12.4,0.69,10.49,83.0792346037258,0.534464230963173,0.508488059109357,0.173883390539804
"1986-09","1986-09",1986-09-01,1986,"1986",40.52,11.4,16,20.7,10.7,1.34,9.86,65.6498402437624,1.67620599597027,2.58701788477311,2.92901806843511
"1986-10","1986-10",1986-10-01,1986,"1987",0,11,16.2,21.5,9.9,1.23,13.15,63.0304351270726,-0.421438845209908,-0.589455797849779,-0.640240505685989
"1986-11","1986-11",1986-11-01,1986,"1987",21.28,8.7,15.3,21.9,6.4,1.68,16.7,51.8350587790995,-0.753240128875425,-0.141130585464788,-0.511685736632591
"1986-12","1986-12",1986-12-01,1986,"1987",11.29,6,12.5,19,5,0.91,12.34,38.3440674128416,-1.31282343265196,-0.923194249108935,-1.06961716810952
"1987-01","1987-01",1987-01-01,1987,"1987",35.81,4.2,10.5,16.7,2.6,1.04,10.65,30.3070755191009,-1.46775949311504,-0.314363820534815,-0.363005588613892
"1987-02","1987-02",1987-02-01,1987,"1987",62.07,6.6,12.4,18.1,3.8,1.7,12.54,37.2781774781386,-1.58047296979765,-0.137619935948667,-0.299893339345232
"1987-03","1987-03",1987-03-01,1987,"1987",113.03,7.2,12.5,17.8,5.6,1.41,10.33,45.5637728661721,-1.14223236705673,0.652866778321698,0.715306965650946
"1987-04","1987-04",1987-04-01,1987,"1987",0,9.3,14.6,19.8,7.6,1.3,12.39,60.3741650433158,-1.37480117008512,-1.22064034884735,-1.20600262701182
"1987-05","1987-05",1987-05-01,1987,"1987",1.66,11.7,15.6,19.5,9.7,1.61,8.75,73.3283799871934,-1.5133382048076,0.0328699238835191,-1.02319627156085
"1987-06","1987-06",1987-06-01,1987,"1987",0,12.1,15.8,19.6,11.2,0.92,8.28,74.4470392044776,-1.6916946938197,-0.139710298881862,0.0774317684819806
"1987-07","1987-07",1987-07-01,1987,"1987",0.01,12.1,16.4,20.7,11.7,1.07,9.39,80.263788263277,-1.72845112087048,0.814354182073441,0.876265932552888
"1987-08","1987-08",1987-08-01,1987,"1987",0,13,17.4,21.8,12.7,1.14,10.14,83.0792346037258,-1.64850112109324,0.508488059109357,0.173883390539804
"1987-09","1987-09",1987-09-01,1987,"1987",0,13.1,17.5,21.8,13.2,0.92,9.66,74.8397982675486,-1.67751021166638,-0.210428394247925,-0.2228078084014
"1987-10","1987-10",1987-10-01,1987,"1988",48.95,13.6,18,22.4,12.6,1.28,11.66,73.5272977815383,-0.925016509864795,1.09846969451158,1.03002669632015
"1987-11","1987-11",1987-11-01,1987,"1988",27.84,8.7,14.3,19.9,8.1,1.3,11.84,46.9575538945182,-1.04928233349148,0.0828135974338425,-0.0577168424097025
"1987-12","1987-12",1987-12-01,1987,"1988",84.22,4.8,10.4,15.9,4.1,1.1,8.84,29.3033316637761,-0.640590008022035,0.470256235234557,0.526137336379159
"1988-01","1988-01",1988-01-01,1988,"1988",66.07,4.7,10.9,17.1,5,0.89,10.41,32.0098115353027,-0.848378323882637,0.0650290186078893,0.101887038552076
"1988-02","1988-02",1988-02-01,1988,"1988",42.3,5.4,12.4,19.5,5.6,0.95,13.24,37.2781774781386,-1.36752649010045,-0.422947787110841,-0.613200790979134
"1988-03","1988-03",1988-03-01,1988,"1988",37.91,8.1,14.9,21.7,5.5,1.78,17.38,58.9029409105985,-1.73654000616933,-0.298678380932735,-0.662888297606871
"1988-04","1988-04",1988-04-01,1988,"1988",93.38,8.9,14,19.2,9.2,1.04,9.76,56.7814021239168,0.72894916260559,1.55818695093878,1.62750298935064
"1988-05","1988-05",1988-05-01,1988,"1988",0.11,9.9,14.6,19.3,8.7,1.62,11.02,66.5590736552262,0.788208937206627,-0.388117862230626,-0.456899492652896
"1988-06","1988-06",1988-06-01,1988,"1988",0.96,11.3,15.3,19.4,10.9,1.35,8.74,71.0279666242594,0.944123591106338,0.47446425492224,0.684203109655085
"1988-07","1988-07",1988-07-01,1988,"1988",0,14.5,17.8,21.2,14.8,1.02,6.05,90.475845677082,1.00984261172615,0.589455797849779,-0.671201958478511
"1988-08","1988-08",1988-08-01,1988,"1988",0,13.8,17.7,21.5,14.2,1.14,7.87,85.181746244995,-0.0136741243685099,0.508488059109357,-0.147398906453196
"1988-09","1988-09",1988-09-01,1988,"1988",0,12.3,16.5,20.8,12.9,1.3,9.55,68.670788373348,-0.145886260195346,-0.210428394247925,0.456125630738123
"1988-10","1988-10",1988-10-01,1988,"1989",0,12,15.9,19.8,12.1,1.45,8.4,61.3312475932416,-0.552891082096899,-0.589455797849779,-0.50215891860672
"1988-11","1988-11",1988-11-01,1988,"1989",28.24,8.3,13.6,18.8,7.5,1.59,10.58,43.6352690868185,-0.679547134947585,0.095338062535708,0.0762299222629114
"1988-12","1988-12",1988-12-01,1988,"1989",101.55,6.3,11.6,16.9,3.4,2.03,12.08,34.3757924587178,0.295567227208598,0.671526397666033,0.698747645870667
"1989-01","1989-01",1989-01-01,1989,"1989",12.89,4.2,10.1,16,2.3,1.41,11.31,28.6340521393621,-0.614663923801581,-0.81392447228587,-0.833435107728377
"1989-02","1989-02",1989-02-01,1989,"1989",67.23,5.2,10.2,15.3,3.8,1.1,8.99,28.0184460773036,-0.792548355015786,-0.0741374845690062,-0.0941918866029647
"1989-03","1989-03",1989-03-01,1989,"1989",21.06,8.5,13.5,18.4,7.2,1.2,10.52,50.9900959137991,-1.30920131539871,-0.685076572530491,-0.856598243167973
"1989-04","1989-04",1989-04-01,1989,"1989",5.25,11.2,15.7,20.2,8.1,2.34,13.98,67.138732743351,-1.64298884081684,-0.203885701127041,-1.35235569068689
"1989-05","1989-05",1989-05-01,1989,"1989",6.92,10.1,14.6,19,8.3,1.94,10.45,66.5590736552262,-1.87701200984672,0.460687993520559,0.109000051613515
"1989-06","1989-06",1989-06-01,1989,"1989",0,12.3,16.1,19.9,11.2,1.4,9.1,76.5227116987178,-2.10725952093748,-0.139710298881862,-0.310143808269268
"1989-07","1989-07",1989-07-01,1989,"1989",0,13.4,17.3,21.3,13.3,1.16,9.7,86.7844231269382,-2.16599113230801,0.589455797849779,-0.172150863392253
"1989-08","1989-08",1989-08-01,1989,"1989",0,13.4,16.9,20.4,12.5,1.64,8.57,79.6121977377701,-2.07177429924733,0.508488059109357,0.727807563647734
"1989-09","1989-09",1989-09-01,1989,"1989",3.31,12.2,16.5,20.8,13.3,0.58,8.88,68.670788373348,-1.90795863986998,0.683133666544001,0.779951247598797
"1989-10","1989-10",1989-10-01,1989,"1990",14.53,10.6,15.9,21.2,10,1.28,11.62,61.3312475932416,-1.88346706683244,0.351476943401874,0.34028886195349
"1989-11","1989-11",1989-11-01,1989,"1990",9.64,7.8,15,22.2,5.7,1.52,17.73,50.3558561999562,-2.27683278566778,-0.682216440425319,-0.965777727274135
"1989-12","1989-12",1989-12-01,1989,"1990",0,5.1,12.8,20.5,3,1.63,16.89,39.6969286965682,-2.83987538289428,-1.38299412710064,-1.37818852576334
"1990-01","1990-01",1990-01-01,1990,"1990",60.87,5.2,11.4,17.5,4.6,0.95,11.37,34.1791164054048,-2.71724354025916,0.00999932224644755,-0.00412025764167428
"1990-02","1990-02",1990-02-01,1990,"1990",56.38,5.2,10.9,16.6,2.6,1.37,11.67,30.8736992346747,-2.74150889168683,-0.212105567602524,-0.2892611676279
"1990-03","1990-03",1990-03-01,1990,"1990",2.09,8,12.5,16.9,8.1,0.9,8.48,45.5637728661721,-3.28416480776867,-1.61324982559804,-1.1724256080514
"1990-04","1990-04",1990-04-01,1990,"1990",7.88,10.1,14.4,18.6,10.5,0.72,8.24,59.168848137634,-3.66171164246448,-0.0489177235734769,-0.511846422599337
"1990-05","1990-05",1990-05-01,1990,"1990",20.08,10,14.4,18.8,9.9,1.04,9.08,65.2302805092571,-3.61461089742107,0.960172928342311,0.892099711070482
"1990-06","1990-06",1990-06-01,1990,"1990",0,12.3,17,21.6,11.9,0.95,12.77,82.8567094970908,-3.82564059514586,-0.139710298881862,-2.18749641123675
"1990-07","1990-07",1990-07-01,1990,"1990",0,14.4,18.4,22.3,14.2,1.27,10.34,94.9691458823352,-3.82635301502656,0.589455797849779,-1.16728758015577
"1990-08","1990-08",1990-08-01,1990,"1990",0,14.9,18.5,22.1,14.4,1.39,9.79,90.868853103156,-3.6360040814853,0.508488059109357,-0.906218636231341
"1990-09","1990-09",1990-09-01,1990,"1990",5.34,13.8,18.1,22.4,14,1.13,11.39,78.6207765472104,-3.27788613043801,0.896981774247322,-0.044104870508016
"1990-10","1990-10",1990-10-01,1990,"1991",0,11.3,16.6,21.8,10.4,2.44,12.88,65.3187064087823,-3.47729722869116,-0.589455797849779,-0.846072297887939
"1990-11","1990-11",1990-11-01,1990,"1991",3.98,8.3,14.4,20.5,4.6,3.71,15.24,47.4384181004865,-3.82090891738688,-1.10436463992178,-1.09602087490673
"1990-12","1990-12",1990-12-01,1990,"1991",0.69,4.2,10.4,16.7,-0.2,3.53,12.51,29.3033316637761,-4.1789999039372,-1.35882557503657,-1.10687794922734
"1991-01","1991-01",1991-01-01,1991,"1991",48.39,6.5,11.7,17,4.9,1.41,9.95,35.502086492309,-4.04368249422467,-0.136738036152609,-0.227654183016214
"1991-02","1991-02",1991-02-01,1991,"1991",37.72,7.8,12.9,18.1,7,1.58,10.12,39.4961390246353,-4.13599179938073,-0.502514647065519,-0.729798200143631
