PRISM Time Series Data
Location:  Lat: 33.6967   Lon: -118.0388   Elev: 4m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,9.04,8.7,14.9,21.0,3.3,2.74,16.01
1984-02,0.00,8.6,14.6,20.7,3.3,2.44,15.71
1984-03,3.29,10.9,16.3,21.7,6.5,2.38,15.36
1984-04,18.66,11.3,16.0,20.8,6.4,2.52,14.39
1984-05,0.00,14.4,18.9,23.5,10.7,2.70,14.98
1984-06,0.01,16.5,19.9,23.3,11.9,3.44,12.94
1984-07,0.00,19.0,23.2,27.3,14.6,3.54,18.48
1984-08,2.90,20.0,23.7,27.4,16.4,2.89,15.16
1984-09,1.67,20.5,24.9,29.4,16.4,3.73,21.47
1984-10,6.85,14.1,18.9,23.6,8.7,3.51,16.68
1984-11,42.51,9.7,14.7,19.7,6.7,2.02,11.90
1984-12,125.82,7.9,12.6,17.3,4.8,1.77,9.79
1985-01,25.28,7.5,12.8,18.0,3.2,2.21,11.99
1985-02,40.75,8.0,13.3,18.6,3.7,2.07,12.62
1985-03,17.27,8.2,12.9,17.6,5.5,1.53,9.84
1985-04,0.00,11.5,16.2,20.9,7.5,1.87,13.45
1985-05,2.59,13.1,16.6,20.1,9.8,1.80,9.78
1985-06,0.00,15.5,19.0,22.4,12.3,1.87,11.87
1985-07,0.00,18.4,22.5,26.7,14.2,2.88,19.51
1985-08,0.00,16.9,20.8,24.8,13.3,2.70,15.92
1985-09,4.02,16.4,20.6,24.8,12.8,2.51,15.85
1985-10,3.29,14.7,19.5,24.3,10.7,2.56,16.67
1985-11,91.20,10.3,14.8,19.2,7.6,1.40,10.62
1985-12,15.95,8.3,14.2,20.2,4.4,1.89,14.48
1986-01,28.78,10.5,15.9,21.2,6.4,2.00,14.66
1986-02,132.20,9.9,14.5,19.1,8.1,0.92,9.89
1986-03,73.37,11.1,15.3,19.5,9.3,0.99,9.66
1986-04,12.74,11.7,16.2,20.7,9.2,1.87,12.28
1986-05,0.00,13.4,17.4,21.3,11.1,2.32,11.44
1986-06,0.00,15.7,18.7,21.8,13.5,2.58,10.16
1986-07,3.43,16.6,20.4,24.2,14.2,2.62,12.58
1986-08,0.00,17.1,21.5,25.9,15.2,1.89,14.62
1986-09,33.63,15.0,18.8,22.6,13.1,1.89,11.25
1986-10,7.09,13.5,18.2,23.0,11.5,1.47,14.03
1986-11,22.23,11.6,17.5,23.4,7.7,2.45,17.95
1986-12,13.99,8.3,14.1,19.8,6.4,1.48,12.91
1987-01,53.27,6.8,12.4,18.0,4.0,1.75,11.79
1987-02,33.70,8.7,14.0,19.3,4.8,2.61,13.71
1987-03,21.52,9.7,14.4,19.2,7.0,2.32,12.02
1987-04,2.53,12.3,16.9,21.5,8.8,2.87,16.02
1987-05,0.10,14.2,17.4,20.5,11.0,2.24,9.51
1987-06,1.52,15.2,18.3,21.4,12.3,2.34,9.64
1987-07,1.67,15.6,18.9,22.1,12.6,2.65,10.52
1987-08,2.00,16.5,20.2,23.9,14.0,2.51,12.85
1987-09,0.03,16.4,20.8,25.3,14.5,2.41,14.56
1987-10,18.28,16.0,20.1,24.1,13.9,1.89,14.13
1987-11,38.17,11.0,16.1,21.2,8.9,1.83,13.54
1987-12,46.49,6.5,11.3,16.2,3.7,1.56,9.63
1988-01,39.87,7.2,12.8,18.4,3.5,2.08,13.49
1988-02,21.84,9.0,15.0,21.1,3.9,2.75,17.06
1988-03,9.02,10.3,16.0,21.7,6.0,2.69,17.44
1988-04,39.69,11.6,15.7,19.8,9.3,1.79,11.64
1988-05,0.00,13.0,16.8,20.6,10.1,2.27,11.52
1988-06,0.00,13.9,17.3,20.7,11.8,2.27,9.84
1988-07,0.00,18.1,21.1,24.1,16.2,2.33,9.87
1988-08,0.76,17.2,20.7,24.2,15.6,2.27,11.33
1988-09,1.14,16.0,19.9,23.8,14.4,2.40,13.99
1988-10,0.00,15.3,18.6,22.0,12.9,2.67,11.92
1988-11,18.02,10.5,15.1,19.7,9.2,1.90,11.53
1988-12,53.89,7.7,13.0,18.3,3.4,2.55,14.01
1989-01,12.71,6.1,12.0,17.9,2.0,2.21,13.88
1989-02,28.84,7.5,12.4,17.3,5.3,1.51,10.95
1989-03,17.78,10.3,14.9,19.5,8.7,1.14,10.68
1989-04,0.00,13.6,17.9,22.2,9.4,3.31,16.49
1989-05,0.00,13.4,16.9,20.5,10.5,2.45,10.59
1989-06,0.14,15.4,18.2,21.0,12.5,2.76,10.49
1989-07,0.00,17.2,21.3,25.4,15.3,2.23,13.47
1989-08,0.00,17.2,20.7,24.1,15.0,3.12,13.06
1989-09,9.34,15.8,20.5,25.1,14.3,2.13,16.13
1989-10,11.41,14.0,18.1,22.2,11.8,2.31,13.10
1989-11,4.86,12.0,18.0,24.0,5.7,3.30,20.83
1989-12,0.00,8.4,14.8,21.2,4.7,2.35,18.52
1990-01,39.55,7.8,13.4,19.1,5.0,1.72,13.38
1990-02,60.24,7.7,12.4,17.1,4.9,1.54,11.14
1990-03,2.56,10.2,14.7,19.3,7.7,1.70,12.11
1990-04,10.11,13.1,16.4,19.6,11.2,1.83,9.10
1990-05,21.01,13.7,17.1,20.4,10.7,2.60,10.91
1990-06,0.61,16.1,19.8,23.5,13.1,2.82,14.27
1990-07,0.00,18.8,21.8,24.9,15.9,3.04,13.05
1990-08,0.29,18.3,21.0,23.9,15.6,3.02,11.36
1990-09,0.00,17.4,21.5,25.6,15.7,2.36,14.93
1990-10,0.00,15.1,19.6,24.1,11.8,2.88,16.42
1990-11,7.56,11.0,17.0,23.0,6.0,3.23,19.10
1990-12,0.97,6.8,12.8,18.8,0.2,3.38,15.22
1991-01,33.74,8.5,13.3,18.2,5.6,1.80,11.71
1991-02,52.95,10.3,15.4,20.5,8.3,1.42,13.63
1991-03,160.11,8.9,13.1,17.3,6.0,1.73,10.04
1991-04,0.67,11.2,15.0,18.9,8.2,1.80,10.28
1991-05,0.00,12.3,15.4,18.5,9.3,2.25,8.83
1991-06,0.00,14.1,17.0,19.8,11.6,2.24,8.51
1991-07,2.00,16.3,18.8,21.3,13.8,2.42,8.33
1991-08,0.00,17.0,20.0,23.0,14.7,2.22,9.70
1991-09,1.27,16.5,19.6,22.7,14.9,1.79,9.34
1991-10,2.00,14.8,19.5,24.2,12.8,1.73,14.40
1991-11,0.71,10.7,16.6,22.5,5.4,2.46,16.38
1991-12,43.52,8.9,13.8,18.8,5.7,2.04,11.49
1992-01,39.51,7.7,13.7,19.7,5.4,1.81,12.12
1992-02,139.54,10.7,15.5,20.2,7.0,2.38,11.56
1992-03,117.57,11.3,15.0,18.7,9.5,1.90,8.30
1992-04,5.43,13.8,17.8,21.8,11.7,2.52,9.51
1992-05,0.00,16.2,18.6,20.9,13.5,2.49,8.05
1992-06,0.00,15.2,18.2,21.3,12.6,3.22,7.94
1992-07,4.78,18.4,21.3,24.2,15.9,4.25,12.30
1992-08,0.00,19.7,22.8,25.9,16.6,3.50,14.18
1992-09,0.00,17.3,21.3,25.3,15.2,2.43,15.58
1992-10,13.15,15.5,18.9,22.3,14.1,2.10,10.09
1992-11,0.00,11.1,16.8,22.4,4.5,3.39,18.16
1992-12,89.58,7.3,12.5,17.7,2.9,2.26,12.59
1993-01,253.18,9.1,13.3,17.4,7.3,1.24,9.29
1993-02,138.04,9.7,13.7,17.6,7.2,1.76,9.78
1993-03,46.00,11.4,15.9,20.3,9.2,1.70,12.06
1993-04,0.00,12.1,16.2,20.3,9.8,1.75,11.58
1993-05,0.00,14.4,17.6,20.8,11.7,2.25,10.50
1993-06,26.77,16.1,19.1,22.2,14.0,2.17,10.00
1993-07,0.00,17.8,20.2,22.5,14.0,3.44,10.49
1993-08,0.00,17.5,20.5,23.5,15.5,1.97,10.17
1993-09,0.00,16.2,19.8,23.3,14.6,1.72,11.19
1993-10,2.32,15.0,19.0,23.1,12.7,1.77,13.30
1993-11,19.89,11.2,16.4,21.7,6.7,2.28,16.07
1993-12,22.16,8.3,14.1,19.9,3.9,2.20,15.15
1994-01,12.98,8.5,14.3,20.2,5.2,1.70,14.79
1994-02,103.00,8.7,13.2,17.6,3.5,2.34,11.59
1994-03,45.36,11.2,15.8,20.4,8.7,1.71,12.44
1994-04,20.95,12.1,15.1,18.1,9.5,1.92,7.91
1994-05,5.15,13.8,16.0,18.3,11.0,1.97,6.80
1994-06,0.00,16.0,19.2,22.4,13.7,2.13,10.89
1994-07,0.00,17.4,19.9,22.4,14.8,2.78,9.08
1994-08,0.00,18.7,22.4,26.1,16.2,2.74,15.34
1994-09,0.00,17.0,20.9,24.8,14.5,2.49,14.25
1994-10,4.36,13.9,18.1,22.2,10.5,2.74,14.79
1994-11,17.99,8.0,13.4,18.8,3.5,2.31,13.99
1994-12,18.59,8.6,13.5,18.4,5.7,1.60,11.69
1995-01,311.09,9.6,12.9,16.2,9.0,0.79,5.91
1995-02,31.37,11.5,16.0,20.4,9.7,1.51,12.01
1995-03,150.01,11.3,15.2,19.1,8.5,1.72,10.13
1995-04,18.71,11.0,15.0,19.1,7.0,2.20,11.97
1995-05,6.80,12.8,15.2,17.6,10.1,2.15,6.35
1995-06,19.48,14.7,17.5,20.3,12.5,2.08,7.96
1995-07,1.10,16.6,20.0,23.4,14.4,2.35,10.73
1995-08,0.00,17.0,21.1,25.2,14.3,2.74,14.64
1995-09,0.00,17.4,21.3,25.1,15.2,2.52,14.31
1995-10,0.00,15.0,18.8,22.6,13.2,1.91,11.68
1995-11,0.01,12.0,16.6,21.2,10.8,1.39,10.93
1995-12,31.73,9.5,14.3,19.2,8.4,1.44,10.34
1996-01,35.12,9.0,14.0,19.0,6.8,1.63,12.27
1996-02,112.51,10.7,14.6,18.5,9.2,1.44,8.83
1996-03,51.88,10.5,15.0,19.5,8.3,1.78,11.29
1996-04,13.09,12.0,16.8,21.7,9.3,2.03,14.68
1996-05,0.00,14.7,18.1,21.6,12.5,2.21,11.74
1996-06,0.00,16.1,19.9,23.8,13.2,3.01,13.49
1996-07,0.00,17.3,20.8,24.2,14.4,3.61,13.67
1996-08,0.00,18.2,22.2,26.1,15.4,3.65,15.06
1996-09,0.00,17.4,20.9,24.4,15.0,3.01,12.76
1996-10,29.11,13.5,17.7,21.9,10.2,2.46,12.33
1996-11,75.44,11.2,16.2,21.3,7.4,2.43,15.02
1996-12,70.39,9.2,14.0,18.9,6.5,1.57,9.91
1997-01,122.59,9.5,13.7,17.8,7.6,1.57,8.72
1997-02,4.28,8.8,14.1,19.4,5.6,2.07,13.02
1997-03,0.00,10.6,16.2,21.7,8.4,1.88,14.89
1997-04,0.00,11.9,16.2,20.5,9.1,2.07,11.89
1997-05,0.00,16.4,19.8,23.2,14.1,2.48,11.85
1997-06,0.00,17.6,19.8,22.1,14.4,3.21,9.45
1997-07,0.00,17.3,21.0,24.6,15.0,2.70,13.02
1997-08,0.00,19.0,22.4,25.9,16.4,2.82,13.93
1997-09,13.71,19.5,24.0,28.6,16.9,2.97,19.17
1997-10,0.00,15.4,19.9,24.4,10.6,3.72,18.04
1997-11,50.47,12.5,17.4,22.2,12.0,1.12,13.19
1997-12,126.36,8.6,14.1,19.5,4.0,2.26,13.94
1998-01,58.81,9.2,13.8,18.3,9.6,0.52,7.50
