"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",9.04,8.7,14.9,21,3.3,2.74,16.01,42.3317560635852,-0.901448236391583,-0.794751162393522,-1.19959908241807
"1984-02","1984-02",1984-02-01,1984,"1984",0,8.6,14.6,20.7,3.3,2.44,15.71,39.3888221766954,-1.68147778966346,-1.91450582505556,-1.42304217098047
"1984-03","1984-03",1984-03-01,1984,"1984",3.29,10.9,16.3,21.7,6.5,2.38,15.36,57.796071809476,-2.151722488449,-1.17828478662595,-1.37359090499616
"1984-04","1984-04",1984-04-01,1984,"1984",18.66,11.3,16,20.8,6.4,2.52,14.39,59.0582092900122,-2.10274424306192,0.67928627720953,0.539103571556422
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.4,18.9,23.5,10.7,2.7,14.98,87.3714952998831,-2.34530169403173,-0.355490417839531,-1.43594863386271
"1984-06","1984-06",1984-06-01,1984,"1984",0.01,16.5,19.9,23.3,11.9,3.44,12.94,95.3657484386112,-2.47052889905316,0.424676168655065,-1.24186216608691
"1984-07","1984-07",1984-07-01,1984,"1984",0,19,23.2,27.3,14.6,3.54,18.48,127.660746297597,-2.47610365163385,0.355490417839531,-1.6932517666184
"1984-08","1984-08",1984-08-01,1984,"1984",2.9,20,23.7,27.4,16.4,2.89,15.16,125.834732208282,0.136077933038805,2.16713121048288,-1.57166911280393
"1984-09","1984-09",1984-09-01,1984,"1984",1.67,20.5,24.9,29.4,16.4,3.73,21.47,122.653448875939,-0.120089844782916,0.636110569526063,-2.64223437822027
"1984-10","1984-10",1984-10-01,1984,"1985",6.85,14.1,18.9,23.6,8.7,3.51,16.68,71.070447708995,-0.219562842885912,0.294199316751761,0.180243165957016
"1984-11","1984-11",1984-11-01,1984,"1985",42.51,9.7,14.7,19.7,6.7,2.02,11.9,40.7698757153497,0.298297382136808,1.01674778581257,1.28161904543469
"1984-12","1984-12",1984-12-01,1984,"1985",125.82,7.9,12.6,17.3,4.8,1.77,9.79,30.87055860651,1.03056809932487,1.59044327408001,1.70969301584763
"1985-01","1985-01",1985-01-01,1985,"1985",25.28,7.5,12.8,18,3.2,2.21,11.99,32.3721352952955,-0.665283662193825,-0.247829890369662,-0.214570218473429
"1985-02","1985-02",1985-02-01,1985,"1985",40.75,8,13.3,18.6,3.7,2.07,12.62,33.4087047919738,-1.09723834795813,-0.158482341331698,-0.205450711841317
"1985-03","1985-03",1985-03-01,1985,"1985",17.27,8.2,12.9,17.6,5.5,1.53,9.84,38.2389550584762,-1.14229715793747,-0.278556381690974,0.0447395600904349
"1985-04","1985-04",1985-04-01,1985,"1985",0,11.5,16.2,20.9,7.5,1.87,13.45,60.3679364081613,-1.02123316327597,-1.22064034884735,-0.863971421696345
"1985-05","1985-05",1985-05-01,1985,"1985",2.59,13.1,16.6,20.1,9.8,1.8,9.78,69.4809119777389,-0.92848750511679,0.18151128020148,0.229311475432442
"1985-06","1985-06",1985-06-01,1985,"1985",0,15.5,19,22.4,12.3,1.87,11.87,87.8825396493935,-0.890872832481939,0.139710298881862,-0.139137695353483
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.4,22.5,26.7,14.2,2.88,19.51,120.938282814108,-0.935967779527301,0.355490417839531,-1.2687817712546
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.9,20.8,24.8,13.3,2.7,15.92,99.9335465997402,-0.892653601852154,0.967421566101701,0.673050745973345
"1985-09","1985-09",1985-09-01,1985,"1985",4.02,16.4,20.6,24.8,12.8,2.51,15.85,87.7617340108031,-0.795596658260878,0.862366718350932,0.518270179018395
"1985-10","1985-10",1985-10-01,1985,"1986",3.29,14.7,19.5,24.3,10.7,2.56,16.67,75.1025490776326,-0.962057449781152,0.0372356444923231,-0.388321148319571
"1985-11","1985-11",1985-11-01,1985,"1986",91.2,10.3,14.8,19.2,7.6,1.4,10.62,41.2608629376355,0.915666515672791,2.03319801092756,2.1364915070214
"1985-12","1985-12",1985-12-01,1985,"1986",15.95,8.3,14.2,20.2,4.4,1.89,14.48,38.1255579843077,-0.258272843507009,-0.564209881537946,-0.782965937785524
"1986-01","1986-01",1986-01-01,1986,"1986",28.78,10.5,15.9,21.2,6.4,2,14.66,47.4764725907673,-0.686034834511494,-0.166186815978463,-0.582930086668109
"1986-02","1986-02",1986-02-01,1986,"1986",132.2,9.9,14.5,19.1,8.1,0.92,9.89,38.9137076699892,0.411581776594775,0.998419461810092,1.06563920867394
"1986-03","1986-03",1986-03-01,1986,"1986",73.37,11.1,15.3,19.5,9.3,0.99,9.66,51.6830438743234,0.780863322467907,1.02424614644367,1.06349597738925
"1986-04","1986-04",1986-04-01,1986,"1986",12.74,11.7,16.2,20.7,9.2,1.87,12.28,60.3679364081613,0.999593406777548,0.348586086795471,0.108988402890607
"1986-05","1986-05",1986-05-01,1986,"1986",0,13.4,17.4,21.3,11.1,2.32,11.44,75.502033521782,1.18675414964111,-0.355490417839531,-0.448572706418686
"1986-06","1986-06",1986-06-01,1986,"1986",0,15.7,18.7,21.8,13.5,2.58,10.16,85.4472379149762,1.19245478833671,0.139710298881862,0.170735238740406
"1986-07","1986-07",1986-07-01,1986,"1986",3.43,16.6,20.4,24.2,14.2,2.62,12.58,101.725242405731,1.22741531132047,1.22102244231854,0.695017252105788
"1986-08","1986-08",1986-08-01,1986,"1986",0,17.1,21.5,25.9,15.2,1.89,14.62,105.948200979793,1.17551394425645,0.967421566101701,-0.00511180913539064
"1986-09","1986-09",1986-09-01,1986,"1986",33.63,15,18.8,22.6,13.1,1.89,11.25,74.6775403992237,1.98244935618197,2.08806491242846,2.92129432132171
"1986-10","1986-10",1986-10-01,1986,"1987",7.09,13.5,18.2,23,11.5,1.47,14.03,66.4887774513834,-0.0797809175024202,0.308882480419871,0.466743041550594
"1986-11","1986-11",1986-11-01,1986,"1987",22.23,11.6,17.5,23.4,7.7,2.45,17.95,55.4676959391209,-0.133675375972284,0.36575123949542,-0.0462679744061502
"1986-12","1986-12",1986-12-01,1986,"1987",13.99,8.3,14.1,19.8,6.4,1.48,12.91,37.6527619604204,-0.591498436340181,-0.645650048908286,-0.835409025000007
"1987-01","1987-01",1987-01-01,1987,"1987",53.27,6.8,12.4,18,4,1.75,11.79,30.6073161968576,-0.517219621281838,0.270574365330538,0.44530893647323
"1987-02","1987-02",1987-02-01,1987,"1987",33.7,8.7,14,19.3,4.8,2.61,13.71,36.5757522874472,-0.797024388461478,-0.305265328368813,-0.432684624059356
"1987-03","1987-03",1987-03-01,1987,"1987",21.52,9.7,14.4,19.2,7,2.32,12.02,46.4364319194328,-0.98504977338499,-0.11913570844174,-0.0882608972339955
"1987-04","1987-04",1987-04-01,1987,"1987",2.53,12.3,16.9,21.5,8.8,2.87,16.02,65.0497133414789,-1.56792467854009,-0.59680765818115,-1.0536295637705
"1987-05","1987-05",1987-05-01,1987,"1987",0.1,14.2,17.4,20.5,11,2.24,9.51,75.502033521782,-1.9978687668863,-0.282109063389961,-0.440332178439829
"1987-06","1987-06",1987-06-01,1987,"1987",1.52,15.2,18.3,21.4,12.3,2.34,9.64,82.2464401502086,-2.0958177669423,1.01401689545249,0.68534261624241
"1987-07","1987-07",1987-07-01,1987,"1987",1.67,15.6,18.9,22.1,12.6,2.65,10.52,88.8920781020119,-1.99945410705783,1.00947113108907,1.66719453979601
"1987-08","1987-08",1987-08-01,1987,"1987",2,16.5,20.2,23.9,14,2.51,12.85,94.8998814587006,-1.70951031287068,1.86936848813744,1.42656056105051
"1987-09","1987-09",1987-09-01,1987,"1987",0.03,16.4,20.8,25.3,14.5,2.41,14.56,89.2718042757541,-1.7351999364801,0.274349153476517,0.00757074386374925
"1987-10","1987-10",1987-10-01,1987,"1988",18.28,16,20.1,24.1,13.9,1.89,14.13,79.2307852555595,-1.42128101583462,0.830325449706122,0.379962073402328
