PRISM Time Series Data
Location:  Lat: 33.1729   Lon: -117.3500   Elev: 30m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,5.42,7.8,14.0,20.3,3.0,2.35,15.00
1984-02,2.21,6.8,13.3,19.8,2.6,1.99,14.63
1984-03,0.25,8.8,14.4,20.0,6.4,1.30,12.59
1984-04,18.43,10.7,15.2,19.6,6.9,1.96,11.79
1984-05,0.00,13.2,17.5,21.8,11.0,1.71,10.62
1984-06,1.44,15.8,19.1,22.3,11.9,2.75,10.69
1984-07,0.08,19.4,23.0,26.5,15.6,3.05,14.64
1984-08,0.71,19.4,22.8,26.3,16.2,2.71,12.47
1984-09,1.49,19.6,23.8,28.0,16.4,2.83,17.42
1984-10,7.77,12.9,17.9,22.8,8.9,2.64,14.87
1984-11,36.58,8.8,13.9,19.0,6.2,1.79,10.78
1984-12,113.40,7.2,12.0,16.8,4.4,1.57,9.40
1985-01,16.50,6.0,11.6,17.3,2.8,1.67,11.15
1985-02,27.26,7.3,12.3,17.2,3.0,2.02,10.95
1985-03,12.98,6.5,11.5,16.5,4.9,1.45,8.31
1985-04,5.44,10.5,14.7,18.8,7.4,1.46,9.89
1985-05,0.00,12.8,15.5,18.3,9.0,2.28,7.45
1985-06,0.02,14.3,17.5,20.7,11.4,1.74,8.36
1985-07,0.00,18.2,21.5,24.8,14.3,3.05,13.34
1985-08,0.00,16.6,20.0,23.4,13.3,2.64,11.88
1985-09,4.23,14.9,19.0,23.2,12.1,2.12,12.69
1985-10,6.33,13.3,18.2,23.1,10.2,2.09,14.50
1985-11,94.99,8.8,13.6,18.4,6.1,1.35,10.61
1985-12,35.55,6.9,12.9,18.8,3.7,1.50,13.27
