"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",5.42,7.8,14,20.3,3,2.35,15,41.8303066456288,-0.782238097437405,-1.15194774248063,-1.50154268415896
"1984-02","1984-02",1984-02-01,1984,"1984",2.21,6.8,13.3,19.8,2.6,1.99,14.63,37.0729781120157,-1.50281325282291,-2.08817719558331,-1.47223485886098
"1984-03","1984-03",1984-03-01,1984,"1984",0.25,8.8,14.4,20,6.4,1.3,12.59,50.838998946618,-2.03979843256954,-1.82542238336734,-1.74166196035667
"1984-04","1984-04",1984-04-01,1984,"1984",18.43,10.7,15.2,19.6,6.9,1.96,11.79,58.4941354786521,-2.1130876047668,0.28499652716417,0.0569018887997874
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.2,17.5,21.8,11,1.71,10.62,80.9156748142188,-2.36011079212911,-0.589455797849779,-1.20629125716755
"1984-06","1984-06",1984-06-01,1984,"1984",1.44,15.8,19.1,22.3,11.9,2.75,10.69,92.8552950017512,-2.46327934580292,0.723650067177538,-1.39834959638853
"1984-07","1984-07",1984-07-01,1984,"1984",0.08,19.4,23,26.5,15.6,3.05,14.64,128.104671079976,-2.5018983011724,0.574491435694645,-2.07260642090119
"1984-08","1984-08",1984-08-01,1984,"1984",0.71,19.4,22.8,26.3,16.2,2.71,12.47,120.013083496347,-2.38349219823945,0.610985325275296,-1.94146769103555
"1984-09","1984-09",1984-09-01,1984,"1984",1.49,19.6,23.8,28,16.4,2.83,17.42,115.098480452744,-2.37726082196262,0.471620096141132,-2.52229061932971
"1984-10","1984-10",1984-10-01,1984,"1985",7.77,12.9,17.9,22.8,8.9,2.64,14.87,68.5461695411515,-2.40242013653077,0.284383103191004,0.0196712202616372
"1984-11","1984-11",1984-11-01,1984,"1985",36.58,8.8,13.9,19,6.2,1.79,10.78,40.7648021851369,-1.95532031961099,0.792145538805966,0.987710422622376
"1984-12","1984-12",1984-12-01,1984,"1985",113.4,7.2,12,16.8,4.4,1.57,9.4,31.9711354866477,-0.872446982936598,1.35406244327359,1.47687670913794
"1985-01","1985-01",1985-01-01,1985,"1985",16.5,6,11.6,17.3,2.8,1.67,11.15,30.8500374191168,-1.34845531636577,-0.54601705929991,-0.575478409703768
"1985-02","1985-02",1985-02-01,1985,"1985",27.26,7.3,12.3,17.2,3,2.02,10.95,32.6657958476431,-1.69754900454303,-0.486091128787414,-0.580298808291082
"1985-03","1985-03",1985-03-01,1985,"1985",12.98,6.5,11.5,16.5,4.9,1.45,8.31,35.3235309867928,-1.82056146256152,-0.478414238935704,-0.0957909857342807
"1985-04","1985-04",1985-04-01,1985,"1985",5.44,10.5,14.7,18.8,7.4,1.46,9.89,55.4105254776473,-1.9372110272308,-0.589061874749494,-0.522352162132541
"1985-05","1985-05",1985-05-01,1985,"1985",0,12.8,15.5,18.3,9,2.28,7.45,66.4804003823277,-1.9950803908141,-0.589455797849779,-0.0427116587360403
"1985-06","1985-06",1985-06-01,1985,"1985",0.02,14.3,17.5,20.7,11.4,1.74,8.36,80.5910623924068,-2.00081142930569,0.144086974478217,0.233821218064806
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.2,21.5,24.8,14.3,3.05,13.34,114.852730453198,-1.99292482340794,-0.0696849203184557,-1.33282934231863
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.6,20,23.4,13.3,2.64,11.88,97.0714671620863,-1.93318731999526,0.282216147062508,0.371073390126389
"1985-09","1985-09",1985-09-01,1985,"1985",4.23,14.9,19,23.2,12.1,2.12,12.69,79.9244662300851,-1.77688867484914,0.807625615103005,0.654777135787089
"1985-10","1985-10",1985-10-01,1985,"1986",6.33,13.3,18.2,23.1,10.2,2.09,14.5,70.4158995114057,-1.88025190584963,0.204469641110856,-0.237934947273164
"1985-11","1985-11",1985-11-01,1985,"1986",94.99,8.8,13.6,18.4,6.1,1.35,10.61,39.349800094055,0.753058044072951,2.04024890000193,2.13820942933796
"1985-12","1985-12",1985-12-01,1985,"1986",35.55,6.9,12.9,18.8,3.7,1.5,13.27,35.9428744304894,-0.296140260004501,-0.0699849463743516,-0.323019819724328
"1986-01","1986-01",1986-01-01,1986,"1986",18.47,9,14.4,19.7,5.3,1.77,13.37,43.7824805219844,-0.833592554746685,-0.475314104821957,-0.989171919732989
"1986-02","1986-02",1986-02-01,1986,"1986",86.13,8.2,13,17.8,7.2,0.73,8.7,35.7284811565992,0.140242479587625,0.679965665874716,0.67142900229315
"1986-03","1986-03",1986-03-01,1986,"1986",79.89,9.8,13.8,17.8,8.3,0.94,7.69,47.4536631503336,0.541952672882292,1.24153629704552,1.31972332736256
"1986-04","1986-04",1986-04-01,1986,"1986",20.95,9.8,14.6,19.4,8.2,1.64,10.87,54.8014889198953,0.706865916251716,0.401428939699052,0.360569813498745
"1986-05","1986-05",1986-05-01,1986,"1986",0,11.9,15.7,19.5,10.4,2.06,7.85,67.8748576154811,0.904359238157796,-0.589455797849779,-0.164264511996363
"1986-06","1986-06",1986-06-01,1986,"1986",0,15.1,17.9,20.7,12.9,2.83,6.8,83.5946964398503,0.994661783240722,0,-0.212302897743008
"1986-07","1986-07",1986-07-01,1986,"1986",0.33,15.5,18.8,22.1,13.8,2.66,7.44,92.4223006213141,0.984566971736364,0.772633844294628,1.03419190342611
"1986-08","1986-08",1986-08-01,1986,"1986",0,16.3,19.6,22.8,14.4,2.67,7.87,93.9475306946472,0.945416360765482,0.282216147062508,0.766564045592586
"1986-09","1986-09",1986-09-01,1986,"1986",23.48,13.2,17,20.9,11.9,2.31,7.44,66.7525157881914,1.37922729476482,1.78621404083807,3.2707291850911
"1986-10","1986-10",1986-10-01,1986,"1987",11.89,11.1,16.2,21.3,10.3,1.85,10.19,58.3193687209653,-0.0304721442302837,0.470326639940277,0.761387050485228
"1986-11","1986-11",1986-11-01,1986,"1987",26.7,9,16.1,23.1,5.6,1.84,17.97,51.7135668657354,-0.0409776687144691,0.469704423257472,0.145126553284713
"1986-12","1986-12",1986-12-01,1986,"1987",40.3,4.1,12.1,20.2,4,1.25,14.6,32.4036287467117,-0.15489478540382,0.0569377969972004,-0.0745156775232991
"1987-01","1987-01",1987-01-01,1987,"1987",47.26,5.3,11.3,17.3,2.1,1.44,11.72,29.5685890588468,-0.178105574207918,0.207585210903646,0.294770025528258
"1987-02","1987-02",1987-02-01,1987,"1987",39.24,5.9,12.2,18.6,4.8,1.34,11.93,32.2368748087139,-0.36456601609221,-0.161017195449847,-0.249529082698918
"1987-03","1987-03",1987-03-01,1987,"1987",25.64,7.6,12.8,17.9,7.5,1.12,9.02,42.0120451694112,-0.447469826257674,0.0437775761597765,0.141753273425515
"1987-04","1987-04",1987-04-01,1987,"1987",10.7,10.3,15.3,20.2,8.3,1.78,11.58,59.1184973677148,-0.777017040708907,-0.152804137897869,-0.423659881582115
"1987-05","1987-05",1987-05-01,1987,"1987",0.3,13.6,16.5,19.4,11.4,1.97,5.79,73.5625799091303,-1.20731118408414,-0.375704124349751,-0.620621722568537
"1987-06","1987-06",1987-06-01,1987,"1987",0,14.6,17.3,20.1,12.3,2.19,5.91,79.1050510595885,-1.446947380469,0,0.437528403228022
"1987-07","1987-07",1987-07-01,1987,"1987",1.38,14.9,17.9,20.9,12.5,2.57,7.32,85.3652785415013,-1.42316593275304,1.06727104859414,2.04544876958873
"1987-08","1987-08",1987-08-01,1987,"1987",3.6,15.5,18.9,22.4,13.7,2.6,8.57,88.5752155363342,0.0843264005319593,1.31114126830415,1.78947384684282
"1987-09","1987-09",1987-09-01,1987,"1987",0.2,15.5,19.3,23,13.4,2.9,11.06,81.9777340729366,0.0173421722020099,0.0868588800462492,-0.00923682540644747
"1987-10","1987-10",1987-10-01,1987,"1988",51.93,15.3,19.1,22.8,12.5,2.09,11.2,76.13969623735,0.456511677895891,1.41003904745904,1.36129872329777
"1987-11","1987-11",1987-11-01,1987,"1988",34.72,9.3,15.8,22.4,7.5,2.2,16.05,50.1623725204384,0.531878620365413,0.736130832443911,0.583187804054465
"1987-12","1987-12",1987-12-01,1987,"1988",73.66,4.2,10.3,16.5,3.9,1,9.84,24.9653529044555,0.743197736429909,0.752815256328624,0.923615180242601
"1988-01","1988-01",1988-01-01,1988,"1988",32.67,4.8,11.5,18.2,4,1.22,13.03,30.4205794653997,-0.251657867954976,-0.0831248233997692,-0.072230802355627
"1988-02","1988-02",1988-02-01,1988,"1988",28.58,6.1,13.1,20.2,4.4,1.49,15.45,36.1745356674887,-0.648446090666506,-0.445800715361377,-0.641569973590256
"1988-03","1988-03",1988-03-01,1988,"1988",8.17,7.6,13.9,20.3,6.3,1.4,15,48.0116804823612,-1.05205362023964,-0.772475949162481,-0.99064313110449
"1988-04","1988-04",1988-04-01,1988,"1988",85.62,9.4,14.4,19.4,9.1,0.95,10.92,53.5911544094793,0.548234246489235,2.13725772374868,1.9831799451998
"1988-05","1988-05",1988-05-01,1988,"1988",0.62,12.1,15.7,19.3,10.6,1.5,8.45,67.8748576154811,0.658690521998702,-0.267466578111549,-0.110317210616
