PRISM Time Series Data
Location:  Lat: 34.4010   Lon: -119.5358   Elev: 69m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,2.67,8.5,14.4,20.4,2.5,2.80,15.57
1984-02,0.96,6.7,13.4,20.0,1.6,2.29,15.36
1984-03,13.77,8.9,15.4,21.9,4.6,2.07,16.84
1984-04,2.81,9.2,15.3,21.3,4.4,2.50,16.27
1984-05,0.00,11.8,17.8,23.9,7.9,2.69,17.44
1984-06,0.00,13.2,17.5,21.8,10.1,2.05,12.14
1984-07,0.52,15.8,20.3,24.7,13.0,1.92,14.31
1984-08,8.44,17.1,21.2,25.3,13.6,2.71,14.22
1984-09,16.89,17.9,23.4,28.9,13.8,3.68,22.28
1984-10,7.39,12.0,17.5,23.1,5.8,3.74,17.60
1984-11,65.69,8.6,13.8,19.0,5.0,2.20,11.90
1984-12,134.76,7.0,11.6,16.2,2.6,2.33,9.71
1985-01,25.30,6.9,12.0,17.2,1.6,2.64,11.64
1985-02,51.00,6.9,12.6,18.3,1.6,2.38,13.48
1985-03,40.01,7.0,12.4,17.9,3.3,1.86,11.59
1985-04,0.71,9.9,14.9,19.8,5.6,2.12,13.20
1985-05,0.00,9.9,14.9,20.0,6.2,2.05,12.11
1985-06,0.00,12.6,17.7,22.7,9.6,1.72,13.43
1985-07,0.00,15.5,20.9,26.3,11.4,2.76,19.87
1985-08,0.00,13.8,19.3,24.8,10.8,2.31,16.96
1985-09,3.66,13.5,18.9,24.3,9.8,2.78,17.12
1985-10,11.33,11.8,17.6,23.3,7.6,2.74,17.08
1985-11,109.14,8.4,13.6,18.8,4.9,1.69,12.02
1985-12,32.23,7.1,13.5,20.0,2.4,2.28,15.40
1986-01,58.17,9.6,15.2,20.9,5.3,2.06,14.71
1986-02,228.69,9.7,14.1,18.4,6.0,1.38,10.36
1986-03,155.80,9.9,14.7,19.5,7.2,1.23,11.14
1986-04,33.10,9.9,14.8,19.7,7.2,1.80,12.39
1986-05,0.00,10.3,15.6,20.9,8.5,1.61,12.30
1986-06,0.00,12.5,17.5,22.4,11.3,1.43,12.19
1986-07,0.00,13.3,18.4,23.4,11.5,1.88,13.68
1986-08,0.00,13.8,19.1,24.4,11.8,1.79,15.19
1986-09,38.40,12.7,17.6,22.4,10.5,1.87,13.27
1986-10,0.33,12.3,17.7,23.2,9.8,1.78,15.53
1986-11,30.97,10.8,16.9,22.9,6.3,2.82,18.04
1986-12,6.21,8.0,14.0,19.9,4.4,1.89,14.18
1987-01,49.53,6.3,11.9,17.6,2.3,2.06,12.02
1987-02,58.47,8.0,13.3,18.7,3.5,2.53,13.56
1987-03,89.37,7.8,13.3,18.9,5.2,1.74,12.60
1987-04,0.10,10.4,16.3,22.1,7.1,2.11,16.44
1987-05,1.90,12.6,16.8,21.0,9.5,2.18,11.72
1987-06,0.59,13.0,17.2,21.5,10.9,1.71,10.84
1987-07,0.74,12.9,17.9,23.0,11.3,1.62,12.74
1987-08,0.00,13.7,19.1,24.5,11.6,2.28,15.62
1987-09,0.00,13.4,19.0,24.6,12.1,1.77,14.74
1987-10,41.14,14.9,19.2,23.6,12.1,2.15,14.10
1987-11,31.96,10.2,15.3,20.3,7.7,2.13,12.73
1987-12,93.42,6.0,11.1,16.1,4.0,1.50,9.25
1988-01,71.28,6.4,12.2,18.0,4.4,1.68,11.94
1988-02,34.94,7.3,14.1,21.0,3.2,2.42,17.11
1988-03,39.21,9.3,16.0,22.7,4.8,2.58,19.07
1988-04,98.96,9.6,15.0,20.4,8.3,1.49,12.78
1988-05,0.64,10.4,15.9,21.3,8.0,1.99,13.95
1988-06,0.80,11.5,16.4,21.3,10.6,1.59,11.21
1988-07,0.00,15.2,19.7,24.1,14.8,1.43,10.67
1988-08,0.00,14.5,19.2,23.8,13.5,1.80,11.41
1988-09,0.72,13.3,18.3,23.4,12.4,2.15,13.81
1988-10,0.01,13.1,17.5,22.0,11.8,2.05,11.90
1988-11,26.08,9.5,14.7,19.8,7.4,2.01,12.20
1988-12,99.15,7.5,12.7,18.0,3.0,2.70,13.79
1989-01,11.58,5.7,11.7,17.8,1.4,2.24,14.08
1989-02,82.15,6.1,11.3,16.5,3.6,1.39,10.62
1989-03,23.65,9.2,14.6,20.1,6.7,1.59,13.23
1989-04,6.80,11.8,17.2,22.5,8.1,2.72,17.38
1989-05,5.39,10.4,16.0,21.5,8.5,1.96,13.51
1989-06,0.00,12.5,17.5,22.4,10.9,1.67,12.80
1989-07,0.00,14.2,19.5,24.9,12.3,1.86,15.55
1989-08,0.00,14.0,18.7,23.3,12.5,2.15,13.07
1989-09,4.17,13.0,18.5,24.0,12.6,1.46,16.16
1989-10,14.15,12.1,17.5,22.8,9.7,2.54,15.71
1989-11,11.37,9.9,16.6,23.4,4.6,3.88,20.89
1989-12,0.00,7.5,14.5,21.5,2.5,3.41,18.73
1990-01,73.60,6.6,12.8,19.0,3.9,1.76,13.90
1990-02,64.29,5.8,11.5,17.2,2.3,1.65,12.76
1990-03,0.63,8.5,13.5,18.5,7.1,1.25,11.33
1990-04,3.99,10.7,15.6,20.6,10.2,1.02,11.45
1990-05,18.78,10.4,15.7,20.9,9.3,1.50,12.71
1990-06,0.00,12.8,18.2,23.7,10.6,2.11,16.92
1990-07,0.00,14.9,20.5,26.0,13.7,2.24,16.93
1990-08,0.00,15.0,20.0,24.9,12.8,2.59,15.36
1990-09,2.07,14.3,19.8,25.3,12.4,2.56,17.14
1990-10,0.50,12.2,18.1,24.0,9.1,2.98,17.88
1990-11,4.00,9.7,15.7,21.7,3.8,4.01,17.60
1990-12,1.13,5.8,11.7,17.6,-1.3,3.87,14.29
1991-01,47.41,7.2,12.7,18.3,3.8,1.93,11.59
1991-02,27.02,8.4,14.2,19.9,5.8,1.75,13.49
1991-03,423.14,6.9,11.4,15.9,4.4,1.67,8.91
1991-04,0.40,8.7,14.3,19.9,6.1,2.30,12.60
1991-05,0.00,8.8,14.2,19.5,7.4,1.56,11.12
1991-06,13.78,11.3,15.5,19.6,10.0,1.30,8.73
1991-07,0.37,14.2,18.2,22.1,12.9,1.31,9.51
1991-08,8.10,14.4,18.8,23.3,13.2,1.48,10.98
1991-09,0.83,14.1,18.4,22.8,12.7,1.54,12.04
1991-10,10.37,12.8,17.9,23.0,10.9,1.89,15.24
1991-11,3.70,8.8,15.7,22.5,4.0,2.59,18.71
1991-12,102.44,7.5,13.2,18.9,3.7,2.10,12.86
1992-01,72.28,6.7,12.9,19.1,3.1,2.35,13.59
1992-02,241.96,9.9,14.7,19.6,6.1,2.11,12.46
1992-03,109.49,10.0,14.1,18.1,7.9,1.78,8.90
