PRISM Time Series Data
Location:  Lat: 33.2510   Lon: -117.4312   Elev: 23m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.61,8.1,14.4,20.6,2.7,2.66,15.65
1984-02,2.52,7.0,13.6,20.1,2.5,2.10,15.18
1984-03,0.09,8.9,14.6,20.3,6.1,1.52,13.13
1984-04,18.19,10.9,15.4,19.8,6.6,2.22,12.31
1984-05,0.00,13.3,17.6,22.0,10.8,1.89,11.19
1984-06,1.38,16.0,19.2,22.4,11.7,3.01,10.97
1984-07,0.06,19.4,23.0,26.5,15.1,3.51,15.31
1984-08,0.02,19.4,22.9,26.4,16.1,2.77,12.98
1984-09,2.64,19.6,23.9,28.1,16.0,3.19,18.19
1984-10,6.81,13.1,18.0,23.0,8.3,3.08,15.65
1984-11,36.66,9.1,14.1,19.2,6.1,1.96,11.25
1984-12,111.64,7.6,12.3,17.1,4.2,1.84,9.85
1985-01,18.96,6.3,12.0,17.6,2.7,1.85,11.66
1985-02,26.13,7.8,12.7,17.6,2.9,2.24,11.43
1985-03,12.78,6.3,11.5,16.7,4.6,1.55,8.82
1985-04,3.85,10.6,14.9,19.2,7.2,1.57,10.49
1985-05,0.00,12.8,15.5,18.3,9.0,2.21,7.49
1985-06,0.00,14.2,17.4,20.6,11.4,1.67,8.22
1985-07,0.00,18.3,21.5,24.7,14.0,3.25,13.64
1985-08,0.00,16.6,20.1,23.5,13.1,2.72,12.33
1985-09,4.55,14.9,19.0,23.2,11.8,2.20,13.06
1985-10,5.04,13.4,18.3,23.3,9.8,2.33,15.24
1985-11,97.59,9.1,13.9,18.7,6.3,1.44,10.82
1985-12,29.85,7.2,13.3,19.5,3.7,1.66,14.10
1986-01,20.14,9.3,14.8,20.3,5.3,1.91,14.08
1986-02,82.49,8.3,13.2,18.2,7.2,0.74,9.20
1986-03,79.59,9.9,14.0,18.0,8.4,0.94,7.94
1986-04,18.45,9.8,14.7,19.5,8.1,1.67,11.07
1986-05,0.00,12.0,15.8,19.6,10.3,2.47,8.18
1986-06,0.00,15.3,18.0,20.7,12.8,2.97,6.92
1986-07,0.47,15.6,18.8,22.0,13.6,2.69,7.72
1986-08,0.00,16.3,19.6,22.9,14.3,2.67,8.41
1986-09,27.63,13.2,17.1,20.9,11.6,2.33,7.89
1986-10,2.56,11.3,16.4,21.5,9.8,1.91,10.83
1986-11,27.78,9.2,16.3,23.4,5.4,2.01,18.41
1986-12,35.14,4.1,12.3,20.5,3.7,1.29,15.14
1987-01,48.41,5.5,11.6,17.7,1.9,1.63,12.17
1987-02,40.17,6.1,12.4,18.7,4.6,1.51,12.34
1987-03,25.12,7.8,12.9,18.1,7.5,1.18,9.39
1987-04,10.62,10.4,15.5,20.5,8.0,2.03,12.57
1987-05,0.03,13.7,16.5,19.4,10.8,2.40,6.68
1987-06,0.00,14.7,17.3,20.0,11.8,2.72,6.64
1987-07,0.29,14.9,17.9,20.9,12.0,2.97,8.05
1987-08,0.61,15.4,18.9,22.5,13.3,2.94,9.52
1987-09,0.00,15.4,19.3,23.1,12.6,3.69,11.93
1987-10,51.54,15.2,19.1,23.0,11.9,2.63,12.42
1987-11,34.86,9.4,16.2,22.9,6.9,2.44,16.98
1987-12,72.11,4.7,10.7,16.8,3.4,1.25,10.59
1988-01,33.09,5.3,11.9,18.6,3.7,1.44,13.54
1988-02,27.70,6.4,13.5,20.5,4.2,1.69,15.97
1988-03,7.75,7.7,14.1,20.5,6.0,1.54,15.34
1988-04,83.82,9.5,14.4,19.4,9.1,1.05,10.85
1988-05,0.85,11.9,15.6,19.3,10.4,1.58,8.71
1988-06,0.00,12.4,15.9,19.5,11.5,2.14,7.19
1988-07,0.00,17.4,20.1,22.8,14.8,2.89,6.49
1988-08,6.81,16.8,20.7,24.6,14.3,2.85,11.48
1988-09,0.00,15.0,18.9,22.9,15.1,2.13,10.19
1988-10,0.00,14.2,17.6,21.1,13.3,2.00,9.14
1988-11,29.89,8.5,14.0,19.4,7.2,1.96,11.75
1988-12,80.20,6.0,12.3,18.6,2.1,2.38,15.07
1989-01,12.64,3.9,11.0,18.1,-0.2,2.21,14.91
1989-02,19.46,6.5,11.9,17.4,3.1,2.49,12.17
1989-03,20.89,8.2,13.0,17.7,7.9,1.13,7.98
1989-04,0.10,12.1,16.5,21.0,8.8,3.02,14.71
1989-05,7.67,12.4,15.7,19.1,10.4,2.13,8.19
1989-06,0.69,14.5,17.4,20.3,12.3,4.22,8.80
1989-07,0.00,16.4,19.7,22.9,13.6,4.27,10.42
1989-08,0.00,17.1,20.0,22.9,15.5,4.26,10.20
1989-09,7.06,14.4,18.9,23.3,14.0,2.05,12.76
1989-10,7.96,13.1,17.4,21.7,11.8,2.38,11.91
1989-11,0.50,9.0,17.5,26.0,4.4,2.96,24.86
1989-12,0.02,5.5,13.5,21.5,1.4,2.72,19.33
1990-01,60.31,5.2,12.3,19.4,2.4,2.04,14.13
1990-02,37.35,4.8,10.9,16.9,2.4,1.99,11.39
1990-03,8.60,8.4,13.7,19.1,8.2,1.52,11.20
1990-04,30.17,12.1,15.7,19.4,9.6,2.76,9.86
1990-05,15.68,12.6,16.2,19.8,10.3,2.93,8.72
1990-06,18.83,15.3,18.7,22.1,12.8,3.25,10.02
1990-07,0.00,17.6,20.8,24.0,15.1,4.00,10.60
1990-08,1.41,17.6,20.3,23.0,15.4,3.43,8.77
1990-09,0.00,16.2,20.5,24.8,14.6,3.12,12.53
1990-10,0.00,12.8,18.4,24.1,9.7,3.40,17.38
1990-11,14.99,8.6,15.6,22.7,4.1,3.42,19.62
1990-12,6.65,3.7,11.6,19.5,-1.7,2.97,17.56
1991-01,23.04,7.2,12.6,18.1,4.2,1.99,11.89
1991-02,38.97,8.0,13.3,18.5,6.3,1.42,11.72
1991-03,177.58,7.7,11.9,16.1,5.4,1.47,8.66
1991-04,1.08,9.7,14.2,18.8,7.8,1.82,9.04
1991-05,0.00,11.5,14.8,18.2,8.9,2.53,7.17
1991-06,0.00,13.9,16.6,19.2,11.0,2.98,6.87
1991-07,0.15,16.2,18.7,21.1,12.8,3.71,7.98
1991-08,1.04,16.7,19.3,21.8,14.5,2.27,7.41
1991-09,0.00,16.1,19.0,22.0,14.1,2.19,9.42
1991-10,8.84,13.8,18.5,23.2,11.4,2.19,14.78
1991-11,0.00,8.5,16.4,24.2,3.6,2.62,22.34
1991-12,46.26,7.0,13.3,19.5,3.1,2.36,14.70
1992-01,64.82,6.4,13.3,20.2,2.6,2.33,15.96
1992-02,104.34,9.3,15.8,22.3,6.3,2.33,17.23
1992-03,88.13,10.5,14.4,18.4,9.0,1.89,8.82
1992-04,5.75,13.0,17.4,21.8,11.3,2.63,12.05
1992-05,0.45,16.3,18.7,21.1,12.7,3.99,8.87
1992-06,0.00,15.3,18.2,21.1,11.6,4.32,9.74
1992-07,2.07,17.9,20.8,23.7,14.4,4.98,11.96
1992-08,6.11,18.8,21.9,25.0,15.2,5.50,12.65
1992-09,0.00,15.6,19.8,24.0,14.4,4.08,13.03
1992-10,6.57,14.2,18.4,22.6,12.8,3.97,11.91
1992-11,0.04,8.5,15.8,23.1,3.4,3.69,19.59
1992-12,74.33,6.7,12.3,17.8,2.5,2.45,12.75
1993-01,297.73,8.6,13.0,17.5,8.9,1.69,10.29
1993-02,99.51,8.5,13.1,17.6,7.5,1.81,9.45
1993-03,34.13,10.6,15.0,19.3,9.3,1.66,9.25
1993-04,0.00,11.1,15.5,20.0,10.0,1.60,9.73
1993-05,0.00,13.8,17.1,20.3,12.0,2.34,8.21
1993-06,20.93,15.9,18.8,21.7,13.9,2.46,7.85
1993-07,0.00,17.4,19.7,22.0,14.7,3.10,7.82
1993-08,0.00,17.4,19.9,22.4,15.6,2.06,7.64
1993-09,0.00,15.3,18.6,22.0,14.1,1.56,8.89
1993-10,0.33,13.3,17.9,22.5,12.1,1.35,12.47
1993-11,15.03,8.7,15.2,21.7,5.6,1.55,17.31
1993-12,22.15,6.8,13.4,20.1,3.6,1.46,15.34
1994-01,27.60,6.1,13.1,20.1,3.7,1.32,15.71
1994-02,80.10,7.1,12.4,17.7,4.3,1.36,11.06
1994-03,68.17,9.4,14.8,20.1,8.5,1.06,11.70
1994-04,33.22,11.2,14.7,18.3,9.7,1.43,7.40
1994-05,0.27,12.2,15.0,17.9,10.8,1.35,5.78
1994-06,0.00,14.9,18.1,21.3,13.7,1.60,8.29
