"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.61,8.1,14.4,20.6,2.7,2.66,15.65,42.7831054072296,-0.769989960639367,-1.21223844051212,-1.56161875080816
"1984-02","1984-02",1984-02-01,1984,"1984",2.52,7,13.6,20.1,2.5,2.1,15.18,37.6494976559225,-1.44393858336528,-1.99233229372396,-1.44230480890431
"1984-03","1984-03",1984-03-01,1984,"1984",0.09,8.9,14.6,20.3,6.1,1.52,13.13,51.2307117138277,-1.95181392668182,-1.87839325572145,-1.70566343673018
"1984-04","1984-04",1984-04-01,1984,"1984",18.19,10.9,15.4,19.8,6.6,2.22,12.31,59.1846205831676,-2.02139163925124,0.320404932542142,0.0541872902041935
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.3,17.6,22,10.8,1.89,11.19,81.3751437249319,-2.2610592237403,-0.589455797849779,-1.22019666279547
"1984-06","1984-06",1984-06-01,1984,"1984",1.38,16,19.2,22.4,11.7,3.01,10.97,93.614069468134,-2.36939739025165,0.663098878008505,-1.48611263416997
"1984-07","1984-07",1984-07-01,1984,"1984",0.06,19.4,23,26.5,15.1,3.51,15.31,128.521894661082,-2.40442745553021,0.524634363086766,-2.10146933945712
"1984-08","1984-08",1984-08-01,1984,"1984",0.02,19.4,22.9,26.4,16.1,2.77,12.98,120.973408953972,-2.32401029938943,0.346095926806512,-2.03534492639788
"1984-09","1984-09",1984-09-01,1984,"1984",2.64,19.6,23.9,28.1,16,3.19,18.19,115.681112980415,-2.29173604237123,0.561388861958897,-2.57120171630524
"1984-10","1984-10",1984-10-01,1984,"1985",6.81,13.1,18,23,8.3,3.08,15.65,68.2998222833519,-2.30422169303367,0.364213403966462,0.0975856049547518
"1984-11","1984-11",1984-11-01,1984,"1985",36.66,9.1,14.1,19.2,6.1,1.96,11.25,40.792376817577,-1.85870940359854,0.776214393505225,0.985452022059509
"1984-12","1984-12",1984-12-01,1984,"1985",111.64,7.6,12.3,17.1,4.2,1.84,9.85,32.3613773289844,-0.763389078293331,1.36847699768939,1.50116952915553
"1985-01","1985-01",1985-01-01,1985,"1985",18.96,6.3,12,17.6,2.7,1.85,11.66,31.7155364652808,-1.20602115420624,-0.453888542836914,-0.463018503225992
"1985-02","1985-02",1985-02-01,1985,"1985",26.13,7.8,12.7,17.6,2.9,2.24,11.43,33.6464909504877,-1.54940605135859,-0.496904154783704,-0.584003988824196
"1985-03","1985-03",1985-03-01,1985,"1985",12.78,6.3,11.5,16.7,4.6,1.55,8.82,34.6217459901852,-1.66878779972975,-0.481739295538218,-0.0391147787103292
"1985-04","1985-04",1985-04-01,1985,"1985",3.85,10.6,14.9,19.2,7.2,1.57,10.49,56.0627604763883,-1.81191560345398,-0.699848910839107,-0.612957715659264
