PRISM Time Series Data
Location:  Lat: 34.0147   Lon: -118.8203   Elev: 66m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,1.74,11.2,15.4,19.6,2.0,4.50,14.64
1984-02,0.46,10.3,14.7,19.2,3.3,3.24,13.22
1984-03,6.34,11.2,15.7,20.2,6.6,2.32,12.73
1984-04,13.36,11.0,14.9,18.8,6.3,2.49,11.02
1984-05,0.00,13.2,17.1,20.9,10.2,2.31,10.79
1984-06,0.00,14.3,17.4,20.5,11.9,1.50,8.43
1984-07,0.00,16.9,20.3,23.7,14.0,1.85,11.22
1984-08,0.87,17.9,21.1,24.2,15.3,2.13,10.20
1984-09,5.68,19.3,22.9,26.4,16.2,3.04,15.48
1984-10,7.15,14.0,17.8,21.6,6.9,4.30,15.34
1984-11,47.73,10.8,14.6,18.3,5.0,3.16,11.01
1984-12,108.22,9.3,12.8,16.2,2.7,3.37,9.82
1985-01,28.77,9.3,13.0,16.7,2.8,3.38,10.40
1985-02,60.34,9.1,13.3,17.5,3.4,2.82,10.97
1985-03,32.73,8.5,12.5,16.5,5.3,1.81,8.19
1985-04,0.00,11.0,14.6,18.2,6.7,2.13,10.05
1985-05,0.45,11.3,14.5,17.8,8.5,1.49,7.62
1985-06,0.00,13.7,17.0,20.3,11.5,1.30,8.48
1985-07,0.00,16.6,20.3,23.9,13.4,2.27,13.62
1985-08,0.00,15.1,19.0,22.9,12.7,1.89,12.70
1985-09,1.79,15.2,18.9,22.6,12.1,2.44,12.33
1985-10,10.75,14.5,18.3,22.1,10.0,3.07,13.61
1985-11,112.78,10.9,14.7,18.4,5.5,2.45,10.89
1985-12,17.02,10.6,15.0,19.5,3.0,4.21,14.38
1986-01,60.63,13.3,16.9,20.6,4.8,4.54,14.71
1986-02,188.89,10.9,14.3,17.8,7.2,1.50,8.37
1986-03,116.30,11.2,14.6,18.1,8.2,1.52,8.05
1986-04,24.61,11.2,14.9,18.7,8.6,2.09,9.90
1986-05,0.00,12.0,15.4,18.9,10.8,2.24,7.74
1986-06,0.00,13.7,17.0,20.3,13.1,1.03,7.36
1986-07,0.92,14.7,18.3,21.9,13.1,1.79,9.60
1986-08,0.00,15.3,18.9,22.5,13.9,1.52,10.05
1986-09,51.79,14.0,17.4,20.8,12.6,1.74,8.61
1986-10,2.25,14.0,17.8,21.7,11.1,1.96,12.16
1986-11,37.38,13.2,17.7,22.2,6.8,3.48,16.83
1986-12,7.47,10.8,15.1,19.3,3.8,3.03,13.93
1987-01,36.52,9.1,13.1,17.1,1.9,3.06,11.85
1987-02,35.13,10.0,14.1,18.2,3.9,3.14,12.62
1987-03,33.74,9.7,13.7,17.6,6.2,2.06,9.95
1987-04,0.02,11.8,15.7,19.6,7.9,2.46,12.45
1987-05,1.43,13.4,16.3,19.3,10.8,1.97,7.51
1987-06,1.61,13.8,16.7,19.7,12.1,1.37,7.04
1987-07,3.30,13.8,17.4,21.0,12.6,1.33,8.36
1987-08,0.00,14.9,18.5,22.1,13.3,1.89,9.96
1987-09,0.44,15.7,19.4,23.2,13.5,2.36,11.05
1987-10,39.17,16.3,19.2,22.2,12.9,2.59,11.21
1987-11,63.99,12.6,16.3,19.9,7.7,3.10,12.31
1987-12,88.16,8.8,12.2,15.6,3.2,2.54,9.13
1988-01,55.70,9.6,13.4,17.2,3.3,3.25,11.65
1988-02,31.37,10.3,15.1,19.9,3.7,3.37,15.63
1988-03,31.55,11.1,15.6,20.2,5.6,3.15,15.76
1988-04,70.85,11.2,14.9,18.6,9.0,1.95,9.76
1988-05,0.00,11.7,15.4,19.0,9.7,1.84,8.97
1988-06,0.00,12.3,15.9,19.4,11.7,1.43,7.85
1988-07,0.00,16.1,19.2,22.4,15.9,1.05,6.76
1988-08,0.00,15.5,18.9,22.2,15.0,1.40,8.33
1988-09,2.27,14.9,18.4,21.9,13.6,2.23,10.71
1988-10,0.00,15.0,18.0,20.9,13.1,2.30,9.74
1988-11,25.46,11.8,15.3,18.8,8.0,2.39,10.74
1988-12,82.78,9.9,13.7,17.4,2.6,4.24,13.48
