PRISM Time Series Data
Location:  Lat: 33.2641   Lon: -117.4376   Elev: 27m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.71,8.2,14.4,20.7,2.6,2.75,15.77
1984-02,2.35,7.1,13.6,20.2,2.4,2.13,15.32
1984-03,0.28,9.0,14.7,20.4,6.1,1.56,13.27
1984-04,17.61,10.9,15.4,20.0,6.6,2.20,12.49
1984-05,0.00,13.3,17.7,22.1,10.7,1.91,11.44
1984-06,1.37,15.9,19.2,22.5,11.7,3.00,11.22
1984-07,0.18,19.4,23.0,26.7,15.1,3.50,15.75
1984-08,0.05,19.4,23.0,26.6,16.1,2.70,13.22
1984-09,2.74,19.6,24.0,28.3,16.0,3.28,18.80
1984-10,6.52,13.1,18.1,23.1,8.2,3.11,15.89
1984-11,37.45,9.1,14.2,19.2,6.0,1.99,11.37
1984-12,111.17,7.6,12.4,17.1,4.2,1.88,9.94
1985-01,19.43,6.4,12.0,17.7,2.6,1.89,11.77
1985-02,25.51,7.7,12.7,17.7,2.9,2.23,11.59
1985-03,13.59,6.4,11.6,16.9,4.5,1.56,9.01
1985-04,3.87,10.6,15.0,19.5,7.2,1.56,10.92
1985-05,0.00,12.8,15.6,18.5,9.0,2.21,7.68
1985-06,0.00,14.3,17.6,20.9,11.4,1.68,8.75
1985-07,0.00,18.3,21.6,25.0,14.0,3.24,14.21
1985-08,0.00,16.6,20.2,23.8,13.1,2.69,12.84
1985-09,4.75,14.9,19.1,23.3,11.7,2.28,13.58
1985-10,4.63,13.5,18.4,23.4,9.8,2.38,15.49
1985-11,98.06,9.2,14.0,18.7,6.2,1.51,10.97
1985-12,29.77,7.2,13.4,19.7,3.6,1.74,14.31
1986-01,20.51,9.4,14.9,20.5,5.2,1.97,14.31
1986-02,83.25,8.4,13.3,18.3,7.2,0.77,9.35
1986-03,81.64,9.9,14.0,18.1,8.3,0.96,8.09
1986-04,18.71,9.9,14.8,19.6,8.1,1.68,11.29
1986-05,0.00,12.1,15.9,19.8,10.3,2.50,8.44
1986-06,0.00,15.2,18.1,20.9,12.8,2.90,7.20
1986-07,0.53,15.6,19.0,22.3,13.6,2.67,8.24
1986-08,0.00,16.3,19.8,23.3,14.3,2.65,9.18
1986-09,26.01,13.3,17.2,21.1,11.5,2.31,8.34
1986-10,5.07,11.4,16.6,21.7,9.8,1.87,11.15
1986-11,27.66,9.3,16.3,23.4,5.4,2.11,18.48
1986-12,34.59,4.5,12.5,20.5,3.7,1.36,15.18
1987-01,48.86,5.6,11.7,17.8,1.9,1.70,12.28
1987-02,40.04,6.3,12.6,18.8,4.5,1.60,12.52
1987-03,26.05,7.9,13.1,18.2,7.5,1.22,9.65
1987-04,10.13,10.5,15.6,20.8,8.0,2.08,13.18
1987-05,0.08,13.7,16.7,19.6,10.8,2.42,7.24
1987-06,0.00,14.7,17.4,20.2,11.7,2.74,7.16
1987-07,0.87,14.9,18.0,21.1,11.9,3.00,8.57
1987-08,1.38,15.4,19.1,22.7,13.2,2.96,10.18
