"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.71,8.2,14.4,20.7,2.6,2.75,15.77,42.7488627764218,-0.77528317780464,-1.21206298243279,-1.50470016870179
"1984-02","1984-02",1984-02-01,1984,"1984",2.35,7.1,13.6,20.2,2.4,2.13,15.32,37.4583760827755,-1.45761080096871,-2.02144986775229,-1.41896769621651
"1984-03","1984-03",1984-03-01,1984,"1984",0.28,9,14.7,20.4,6.1,1.56,13.27,51.3938484296922,-1.97226802730225,-2.32426372558845,-1.6923744894678
"1984-04","1984-04",1984-04-01,1984,"1984",17.61,10.9,15.4,20,6.6,2.2,12.49,58.533650088037,-2.04333829990747,0.296795328656128,0.0553502807617819
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.3,17.7,22.1,10.7,1.91,11.44,81.187106090723,-2.28434897940115,-0.589455797849779,-1.23051914515834
"1984-06","1984-06",1984-06-01,1984,"1984",1.37,15.9,19.2,22.5,11.7,3,11.22,92.5359797073147,-2.39169908097228,0.63720704434496,-1.40536957135072
"1984-07","1984-07",1984-07-01,1984,"1984",0.18,19.4,23,26.7,15.1,3.5,15.75,127.446784518843,-2.42434253571306,0.470858037410766,-2.07864453970475
"1984-08","1984-08",1984-08-01,1984,"1984",0.05,19.4,23,26.6,16.1,2.7,13.22,121.077182357317,-2.34479235699264,0.353017889389481,-2.02156450093103
"1984-09","1984-09",1984-09-01,1984,"1984",2.74,19.6,24,28.3,16,3.28,18.8,116.205827012725,-2.29999163386901,0.590409500346884,-2.5949235807246
"1984-10","1984-10",1984-10-01,1984,"1985",6.52,13.1,18.1,23.1,8.2,3.11,15.89,68.7580492610691,-2.31195818013638,0.353138889194221,0.122258268596652
"1984-11","1984-11",1984-11-01,1984,"1985",37.45,9.1,14.2,19.2,6,1.99,11.37,41.1842357105922,-1.84375328224235,0.798440016310963,1.0082039542357
"1984-12","1984-12",1984-12-01,1984,"1985",111.17,7.6,12.4,17.1,4.2,1.88,9.94,32.7311462917694,-0.728655009017801,1.37031506521681,1.50054364013317
"1985-01","1985-01",1985-01-01,1985,"1985",19.43,6.4,12,17.7,2.6,1.89,11.77,31.6040012718478,-1.16865314454278,-0.44612103430315,-0.429068929679057
"1985-02","1985-02",1985-02-01,1985,"1985",25.51,7.7,12.7,17.7,2.9,2.23,11.59,33.4414856002072,-1.52112803119149,-0.513101552546891,-0.579473568473874
"1985-03","1985-03",1985-03-01,1985,"1985",13.59,6.4,11.6,16.9,4.5,1.56,9.01,34.7136485273473,-1.63826162884013,-0.445184882246183,-0.02207081116107
"1985-04","1985-04",1985-04-01,1985,"1985",3.87,10.6,15,19.5,7.2,1.56,10.92,56.0363701663685,-1.78408133129378,-0.701165594912763,-0.60406098276532
"1985-05","1985-05",1985-05-01,1985,"1985",0,12.8,15.6,18.5,9,2.21,7.68,65.8593206916273,-1.86002419985581,-0.589455797849779,-0.000554956301207701
"1985-06","1985-06",1985-06-01,1985,"1985",0,14.3,17.6,20.9,11.4,1.68,8.75,80.113355554676,-1.88525653114978,0.0696849203184557,0.279632800504934
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.3,21.6,25,14,3.24,14.21,114.853146821774,-1.88424549139848,-0.282216147062508,-1.33082352337111
