PRISM Time Series Data
Location:  Lat: 34.4720   Lon: -120.2265   Elev: 98m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,1.05,8.4,12.9,17.5,3.2,2.50,10.62
1984-02,7.19,7.5,12.3,17.1,2.6,2.33,10.56
1984-03,14.67,9.4,13.8,18.3,5.4,2.07,11.07
1984-04,11.18,8.8,13.2,17.6,3.6,2.64,11.19
1984-05,0.00,10.8,15.4,20.0,7.4,2.43,11.19
1984-06,0.00,12.0,15.3,18.6,9.3,1.74,8.08
1984-07,1.57,14.6,17.9,21.3,12.2,1.53,8.52
1984-08,0.31,15.5,19.0,22.4,13.1,2.01,9.16
1984-09,1.94,17.0,21.3,25.6,13.6,3.10,15.73
1984-10,17.60,12.0,16.2,20.5,6.2,3.64,13.44
1984-11,71.47,9.4,13.4,17.3,5.1,2.58,9.37
1984-12,120.62,7.9,11.2,14.4,2.9,2.61,7.36
1985-01,19.31,7.7,11.3,14.9,1.7,2.94,8.23
1985-02,43.97,7.5,11.7,16.0,2.2,2.50,9.07
1985-03,43.01,7.5,11.3,15.1,3.1,2.15,7.41
1985-04,0.14,9.7,13.6,17.4,5.5,2.15,9.77
1985-05,0.00,9.8,13.5,17.2,5.6,2.36,8.78
1985-06,0.00,12.2,16.0,19.8,9.3,1.78,9.11
1985-07,0.00,14.3,18.4,22.5,10.4,2.67,13.97
1985-08,0.00,13.0,17.1,21.1,10.4,2.22,11.10
1985-09,0.00,13.1,17.4,21.7,9.8,2.56,12.23
1985-10,14.23,11.4,16.0,20.6,7.3,2.78,12.96
1985-11,113.38,8.6,12.8,17.1,4.9,1.77,9.54
1985-12,25.74,7.4,12.3,17.2,2.9,2.15,10.87
1986-01,45.75,9.9,13.9,17.8,5.5,2.08,9.71
1986-02,177.69,10.1,13.2,16.3,6.3,1.38,6.95
1986-03,159.00,10.3,13.4,16.6,7.6,1.32,6.62
1986-04,8.54,9.8,13.4,17.0,6.9,1.87,8.70
1986-05,0.00,9.7,13.8,17.8,8.3,1.37,7.99
1986-06,0.00,12.1,15.6,19.1,11.1,1.26,7.31
1986-07,0.00,12.7,16.5,20.4,11.5,1.61,8.58
1986-08,0.00,13.2,16.8,20.3,11.8,1.56,8.25
1986-09,23.15,12.3,16.2,20.2,10.8,1.90,9.67
1986-10,0.00,12.4,16.3,20.3,10.2,1.97,10.67
1986-11,29.74,11.1,15.5,19.9,6.5,2.86,13.88
1986-12,24.93,8.7,13.0,17.3,5.1,1.42,9.84
1987-01,46.25,6.9,11.0,15.0,2.5,2.17,8.61
1987-02,60.73,8.5,12.4,16.4,4.0,2.74,9.97
1987-03,114.82,8.3,12.2,16.2,5.6,1.84,7.64
1987-04,4.84,9.8,14.5,19.2,7.3,1.78,11.79
1987-05,0.00,11.8,15.3,18.8,9.1,2.14,8.48
1987-06,0.00,12.1,15.2,18.4,10.4,1.41,6.64
1987-07,0.00,12.4,16.2,19.9,11.1,1.48,7.71
1987-08,0.00,13.0,16.8,20.6,12.2,1.66,8.30
1987-09,0.00,13.2,16.9,20.5,12.9,1.20,7.47
1987-10,40.68,14.1,18.3,22.6,12.6,1.90,12.04
1987-11,25.77,10.7,14.5,18.3,8.3,1.93,8.48
1987-12,119.34,5.2,9.8,14.4,4.2,1.16,6.69
1988-01,69.16,6.1,10.9,15.7,4.9,1.46,8.15
1988-02,52.84,7.3,12.8,18.4,5.3,1.74,12.03
1988-03,52.79,8.9,15.1,21.3,5.3,2.26,16.74
1988-04,78.08,9.6,14.7,19.8,8.7,1.44,11.48
1988-05,3.19,9.9,14.3,18.8,8.1,1.90,10.14
1988-06,1.66,11.0,14.4,17.8,10.5,1.42,6.46
1988-07,0.00,13.8,17.3,20.8,14.2,0.74,6.14
1988-08,0.00,14.0,17.5,21.1,14.0,1.35,6.42
1988-09,0.00,12.6,16.3,20.0,12.6,1.60,8.69
1988-10,0.00,12.4,15.7,19.0,12.0,1.49,7.29
1988-11,28.05,9.9,14.0,18.1,7.9,2.02,9.27
1988-12,103.85,7.6,11.7,15.8,3.3,2.57,10.20
1989-01,13.46,6.4,10.7,14.9,2.3,2.21,9.63
1989-02,42.19,6.9,10.5,14.0,4.2,1.40,7.54
1989-03,15.72,9.3,13.1,16.9,7.4,1.24,7.59
1989-04,4.80,11.2,15.5,19.8,7.5,2.69,13.35
1989-05,7.47,10.4,14.3,18.2,8.0,2.24,9.72
1989-06,0.00,11.8,15.4,19.0,10.4,1.43,9.05
