"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",1.05,8.4,12.9,17.5,3.2,2.5,10.62,41.2028186146237,-0.880093585274342,-1.62201847568715,-1.51272452287474
"1984-02","1984-02",1984-02-01,1984,"1984",7.19,7.5,12.3,17.1,2.6,2.33,10.56,37.1826357581671,-1.55492206383374,-1.50179712963721,-1.28085124896579
"1984-03","1984-03",1984-03-01,1984,"1984",14.67,9.4,13.8,18.3,5.4,2.07,11.07,53.194491187788,-2.15413921234885,-0.915765597743041,-1.10055249655194
"1984-04","1984-04",1984-04-01,1984,"1984",11.18,8.8,13.2,17.6,3.6,2.64,11.19,52.8054780907729,-2.43675967311573,0.0140131141264748,-0.0849481061637799
"1984-05","1984-05",1984-05-01,1984,"1984",0,10.8,15.4,20,7.4,2.43,11.19,72.8790779945969,-2.88048845678493,-0.430727299295457,-1.50592069558205
"1984-06","1984-06",1984-06-01,1984,"1984",0,12,15.3,18.6,9.3,1.74,8.08,72.0023015709573,-3.11351999078223,0,-0.276751945414099
"1984-07","1984-07",1984-07-01,1984,"1984",1.57,14.6,17.9,21.3,12.2,1.53,8.52,92.2063016747719,-3.13238692502257,1.14459944943272,-1.28040242043171
"1984-08","1984-08",1984-08-01,1984,"1984",0.31,15.5,19,22.4,13.1,2.01,9.16,95.2755319013441,-2.97611346549069,1.61368836410915,-1.66320126934054
"1984-09","1984-09",1984-09-01,1984,"1984",1.94,17,21.3,25.6,13.6,3.1,15.73,100.173958468226,-2.83250449582412,0.612893442820671,-2.32857054392785
"1984-10","1984-10",1984-10-01,1984,"1985",17.6,12,16.2,20.5,6.2,3.64,13.44,63.4029173115443,-2.6716814376508,0.452749152103412,0.439217558716953
