PRISM Time Series Data
Location:  Lat: 34.4199   Lon: -119.8342   Elev: 5m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,1.77,6.1,12.6,19.0,3.4,1.54,12.97
1984-02,2.80,5.8,12.3,18.8,2.6,1.79,12.90
1984-03,15.93,8.1,14.2,20.4,5.8,1.19,13.99
1984-04,3.22,8.7,14.7,20.7,3.4,2.74,15.80
1984-05,0.00,11.7,17.1,22.6,8.3,2.41,14.33
1984-06,0.00,12.9,16.9,20.9,10.2,1.90,10.54
1984-07,0.01,15.4,19.1,22.8,12.9,1.52,10.68
1984-08,4.45,16.6,20.3,24.1,14.3,2.05,12.12
1984-09,9.61,17.3,22.5,27.7,14.0,2.99,18.75
1984-10,10.23,11.0,16.5,22.0,6.0,3.19,15.70
1984-11,54.83,7.5,12.8,18.1,4.7,1.83,10.62
1984-12,117.13,5.5,10.6,15.7,2.3,1.72,9.00
1985-01,20.98,4.8,10.4,16.1,1.3,1.71,10.29
1985-02,64.79,5.4,11.0,16.6,1.7,1.80,10.33
1985-03,42.51,6.2,11.3,16.4,2.8,1.73,9.80
1985-04,0.83,9.1,13.9,18.8,5.1,2.13,11.90
1985-05,0.00,9.4,13.8,18.2,5.4,2.54,10.20
1985-06,0.00,12.2,16.6,21.0,9.6,1.58,10.17
1985-07,0.00,14.9,19.7,24.4,11.5,2.38,16.46
1985-08,0.00,13.5,18.2,22.9,11.2,2.21,13.08
1985-09,2.00,12.7,17.9,23.0,9.5,2.79,14.41
1985-10,8.97,10.3,16.2,22.2,7.3,2.34,15.24
1985-11,91.20,6.7,12.5,18.2,4.3,1.42,11.20
1985-12,29.66,5.3,12.0,18.8,2.5,1.27,13.37
1986-01,46.82,7.2,13.3,19.3,5.2,1.01,12.14
1986-02,194.24,8.5,13.0,17.5,5.6,1.12,9.33
1986-03,155.13,9.2,13.5,17.9,7.3,1.02,8.61
1986-04,12.73,9.0,14.1,19.3,6.7,1.66,11.96
1986-05,0.00,9.6,14.6,19.5,8.9,1.10,9.59
1986-06,0.00,11.7,16.5,21.2,11.7,0.66,10.15
1986-07,0.00,13.1,17.7,22.4,12.8,0.83,10.73
1986-08,0.00,13.2,17.9,22.6,12.5,0.77,11.90
1986-09,42.55,11.2,16.4,21.5,10.8,1.22,11.17
1986-10,0.00,10.9,16.7,22.4,10.2,1.07,14.38
1986-11,17.96,7.9,15.1,22.4,6.2,1.41,17.44
1986-12,11.57,5.2,12.3,19.4,4.8,0.79,13.07
1987-01,28.89,3.5,10.3,17.1,2.5,0.78,11.23
1987-02,62.91,6.1,12.3,18.5,3.8,1.46,13.14
1987-03,109.54,7.2,12.6,18.1,5.6,1.39,10.73
1987-04,0.00,9.3,15.1,20.9,7.7,1.23,14.03
1987-05,2.49,11.8,16.4,21.0,9.9,1.44,10.75
1987-06,0.00,12.0,16.2,20.4,11.3,0.82,9.43
1987-07,0.35,12.2,17.0,21.8,11.8,1.04,11.18
1987-08,0.00,13.2,17.9,22.7,12.7,1.22,11.60
1987-09,0.00,13.3,18.1,22.9,13.5,0.88,11.17
1987-10,48.62,13.5,18.3,23.1,13.1,0.98,12.27
1987-11,27.80,8.1,14.2,20.2,8.0,1.17,12.54
1987-12,82.40,4.5,10.3,16.2,3.9,1.07,9.25
1988-01,61.27,4.4,10.9,17.5,5.0,0.80,11.12
1988-02,35.93,5.0,12.4,19.8,5.6,0.81,13.64
1988-03,30.65,7.8,14.8,21.8,5.5,1.55,17.30
1988-04,86.46,8.8,14.3,19.9,9.3,0.96,10.89
1988-05,0.07,10.0,15.4,20.9,8.9,1.53,13.42
1988-06,0.11,11.2,15.9,20.6,11.0,1.22,10.70
1988-07,0.00,14.8,18.4,22.0,14.9,0.99,7.57
1988-08,0.00,13.8,18.1,22.4,14.1,1.11,9.87
1988-09,0.00,12.1,17.0,21.9,13.1,0.91,11.06
1988-10,0.00,12.0,16.3,20.7,12.5,1.07,9.41
1988-11,26.91,7.7,13.5,19.2,7.4,1.31,11.27
1988-12,98.66,5.7,11.6,17.5,3.1,1.82,13.17
1989-01,13.60,3.4,10.0,16.7,2.2,1.09,12.29
1989-02,63.38,4.9,10.3,15.7,3.8,0.98,9.53
1989-03,18.04,8.5,13.7,19.0,7.1,1.26,11.67
1989-04,5.43,11.2,16.4,21.5,8.0,2.30,15.92
1989-05,5.73,10.3,15.4,20.6,8.5,1.88,12.29
1989-06,0.00,12.2,16.6,21.0,11.3,1.28,10.39
1989-07,0.00,13.7,18.2,22.6,13.6,1.14,11.33
1989-08,0.00,13.6,17.5,21.4,12.7,1.62,9.77
1989-09,1.34,12.2,17.0,21.9,13.4,0.58,10.78
1989-10,14.28,10.4,16.1,21.8,10.5,1.00,12.41
1989-11,7.94,7.0,14.7,22.3,5.6,1.17,17.89
1989-12,0.00,4.4,12.8,21.1,2.6,1.43,17.84
1990-01,52.24,4.6,11.3,18.1,4.5,0.82,12.00
1990-02,54.67,4.9,11.0,17.0,2.6,1.31,12.19
1990-03,0.83,7.8,12.7,17.6,8.0,0.91,9.42
1990-04,5.24,10.0,15.0,19.9,10.5,0.73,9.92
1990-05,20.10,9.9,15.1,20.4,10.1,1.04,11.01
1990-06,0.00,12.3,18.0,23.7,12.1,0.97,15.98
1990-07,0.00,14.6,19.2,23.8,14.6,1.12,12.58
