"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",1.77,6.1,12.6,19,3.4,1.54,12.97,38.2969722778412,-0.99740332366007,-1.42424560352906,-1.55087381261745
"1984-02","1984-02",1984-02-01,1984,"1984",2.8,5.8,12.3,18.8,2.6,1.79,12.9,35.705875569808,-1.79730909671665,-1.85109643667698,-1.35076155490993
"1984-03","1984-03",1984-03-01,1984,"1984",15.93,8.1,14.2,20.4,5.8,1.19,13.99,53.626686587014,-2.38235500354882,-0.814400622704718,-1.0083045046534
"1984-04","1984-04",1984-04-01,1984,"1984",3.22,8.7,14.7,20.7,3.4,2.74,15.8,59.7786421482628,-2.85370630746306,-0.319175437732869,-0.609092489223041
"1984-05","1984-05",1984-05-01,1984,"1984",0,11.7,17.1,22.6,8.3,2.41,14.33,82.7962076558224,-3.35790004991801,-0.674489750196082,-1.7883219395231
"1984-06","1984-06",1984-06-01,1984,"1984",0,12.9,16.9,20.9,10.2,1.9,10.54,81.1274615124724,-3.57439396054237,-0.0696849203184557,-0.586984221553309
"1984-07","1984-07",1984-07-01,1984,"1984",0.01,15.4,19.1,22.8,12.9,1.52,10.68,99.461247128478,-3.54270618663722,0.897185190799856,-1.03504810204367
"1984-08","1984-08",1984-08-01,1984,"1984",4.45,16.6,20.3,24.1,14.3,2.05,12.12,103.301866300065,-2.99253476180012,1.72836417721068,-1.26531486818198
"1984-09","1984-09",1984-09-01,1984,"1984",9.61,17.3,22.5,27.7,14,2.99,18.75,107.432289678087,-2.44216254298371,1.24679970899765,-2.22073267219781
"1984-10","1984-10",1984-10-01,1984,"1985",10.23,11,16.5,22,6,3.19,15.7,63.4822490944742,-2.42524268218127,0.259218965617389,0.121858829486673
"1984-11","1984-11",1984-11-01,1984,"1985",54.83,7.5,12.8,18.1,4.7,1.83,10.62,38.7017945637292,-1.75876481236366,0.815842865822849,0.998914047553875
"1984-12","1984-12",1984-12-01,1984,"1985",117.13,5.5,10.6,15.7,2.3,1.72,9,28.9643809534365,-0.926801112760465,0.885407839833398,0.999155355292095
"1985-01","1985-01",1985-01-01,1985,"1985",20.98,4.8,10.4,16.1,1.3,1.71,10.29,28.7294236867647,-1.65370406391147,-0.550790823018931,-0.627392187790389
"1985-02","1985-02",1985-02-01,1985,"1985",64.79,5.4,11,16.6,1.7,1.8,10.33,30.2043162393513,-1.93362284345432,-0.0662479809576341,-0.12385911308495
