PRISM Time Series Data
Location:  Lat: 32.7928   Lon: -117.2286   Elev: 33m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,9.98,10.4,15.5,20.6,4.5,3.34,15.03
1984-02,1.43,9.6,15.0,20.3,4.3,2.74,14.60
1984-03,0.70,11.9,16.4,20.9,7.5,2.41,13.16
1984-04,16.14,13.2,16.9,20.6,8.3,2.67,12.45
1984-05,0.00,15.4,19.0,22.5,11.8,2.54,11.27
1984-06,1.42,17.2,20.0,22.8,12.6,3.34,10.63
1984-07,1.20,21.1,24.1,27.2,16.7,3.69,14.61
1984-08,0.66,21.4,23.9,26.5,16.4,4.54,12.81
1984-09,0.97,21.9,25.2,28.5,17.5,4.07,17.02
1984-10,6.83,15.8,19.5,23.2,10.6,3.86,14.08
1984-11,48.01,11.8,15.6,19.4,6.8,2.53,10.73
1984-12,129.16,9.2,13.0,16.9,5.5,2.14,8.88
1985-01,14.02,8.8,13.3,17.8,3.7,2.74,11.59
1985-02,22.11,8.6,13.4,18.1,4.1,2.19,11.96
1985-03,12.73,10.0,13.7,17.4,6.2,2.22,8.98
1985-04,3.27,12.9,16.7,20.6,8.4,2.43,12.02
1985-05,0.00,14.8,17.3,19.9,9.3,3.65,9.69
1985-06,0.00,16.2,19.3,22.4,11.7,3.13,11.24
1985-07,0.00,19.8,23.2,26.7,15.1,3.84,15.78
1985-08,0.00,18.8,22.0,25.1,14.1,3.79,14.19
1985-09,7.85,17.4,20.9,24.3,12.7,3.42,13.84
1985-10,8.84,16.0,19.8,23.5,11.0,3.36,14.40
1985-11,118.15,11.6,15.3,19.1,6.5,2.71,11.45
1985-12,46.48,8.7,14.4,20.0,4.0,2.50,14.95
1986-01,17.18,11.1,16.1,21.2,5.4,2.86,15.33
1986-02,80.79,10.8,14.9,19.0,7.9,1.36,10.14
1986-03,72.90,12.0,15.6,19.3,8.7,1.53,9.65
1986-04,20.47,12.7,16.7,20.8,9.4,2.29,12.30
1986-05,0.00,14.3,17.6,20.9,11.4,2.46,9.77
1986-06,0.00,16.6,19.3,22.0,13.5,2.75,9.29
1986-07,4.39,17.7,20.7,23.8,14.9,2.67,10.87
1986-08,0.01,18.6,21.9,25.1,15.5,3.00,13.01
1986-09,27.28,16.2,19.1,22.1,12.6,3.10,10.14
1986-10,26.31,14.5,18.3,22.2,11.9,1.93,11.70
1986-11,22.89,11.8,17.1,22.5,7.4,2.81,16.47
1986-12,32.75,8.9,14.3,19.7,6.2,1.91,13.42
1987-01,50.72,7.8,12.9,18.1,4.1,2.17,12.00
1987-02,32.52,9.7,14.4,19.2,5.7,2.53,12.87
1987-03,24.89,10.5,14.6,18.8,7.0,2.23,11.28
1987-04,13.35,13.0,17.3,21.7,7.8,3.03,15.20
1987-05,1.28,15.2,18.0,20.7,10.8,3.05,9.72
1987-06,0.25,16.1,18.6,21.2,11.6,3.71,9.47
1987-07,2.66,16.7,19.4,22.0,12.0,4.20,10.55
1987-08,0.60,18.2,20.9,23.7,14.5,3.62,11.31
1987-09,13.25,17.8,21.0,24.2,15.1,2.76,11.83
1987-10,45.98,17.3,20.8,24.3,14.7,2.29,13.31
1987-11,44.98,12.0,16.6,21.3,9.7,2.17,12.82
