"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",9.98,10.4,15.5,20.6,4.5,3.34,15.03,45.200155834138,-0.521694681339388,-0.771570600532189,-1.10201881676664
"1984-02","1984-02",1984-02-01,1984,"1984",1.43,9.6,15,20.3,4.3,2.74,14.6,41.008290492905,-1.1575690830017,-2.18357944216075,-1.48101339073587
"1984-03","1984-03",1984-03-01,1984,"1984",0.7,11.9,16.4,20.9,7.5,2.41,13.16,57.9098014677668,-1.69128572353407,-2.17451789611082,-1.91870734592333
"1984-04","1984-04",1984-04-01,1984,"1984",16.14,13.2,16.9,20.6,8.3,2.67,12.45,64.329622957729,-1.82518958196918,0.272423989916117,-0.0210366239723844
"1984-05","1984-05",1984-05-01,1984,"1984",0,15.4,19,22.5,11.8,2.54,11.27,87.2368388145204,-2.12248013529453,-0.861634120174172,-1.3267914739808
"1984-06","1984-06",1984-06-01,1984,"1984",1.42,17.2,20,22.8,12.6,3.34,10.63,95.183557603279,-2.22921029573486,0.815140069997396,-1.36098887956355
"1984-07","1984-07",1984-07-01,1984,"1984",1.2,21.1,24.1,27.2,16.7,3.69,14.61,135.623758553667,-2.25610252207082,0.728310784215118,-2.04268108083736
"1984-08","1984-08",1984-08-01,1984,"1984",0.66,21.4,23.9,26.5,16.4,4.54,12.81,127.050349870797,-2.14803577019061,0.88662622672187,-1.96386378232738
"1984-09","1984-09",1984-09-01,1984,"1984",0.97,21.9,25.2,28.5,17.5,4.07,17.02,125.07604376033,-2.23381430583321,0.030746693886744,-2.63612090112583
"1984-10","1984-10",1984-10-01,1984,"1985",6.83,15.8,19.5,23.2,10.6,3.86,14.08,74.8428698026646,-2.30085588658749,0.182884964095632,-0.109104894365728
"1984-11","1984-11",1984-11-01,1984,"1985",48.01,11.8,15.6,19.4,6.8,2.53,10.73,45.0628555134592,0.538319850275312,1.07229880842063,1.25636827674777
"1984-12","1984-12",1984-12-01,1984,"1985",129.16,9.2,13,16.9,5.5,2.14,8.88,32.4013825237951,1.72431981000922,1.59856575813584,1.75524357766396
"1985-01","1985-01",1985-01-01,1985,"1985",14.02,8.8,13.3,17.8,3.7,2.74,11.59,34.3905817010394,-0.427543705295876,-0.581575766520668,-0.566495575909436
"1985-02","1985-02",1985-02-01,1985,"1985",22.11,8.6,13.4,18.1,4.1,2.19,11.96,33.527883756907,-0.793612463752853,-0.584333130642059,-0.569732928977855
"1985-03","1985-03",1985-03-01,1985,"1985",12.73,10,13.7,17.4,6.2,2.22,8.98,42.0012913162218,-0.968319822478674,-0.58753059432973,-0.293886570061622
