PRISM Time Series Data
Location:  Lat: 33.2920   Lon: -117.4632   Elev: 21m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.69,8.1,14.5,20.9,2.4,2.75,16.20
1984-02,1.84,6.9,13.7,20.5,2.2,2.12,15.82
1984-03,0.87,8.9,14.7,20.6,5.9,1.59,13.77
1984-04,16.41,10.7,15.5,20.4,6.4,2.16,13.34
1984-05,0.00,13.2,17.9,22.6,10.6,1.92,12.45
1984-06,1.31,15.8,19.3,22.8,11.6,2.97,11.72
1984-07,0.49,19.2,23.1,26.9,14.8,3.56,16.51
1984-08,0.24,19.0,22.9,26.7,16.0,2.42,13.73
1984-09,2.89,19.4,24.0,28.5,15.7,3.23,19.58
1984-10,5.51,12.9,18.1,23.4,7.9,3.11,16.56
1984-11,37.68,9.1,14.2,19.4,5.9,2.03,11.78
1984-12,107.34,7.6,12.4,17.2,4.0,1.93,10.19
1985-01,19.91,6.3,12.1,17.9,2.5,1.91,12.06
1985-02,22.98,7.6,12.8,18.0,2.8,2.21,12.10
1985-03,13.51,6.3,11.8,17.3,4.4,1.55,9.71
1985-04,3.85,10.3,15.3,20.3,7.0,1.48,12.28
1985-05,0.00,12.7,15.8,19.0,9.1,2.08,8.43
1985-06,0.00,14.1,17.8,21.4,11.5,1.53,9.55
1985-07,0.00,18.0,21.7,25.4,13.9,3.13,15.18
1985-08,0.00,16.2,20.1,24.1,13.0,2.39,13.38
1985-09,5.42,14.7,19.2,23.6,11.6,2.25,14.25
1985-10,3.41,13.3,18.5,23.8,9.6,2.34,16.33
1985-11,98.42,9.2,14.1,18.9,6.2,1.50,11.32
1985-12,28.31,7.1,13.6,20.1,3.5,1.70,14.92
1986-01,21.61,9.2,15.0,20.9,5.1,1.92,14.95
1986-02,81.48,8.4,13.5,18.6,7.1,0.77,9.83
1986-03,81.31,9.8,14.1,18.3,8.3,0.94,8.42
1986-04,18.93,9.7,14.9,20.2,8.1,1.61,12.16
1986-05,0.00,11.8,16.0,20.3,10.3,2.52,9.30
1986-06,0.00,15.0,18.2,21.3,12.8,2.75,7.95
1986-07,0.64,15.3,19.0,22.7,13.6,2.56,8.97
1986-08,0.00,15.9,19.8,23.7,14.3,2.47,10.02
1986-09,21.89,12.9,17.1,21.4,11.4,2.11,9.24
1986-10,11.38,11.0,16.6,22.1,9.7,1.75,12.23
1986-11,27.20,9.3,16.4,23.5,5.4,2.12,18.72
1986-12,32.87,4.6,12.6,20.6,3.7,1.34,15.28
1987-01,48.86,5.5,11.8,18.1,1.9,1.69,12.68
1987-02,40.34,6.1,12.6,19.1,4.3,1.61,13.11
1987-03,26.58,7.6,13.2,18.7,7.3,1.25,10.56
1987-04,9.04,10.2,15.9,21.5,7.8,2.09,14.57
1987-05,0.33,13.4,16.8,20.1,10.6,2.40,8.25
1987-06,0.00,14.5,17.6,20.7,11.6,2.74,8.15
1987-07,2.77,14.7,18.1,21.5,11.8,2.95,9.39
1987-08,3.79,15.0,19.1,23.1,13.1,2.80,11.10
1987-09,0.02,15.1,19.5,23.8,12.3,3.57,13.50
1987-10,49.38,14.9,19.4,23.8,11.7,2.61,14.44
1987-11,36.40,9.2,16.1,22.9,6.6,2.40,17.11
1987-12,67.43,4.6,10.9,17.1,3.1,1.29,11.22
1988-01,35.79,5.2,12.1,19.0,3.4,1.48,14.23
1988-02,26.45,6.2,13.6,21.1,3.8,1.74,16.90
1988-03,6.97,7.5,14.2,20.9,5.5,1.64,16.18
1988-04,81.63,9.4,14.7,20.1,9.0,1.05,11.97
1988-05,1.51,11.8,15.9,20.0,10.2,1.61,9.89
1988-06,0.00,12.4,16.3,20.1,11.3,2.20,8.53
1988-07,0.00,17.2,20.3,23.4,14.9,2.97,8.16
1988-08,8.63,16.6,20.6,24.7,14.3,2.85,11.87
1988-09,0.00,14.8,19.1,23.5,14.2,2.37,12.50
1988-10,0.00,14.0,17.9,21.7,12.9,2.06,10.41
1988-11,27.03,8.5,14.2,20.0,7.0,1.95,12.76
1988-12,73.82,5.9,12.5,19.2,1.7,2.51,16.13
