"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.69,8.1,14.5,20.9,2.4,2.75,16.2,42.7611455068555,-0.799314352534992,-1.1956433198516,-1.46988537991921
"1984-02","1984-02",1984-02-01,1984,"1984",1.84,6.9,13.7,20.5,2.2,2.12,15.82,37.4588801244657,-1.48266943727845,-2.09637727651297,-1.40425332583904
"1984-03","1984-03",1984-03-01,1984,"1984",0.87,8.9,14.7,20.6,5.9,1.59,13.77,50.8437196574835,-1.97584314894847,-1.87679453375861,-1.5693813355482
"1984-04","1984-04",1984-04-01,1984,"1984",16.41,10.7,15.5,20.4,6.4,2.16,13.34,58.5922536255696,-2.04519231597773,0.247193174005849,0.0269492984003498
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.2,17.9,22.6,10.6,1.92,12.45,82.1299805555752,-2.26944786310223,-0.674489750196082,-1.2306894937581
"1984-06","1984-06",1984-06-01,1984,"1984",1.31,15.8,19.3,22.8,11.6,2.97,11.72,92.8067420053445,-2.37286296308829,0.602497284757567,-1.26465749631832
"1984-07","1984-07",1984-07-01,1984,"1984",0.49,19.2,23.1,26.9,14.8,3.56,16.51,128.051136832719,-2.39673298734164,0.443138125883472,-2.07269772185952
"1984-08","1984-08",1984-08-01,1984,"1984",0.24,19,22.9,26.7,16,2.42,13.73,119.886820459707,-2.31892605344664,0.373087170592392,-1.96200429279071
"1984-09","1984-09",1984-09-01,1984,"1984",2.89,19.4,24,28.5,15.7,3.23,19.58,115.986275778001,-2.24828593506605,0.652287873371546,-2.57246024766628
"1984-10","1984-10",1984-10-01,1984,"1985",5.51,12.9,18.1,23.4,7.9,3.11,16.56,68.2737155287885,-2.26426139916079,0.347049512415493,0.154560474510095
"1984-11","1984-11",1984-11-01,1984,"1985",37.68,9.1,14.2,19.4,5.9,2.03,11.78,40.7120378447466,-1.77527941526319,0.807641142737103,1.05114196617422
"1984-12","1984-12",1984-12-01,1984,"1985",107.34,7.6,12.4,17.2,4,1.93,10.19,32.2753897771077,-0.654137960346792,1.36217911409885,1.48925745816935
"1985-01","1985-01",1985-01-01,1985,"1985",19.91,6.3,12.1,17.9,2.5,1.91,12.06,31.5822035233017,-1.10172132460706,-0.423203048695062,-0.391623444341934
"1985-02","1985-02",1985-02-01,1985,"1985",22.98,7.6,12.8,18,2.8,2.21,12.1,33.4296381688378,-1.46849250117447,-0.556504833189059,-0.60217111356387
"1985-03","1985-03",1985-03-01,1985,"1985",13.51,6.3,11.8,17.3,4.4,1.55,9.71,35.1889431377136,-1.59854401753812,-0.433335966175538,-0.023120692325669
"1985-04","1985-04",1985-04-01,1985,"1985",3.85,10.3,15.3,20.3,7,1.48,12.28,57.3316074836319,-1.76314854611512,-0.70944541160664,-0.651086827624956
"1985-05","1985-05",1985-05-01,1985,"1985",0,12.7,15.8,19,9.1,2.08,8.43,66.6402505615258,-1.85469976107618,-0.674489750196082,0.00230430135645102
"1985-06","1985-06",1985-06-01,1985,"1985",0,14.1,17.8,21.4,11.5,1.53,9.55,81.0462708026271,-1.8947365778512,0,0.24645803259635
"1985-07","1985-07",1985-07-01,1985,"1985",0,18,21.7,25.4,13.9,3.13,15.18,115.321423146971,-1.90649717453006,-0.210428394247925,-1.30679115667859
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.2,20.1,24.1,13,2.39,13.38,96.3638413890789,-1.85612092595633,0.210428394247925,0.531509061542045
"1985-09","1985-09",1985-09-01,1985,"1985",5.42,14.7,19.2,23.6,11.6,2.25,14.25,79.8189058432634,-1.63778615366589,0.882929281672163,0.839564944790647
"1985-10","1985-10",1985-10-01,1985,"1986",3.41,13.3,18.5,23.8,9.6,2.34,16.33,70.8194051344787,-1.75452040119125,0.197644629169208,-0.226476148787437
"1985-11","1985-11",1985-11-01,1985,"1986",98.42,9.2,14.1,18.9,6.2,1.5,11.32,40.2330188528161,0.765152345445771,2.1015238368778,2.1528814214669
"1985-12","1985-12",1985-12-01,1985,"1986",28.31,7.1,13.6,20.1,3.5,1.7,14.92,37.6754234388797,-0.409472337643464,-0.17092267805476,-0.385246715729839
"1986-01","1986-01",1986-01-01,1986,"1986",21.61,9.2,15,20.9,5.1,1.92,14.95,45.2592366790483,-0.91415063749734,-0.370993982065451,-0.81206359539609
"1986-02","1986-02",1986-02-01,1986,"1986",81.48,8.4,13.5,18.6,7.1,0.77,9.83,36.5475649377824,0.13402116059007,0.682386445820827,0.681818150892112
"1986-03","1986-03",1986-03-01,1986,"1986",81.31,9.8,14.1,18.3,8.3,0.94,8.42,47.4162463467957,0.534571130176457,1.25505544813131,1.33901487956498
"1986-04","1986-04",1986-04-01,1986,"1986",18.93,9.7,14.9,20.2,8.1,1.61,12.16,54.8435747093283,0.699881392605123,0.368043988640214,0.339422205909269
"1986-05","1986-05",1986-05-01,1986,"1986",0,11.8,16,20.3,10.3,2.52,9.3,68.0590135906918,0.897310624616872,-0.674489750196082,-0.114471845094603
"1986-06","1986-06",1986-06-01,1986,"1986",0,15,18.2,21.3,12.8,2.75,7.95,84.1195175361702,0.977360132470909,0,-0.158539579001664
"1986-07","1986-07",1986-07-01,1986,"1986",0.64,15.3,19,22.7,13.6,2.56,8.97,92.3137040376274,0.969866662112366,0.511198174912249,1.09411095272541
"1986-08","1986-08",1986-08-01,1986,"1986",0,15.9,19.8,23.7,14.3,2.47,10.02,93.9672422022825,0.929924909353709,0.210428394247925,0.838476866811423
"1986-09","1986-09",1986-09-01,1986,"1986",21.89,12.9,17.1,21.4,11.4,2.11,9.24,65.7441119656811,1.32598869194926,1.76358910350251,2.86492342775131
"1986-10","1986-10",1986-10-01,1986,"1987",11.38,11,16.6,22.1,9.7,1.75,12.23,59.065251758063,1.31750646847155,0.627330909791605,0.918954960485889
"1986-11","1986-11",1986-11-01,1986,"1987",27.2,9.3,16.4,23.5,5.4,2.12,18.72,51.818898952874,0.0061103484092595,0.467255725633842,0.25337674302658
"1986-12","1986-12",1986-12-01,1986,"1987",32.87,4.6,12.6,20.6,3.7,1.34,15.28,33.1519558670771,-0.142589107285168,-0.0330126877859671,-0.0993907776299004
"1987-01","1987-01",1987-01-01,1987,"1987",48.86,5.5,11.8,18.1,1.9,1.69,12.68,30.2818170915444,-0.160274734451306,0.220049684772375,0.36272108391783
"1987-02","1987-02",1987-02-01,1987,"1987",40.34,6.1,12.6,19.1,4.3,1.61,13.11,32.5594675371881,-0.2949720374254,-0.0653300020158777,-0.105064598860732
"1987-03","1987-03",1987-03-01,1987,"1987",26.58,7.6,13.2,18.7,7.3,1.25,10.56,42.4574023694251,-0.356806548311616,0.0922255933181868,0.195363615266526
"1987-04","1987-04",1987-04-01,1987,"1987",9.04,10.2,15.9,21.5,7.8,2.09,14.57,61.146572067641,-0.727373706232333,-0.199631676542187,-0.560673357185853
"1987-05","1987-05",1987-05-01,1987,"1987",0.33,13.4,16.8,20.1,10.6,2.4,8.25,73.85375844104,-1.17701087811386,-0.410712229271869,-0.563480985119814
