PRISM Time Series Data
Location:  Lat: 34.4584   Lon: -120.0015   Elev: 48m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,1.74,7.4,12.9,18.4,3.7,1.94,11.86
1984-02,4.36,6.6,12.4,18.2,2.5,2.05,12.24
1984-03,14.10,8.8,14.3,19.8,5.5,1.67,13.33
1984-04,4.83,8.7,14.3,19.9,3.6,2.63,14.54
1984-05,0.00,10.9,16.5,22.1,7.9,2.10,13.96
1984-06,0.00,12.3,16.5,20.7,9.7,1.74,10.60
1984-07,0.72,14.5,18.7,22.9,12.6,1.07,10.75
1984-08,3.37,15.4,19.8,24.1,13.8,1.45,12.01
1984-09,9.69,17.0,22.2,27.5,13.6,3.04,18.88
1984-10,13.53,11.3,16.6,21.9,6.2,3.23,15.45
1984-11,62.91,8.6,13.2,17.9,5.1,2.11,10.11
1984-12,121.56,7.0,11.1,15.1,2.9,2.15,8.03
1985-01,20.67,6.5,11.0,15.5,1.7,2.31,9.20
1985-02,54.20,6.7,11.6,16.5,1.8,2.30,10.24
1985-03,41.05,6.8,11.4,16.0,2.8,1.98,9.26
1985-04,1.51,9.5,14.2,19.0,5.3,2.10,12.08
1985-05,0.00,9.3,13.8,18.4,5.5,2.25,10.35
1985-06,0.00,12.0,16.6,21.2,9.4,1.52,10.90
1985-07,0.00,14.1,19.2,24.3,10.9,2.16,16.65
1985-08,0.00,12.6,17.8,22.9,10.8,1.85,13.57
1985-09,1.95,12.6,17.8,23.0,9.5,2.63,14.54
1985-10,13.45,10.8,16.4,22.1,7.4,2.45,15.09
1985-11,108.82,7.9,12.9,17.8,4.7,1.61,10.56
1985-12,28.16,6.6,12.4,18.1,3.0,1.69,12.08
1986-01,50.20,8.9,13.8,18.7,5.5,1.61,11.13
1986-02,202.43,9.5,13.3,17.1,5.7,1.26,8.63
1986-03,156.07,9.7,13.7,17.7,7.2,1.06,8.33
1986-04,13.91,9.4,14.2,19.0,6.9,1.69,11.43
1986-05,0.00,9.5,14.4,19.4,8.7,1.08,9.81
1986-06,0.00,11.7,16.3,21.0,11.4,0.83,9.88
1986-07,0.00,12.3,17.2,22.2,11.8,0.99,11.08
1986-08,0.00,12.8,17.6,22.4,12.2,0.66,11.54
1986-09,36.74,11.6,16.5,21.4,10.6,1.50,11.35
1986-10,0.02,11.4,16.7,22.1,10.3,1.29,13.74
1986-11,21.50,9.8,15.7,21.6,6.6,2.10,16.24
1986-12,13.99,7.1,12.8,18.5,5.4,1.00,11.23
1987-01,39.88,5.5,10.8,16.1,2.8,1.47,9.77
1987-02,59.04,7.5,12.6,17.6,3.7,2.22,11.81
1987-03,111.76,7.7,12.6,17.5,5.5,1.63,9.78
1987-04,1.38,9.6,15.2,20.9,7.8,1.44,14.04
1987-05,1.24,11.6,16.1,20.5,9.6,1.77,10.63
1987-06,0.00,11.9,16.0,20.2,10.7,1.12,9.31
1987-07,0.10,11.8,16.6,21.4,11.5,0.99,10.02
1987-08,0.00,12.5,17.4,22.4,12.5,0.98,11.13
1987-09,0.00,12.9,17.7,22.5,12.6,1.16,10.87
1987-10,48.76,13.8,18.4,23.1,13.0,1.30,12.46
