PRISM Time Series Data
Location:  Lat: 33.2935   Lon: -117.4659   Elev: 23m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.69,8.1,14.5,20.9,2.4,2.78,16.21
1984-02,1.83,6.9,13.7,20.5,2.2,2.13,15.84
1984-03,0.88,8.9,14.7,20.6,5.9,1.60,13.79
1984-04,16.39,10.7,15.5,20.4,6.4,2.15,13.34
1984-05,0.00,13.2,17.9,22.6,10.6,1.92,12.46
1984-06,1.31,15.8,19.3,22.8,11.6,2.96,11.75
1984-07,0.53,19.2,23.1,27.0,14.8,3.55,16.56
1984-08,0.27,19.1,22.9,26.8,16.0,2.42,13.76
1984-09,2.91,19.4,24.0,28.6,15.7,3.25,19.69
1984-10,5.57,12.9,18.1,23.4,7.9,3.11,16.56
1984-11,37.83,9.1,14.2,19.4,5.9,2.05,11.80
1984-12,107.95,7.6,12.4,17.2,4.0,1.94,10.19
1985-01,19.92,6.3,12.1,17.9,2.5,1.92,12.07
1985-02,23.19,7.6,12.8,18.0,2.7,2.22,12.12
1985-03,13.66,6.3,11.8,17.3,4.4,1.55,9.70
1985-04,3.86,10.3,15.3,20.3,7.1,1.49,12.29
1985-05,0.00,12.7,15.9,19.0,9.1,2.07,8.43
1985-06,0.00,14.1,17.8,21.5,11.5,1.54,9.62
1985-07,0.00,18.0,21.7,25.5,13.9,3.13,15.27
1985-08,0.00,16.2,20.2,24.1,13.0,2.39,13.47
1985-09,5.49,14.7,19.2,23.6,11.6,2.26,14.32
1985-10,3.48,13.3,18.5,23.8,9.6,2.36,16.34
1985-11,98.63,9.2,14.1,18.9,6.1,1.53,11.35
