"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.69,8.1,14.5,20.9,2.4,2.78,16.21,42.7099286744877,-0.82130263315933,-1.19654085618601,-1.45687453375645
"1984-02","1984-02",1984-02-01,1984,"1984",1.83,6.9,13.7,20.5,2.2,2.13,15.84,37.4102393075337,-1.52665220501198,-2.10494348723829,-1.40668537115769
"1984-03","1984-03",1984-03-01,1984,"1984",0.88,8.9,14.7,20.6,5.9,1.6,13.79,50.7851422870782,-2.03475863634788,-1.87260355684008,-1.56021616971064
"1984-04","1984-04",1984-04-01,1984,"1984",16.39,10.7,15.5,20.4,6.4,2.15,13.34,58.5313010088381,-2.10675104841967,0.244785882769038,0.0310851757337701
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.2,17.9,22.6,10.6,1.92,12.46,82.0679180352148,-2.33915598746253,-0.674489750196082,-1.22876573864604
"1984-06","1984-06",1984-06-01,1984,"1984",1.31,15.8,19.3,22.8,11.6,2.96,11.75,92.7503849800891,-2.44609400052636,0.601652164428636,-1.26121355188
"1984-07","1984-07",1984-07-01,1984,"1984",0.53,19.2,23.1,27,14.8,3.55,16.56,128.01765738223,-2.46899698530362,0.457045422775427,-2.07423339837924
"1984-08","1984-08",1984-08-01,1984,"1984",0.27,19.1,22.9,26.8,16,2.42,13.76,119.852813752541,-2.38719969188993,0.386582894635612,-1.94499415933223
"1984-09","1984-09",1984-09-01,1984,"1984",2.91,19.4,24,28.6,15.7,3.25,19.69,115.962892064167,-2.31423740170915,0.650547353615953,-2.56603560049863
"1984-10","1984-10",1984-10-01,1984,"1985",5.57,12.9,18.1,23.4,7.9,3.11,16.56,68.2220339390138,-2.33083649772067,0.341556509605948,0.163284166260329
"1984-11","1984-11",1984-11-01,1984,"1985",37.83,9.1,14.2,19.4,5.9,2.05,11.8,40.6617397202995,-1.8375669265578,0.815224822708147,1.05574061462858
"1984-12","1984-12",1984-12-01,1984,"1985",107.95,7.6,12.4,17.2,4,1.94,10.19,32.2269006733555,-0.713823760338797,1.36442708970515,1.49217022482048
"1985-01","1985-01",1985-01-01,1985,"1985",19.92,6.3,12.1,17.9,2.5,1.92,12.07,31.5333518845797,-1.17284059124628,-0.423735980754299,-0.386856173770838
"1985-02","1985-02",1985-02-01,1985,"1985",23.19,7.6,12.8,18,2.7,2.22,12.12,33.3818471418509,-1.54901750288868,-0.55524497070574,-0.598952147091698
"1985-03","1985-03",1985-03-01,1985,"1985",13.66,6.3,11.8,17.3,4.4,1.55,9.7,35.1334840674383,-1.67694351310258,-0.427857214724554,-0.0189259815261536
"1985-04","1985-04",1985-04-01,1985,"1985",3.86,10.3,15.3,20.3,7.1,1.49,12.29,57.2705294369207,-1.83925359719564,-0.709365726781554,-0.639237707594545
"1985-05","1985-05",1985-05-01,1985,"1985",0,12.7,15.9,19,9.1,2.07,8.43,67.2818329849204,-1.93095514672537,-0.674489750196082,-0.0516000683174503
"1985-06","1985-06",1985-06-01,1985,"1985",0,14.1,17.8,21.5,11.5,1.54,9.62,80.9843968446806,-1.97150369225513,0,0.246989712365741
"1985-07","1985-07",1985-07-01,1985,"1985",0,18,21.7,25.5,13.9,3.13,15.27,115.277348239582,-1.98239620373149,-0.210428394247925,-1.30205531614863
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.2,20.2,24.1,13,2.39,13.47,97.1170025924612,-1.92999483023105,0.210428394247925,0.439626224301609
"1985-09","1985-09",1985-09-01,1985,"1985",5.49,14.7,19.2,23.6,11.6,2.26,14.32,79.7684206251887,-1.70495592204884,0.884837239846967,0.864248925449681
"1985-10","1985-10",1985-10-01,1985,"1986",3.48,13.3,18.5,23.8,9.6,2.36,16.34,70.7687847985976,-1.82364072960037,0.19383461263823,-0.21501666422393
"1985-11","1985-11",1985-11-01,1985,"1986",98.63,9.2,14.1,18.9,6.1,1.53,11.35,40.182763943875,0.796115495771531,2.08047364844769,2.15539271034817
"1985-12","1985-12",1985-12-01,1985,"1986",28.37,7.1,13.6,20.1,3.5,1.72,14.95,37.6255351297455,-0.420538160677086,-0.173486258726334,-0.383476387984892
"1986-01","1986-01",1986-01-01,1986,"1986",21.65,9.2,15.1,20.9,5.1,1.95,14.99,45.7144592915,-0.942249252344586,-0.370650254233378,-0.823043955245328
"1986-02","1986-02",1986-02-01,1986,"1986",82.03,8.4,13.5,18.6,7.1,0.78,9.84,36.4990705446249,0.140723081326522,0.683608201227985,0.686085776430875
"1986-03","1986-03",1986-03-01,1986,"1986",81.58,9.9,14.1,18.4,8.3,0.95,8.45,47.357805172065,0.557200286750734,1.25390276806662,1.33858296905616
