PRISM Time Series Data
Location:  Lat: 33.1782   Lon: -117.3682   Elev: 13m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,5.23,7.9,14.0,20.0,3.2,2.38,14.59
1984-02,2.49,6.9,13.2,19.4,2.8,1.99,14.05
1984-03,0.07,9.0,14.3,19.6,6.4,1.39,11.86
1984-04,18.79,11.0,15.1,19.2,6.9,2.11,11.09
1984-05,0.00,13.4,17.3,21.3,11.0,1.77,9.77
1984-06,1.48,16.0,19.0,21.9,12.0,2.95,10.10
1984-07,0.02,19.5,22.8,26.0,15.7,3.10,13.59
1984-08,0.18,19.6,22.8,26.0,16.3,2.80,11.75
1984-09,1.65,19.7,23.6,27.6,16.5,2.98,16.52
1984-10,7.85,13.1,17.8,22.6,9.0,2.71,14.51
1984-11,35.04,8.9,13.8,18.6,6.3,1.83,10.29
1984-12,112.55,7.4,12.0,16.6,4.5,1.65,9.08
1985-01,16.28,6.1,11.5,17.0,2.9,1.68,10.79
1985-02,26.68,7.6,12.2,16.7,3.0,2.17,10.26
1985-03,11.55,6.5,11.2,15.9,4.9,1.43,7.65
1985-04,5.06,10.6,14.3,18.0,7.4,1.52,8.66
1985-05,0.00,12.9,15.3,17.7,9.0,2.34,6.60
1985-06,0.01,14.4,17.1,19.8,11.4,1.82,6.92
1985-07,0.00,18.4,21.2,23.9,14.3,3.14,11.70
1985-08,0.00,16.8,19.8,22.7,13.3,2.85,10.89
1985-09,4.07,15.0,18.8,22.6,12.1,2.19,11.97
1985-10,6.15,13.4,18.0,22.7,10.2,2.19,13.89
1985-11,93.45,8.9,13.5,18.1,6.2,1.40,10.04
1985-12,34.53,7.0,12.6,18.2,3.8,1.50,12.35
1986-01,18.38,9.1,14.1,19.1,5.3,1.79,12.59
1986-02,83.11,8.3,12.8,17.3,7.3,0.72,7.98
