"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",5.23,7.9,14,20,3.2,2.38,14.59,42.5065073106086,-0.758660909783038,-1.16722026878063,-1.56262043496049
"1984-02","1984-02",1984-02-01,1984,"1984",2.49,6.9,13.2,19.4,2.8,1.99,14.05,37.2696683535448,-1.46374628047979,-2.00566851353426,-1.46611668759119
"1984-03","1984-03",1984-03-01,1984,"1984",0.07,9,14.3,19.6,6.4,1.39,11.86,51.0560453567042,-1.99135567296541,-1.886406872134,-1.77345156009212
"1984-04","1984-04",1984-04-01,1984,"1984",18.79,11,15.1,19.2,6.9,2.11,11.09,58.7005098582201,-2.05923659822853,0.316887901171735,0.0412180125480019
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.4,17.3,21.3,11,1.77,9.77,80.2897949970884,-2.30494458002987,-0.589455797849779,-1.20012750922205
"1984-06","1984-06",1984-06-01,1984,"1984",1.48,16,19,21.9,12,2.95,10.1,92.8576938248864,-2.40814766833119,0.764117874070729,-1.61549983395363
"1984-07","1984-07",1984-07-01,1984,"1984",0.02,19.5,22.8,26,15.7,3.1,13.59,126.811953342598,-2.45077044732463,0.603655880807855,-2.07799667765111
"1984-08","1984-08",1984-08-01,1984,"1984",0.18,19.6,22.8,26,16.3,2.8,11.75,120.49280084928,-2.36450103232448,0.430324625788233,-2.06457903657388
"1984-09","1984-09",1984-09-01,1984,"1984",1.65,19.7,23.6,27.6,16.5,2.98,16.52,113.891116503341,-2.35903923948597,0.507764384539042,-2.58191573910647
"1984-10","1984-10",1984-10-01,1984,"1985",7.85,13.1,17.8,22.6,9,2.71,14.51,68.6166924170063,-2.38385731892223,0.309479011845554,-0.0165794011330517
"1984-11","1984-11",1984-11-01,1984,"1985",35.04,8.9,13.8,18.6,6.3,1.83,10.29,40.9571382925707,-1.96537566177726,0.774379452277901,0.963296395826848
"1984-12","1984-12",1984-12-01,1984,"1985",112.55,7.4,12,16.6,4.5,1.65,9.08,32.6123159358373,-0.892993974488355,1.36375314275259,1.48878351758757
"1985-01","1985-01",1985-01-01,1985,"1985",16.28,6.1,11.5,17,2.9,1.68,10.79,31.0636045500353,-1.34369613597788,-0.547197022364543,-0.583785668173031
"1985-02","1985-02",1985-02-01,1985,"1985",26.68,7.6,12.2,16.7,3,2.17,10.26,32.8705599118333,-1.68681605233658,-0.482641729975545,-0.585401025051711
"1985-03","1985-03",1985-03-01,1985,"1985",11.55,6.5,11.2,15.9,4.9,1.43,7.65,34.5828255670459,-1.81702435827538,-0.530636966698122,-0.104301484025331
"1985-04","1985-04",1985-04-01,1985,"1985",5.06,10.6,14.3,18,7.4,1.52,8.66,53.8208507993818,-1.94212536720384,-0.604523562206895,-0.483431591182709
"1985-05","1985-05",1985-05-01,1985,"1985",0,12.9,15.3,17.7,9,2.34,6.6,66.0078540053388,-2.00351370818668,-0.589455797849779,-0.0370081962313253
"1985-06","1985-06",1985-06-01,1985,"1985",0.01,14.4,17.1,19.8,11.4,1.82,6.92,78.4992561754277,-2.00797225000698,0.134474364323391,0.356579977391645
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.4,21.2,23.9,14.3,3.14,11.7,112.922662805174,-1.99112362679382,-0.0696849203184557,-1.32176285432429
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.8,19.8,22.7,13.3,2.85,10.89,96.2226469482846,-1.92885138549976,0.355490417839531,0.294073828522545
"1985-09","1985-09",1985-09-01,1985,"1985",4.07,15,18.8,22.6,12.1,2.19,11.97,79.2580797889238,-1.78860634312271,0.793778914487875,0.549108447531423
"1985-10","1985-10",1985-10-01,1985,"1986",6.15,13.4,18,22.7,10.2,2.19,13.89,69.8499742643963,-1.8918040640645,0.216001501417902,-0.256317430043068
"1985-11","1985-11",1985-11-01,1985,"1986",93.45,8.9,13.5,18.1,6.2,1.4,10.04,39.5467917600321,0.759993046851108,2.03618667201714,2.13563476093694
"1985-12","1985-12",1985-12-01,1985,"1986",34.53,7,12.6,18.2,3.8,1.5,12.35,35.2504194490726,-0.280215994480352,-0.0798277205801425,-0.319715928141877
"1986-01","1986-01",1986-01-01,1986,"1986",18.38,9.1,14.1,19.1,5.3,1.79,12.59,42.9915996892714,-0.789641736633874,-0.470619455149942,-0.961540029697051
"1986-02","1986-02",1986-02-01,1986,"1986",83.11,8.3,12.8,17.3,7.3,0.72,7.98,35.4853438817668,0.133216832364581,0.659168391601978,0.64867822886747
"1986-03","1986-03",1986-03-01,1986,"1986",77.24,9.9,13.6,17.3,8.3,0.96,6.99,47.1297835698511,0.535032238282979,1.23684982993626,1.31648316251311
"1986-04","1986-04",1986-04-01,1986,"1986",20.38,9.9,14.3,18.8,8.2,1.66,9.95,53.8208507993818,0.701225808234132,0.389625820812095,0.36270425940183
"1986-05","1986-05",1986-05-01,1986,"1986",0,12.1,15.6,19,10.4,2.09,7.01,68.083336533164,0.908504853846773,-0.589455797849779,-0.216908912741634
"1986-06","1986-06",1986-06-01,1986,"1986",0,15.3,17.6,20,12.8,2.91,5.74,82.1903846886791,0.998496746275249,0,-0.200538967863906
"1986-07","1986-07",1986-07-01,1986,"1986",0.1,15.7,18.5,21.3,13.7,2.71,6.29,90.8770461292622,0.989265865247701,0.769375574351404,1.03445033969341
"1986-08","1986-08",1986-08-01,1986,"1986",0,16.5,19.3,22,14.4,2.72,6.57,92.3778216259091,0.953754031202704,0.355490417839531,0.8027313867181
"1986-09","1986-09",1986-09-01,1986,"1986",25.54,13.4,16.9,20.3,11.9,2.35,6.57,66.8763038629028,1.4307543108876,1.82204690873409,3.15257551689534
"1986-10","1986-10",1986-10-01,1986,"1987",8.76,11.3,16,20.7,10.3,1.85,9.11,57.8911876751187,-0.100545456688888,0.354175288345427,0.642986264723377
"1986-11","1986-11",1986-11-01,1986,"1987",26.48,8.9,15.9,22.8,5.6,1.83,17.51,51.3345081370328,-0.0992036395403349,0.491947933805146,0.181247503930602
"1986-12","1986-12",1986-12-01,1986,"1987",39.75,3.9,12,20,4,1.22,14.41,32.6123159358373,-0.209500398343317,0.061784419051172,-0.08021163719909
"1987-01","1987-01",1987-01-01,1987,"1987",46.49,5.3,11.1,16.8,2.1,1.49,11.25,29.3588681800324,-0.232357185959921,0.208403115446851,0.303601115070001
"1987-02","1987-02",1987-02-01,1987,"1987",39.6,5.9,12.1,18.2,4.9,1.34,11.35,32.4420468514741,-0.403016942305341,-0.130729988516456,-0.224712975572156
"1987-03","1987-03",1987-03-01,1987,"1987",24.02,7.7,12.5,17.4,7.6,1.12,8.14,41.1999841675213,-0.48603315485615,0.0182091399439363,0.135212622815185
"1987-04","1987-04",1987-04-01,1987,"1987",10.97,10.4,14.9,19.4,8.4,1.78,10.44,57.4658247617948,-0.799284590532825,-0.114524035043315,-0.339477186713345
"1987-05","1987-05",1987-05-01,1987,"1987",0.08,13.8,16.3,18.8,11.4,2.03,4.92,73.018595482101,-1.23182800067675,-0.459691561511367,-0.628099871083127
"1987-06","1987-06",1987-06-01,1987,"1987",0,14.7,17.1,19.4,12.3,2.29,5,78.4992561754277,-1.46800418371291,0,0.355148404655502
