PRISM Time Series Data
Location:  Lat: 33.7572   Lon: -118.1016   Elev: 3m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,9.59,8.6,14.8,20.9,2.9,2.78,16.12
1984-02,0.23,8.5,14.6,20.7,2.8,2.52,16.16
1984-03,3.30,10.7,16.3,21.8,6.0,2.36,16.00
1984-04,20.88,11.3,16.3,21.4,6.2,2.44,15.79
1984-05,0.00,14.5,19.4,24.4,10.4,2.82,17.42
1984-06,0.00,16.4,20.2,23.9,11.6,3.42,14.40
1984-07,0.00,19.2,23.8,28.4,14.3,3.80,21.91
1984-08,2.32,20.1,24.2,28.2,16.7,2.69,16.68
1984-09,1.52,20.7,25.5,30.3,16.6,3.59,23.76
1984-10,7.51,14.3,19.1,23.9,8.6,3.46,17.17
1984-11,38.96,9.6,14.6,19.7,6.3,1.97,12.12
1984-12,124.25,7.8,12.5,17.3,4.6,1.68,9.96
1985-01,26.89,7.7,12.8,18.0,3.1,2.19,12.02
1985-02,42.22,8.1,13.3,18.6,3.2,2.23,13.12
1985-03,17.84,8.1,12.9,17.6,5.2,1.51,10.17
1985-04,0.00,11.5,16.7,21.8,7.4,1.84,15.12
1985-05,2.95,13.1,17.0,20.9,10.0,1.56,11.02
1985-06,0.00,15.6,19.5,23.3,12.7,1.50,13.67
1985-07,0.00,18.6,23.2,27.8,14.5,2.70,22.31
1985-08,0.00,17.1,21.5,25.9,13.9,2.27,18.10
1985-09,3.64,16.4,20.9,25.4,12.7,2.47,17.38
1985-10,3.80,14.7,19.8,24.9,10.6,2.49,17.85
1985-11,97.59,10.2,14.8,19.3,7.2,1.46,11.14
1985-12,17.33,8.3,14.3,20.3,4.0,2.10,15.04
1986-01,29.07,10.6,16.1,21.5,6.2,2.11,15.37
1986-02,142.18,9.9,14.6,19.3,8.0,0.85,10.22
1986-03,75.74,10.9,15.4,19.8,9.3,0.92,10.26
1986-04,11.22,11.7,16.6,21.5,9.3,1.67,13.61
1986-05,0.00,13.5,17.9,22.3,11.2,2.00,13.24
1986-06,0.00,15.8,19.3,22.9,13.7,2.19,12.29
1986-07,3.96,16.9,21.2,25.5,14.3,2.49,15.44
1986-08,0.00,17.2,22.3,27.4,15.3,1.96,18.32
1986-09,36.20,15.2,19.2,23.3,13.1,1.85,12.65
1986-10,6.26,13.5,18.7,23.9,11.6,1.38,15.58
1986-11,23.88,11.4,17.4,23.5,7.0,2.53,18.62
1986-12,12.49,8.1,13.9,19.8,5.8,1.49,13.24
1987-01,55.92,6.8,12.4,18.0,4.1,1.55,11.71
1987-02,27.94,8.5,13.8,19.2,4.5,2.44,13.73
1987-03,20.53,9.5,14.5,19.4,6.5,2.21,12.85
1987-04,2.37,12.6,17.5,22.5,8.6,2.77,18.19
1987-05,0.00,14.1,17.8,21.4,11.0,2.12,11.05
1987-06,1.74,15.1,18.9,22.7,12.3,2.12,11.90
1987-07,1.50,15.6,19.3,23.0,12.7,2.25,12.08
1987-08,1.48,16.5,20.7,25.0,14.0,2.39,14.92
1987-09,0.00,16.6,21.4,26.2,14.5,2.37,16.79
1987-10,17.74,16.0,20.5,24.9,13.7,1.93,16.12
1987-11,38.09,10.8,16.0,21.1,8.3,1.92,13.88
1987-12,41.10,6.3,11.1,16.0,3.2,1.57,9.71
1988-01,40.26,7.1,12.8,18.5,2.9,2.20,13.92
1988-02,21.90,8.9,15.1,21.2,3.5,2.83,17.48
1988-03,9.71,10.3,16.2,22.1,5.5,2.82,18.16
1988-04,37.38,11.5,16.2,20.9,8.9,1.79,13.76
1988-05,0.00,12.9,17.4,22.0,9.8,2.33,14.11
1988-06,0.00,13.9,18.0,22.1,11.6,2.22,12.60
1988-07,0.00,18.0,21.7,25.4,16.2,2.19,12.65
1988-08,0.77,17.3,21.3,25.3,15.5,2.24,13.57
1988-09,0.93,16.2,20.7,25.2,14.2,2.55,16.91
1988-10,0.00,15.2,19.3,23.3,12.3,2.86,14.58
1988-11,17.97,10.4,15.1,19.8,8.9,2.05,12.20
1988-12,49.78,7.6,13.0,18.4,2.6,2.82,14.67
1989-01,13.27,6.0,12.0,17.9,1.5,2.36,14.25
1989-02,29.36,7.5,12.5,17.6,5.2,1.49,11.46
1989-03,17.14,10.3,15.1,20.0,8.6,1.13,11.63
1989-04,0.00,13.8,18.7,23.5,9.2,3.49,18.97
1989-05,0.00,13.6,17.7,21.8,10.3,2.58,13.02
1989-06,0.00,15.5,18.9,22.2,12.4,2.82,13.14
1989-07,0.00,17.4,21.8,26.3,15.1,2.29,15.69
1989-08,0.00,17.3,21.4,25.5,14.9,3.08,15.87
1989-09,8.18,16.0,21.3,26.6,14.2,2.07,19.44
1989-10,11.74,14.1,18.8,23.4,11.7,2.36,15.05
1989-11,3.98,12.0,18.0,24.0,5.0,3.27,21.35
1989-12,0.00,8.3,14.9,21.6,3.8,2.47,19.22
1990-01,35.92,7.7,13.6,19.4,4.8,1.65,14.04
1990-02,56.21,7.6,12.6,17.6,4.7,1.38,11.93
1990-03,2.03,10.4,14.8,19.3,7.7,1.72,12.12
1990-04,9.40,13.3,17.0,20.6,11.2,1.85,10.93
1990-05,20.71,14.0,17.7,21.4,10.7,2.71,13.29
1990-06,0.32,16.3,20.6,25.0,12.8,2.97,17.72
1990-07,0.00,19.0,22.9,26.7,15.9,2.99,17.23
1990-08,0.28,18.4,21.8,25.2,15.8,2.93,13.81
1990-09,0.00,17.7,22.2,26.7,15.8,2.23,17.33
1990-10,0.00,15.2,20.4,25.6,11.9,2.74,19.18
1990-11,5.01,10.8,17.0,23.3,5.4,3.11,20.06
1990-12,1.21,6.6,12.9,19.3,-0.9,3.39,16.98
1991-01,36.03,8.5,13.5,18.6,5.4,1.73,12.33
1991-02,51.71,10.3,15.7,21.0,7.9,1.41,14.91
1991-03,165.47,9.0,13.2,17.4,5.6,1.85,10.55
1991-04,0.41,11.1,15.4,19.7,7.8,1.74,11.90
1991-05,0.00,12.5,16.2,19.9,8.7,2.55,11.93
1991-06,0.00,14.1,17.2,20.3,11.2,2.47,9.87
1991-07,2.44,16.3,19.3,22.3,13.5,2.66,10.22
1991-08,0.00,16.9,20.4,24.0,14.6,2.22,11.48
1991-09,1.48,16.5,20.3,24.0,14.8,1.80,11.69
1991-10,1.41,14.8,19.6,24.5,13.1,1.59,14.42
1991-11,0.85,10.2,16.4,22.7,4.8,2.20,16.55
1991-12,43.02,8.5,13.7,18.9,5.8,1.84,11.23
1992-01,37.27,7.2,13.5,19.8,5.5,1.48,11.72
1992-02,133.46,10.3,15.3,20.3,7.1,2.13,11.81
1992-03,108.99,11.1,14.8,18.6,9.2,1.89,8.27
1992-04,5.63,13.6,18.1,22.6,11.5,2.54,11.01
1992-05,0.00,16.3,19.2,22.0,13.4,2.46,9.98
1992-06,0.00,15.2,18.9,22.7,12.3,3.28,10.71
1992-07,4.93,18.5,22.0,25.5,15.9,5.08,14.82
1992-08,0.00,20.0,23.9,27.8,16.8,3.42,18.28
1992-09,0.00,17.7,22.2,26.7,15.3,2.33,18.60
1992-10,12.87,15.1,19.2,23.2,14.1,1.57,11.86
1992-11,0.00,10.5,16.5,22.5,4.3,2.91,18.76
1992-12,80.71,6.7,12.2,17.7,2.2,2.05,13.13
1993-01,241.99,9.1,13.2,17.3,7.0,1.20,9.48
1993-02,148.45,9.6,13.6,17.6,7.0,1.66,9.92
1993-03,46.68,11.0,15.7,20.4,8.9,1.55,12.53
1993-04,0.00,11.7,16.4,21.0,9.6,1.55,13.09
1993-05,0.00,14.1,18.0,21.8,11.5,2.07,12.30
1993-06,25.59,15.8,19.5,23.1,13.7,2.09,12.17
1993-07,0.00,17.6,20.4,23.2,13.6,3.48,12.09
1993-08,0.00,17.3,20.9,24.5,15.5,1.78,12.20
1993-09,0.00,16.3,20.5,24.7,14.7,1.62,13.72
1993-10,1.55,14.8,19.4,24.0,12.9,1.43,14.90
1993-11,18.37,10.7,16.3,21.9,6.5,1.88,16.43
1993-12,25.09,7.6,13.8,19.9,3.8,1.74,15.31
1994-01,11.56,8.0,14.2,20.4,4.9,1.52,15.09
1994-02,96.12,8.4,13.0,17.7,3.5,2.11,11.72
1994-03,40.35,11.0,15.6,20.3,8.6,1.62,12.47
1994-04,20.79,12.1,15.5,19.0,9.4,1.85,9.34
1994-05,4.73,14.0,16.7,19.4,11.2,1.85,8.55
1994-06,0.00,15.8,19.8,23.8,13.6,2.01,13.60
1994-07,0.00,17.4,20.4,23.5,14.7,2.83,11.03
1994-08,0.00,18.5,23.0,27.4,16.2,2.48,18.03
1994-09,0.00,16.8,21.3,25.8,14.5,2.35,16.32
1994-10,4.47,13.7,18.4,23.1,10.5,2.49,15.97
1994-11,18.16,7.5,13.2,18.9,3.3,2.06,14.33
1994-12,20.52,8.2,13.3,18.4,5.5,1.44,11.89
1995-01,337.82,9.5,12.9,16.3,8.7,0.91,6.34
1995-02,27.92,11.4,16.0,20.7,9.6,1.46,12.69
1995-03,142.70,11.1,15.1,19.2,8.5,1.61,10.40
1995-04,15.98,10.6,15.3,19.9,6.9,2.06,13.37
1995-05,6.81,12.7,15.5,18.4,10.0,2.00,7.78
1995-06,20.08,14.8,18.2,21.6,12.4,2.30,10.33
1995-07,1.15,16.9,21.1,25.3,14.3,2.78,14.73
1995-08,0.00,17.1,22.0,27.0,14.4,2.75,18.42
1995-09,0.00,17.5,22.0,26.6,15.0,2.72,17.48
1995-10,0.00,15.1,19.4,23.7,12.8,2.09,13.90
1995-11,0.00,12.1,16.8,21.5,10.7,1.57,11.64
1995-12,32.20,9.4,14.4,19.3,7.7,1.71,11.13
1996-01,34.55,8.8,14.0,19.2,6.3,1.77,12.85
1996-02,106.79,10.8,14.7,18.6,8.8,1.62,9.49
1996-03,47.98,10.3,15.0,19.8,7.8,1.87,12.20
1996-04,13.17,12.0,17.3,22.7,8.7,2.15,17.12
1996-05,0.00,14.5,18.6,22.8,12.1,2.37,14.02
1996-06,0.00,16.1,20.2,24.3,13.0,3.15,14.81
1996-07,0.00,17.4,21.6,25.9,14.4,3.86,17.06
1996-08,0.00,18.3,22.9,27.5,15.5,3.82,18.33
1996-09,0.00,17.5,21.5,25.5,15.2,2.94,14.63
1996-10,28.03,13.5,17.9,22.3,10.0,2.49,13.31
1996-11,70.50,10.9,16.2,21.5,7.3,2.28,15.49
1996-12,80.50,8.9,13.9,19.0,6.5,1.50,10.37
1997-01,120.83,9.4,13.7,18.0,7.6,1.49,9.06
1997-02,4.36,8.6,14.1,19.7,5.7,1.90,13.35
1997-03,0.00,10.5,16.2,21.9,8.7,1.64,15.12
1997-04,0.00,11.8,16.6,21.4,9.1,2.01,13.39
1997-05,0.00,16.6,20.5,24.3,14.2,2.65,13.96
1997-06,0.00,17.8,20.5,23.2,14.4,3.51,10.94
1997-07,0.00,17.7,21.4,25.2,15.0,2.94,14.16
1997-08,0.00,19.2,23.4,27.6,16.6,2.86,17.50
1997-09,9.43,19.8,24.6,29.5,17.0,3.09,21.79
1997-10,0.00,15.3,20.4,25.4,10.8,3.54,19.68
1997-11,48.81,12.3,17.4,22.6,12.0,1.05,13.87
1997-12,115.87,8.2,13.9,19.7,4.4,1.70,13.92
1998-01,57.35,9.0,13.7,18.4,9.8,0.31,7.47
1998-02,330.18,9.1,13.1,17.2,9.0,0.47,6.94
1998-03,71.86,10.8,15.3,19.8,10.2,0.60,9.74
1998-04,33.23,10.3,14.9,19.4,8.9,1.16,10.89
1998-05,56.91,13.2,16.8,20.5,11.0,1.84,10.32
1998-06,1.02,15.7,19.1,22.6,13.1,2.14,11.20
1998-07,0.00,18.4,22.2,26.0,16.0,2.33,14.56
1998-08,0.00,19.3,23.8,28.4,16.8,2.48,19.62
1998-09,2.92,18.4,22.0,25.5,16.0,2.18,14.43
1998-10,0.00,13.7,18.6,23.5,11.5,1.49,14.69
1998-11,29.21,10.0,15.2,20.5,8.9,0.82,11.63
1998-12,21.39,6.8,12.9,19.1,3.4,1.23,14.56
1999-01,33.31,8.5,14.1,19.6,6.2,1.18,13.34
1999-02,12.38,8.4,13.4,18.4,6.1,1.09,11.11
1999-03,36.38,9.1,13.3,17.6,7.9,0.91,8.57
1999-04,41.72,9.4,14.0,18.6,6.8,1.46,11.58
1999-05,0.54,12.9,16.2,19.6,10.6,1.71,8.72
1999-06,6.90,14.3,17.8,21.3,12.2,1.54,9.79
1999-07,1.71,16.6,20.8,25.1,14.2,2.07,15.12
1999-08,0.00,16.1,20.3,24.6,14.5,1.42,13.03
1999-09,0.00,15.7,19.4,23.1,14.0,1.56,11.79
1999-10,0.00,14.6,20.6,26.7,10.7,1.81,22.80
1999-11,2.73,11.0,16.0,21.1,8.7,1.12,13.19
1999-12,0.00,7.7,14.5,21.4,1.8,2.38,18.18
2000-01,16.87,9.6,14.5,19.5,7.4,1.09,12.22
2000-02,98.03,10.3,14.5,18.6,8.0,1.34,10.76
2000-03,41.55,10.6,14.7,18.8,8.3,1.09,10.15
2000-04,24.05,12.7,17.0,21.3,10.4,1.28,12.33
2000-05,1.68,15.0,18.7,22.5,12.2,1.61,12.26
2000-06,0.00,17.5,21.0,24.5,14.5,2.37,13.47
2000-07,0.00,18.2,21.7,25.1,14.8,2.85,14.20
