"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",9.59,8.6,14.8,20.9,2.9,2.78,16.12,41.2027284900256,-0.881001161944696,-0.76678031999995,-1.18464223293437
"1984-02","1984-02",1984-02-01,1984,"1984",0.23,8.5,14.6,20.7,2.8,2.52,16.16,38.7905320518489,-1.68349628980245,-2.67474934122556,-1.45148415147913
"1984-03","1984-03",1984-03-01,1984,"1984",3.3,10.7,16.3,21.8,6,2.36,16,57.0886472894985,-2.18440210831283,-1.25360954704578,-1.42119075115221
"1984-04","1984-04",1984-04-01,1984,"1984",20.88,11.3,16.3,21.4,6.2,2.44,15.79,60.2922685356522,-2.09469147991769,0.774458127970615,0.600638180141802
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.5,19.4,24.4,10.4,2.82,17.42,90.8018116971113,-2.34897997023124,-0.282216147062508,-1.45137209987064
"1984-06","1984-06",1984-06-01,1984,"1984",0,16.4,20.2,23.9,11.6,3.42,14.4,97.2831048412261,-2.48726084699362,0.355490417839531,-1.02883941807205
"1984-07","1984-07",1984-07-01,1984,"1984",0,19.2,23.8,28.4,14.3,3.8,21.91,133.226922030374,-2.48879691152857,0.430727299295457,-1.71019413068926
"1984-08","1984-08",1984-08-01,1984,"1984",2.32,20.1,24.2,28.2,16.7,2.69,16.68,130.286513690525,0.105487857822082,2.10304989683476,-1.57957235867248
"1984-09","1984-09",1984-09-01,1984,"1984",1.52,20.7,25.5,30.3,16.6,3.59,23.76,127.798186084834,0.0409140322862744,0.664876864480592,-2.7364224221435
"1984-10","1984-10",1984-10-01,1984,"1985",7.51,14.3,19.1,23.9,8.6,3.46,17.17,71.7943554568401,0.000647335909364631,0.359899451540309,0.257486310974148
"1984-11","1984-11",1984-11-01,1984,"1985",38.96,9.6,14.6,19.7,6.3,1.97,12.12,39.66460547269,0.243041472359753,0.921822714022123,1.18532803227991
"1984-12","1984-12",1984-12-01,1984,"1985",124.25,7.8,12.5,17.3,4.6,1.68,9.96,29.8527499186578,0.889041497119265,1.48482012509226,1.60572347982529
"1985-01","1985-01",1985-01-01,1985,"1985",26.89,7.7,12.8,18,3.1,2.19,12.02,31.7691826657262,-0.621056042507668,-0.209890007118141,-0.171841684370933
"1985-02","1985-02",1985-02-01,1985,"1985",42.22,8.1,13.3,18.6,3.2,2.23,13.12,32.8240185225585,-1.04485232353948,-0.117767858714448,-0.177893553466617
"1985-03","1985-03",1985-03-01,1985,"1985",17.84,8.1,12.9,17.6,5.2,1.51,10.17,37.5488963381424,-1.10411590762338,-0.303031216705239,0.0220324777918036
"1985-04","1985-04",1985-04-01,1985,"1985",0,11.5,16.7,21.8,7.4,1.84,15.12,62.9677052229874,0.0368412196087549,-1.08532490807676,-0.920710316712278
"1985-05","1985-05",1985-05-01,1985,"1985",2.95,13.1,17,20.9,10,1.56,11.02,71.6771711002546,0.0508083169434599,0.236286256666231,0.239768931290126
"1985-06","1985-06",1985-06-01,1985,"1985",0,15.6,19.5,23.3,12.7,1.5,13.67,91.3285376961971,-0.031598407439211,0.355490417839531,-0.256862526663369
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.6,23.2,27.8,14.5,2.7,22.31,127.271937367178,-0.147634156684017,0.430727299295457,-1.37442286737547
"1985-08","1985-08",1985-08-01,1985,"1985",0,17.1,21.5,25.9,13.9,2.27,18.1,105.411526619234,-0.15881206700952,0.967421566101701,0.418163342487468
"1985-09","1985-09",1985-09-01,1985,"1985",3.64,16.4,20.9,25.4,12.7,2.47,17.38,89.4954781274105,-0.114777006265524,0.891395071382128,0.600054966862932
"1985-10","1985-10",1985-10-01,1985,"1986",3.8,14.7,19.8,24.9,10.6,2.49,17.85,76.5747296862531,-0.311973440638057,0.0922235173981376,-0.336109374946578
"1985-11","1985-11",1985-11-01,1985,"1986",97.59,10.2,14.8,19.3,7.2,1.46,11.14,40.6429636074231,0.943958591180907,2.17328278545051,2.2205904703446
"1985-12","1985-12",1985-12-01,1985,"1986",17.33,8.3,14.3,20.3,4,2.1,15.04,37.985691072945,-0.619120775766294,-0.498242912393518,-0.766421125143078
"1986-01","1986-01",1986-01-01,1986,"1986",29.07,10.6,16.1,21.5,6.2,2.11,15.37,47.9081122388217,-1.07876483551867,-0.160393512265202,-0.623624896920615
"1986-02","1986-02",1986-02-01,1986,"1986",142.18,9.9,14.6,19.3,8,0.85,10.22,38.7905320518489,0.437934567239727,1.09770023473967,1.16440018483477
"1986-03","1986-03",1986-03-01,1986,"1986",75.74,10.9,15.4,19.8,9.3,0.92,10.26,51.5672070939823,0.801510455012363,1.07339053054363,1.0896447063487
"1986-04","1986-04",1986-04-01,1986,"1986",11.22,11.7,16.6,21.5,9.3,1.67,13.61,62.2940388927825,0.991964533289853,0.238331479267739,-0.0583798437998972
"1986-05","1986-05",1986-05-01,1986,"1986",0,13.5,17.9,22.3,11.2,2,13.24,78.6148475556048,1.15415624223746,-0.282216147062508,-0.491779796189318
"1986-06","1986-06",1986-06-01,1986,"1986",0,15.8,19.3,22.9,13.7,2.19,12.29,89.6577969396668,1.13777312301557,0.355490417839531,-0.0528051500912955
"1986-07","1986-07",1986-07-01,1986,"1986",3.96,16.9,21.2,25.5,14.3,2.49,15.44,108.296586164268,1.17742343970832,1.27836571545491,0.449554780032991
"1986-08","1986-08",1986-08-01,1986,"1986",0,17.2,22.3,27.4,15.3,1.96,18.32,112.539086642251,1.13685710306578,0.967421566101701,-0.309109660566343
"1986-09","1986-09",1986-09-01,1986,"1986",36.2,15.2,19.2,23.3,13.1,1.85,12.65,76.8802788983187,2.00606066430377,2.20478683647412,2.88532460384072
"1986-10","1986-10",1986-10-01,1986,"1987",6.26,13.5,18.7,23.9,11.6,1.38,15.58,69.1239734246758,-0.100944862587712,0.279508630145299,0.341134818236609
"1986-11","1986-11",1986-11-01,1986,"1987",23.88,11.4,17.4,23.5,7,2.53,18.62,54.3080161982275,-0.11829626880859,0.424032796184662,0.0387887780134747
"1986-12","1986-12",1986-12-01,1986,"1987",12.49,8.1,13.9,19.8,5.8,1.49,13.24,36.1038751041973,-0.599545549876049,-0.69278453530509,-0.870051004901167
"1987-01","1987-01",1987-01-01,1987,"1987",55.92,6.8,12.4,18,4.1,1.55,11.71,30.0132122765817,-0.50435997545448,0.306992284941167,0.495153718294433
"1987-02","1987-02",1987-02-01,1987,"1987",27.94,8.5,13.8,19.2,4.5,2.44,13.73,35.066744110719,-0.848143851015217,-0.435930988856737,-0.558253403903828
"1987-03","1987-03",1987-03-01,1987,"1987",20.53,9.5,14.5,19.4,6.5,2.21,12.85,46.2952541992501,-1.07798072001538,-0.197146766245917,-0.188657754479855
"1987-04","1987-04",1987-04-01,1987,"1987",2.37,12.6,17.5,22.5,8.6,2.77,18.19,68.4718340854723,-1.70924984187563,-0.599478562161265,-1.17551047276023
"1987-05","1987-05",1987-05-01,1987,"1987",0,14.1,17.8,21.4,11,2.12,11.05,77.8300382392406,-2.16567345197503,-0.282216147062508,-0.430824909540114
"1987-06","1987-06",1987-06-01,1987,"1987",1.74,15.1,18.9,22.7,12.3,2.12,11.9,86.3572576287518,-2.25649219206039,1.13058404094194,0.506278367883579
"1987-07","1987-07",1987-07-01,1987,"1987",1.5,15.6,19.3,23,12.7,2.25,12.08,91.5343482665436,-2.14871695124798,0.973346666799798,1.70093876518677
"1987-08","1987-08",1987-08-01,1987,"1987",1.48,16.5,20.7,25,14,2.39,14.92,98.4906967426179,-1.88179744564784,1.74809873520409,1.25570676504584
"1987-09","1987-09",1987-09-01,1987,"1987",0,16.6,21.4,26.2,14.5,2.37,16.79,93.3661019246936,-1.89486823873633,0.139710298881862,-0.0562185378232751
"1987-10","1987-10",1987-10-01,1987,"1988",17.74,16,20.5,24.9,13.7,1.93,16.12,81.4906736028961,-1.56214956912202,0.848095823187206,0.289390600913182
"1987-11","1987-11",1987-11-01,1987,"1988",38.09,10.8,16,21.1,8.3,1.92,13.88,46.7328687651223,-1.08400200088511,0.896611570097411,0.94613994061843
"1987-12","1987-12",1987-12-01,1987,"1988",41.1,6.3,11.1,16,3.2,1.57,9.71,24.1321859118984,-0.986204397647563,0.180768487391473,0.345768758040464
"1988-01","1988-01",1988-01-01,1988,"1988",40.26,7.1,12.8,18.5,2.9,2.2,13.92,31.7691826657262,-1.05836129335369,0.0599402942860763,0.160648298201558
"1988-02","1988-02",1988-02-01,1988,"1988",21.9,8.9,15.1,21.2,3.5,2.83,17.48,41.2017964803991,-1.46642199651844,-0.607336246882256,-0.875636807355835
"1988-03","1988-03",1988-03-01,1988,"1988",9.71,10.3,16.2,22.1,5.5,2.82,18.16,56.462926944819,-1.98344652538965,-0.709539843242342,-1.06920546395398
"1988-04","1988-04",1988-04-01,1988,"1988",37.38,11.5,16.2,20.9,8.9,1.79,13.76,59.6314348876183,-1.75635926517834,1.42029231577549,1.27945918734229
"1988-05","1988-05",1988-05-01,1988,"1988",0,12.9,17.4,22,9.8,2.33,14.11,74.7256363786107,-2.13719190717344,-0.282216147062508,-0.193509657728357
"1988-06","1988-06",1988-06-01,1988,"1988",0,13.9,18,22.1,11.6,2.22,12.6,79.1317440104561,-2.26138160131826,0.355490417839531,1.00693854476407
"1988-07","1988-07",1988-07-01,1988,"1988",0,18,21.7,25.4,16.2,2.19,12.65,112.913456190304,-2.25379610382436,0.430727299295457,-0.322500156739726
"1988-08","1988-08",1988-08-01,1988,"1988",0.77,17.3,21.3,25.3,15.5,2.24,13.57,103.661875183967,-2.04943606079879,1.40425765309233,0.677125732819144
"1988-09","1988-09",1988-09-01,1988,"1988",0.93,16.2,20.7,25.2,14.2,2.55,16.91,87.9675229885026,-2.00135497549289,0.570819908262331,0.502081949306383
"1988-10","1988-10",1988-10-01,1988,"1989",0,15.2,19.3,23.3,12.3,2.86,14.58,73.1462841301088,-2.16858411372179,-0.508488059109357,-0.36613369625151
"1988-11","1988-11",1988-11-01,1988,"1989",17.97,10.4,15.1,19.8,8.9,2.05,12.2,42.1302033180853,-2.06502675223974,0.177455840275229,0.344541139391077
"1988-12","1988-12",1988-12-01,1988,"1989",49.78,7.6,13,18.4,2.6,2.82,14.67,32.0250268345775,-1.85469524893692,0.367589416243741,0.364768572087949
"1989-01","1989-01",1989-01-01,1989,"1989",13.27,6,12,17.9,1.5,2.36,14.25,28.3014802046629,-2.11653746682467,-0.609151551022067,-0.487132397866409
"1989-02","1989-02",1989-02-01,1989,"1989",29.36,7.5,12.5,17.6,5.2,1.49,11.46,29.3725564315426,-2.242247078313,-0.399650790277389,-0.387621514683244
"1989-03","1989-03",1989-03-01,1989,"1989",17.14,10.3,15.1,20,8.6,1.13,11.63,49.7820171484589,-2.5408440953735,-0.33232847709418,-0.450954070084561
"1989-04","1989-04",1989-04-01,1989,"1989",0,13.8,18.7,23.5,9.2,3.49,18.97,77.1074800323703,-3.18263531818041,-1.08532490807676,-2.16584309599834
"1989-05","1989-05",1989-05-01,1989,"1989",0,13.6,17.7,21.8,10.3,2.58,13.02,77.0487083481299,-3.48567800483335,-0.282216147062508,-0.37047899919424
"1989-06","1989-06",1989-06-01,1989,"1989",0,15.5,18.9,22.2,12.4,2.82,13.14,86.3572576287518,-3.54568582611639,0.355490417839531,0.323822891832541
"1989-07","1989-07",1989-07-01,1989,"1989",0,17.4,21.8,26.3,15.1,2.29,15.69,113.847032756143,-3.4550372739085,0.430727299295457,-0.401801654214836
"1989-08","1989-08",1989-08-01,1989,"1989",0,17.3,21.4,25.5,14.9,3.08,15.87,104.535084293635,-3.24433854459893,0.967421566101701,0.508652759428623
"1989-09","1989-09",1989-09-01,1989,"1989",8.18,16,21.3,26.6,14.2,2.07,19.44,92.5861902683754,-2.76661212885167,1.19986277456393,0.716889087184342
"1989-10","1989-10",1989-10-01,1989,"1990",11.74,14.1,18.8,23.4,11.7,2.36,15.05,69.7873768283235,-2.52219786130241,0.58922854903774,0.596746228792638
"1989-11","1989-11",1989-11-01,1989,"1990",3.98,12,18,24,5,3.27,21.35,57.7074589121476,-2.81463550796205,-0.714206904275076,-1.4340400232803
"1989-12","1989-12",1989-12-01,1989,"1990",0,8.3,14.9,21.6,3.8,2.47,19.22,40.8872752572771,-3.33312381493716,-1.38299412710064,-1.517627416387
"1990-01","1990-01",1990-01-01,1990,"1990",35.92,7.7,13.6,19.4,4.8,1.65,14.04,35.4126782295465,-3.29717198220878,-0.0198305996400041,-0.0281633222744194
"1990-02","1990-02",1990-02-01,1990,"1990",56.21,7.6,12.6,17.6,4.7,1.38,11.93,29.794715628892,-3.06542024904305,0.126670217741135,0.158289077673403
"1990-03","1990-03",1990-03-01,1990,"1990",2.03,10.4,14.8,19.3,7.7,1.72,12.12,48.0246605028936,-3.37388571667197,-1.4332395110114,-1.03313223281621
"1990-04","1990-04",1990-04-01,1990,"1990",9.4,13.3,17,20.6,11.2,1.85,10.93,65.0078765828246,-3.64332601771087,0.109670423201613,-0.365794096285578
"1990-05","1990-05",1990-05-01,1990,"1990",20.71,14,17.7,21.4,10.7,2.71,13.29,77.0487083481299,-3.44517835927279,1.30711938647338,0.988365086109953
"1990-06","1990-06",1990-06-01,1990,"1990",0.32,16.3,20.6,25,12.8,2.97,17.72,100.760087594055,-3.53876062590521,0.863854169797738,-1.44867552673148
"1990-07","1990-07",1990-07-01,1990,"1990",0,19,22.9,26.7,15.9,2.99,17.23,124.339620580665,-3.46166128297369,0.430727299295457,-1.18914740361518
"1990-08","1990-08",1990-08-01,1990,"1990",0.28,18.4,21.8,25.2,15.8,2.93,13.81,108.060221478078,-3.22606285924729,1.1343557569457,0.173046302162444
"1990-09","1990-09",1990-09-01,1990,"1990",0,17.7,22.2,26.7,15.8,2.23,17.33,99.7091203451789,-3.16017993194187,0.139710298881862,-0.642041394311554
"1990-10","1990-10",1990-10-01,1990,"1991",0,15.2,20.4,25.6,11.9,2.74,19.18,80.7801333597147,-3.2806045493415,-0.508488059109357,-1.06937593395757
"1990-11","1990-11",1990-11-01,1990,"1991",5.01,10.8,17,23.3,5.4,3.11,20.06,52.0924967360997,-3.4545015379547,-0.617652303391917,-0.96391233788396
