PRISM Time Series Data
Location:  Lat: 32.9257   Lon: -117.2475   Elev: 45m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,7.82,8.9,14.6,20.4,3.3,3.06,15.10
1984-02,1.50,8.2,14.2,20.1,3.3,2.55,14.71
1984-03,0.86,10.5,15.7,20.8,7.0,1.88,13.20
1984-04,16.81,11.9,16.1,20.4,7.6,2.24,12.50
1984-05,0.00,14.5,18.3,22.2,11.3,2.27,10.97
1984-06,1.76,16.5,19.6,22.7,12.1,3.22,10.95
1984-07,0.73,20.4,23.8,27.1,16.0,3.78,15.30
1984-08,1.19,20.6,23.5,26.5,16.2,4.07,13.03
1984-09,0.01,21.0,24.8,28.5,16.8,4.00,17.92
1984-10,4.93,14.3,18.8,23.2,9.6,3.46,14.78
1984-11,44.73,10.0,14.7,19.4,6.7,2.15,10.95
1984-12,112.53,8.3,12.5,16.7,4.8,1.97,9.04
1985-01,11.62,7.3,12.4,17.5,3.0,2.28,11.45
1985-02,21.67,7.5,12.6,17.8,3.5,2.06,11.45
1985-03,12.73,8.4,12.8,17.2,5.6,1.82,8.78
1985-04,5.70,11.7,16.0,20.2,7.8,2.08,11.65
1985-05,0.00,14.0,16.8,19.5,8.8,3.47,9.38
1985-06,0.00,15.5,18.9,22.3,11.3,2.96,11.17
1985-07,0.00,19.1,22.8,26.4,14.7,3.78,15.86
1985-08,0.00,18.1,21.5,24.9,13.6,3.74,14.20
1985-09,6.75,16.8,20.6,24.3,12.3,3.49,14.31
1985-10,4.68,14.8,19.2,23.5,10.5,2.92,14.89
1985-11,98.34,10.4,14.7,19.0,6.3,2.21,11.42
1985-12,39.32,7.9,13.8,19.7,3.9,2.13,14.45
1986-01,15.14,9.9,15.4,20.9,5.0,2.49,15.06
1986-02,82.22,9.9,14.2,18.6,7.6,1.19,9.56
1986-03,80.92,11.2,15.1,19.0,8.4,1.49,9.35
1986-04,22.52,11.4,16.0,20.5,8.9,1.97,12.15
1986-05,0.00,13.5,17.0,20.6,11.1,2.29,9.48
1986-06,0.00,16.1,19.0,21.9,13.4,2.73,8.98
1986-07,2.74,17.1,20.3,23.5,14.7,2.52,10.38
1986-08,0.21,18.1,21.5,24.9,15.1,3.04,12.76
1986-09,23.56,15.4,18.7,21.9,12.3,2.84,10.16
1986-10,15.97,13.3,17.8,22.2,11.4,1.74,11.94
1986-11,22.20,10.8,16.7,22.7,6.8,2.55,17.02
1986-12,27.66,7.7,13.7,19.7,5.8,1.58,13.49
1987-01,42.44,6.6,12.3,17.9,3.5,1.87,12.03
1987-02,31.80,8.5,13.8,19.1,5.2,2.34,12.84
1987-03,22.49,9.7,14.2,18.7,7.0,2.08,11.00
1987-04,10.53,11.8,16.6,21.4,7.5,2.74,14.90
1987-05,0.98,14.6,17.5,20.5,10.7,2.67,9.23
1987-06,0.37,15.6,18.3,21.1,11.7,3.26,9.04
1987-07,5.85,16.4,19.1,21.9,12.1,4.05,10.23
1987-08,2.99,17.5,20.5,23.6,14.3,3.42,11.31
1987-09,10.47,17.1,20.6,24.2,14.7,2.70,12.08
1987-10,43.99,16.5,20.4,24.3,14.0,2.21,13.63
1987-11,41.87,10.6,16.0,21.4,9.2,1.86,13.41
1987-12,77.54,6.2,11.4,16.6,4.6,1.47,9.53
1988-01,26.86,6.9,12.8,18.8,3.9,2.05,13.93
1988-02,32.77,8.6,14.7,20.8,5.0,2.36,16.15
1988-03,15.88,10.2,15.7,21.3,6.6,2.61,16.27
1988-04,79.95,11.5,16.0,20.5,9.6,1.76,12.21
1988-05,0.93,13.2,16.9,20.6,10.9,2.25,10.37
1988-06,0.00,14.1,17.5,20.9,12.0,2.45,9.47
1988-07,0.00,18.3,21.0,23.8,16.0,2.97,9.08
1988-08,0.00,18.4,21.4,24.4,15.5,3.51,11.08
1988-09,0.00,16.7,20.5,24.2,14.8,2.55,13.22
1988-10,0.00,15.8,18.7,21.7,13.6,2.37,9.92
1988-11,30.23,10.4,15.1,19.7,8.9,1.67,10.73
1988-12,54.19,8.1,13.3,18.5,3.5,2.68,14.17
1989-01,8.57,6.0,12.0,17.9,1.8,2.21,13.84
1989-02,14.14,8.4,13.0,17.6,5.4,1.97,11.38
1989-03,21.32,9.8,14.1,18.5,8.8,1.04,9.13
1989-04,0.37,13.5,17.7,21.8,9.9,2.98,14.77
1989-05,2.97,13.6,16.7,19.9,11.5,1.76,8.34
1989-06,0.76,15.4,18.3,21.1,12.9,2.38,8.83
1989-07,0.00,17.5,20.8,24.0,15.3,2.40,10.02
1989-08,0.00,18.7,21.3,23.9,16.3,3.21,10.30
1989-09,6.45,16.1,20.3,24.6,14.8,1.92,14.32
1989-10,8.28,14.1,17.8,21.6,12.1,2.20,11.10
1989-11,3.59,10.8,16.8,22.9,5.3,3.08,18.84
1989-12,1.37,8.0,14.3,20.6,2.6,3.12,17.31
1990-01,65.44,7.2,13.1,19.0,3.9,2.01,13.60
1990-02,31.82,7.2,12.0,16.8,4.0,1.94,11.04
1990-03,9.43,10.2,14.3,18.4,7.9,1.85,10.17
1990-04,25.86,13.2,16.6,20.0,11.1,2.09,9.41
1990-05,10.47,13.7,17.1,20.5,10.9,2.88,11.11
1990-06,14.14,16.5,20.0,23.6,13.6,2.69,13.02
1990-07,0.00,18.8,22.0,25.1,16.2,3.26,13.03
1990-08,2.04,18.8,21.4,24.0,16.1,3.60,10.38
1990-09,0.00,18.1,21.8,25.4,15.4,3.54,14.02
1990-10,0.03,15.0,19.9,24.8,10.8,4.06,17.89
1990-11,14.73,10.8,16.7,22.6,5.8,3.83,18.43
1990-12,12.13,7.2,13.1,18.9,1.1,3.50,14.97
1991-01,23.84,8.3,13.4,18.5,4.9,2.29,11.90
1991-02,25.75,10.0,14.8,19.7,7.1,2.22,12.73
1991-03,172.50,8.8,12.8,16.7,5.8,2.00,9.31
1991-04,1.79,11.5,15.5,19.4,7.8,2.51,11.25
1991-05,0.00,12.7,15.9,19.1,8.5,3.20,9.77
1991-06,0.00,14.8,17.4,20.0,10.8,3.53,8.93
