"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",7.82,8.9,14.6,20.4,3.3,3.06,15.1,41.9437229883113,-0.573442489521896,-0.85098087857822,-1.05575635978128
"1984-02","1984-02",1984-02-01,1984,"1984",1.5,8.2,14.2,20.1,3.3,2.55,14.71,38.4693686721584,-1.24044706320836,-2.15484806223251,-1.36972534960544
"1984-03","1984-03",1984-03-01,1984,"1984",0.86,10.5,15.7,20.8,7,1.88,13.2,55.1399149811152,-1.77811795044084,-2.10894332524555,-1.68133728489676
"1984-04","1984-04",1984-04-01,1984,"1984",16.81,11.9,16.1,20.4,7.6,2.24,12.5,60.6633660863116,-1.89685824948057,0.225116123231923,-0.038130990083482
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.5,18.3,22.2,11.3,2.27,10.97,83.3247630126029,-2.18629626989942,-0.674489750196082,-1.22902598637224
"1984-06","1984-06",1984-06-01,1984,"1984",1.76,16.5,19.6,22.7,12.1,3.22,10.95,93.4314737755674,-2.29176261970817,0.754373997535018,-1.42109803539125
"1984-07","1984-07",1984-07-01,1984,"1984",0.73,20.4,23.8,27.1,16,3.78,15.3,133.520007682882,-2.36426051554926,0.398184991304302,-2.10883654121719
"1984-08","1984-08",1984-08-01,1984,"1984",1.19,20.6,23.5,26.5,16.2,4.07,13.03,124.168675010388,-2.23582431608546,0.772742702665428,-1.76503738323378
"1984-09","1984-09",1984-09-01,1984,"1984",0.01,21,24.8,28.5,16.8,4,17.92,122.021832069764,-2.34985228588112,-0.251510380110595,-2.61781590270711
"1984-10","1984-10",1984-10-01,1984,"1985",4.93,14.3,18.8,23.2,9.6,3.46,14.78,71.4337622508603,-2.4307220684725,0.131094918291473,-0.0377173088348416
"1984-11","1984-11",1984-11-01,1984,"1985",44.73,10,14.7,19.4,6.7,2.15,10.95,41.8348681131869,-1.79168061061937,0.991869762002669,1.23601056458715
"1984-12","1984-12",1984-12-01,1984,"1985",112.53,8.3,12.5,16.7,4.8,1.97,9.04,31.4578239563378,-0.598036512953005,1.44074480159983,1.60347353598471
"1985-01","1985-01",1985-01-01,1985,"1985",11.62,7.3,12.4,17.5,3,2.28,11.45,31.6176901202455,-1.01725105489142,-0.643734521723314,-0.548012719096062
