PRISM Time Series Data
Location:  Lat: 34.0338   Lon: -118.6823   Elev: 102m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,1.57,11.6,16.1,20.6,2.0,4.67,15.99
1984-02,0.05,10.9,15.6,20.3,3.1,3.52,15.10
1984-03,6.20,11.8,16.4,21.0,6.7,2.47,13.90
1984-04,12.45,11.5,15.6,19.8,6.1,2.79,12.87
1984-05,0.00,13.6,17.9,22.3,10.0,2.79,13.33
1984-06,0.00,14.5,18.1,21.7,11.5,1.96,10.69
1984-07,0.94,17.0,21.1,25.3,13.7,2.07,14.78
1984-08,0.18,17.7,21.6,25.5,14.9,2.13,13.25
1984-09,4.22,19.5,23.7,27.8,15.8,3.47,19.24
1984-10,7.00,14.1,18.3,22.4,6.5,4.44,16.58
1984-11,58.99,11.2,15.1,19.1,4.8,3.29,12.39
1984-12,111.70,9.8,13.3,16.8,3.2,3.14,10.37
1985-01,23.16,9.5,13.5,17.5,3.1,3.20,11.38
1985-02,53.00,9.5,14.0,18.6,3.0,3.05,12.93
1985-03,32.96,8.7,13.0,17.4,5.1,1.97,9.56
1985-04,0.12,11.3,15.4,19.5,6.0,2.57,12.41
1985-05,0.88,11.5,15.2,18.8,8.0,1.87,9.59
1985-06,0.00,13.8,17.6,21.5,11.0,1.67,10.87
1985-07,0.00,16.6,21.1,25.6,12.9,2.68,17.70
1985-08,0.00,14.8,19.5,24.2,12.3,1.83,15.47
1985-09,2.16,15.4,19.4,23.4,11.6,2.71,14.55
1985-10,14.31,14.9,19.0,23.1,9.6,3.48,15.82
1985-11,111.18,11.2,15.1,19.0,5.2,2.49,12.23
1985-12,16.81,11.0,15.6,20.1,3.1,4.11,15.54
1986-01,67.24,13.8,17.5,21.3,4.7,4.62,15.88
1986-02,199.57,11.0,14.7,18.5,7.0,1.57,9.71
1986-03,115.07,11.5,15.2,18.9,7.9,1.80,9.61
1986-04,20.06,11.5,15.6,19.6,8.3,2.41,11.62
1986-05,0.00,12.3,16.1,19.9,10.4,2.53,9.76
1986-06,0.00,14.0,17.6,21.1,12.8,1.37,9.02
1986-07,1.83,14.4,18.8,23.1,12.7,1.76,12.47
1986-08,0.00,15.4,19.5,23.6,13.8,1.63,12.42
1986-09,44.70,14.0,17.7,21.5,12.1,1.89,10.42
1986-10,5.49,14.2,18.4,22.6,10.5,2.30,14.20
1986-11,40.67,13.5,18.3,23.1,6.4,3.70,18.38
1986-12,7.59,11.4,15.5,19.7,3.8,3.27,14.48
1987-01,43.29,9.5,13.6,17.6,1.5,3.08,12.74
1987-02,33.66,10.3,14.6,18.9,3.2,3.42,14.06
1987-03,37.55,10.0,14.2,18.3,6.0,2.14,11.29
1987-04,0.50,12.2,16.4,20.6,7.6,2.65,14.18
1987-05,1.13,13.4,16.8,20.1,10.5,2.08,9.15
1987-06,3.39,13.8,17.1,20.4,11.9,1.42,8.34
1987-07,4.73,13.4,17.5,21.6,12.3,1.04,9.73
1987-08,0.00,14.7,18.5,22.3,12.8,1.91,11.14
1987-09,0.54,16.0,19.8,23.6,13.0,2.74,12.88
1987-10,50.76,16.5,19.9,23.3,12.3,3.40,14.03
1987-11,71.99,13.1,16.8,20.6,7.2,3.45,13.88
1987-12,67.24,9.2,12.5,15.9,2.3,2.88,10.14
1988-01,56.26,10.1,14.1,18.1,2.6,3.70,13.33
1988-02,26.55,10.8,16.0,21.1,3.6,3.65,17.34
1988-03,29.77,11.5,16.2,20.9,5.1,3.60,16.95
1988-04,74.16,11.5,15.4,19.3,8.4,2.32,11.61
1988-05,0.00,11.9,16.0,20.0,9.2,2.15,11.06
1988-06,0.00,12.3,16.2,20.1,11.3,1.63,9.41
1988-07,0.00,15.9,19.6,23.3,15.4,1.25,9.28
1988-08,0.00,15.1,19.0,22.9,14.8,1.21,9.76
1988-09,2.61,15.1,19.0,22.8,13.4,2.44,12.76
1988-10,0.00,15.2,18.5,21.8,12.5,2.58,11.52
1988-11,27.41,12.1,15.8,19.5,7.6,2.27,12.01
1988-12,92.04,10.5,14.2,18.0,2.4,4.15,14.30
1989-01,16.51,9.0,13.3,17.6,1.0,3.92,14.15
1989-02,48.69,8.4,12.5,16.6,4.3,2.00,10.62
1989-03,20.51,10.6,14.9,19.1,7.8,1.35,10.49
1989-04,0.00,13.0,17.1,21.2,8.8,3.17,15.15
1989-05,0.55,11.9,15.8,19.7,10.1,1.81,9.60
1989-06,0.00,13.8,17.2,20.6,11.7,2.04,9.66
1989-07,0.00,15.2,19.4,23.6,13.8,1.38,11.96
1989-08,0.00,14.8,18.5,22.2,14.3,1.28,10.00
1989-09,6.78,14.9,19.3,23.8,13.3,1.93,15.23
1989-10,8.97,14.1,18.0,21.9,10.3,2.74,14.12
1989-11,11.99,13.5,18.1,22.6,3.5,4.89,20.05
1989-12,0.00,11.6,16.4,21.2,1.3,5.13,18.89
1990-01,41.98,10.2,14.6,19.0,3.5,2.76,14.22
1990-02,66.69,8.7,13.0,17.3,3.5,2.25,12.24
1990-03,3.61,10.2,14.0,17.8,7.5,1.77,9.95
1990-04,11.55,12.5,16.0,19.5,10.6,1.65,9.54
