"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",1.57,11.6,16.1,20.6,2,4.67,15.99,49.5291668468127,-1.02336163113032,-1.27344030657292,-1.45326591964775
"1984-02","1984-02",1984-02-01,1984,"1984",0.05,10.9,15.6,20.3,3.1,3.52,15.1,45.2930648135601,-1.7862337717161,-3.03114417438356,-1.35326483172523
"1984-03","1984-03",1984-03-01,1984,"1984",6.2,11.8,16.4,21,6.7,2.47,13.9,59.7010425489299,-2.36280088839671,-1.11664153035592,-1.29901513624122
"1984-04","1984-04",1984-04-01,1984,"1984",12.45,11.5,15.6,19.8,6.1,2.79,12.87,57.9053835210687,-2.53482773142377,0.276281434640476,0.0711124014170284
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.6,17.9,22.3,10,2.79,13.33,80.9400238562715,-2.91363821840876,-0.508488059109357,-1.35093796814788
"1984-06","1984-06",1984-06-01,1984,"1984",0,14.5,18.1,21.7,11.5,1.96,10.69,82.2435318839992,-3.08324864604077,0.0696849203184557,-0.544581866815368
"1984-07","1984-07",1984-07-01,1984,"1984",0.94,17,21.1,25.3,13.7,2.07,14.78,109.302238830067,-3.05981420202129,1.03599341727868,-1.22105313372397
"1984-08","1984-08",1984-08-01,1984,"1984",0.18,17.7,21.6,25.5,14.9,2.13,13.25,107.957124822513,-2.85729244628361,0.972987324868649,-1.4093493150778
"1984-09","1984-09",1984-09-01,1984,"1984",4.22,19.5,23.7,27.8,15.8,3.47,19.24,113.018844651415,-2.68255720970703,0.854380147583518,-2.42602181401138
"1984-10","1984-10",1984-10-01,1984,"1985",7,14.1,18.3,22.4,6.5,4.44,16.58,68.2125601968001,-2.65631770592891,0.175631333542927,0.167774192078986
"1984-11","1984-11",1984-11-01,1984,"1985",58.99,11.2,15.1,19.1,4.8,3.29,12.39,43.7641636568331,-1.77268790485478,1.21496992912364,1.47113063889813
"1984-12","1984-12",1984-12-01,1984,"1985",111.7,9.8,13.3,16.8,3.2,3.14,10.37,34.9482427097912,-1.02358746967063,1.00344023436692,1.11316913582517
"1985-01","1985-01",1985-01-01,1985,"1985",23.16,9.5,13.5,17.5,3.1,3.2,11.38,36.5820141646309,-1.69205352708187,-0.380575797504648,-0.363960056057892
