PRISM Time Series Data
Location:  Lat: 34.1086   Lon: -119.1150   Elev: 7m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,0.86,8.2,14.2,20.2,2.3,2.80,15.12
1984-02,1.24,6.2,12.7,19.2,3.1,1.64,13.03
1984-03,1.61,7.6,14.1,20.5,6.0,1.15,13.54
1984-04,5.23,8.5,14.1,19.7,6.4,1.36,12.17
1984-05,0.00,11.6,16.5,21.4,10.3,1.00,10.82
1984-06,0.00,13.3,17.3,21.3,11.8,0.96,8.87
1984-07,1.43,15.7,19.8,23.8,14.3,0.56,9.97
1984-08,3.24,17.2,21.2,25.1,15.4,1.67,11.15
1984-09,8.99,18.5,23.1,27.7,15.4,3.05,17.08
1984-10,7.13,12.0,17.6,23.1,7.3,3.16,16.90
1984-11,63.66,8.4,13.7,19.1,4.9,2.49,12.37
1984-12,89.71,6.5,11.6,16.7,1.4,2.91,11.39
1985-01,34.38,6.9,12.1,17.3,1.3,3.29,12.13
1985-02,30.62,7.1,12.8,18.5,3.5,1.80,12.64
1985-03,15.20,7.0,12.1,17.3,5.4,1.17,9.26
1985-04,0.00,10.1,15.0,19.9,7.7,1.29,11.63
1985-05,0.00,10.6,14.9,19.2,9.0,1.17,8.61
1985-06,0.00,13.7,17.6,21.6,11.8,1.23,9.50
1985-07,0.00,16.1,20.6,25.2,14.0,1.45,13.56
1985-08,0.00,14.7,19.4,24.1,13.1,1.83,12.54
1985-09,0.00,14.2,18.9,23.7,12.1,2.16,13.02
1985-10,8.02,12.4,17.9,23.4,10.0,2.41,15.30
1985-11,76.71,8.7,14.0,19.2,5.8,1.85,11.62
1985-12,24.28,8.5,14.6,20.7,2.3,3.65,16.15
1986-01,61.63,10.9,16.2,21.5,5.3,3.39,15.84
1986-02,180.35,9.7,14.0,18.3,7.5,1.23,8.53
1986-03,127.25,9.9,14.4,18.8,9.0,0.98,7.77
1986-04,29.63,10.1,15.0,19.9,9.5,1.02,10.73
1986-05,0.00,10.8,15.3,19.7,11.0,0.73,8.14
1986-06,0.00,12.7,17.0,21.2,12.9,0.71,8.49
1986-07,0.00,14.6,18.6,22.7,14.2,1.16,9.62
1986-08,0.00,14.8,18.7,22.7,13.9,1.10,9.71
1986-09,24.94,13.4,17.5,21.6,13.1,1.35,8.88
1986-10,0.00,12.3,17.6,23.0,12.3,1.16,12.78
1986-11,28.18,10.5,17.0,23.6,7.6,2.47,18.06
1986-12,6.95,8.1,14.5,21.0,5.3,1.97,15.51
1987-01,42.84,6.3,12.4,18.5,3.1,2.15,13.08
1987-02,37.42,8.1,14.0,19.8,4.8,2.32,14.75
1987-03,45.29,8.2,13.5,18.9,7.1,1.45,11.21
1987-04,0.00,10.7,16.1,21.5,8.7,1.69,13.89
1987-05,0.15,13.3,17.0,20.8,11.5,1.84,9.22
1987-06,0.77,13.6,17.2,20.9,12.1,1.48,8.42
1987-07,1.56,13.3,17.8,22.2,12.7,1.45,9.86
1987-08,0.00,14.7,19.1,23.4,13.8,1.77,11.30
1987-09,0.00,15.4,19.9,24.4,14.7,1.69,11.62
1987-10,33.07,15.6,19.6,23.7,14.6,1.70,11.56
1987-11,45.79,10.6,16.1,21.5,8.7,2.05,13.76
1987-12,77.08,6.5,11.7,16.8,5.0,1.52,9.53
1988-01,43.83,7.7,13.3,18.9,4.8,2.13,13.02
1988-02,23.77,8.3,14.8,21.2,5.7,2.08,16.15
1988-03,18.05,9.2,15.8,22.3,7.7,1.48,17.36
1988-04,43.02,10.5,15.3,20.2,10.7,1.03,9.81
1988-05,0.00,11.2,15.9,20.6,11.2,1.09,9.70
1988-06,0.89,12.2,16.5,20.8,12.6,0.98,8.68
1988-07,0.00,16.8,20.1,23.3,16.7,1.00,7.91
1988-08,0.00,15.6,19.5,23.4,14.9,1.63,10.08
1988-09,0.71,14.0,18.4,22.8,13.6,1.65,11.32
1988-10,0.10,14.3,18.1,21.9,13.7,1.50,10.70
1988-11,22.48,10.3,15.1,19.9,9.0,1.88,10.99
1988-12,85.24,7.9,13.4,19.0,3.3,2.73,15.06
1989-01,23.29,6.9,12.9,18.9,1.4,2.86,15.73
1989-02,58.60,6.4,11.4,16.5,5.0,1.27,9.32
1989-03,19.97,9.4,14.2,19.0,8.5,1.12,9.62
1989-04,3.16,12.2,16.9,21.7,9.8,2.24,14.18
1989-05,3.13,11.2,15.9,20.5,10.4,1.57,9.89
1989-06,0.12,13.6,17.7,21.8,12.4,1.79,10.18
1989-07,0.00,15.3,19.6,23.8,14.8,1.38,10.82
1989-08,0.00,15.3,19.1,23.0,14.7,1.66,10.18
1989-09,0.52,14.0,18.6,23.2,14.0,1.24,12.14
1989-10,4.02,12.8,17.7,22.6,11.8,2.33,12.83
1989-11,3.38,10.8,17.2,23.5,5.3,4.16,20.45
1989-12,0.00,8.0,15.0,22.1,3.2,3.43,19.15
1990-01,30.34,7.1,13.4,19.7,3.9,2.18,14.53
1990-02,34.02,6.2,11.9,17.7,4.3,1.52,11.87
1990-03,0.01,8.6,13.4,18.3,8.1,1.29,9.64
1990-04,3.54,11.2,15.6,20.1,10.7,1.44,9.76
1990-05,12.29,10.8,15.4,20.0,9.9,1.92,10.06
1990-06,0.00,13.0,17.7,22.4,11.2,2.64,12.74
1990-07,0.00,15.4,19.9,24.4,13.7,3.27,13.30
1990-08,0.41,15.9,19.9,23.9,13.2,3.81,12.88
1990-09,0.00,14.4,19.5,24.6,12.3,3.56,14.82
1990-10,0.00,12.3,18.5,24.6,9.0,3.65,18.57
1990-11,13.12,9.0,15.6,22.2,3.4,4.05,18.73
1990-12,0.01,6.1,12.5,18.9,-3.1,4.77,17.17
1991-01,19.09,7.1,12.6,18.1,3.5,2.38,11.52
1991-02,12.73,8.3,13.6,19.0,7.7,1.20,10.33
1991-03,216.86,7.8,12.1,16.4,6.1,1.65,8.50
1991-04,0.20,9.3,14.0,18.8,7.9,1.70,9.95
1991-05,0.00,9.7,13.9,18.1,9.0,1.33,7.57
1991-06,1.88,12.5,15.8,19.1,11.6,1.15,6.85
1991-07,0.25,15.4,18.2,21.1,14.2,1.24,6.87
1991-08,0.76,15.4,18.8,22.2,15.0,0.93,7.58
1991-09,0.00,15.4,18.4,21.4,14.9,0.81,6.55
1991-10,2.91,13.7,17.8,21.9,12.3,1.29,10.43
1991-11,1.90,9.4,15.5,21.7,5.1,2.43,16.67
1991-12,104.43,7.7,13.3,18.9,3.7,2.27,13.24
1992-01,53.21,8.1,13.7,19.4,2.2,3.34,14.58
1992-02,209.56,10.7,15.2,19.6,7.1,2.25,11.93
1992-03,111.40,10.7,14.3,18.0,9.6,1.37,6.90
1992-04,2.12,11.9,16.7,21.4,11.6,1.21,10.42
1992-05,0.00,14.3,17.5,20.8,13.1,1.33,7.78
1992-06,0.00,13.5,17.3,21.0,12.4,1.10,8.73
1992-07,3.13,16.0,19.8,23.6,15.1,1.11,9.79
1992-08,0.00,16.4,20.3,24.3,15.6,1.24,10.62
1992-09,0.02,14.8,19.0,23.2,14.4,1.26,10.09
1992-10,13.16,13.8,17.7,21.7,13.2,0.99,8.96
1992-11,3.82,10.4,16.3,22.1,2.6,3.53,18.29
1992-12,99.59,7.1,12.1,17.2,1.1,2.99,12.42
1993-01,193.85,8.7,12.6,16.5,3.9,3.09,9.82
1993-02,148.38,8.9,12.8,16.8,5.8,2.24,9.24
1993-03,69.00,10.0,14.5,19.1,8.1,1.94,10.04
1993-04,0.00,9.9,14.9,19.9,9.0,1.67,10.25
1993-05,2.28,12.7,16.7,20.8,11.6,2.08,10.56
1993-06,11.86,14.8,18.6,22.5,12.8,2.77,11.08
1993-07,0.04,16.9,20.0,23.1,13.5,4.31,11.39
1993-08,0.00,16.0,19.3,22.6,14.4,1.82,9.14
1993-09,0.00,14.6,18.4,22.2,12.9,1.82,10.62
1993-10,7.57,13.1,17.9,22.7,11.3,1.45,12.98
1993-11,8.17,10.2,15.7,21.2,3.4,3.52,16.46
1993-12,46.47,8.4,13.8,19.2,1.6,3.72,14.97
1994-01,9.75,7.5,13.5,19.5,2.4,3.02,14.89
1994-02,108.02,8.1,12.7,17.2,2.3,3.03,11.43
1994-03,52.69,10.0,14.6,19.1,7.7,1.93,10.97
1994-04,12.79,10.9,14.9,18.9,9.0,1.85,9.26
1994-05,12.72,12.0,15.4,18.8,10.3,1.85,8.14
1994-06,0.00,13.9,18.1,22.3,12.2,2.11,11.78
1994-07,0.00,15.5,18.6,21.8,12.9,2.86,9.73
1994-08,0.00,16.5,20.7,24.9,14.9,2.23,13.48
1994-09,7.58,15.3,19.3,23.2,13.4,2.67,12.01
1994-10,8.23,13.0,17.7,22.4,10.1,3.36,14.66
1994-11,27.70,7.6,13.1,18.7,2.1,3.10,14.32
1994-12,28.47,7.5,12.9,18.4,4.0,2.02,12.24
1995-01,342.86,10.0,13.1,16.3,7.8,1.85,7.05
1995-02,27.47,11.8,15.9,20.0,9.3,2.38,11.17
1995-03,176.52,10.8,14.7,18.5,8.8,1.68,8.99
1995-04,14.68,9.9,14.5,19.2,7.2,2.00,11.73
1995-05,17.26,11.7,14.8,17.9,9.7,1.86,7.22
1995-06,15.57,13.1,16.4,19.8,11.7,1.65,8.25
1995-07,0.00,14.6,18.3,22.1,13.7,1.57,9.41
1995-08,0.00,14.6,18.5,22.4,13.7,1.30,10.01
1995-09,0.00,14.7,18.8,22.9,13.9,1.43,10.67
1995-10,0.00,13.5,17.9,22.4,12.6,1.57,11.51
1995-11,2.88,11.1,15.9,20.8,10.2,1.42,10.09
1995-12,40.80,9.1,13.8,18.5,6.3,2.01,10.57
1996-01,17.35,8.3,13.3,18.4,5.0,1.97,12.27
1996-02,144.13,10.2,13.8,17.3,8.7,1.40,7.71
1996-03,25.76,9.5,13.9,18.4,8.0,1.40,9.64
1996-04,19.62,10.6,15.6,20.6,8.9,1.74,13.04
1996-05,0.79,12.1,16.6,21.2,11.0,1.58,12.00
1996-06,0.19,13.3,17.3,21.3,11.9,2.04,10.42
1996-07,0.28,14.8,18.5,22.1,12.3,2.68,10.46
1996-08,0.00,14.8,19.0,23.2,13.1,2.05,12.19
1996-09,0.00,15.3,19.1,23.0,12.9,2.56,11.60
1996-10,15.00,13.0,17.2,21.3,9.5,2.56,12.08
1996-11,65.00,11.0,16.0,21.0,5.3,3.66,15.61
1996-12,149.39,8.9,13.4,18.0,4.2,2.43,10.74
1997-01,117.25,9.2,13.0,16.8,6.3,2.10,8.75
1997-02,1.51,7.3,12.9,18.5,4.8,1.75,11.62
1997-03,0.00,8.6,13.9,19.2,7.1,1.65,11.26
1997-04,0.00,9.1,14.3,19.6,6.3,2.18,13.54
1997-05,0.00,13.0,17.3,21.7,12.4,1.18,10.99
1997-06,0.00,13.8,17.7,21.6,13.3,0.75,9.10
1997-07,0.00,14.2,18.2,22.3,13.3,1.13,10.34
1997-08,0.23,15.3,20.0,24.8,15.3,0.97,12.42
1997-09,0.68,15.8,20.9,26.0,15.5,1.25,15.19
1997-10,0.00,13.3,18.7,24.1,8.0,4.35,18.67
1997-11,46.02,10.6,16.1,21.6,9.7,1.32,13.70
1997-12,160.94,7.5,13.0,18.5,1.5,3.46,14.06
1998-01,57.68,7.7,12.6,17.5,7.3,1.28,8.59
