PRISM Time Series Data
Location:  Lat: 34.1377   Lon: -119.1847   Elev: 3m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,1.33,8.5,14.2,20.0,2.7,2.76,14.57
1984-02,0.21,6.7,12.8,19.0,3.6,1.67,12.47
1984-03,0.51,8.1,14.3,20.5,6.4,1.19,13.14
1984-04,5.53,9.0,14.2,19.4,6.8,1.40,11.17
1984-05,0.00,12.1,16.4,20.7,10.4,1.29,9.60
1984-06,0.00,13.7,17.2,20.6,11.9,1.17,7.77
1984-07,0.17,16.1,19.5,23.0,14.3,0.86,8.27
1984-08,0.97,17.6,20.9,24.3,15.7,1.73,9.37
1984-09,8.88,18.6,22.7,26.8,16.0,2.70,14.38
1984-10,6.64,12.2,17.3,22.4,7.6,3.11,15.57
1984-11,70.60,8.5,13.6,18.8,5.9,2.13,11.12
1984-12,99.85,6.8,11.6,16.4,2.4,2.58,10.44
1985-01,35.36,7.1,12.1,17.0,2.1,3.05,11.23
1985-02,31.28,7.4,12.7,17.9,3.8,1.81,11.46
1985-03,14.85,7.2,12.1,16.9,5.7,1.18,8.40
1985-04,0.00,10.3,14.6,19.0,7.9,1.31,10.09
1985-05,0.00,10.8,14.6,18.4,9.1,1.23,7.40
1985-06,0.00,13.9,17.3,20.6,11.9,1.32,7.84
1985-07,0.00,16.3,20.1,24.0,14.2,1.51,11.05
1985-08,0.00,14.9,19.0,23.1,13.4,1.74,10.37
1985-09,0.00,14.4,18.7,23.0,12.6,2.02,10.78
1985-10,8.92,12.6,17.6,22.6,10.5,2.37,13.54
1985-11,93.46,8.8,13.8,18.8,6.4,1.65,10.51
1985-12,26.78,8.5,14.3,20.1,2.7,3.43,15.13
1986-01,83.68,10.9,15.9,21.0,6.2,2.90,14.31
1986-02,181.50,9.8,13.9,18.0,7.9,1.18,7.75
1986-03,123.66,10.0,14.2,18.4,9.2,0.97,6.81
1986-04,41.84,10.4,14.8,19.2,9.8,1.03,9.42
1986-05,0.00,11.0,15.0,19.0,11.1,0.80,6.82
1986-06,0.00,13.0,16.7,20.4,13.0,0.83,7.12
1986-07,0.00,14.8,18.3,21.8,14.4,1.24,7.95
1986-08,0.00,14.7,18.2,21.7,14.2,0.85,7.70
1986-09,24.22,13.4,17.2,21.0,13.6,1.22,7.04
1986-10,0.00,12.4,17.3,22.3,12.9,1.08,11.21
1986-11,26.38,10.8,16.9,23.0,8.2,2.37,16.89
1986-12,6.03,8.3,14.4,20.4,5.9,1.85,14.17
1987-01,48.38,6.5,12.2,17.9,3.7,1.97,11.93
1987-02,46.04,8.4,13.8,19.3,5.4,2.23,13.16
1987-03,46.47,8.5,13.5,18.4,7.5,1.44,10.18
1987-04,0.00,10.9,15.7,20.5,9.2,1.59,12.06
1987-05,0.00,13.3,16.7,20.0,11.7,1.78,7.56
1987-06,0.17,13.7,16.9,20.1,12.4,1.42,6.99
1987-07,0.40,13.6,17.5,21.4,13.0,1.40,8.29
1987-08,0.00,14.8,18.7,22.7,14.3,1.47,9.38
1987-09,0.00,15.3,19.4,23.6,15.3,1.23,9.38
1987-10,34.12,15.5,19.2,22.8,15.3,1.53,9.21
1987-11,53.88,10.7,15.8,21.0,9.0,1.95,12.58
1987-12,88.35,6.5,11.4,16.4,5.4,1.40,8.60
1988-01,48.35,7.6,13.0,18.3,5.2,1.94,11.82
1988-02,19.41,8.6,14.7,20.7,6.0,2.07,15.21
1988-03,16.48,9.5,15.6,21.8,8.2,1.38,16.44
1988-04,42.68,10.6,15.1,19.5,10.7,1.04,8.53
1988-05,0.00,11.4,15.6,19.7,11.0,1.21,8.46
1988-06,1.60,12.4,16.2,20.0,12.3,1.23,7.75
1988-07,0.00,16.8,19.6,22.4,16.7,0.93,6.24
1988-08,0.00,15.6,19.1,22.6,15.2,1.39,8.87
1988-09,1.16,14.0,17.9,21.9,14.1,1.39,9.28
1988-10,0.00,14.2,17.6,20.9,14.1,1.22,8.92
1988-11,21.78,10.2,14.8,19.4,9.4,1.82,10.09
1988-12,91.29,7.9,13.2,18.4,3.7,2.64,13.99
1989-01,23.09,6.8,12.5,18.3,1.7,2.74,14.72
1989-02,52.70,6.6,11.3,16.0,5.3,1.22,8.55
1989-03,21.75,9.5,14.0,18.6,8.9,1.09,8.74
1989-04,5.14,12.3,16.6,20.9,10.0,2.16,12.76
1989-05,3.25,11.4,15.7,20.0,10.5,1.62,9.04
1989-06,0.00,13.9,17.5,21.2,12.5,1.94,9.20
1989-07,0.00,15.4,19.3,23.1,14.8,1.42,9.53
1989-08,0.00,15.3,18.8,22.3,15.1,1.25,8.59
1989-09,1.27,13.9,18.1,22.3,14.6,0.93,9.81
1989-10,4.34,12.9,17.5,22.1,12.2,2.36,11.23
1989-11,5.33,11.0,16.9,22.9,5.8,4.12,19.03
1989-12,0.00,8.1,14.8,21.5,4.2,3.10,17.68
1990-01,38.26,7.3,13.2,19.1,4.4,2.12,13.51
1990-02,32.02,6.5,11.8,17.2,4.7,1.50,10.84
1990-03,0.00,8.8,13.3,17.7,8.4,1.27,8.58
1990-04,3.35,11.4,15.4,19.4,10.9,1.39,8.52
1990-05,13.34,11.1,15.2,19.3,10.0,1.95,8.88
1990-06,0.00,13.4,17.5,21.6,11.2,2.80,11.10
1990-07,0.00,15.7,19.7,23.7,13.9,3.34,11.80
1990-08,0.25,16.0,19.7,23.4,13.5,3.65,11.65
1990-09,0.00,14.6,19.3,23.9,12.8,3.25,13.18
1990-10,0.00,12.6,18.4,24.2,9.4,3.63,17.45
1990-11,11.59,9.4,15.7,21.9,3.8,4.07,17.95
1990-12,0.00,6.3,12.4,18.5,-2.7,4.89,16.21
1991-01,20.37,7.3,12.5,17.7,3.9,2.35,10.94
1991-02,10.38,8.6,13.5,18.5,8.3,1.11,9.13
1991-03,234.07,7.8,11.9,15.9,5.9,1.90,8.17
1991-04,0.00,9.4,13.6,17.8,7.5,2.14,8.93
1991-05,0.00,9.9,13.5,17.1,8.9,1.30,6.37
1991-06,2.34,12.5,15.3,18.1,11.4,1.12,5.88
1991-07,0.03,15.4,17.7,20.0,13.7,1.72,6.51
1991-08,0.53,15.4,18.5,21.5,15.3,0.78,6.33
1991-09,0.00,15.3,17.8,20.2,15.4,0.19,4.10
1991-10,2.73,13.6,17.2,20.7,11.8,1.50,9.44
