"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",1.33,8.5,14.2,20,2.7,2.76,14.57,43.7919863946662,-0.942501797248067,-1.76880972844694,-1.53754015108122
"1984-02","1984-02",1984-02-01,1984,"1984",0.21,6.7,12.8,19,3.6,1.67,12.47,35.9260161443123,-1.64113721608985,-2.44476850174539,-1.20351635533453
"1984-03","1984-03",1984-03-01,1984,"1984",0.51,8.1,14.3,20.5,6.4,1.19,13.14,51.738170103575,-2.23826123258088,-1.35170531888017,-1.31225576722585
"1984-04","1984-04",1984-04-01,1984,"1984",5.53,9,14.2,19.4,6.8,1.4,11.17,54.1089329959452,-2.51167830170783,-0.0978510159979115,-0.213685609457497
"1984-05","1984-05",1984-05-01,1984,"1984",0,12.1,16.4,20.7,10.4,1.29,9.6,74.8860446415882,-2.81520717956979,-0.282216147062508,-1.05863567387054
"1984-06","1984-06",1984-06-01,1984,"1984",0,13.7,17.2,20.6,11.9,1.17,7.77,80.4638183785536,-2.94334965031011,0.355490417839531,-0.557178437988255
"1984-07","1984-07",1984-07-01,1984,"1984",0.17,16.1,19.5,23,14.3,0.86,8.27,100.048499674819,-2.90212264334789,1.15154159551821,-1.00018867552664
"1984-08","1984-08",1984-08-01,1984,"1984",0.97,17.6,20.9,24.3,15.7,1.73,9.37,105.824771845541,0.020938152813242,2.04051512556264,-1.75013518020774
"1984-09","1984-09",1984-09-01,1984,"1984",8.88,18.6,22.7,26.8,16,2.7,14.38,107.507170936687,0.182954501623004,1.37451505071772,-2.05121191507248
"1984-10","1984-10",1984-10-01,1984,"1985",6.64,12.2,17.3,22.4,7.6,3.11,15.57,66.0258003955826,0.125048010047531,0.327201719252669,0.126070784301212
"1984-11","1984-11",1984-11-01,1984,"1985",70.6,8.5,13.6,18.8,5.9,2.13,11.12,40.376530621686,0.62974838702847,1.37155855308665,1.59071127200742
"1984-12","1984-12",1984-12-01,1984,"1985",99.85,6.8,11.6,16.4,2.4,2.58,10.44,31.2313237261618,0.873805887212671,0.879057258434553,0.995567072353213
"1985-01","1985-01",1985-01-01,1985,"1985",35.36,7.1,12.1,17,2.1,3.05,11.23,34.0514467249964,-0.543710901311535,-0.165735590732957,-0.148243110611421
"1985-02","1985-02",1985-02-01,1985,"1985",31.28,7.4,12.7,17.9,3.8,1.81,11.46,35.4857850949504,-1.15805347474718,-0.365575836748369,-0.515332914345022
"1985-03","1985-03",1985-03-01,1985,"1985",14.85,7.2,12.1,16.9,5.7,1.18,8.4,39.7888141999952,-1.47641829682089,-0.64974874308509,-0.510504336637803
"1985-04","1985-04",1985-04-01,1985,"1985",0,10.3,14.6,19,7.9,1.31,10.09,56.5242035364953,-1.53670207821144,-0.861634120174172,-0.771390972737964
"1985-05","1985-05",1985-05-01,1985,"1985",0,10.8,14.6,18.4,9.1,1.23,7.4,62.3776143268002,-1.60101382430439,-0.282216147062508,0.183608010379543
"1985-06","1985-06",1985-06-01,1985,"1985",0,13.9,17.3,20.6,11.9,1.32,7.84,81.2004447809143,-1.62596325230353,0.355490417839531,-0.742249347142859
"1985-07","1985-07",1985-07-01,1985,"1985",0,16.3,20.1,24,14.2,1.51,11.05,104.930187670133,-1.63362664014967,0.430727299295457,-1.47349245235351
"1985-08","1985-08",1985-08-01,1985,"1985",0,14.9,19,23.1,13.4,1.74,10.37,91.0998790883968,-1.53732323184414,0.764709673786387,-0.143814872124239
"1985-09","1985-09",1985-09-01,1985,"1985",0,14.4,18.7,23,12.6,2.02,10.78,79.2682563128224,-1.52897729490473,0.210428394247925,-0.2389205838207
"1985-10","1985-10",1985-10-01,1985,"1986",8.92,12.6,17.6,22.6,10.5,2.37,13.54,67.8345826658009,-1.44867920634994,0.462727897407784,0.158916371603582
"1985-11","1985-11",1985-11-01,1985,"1986",93.46,8.8,13.8,18.8,6.4,1.65,10.51,41.3138621120605,0.753602336661133,1.75286632131576,1.89314428926959
