PRISM Time Series Data
Location:  Lat: 33.2580   Lon: -117.4376   Elev: 21m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.67,8.2,14.4,20.6,2.7,2.72,15.66
1984-02,2.41,7.1,13.6,20.1,2.5,2.12,15.17
1984-03,0.18,9.0,14.6,20.2,6.1,1.56,13.05
1984-04,17.76,11.0,15.4,19.9,6.6,2.23,12.34
1984-05,0.00,13.3,17.7,22.0,10.8,1.92,11.24
1984-06,1.38,16.0,19.2,22.4,11.7,3.05,11.06
1984-07,0.11,19.4,23.0,26.6,15.1,3.52,15.48
1984-08,0.03,19.5,23.0,26.5,16.2,2.74,13.01
1984-09,2.71,19.7,23.9,28.2,16.0,3.28,18.47
1984-10,6.64,13.1,18.1,23.0,8.3,3.12,15.76
1984-11,37.08,9.1,14.1,19.1,6.1,1.98,11.25
1984-12,110.67,7.7,12.4,17.1,4.2,1.88,9.87
1985-01,19.22,6.4,12.0,17.6,2.7,1.87,11.66
1985-02,25.47,7.7,12.6,17.6,2.9,2.25,11.43
1985-03,12.91,6.4,11.6,16.7,4.6,1.55,8.81
1985-04,3.83,10.6,14.9,19.3,7.2,1.58,10.59
1985-05,0.00,12.9,15.6,18.3,9.0,2.23,7.49
1985-06,0.00,14.3,17.5,20.7,11.5,1.70,8.36
1985-07,0.00,18.3,21.6,24.8,14.0,3.26,13.81
1985-08,0.00,16.6,20.1,23.6,13.1,2.75,12.54
1985-09,4.58,14.9,19.1,23.2,11.8,2.28,13.32
1985-10,4.76,13.5,18.4,23.3,9.8,2.38,15.31
1985-11,96.62,9.2,13.9,18.6,6.3,1.50,10.81
1985-12,29.71,7.2,13.4,19.5,3.6,1.71,14.14
1986-01,20.26,9.4,14.8,20.3,5.2,1.94,14.09
1986-02,82.36,8.4,13.3,18.2,7.2,0.76,9.18
1986-03,80.08,10.0,14.0,18.0,8.4,0.96,7.88
1986-04,18.67,9.9,14.7,19.5,8.1,1.69,11.11
1986-05,0.00,12.1,15.9,19.7,10.3,2.48,8.25
1986-06,0.00,15.3,18.0,20.7,12.8,2.94,6.96
1986-07,0.51,15.7,18.9,22.1,13.6,2.69,7.96
1986-08,0.00,16.4,19.7,23.1,14.3,2.67,8.81
1986-09,26.49,13.3,17.1,20.9,11.5,2.31,8.06
1986-10,3.97,11.5,16.5,21.6,9.9,1.87,10.90
1986-11,27.43,9.3,16.3,23.3,5.4,2.08,18.38
1986-12,34.63,4.4,12.4,20.5,3.7,1.33,15.15
1987-01,48.50,5.6,11.6,17.7,1.9,1.69,12.18
1987-02,39.97,6.3,12.5,18.7,4.6,1.57,12.37
1987-03,25.50,7.9,13.0,18.1,7.5,1.21,9.40
1987-04,10.28,10.5,15.6,20.6,8.0,2.06,12.84
1987-05,0.05,13.7,16.6,19.5,10.8,2.42,6.94
1987-06,0.00,14.7,17.4,20.0,11.8,2.74,6.80
1987-07,0.56,14.9,18.0,21.0,12.0,3.01,8.24
1987-08,0.97,15.4,19.0,22.6,13.3,2.97,9.81
1987-09,0.00,15.5,19.3,23.2,12.6,3.69,12.11
1987-10,51.20,15.2,19.1,23.0,11.9,2.70,12.62
1987-11,35.00,9.5,16.2,22.9,6.8,2.43,16.96
1987-12,71.32,4.8,10.8,16.8,3.4,1.29,10.61
1988-01,33.31,5.5,12.0,18.6,3.7,1.50,13.54
1988-02,27.51,6.6,13.5,20.5,4.1,1.76,15.93
1988-03,7.72,7.8,14.1,20.4,6.0,1.60,15.28
1988-04,83.36,9.6,14.5,19.4,9.1,1.10,10.84
1988-05,0.99,12.0,15.7,19.4,10.4,1.60,8.73
1988-06,0.00,12.5,16.0,19.6,11.5,2.17,7.43
1988-07,0.00,17.5,20.2,22.9,14.9,3.02,6.99
1988-08,7.14,16.8,20.8,24.7,14.3,2.85,11.63
1988-09,0.00,15.1,19.0,23.0,15.0,2.14,10.54
1988-10,0.00,14.3,17.7,21.1,13.3,2.02,9.17
1988-11,29.32,8.6,14.0,19.4,7.2,1.96,11.69
1988-12,78.99,6.1,12.3,18.6,2.0,2.45,15.15
1989-01,12.76,4.1,11.1,18.1,-0.2,2.25,14.95
1989-02,18.79,6.6,12.0,17.4,3.2,2.50,12.17
1989-03,20.69,8.3,13.0,17.7,7.9,1.15,8.06
1989-04,0.19,12.1,16.6,21.1,8.9,3.01,14.88
1989-05,7.31,12.4,15.8,19.2,10.5,2.11,8.29
1989-06,0.68,14.5,17.5,20.4,12.3,4.19,9.13
1989-07,0.00,16.5,19.8,23.1,13.6,4.23,10.79
1989-08,0.00,17.1,20.1,23.0,15.6,4.18,10.43
1989-09,6.88,14.4,19.0,23.5,14.0,2.03,13.07
1989-10,7.87,13.2,17.5,21.8,11.8,2.38,11.97
1989-11,0.71,9.1,17.5,25.9,4.3,3.03,24.71
1989-12,0.03,5.8,13.7,21.6,1.4,2.80,19.36
1990-01,60.58,5.4,12.4,19.4,2.4,2.06,14.24
1990-02,36.92,5.0,11.0,16.9,2.3,2.01,11.48
1990-03,8.55,8.5,13.8,19.0,8.2,1.51,11.13
1990-04,30.10,12.1,15.8,19.5,9.6,2.77,9.99
1990-05,15.92,12.6,16.3,19.9,10.3,2.94,9.10
1990-06,18.71,15.4,18.8,22.2,12.8,3.25,10.56
1990-07,0.00,17.7,21.0,24.2,15.1,4.02,11.23
1990-08,1.40,17.6,20.4,23.2,15.4,3.41,9.11
1990-09,0.00,16.2,20.6,25.0,14.5,3.17,13.18
1990-10,0.00,12.9,18.6,24.2,9.7,3.44,17.68
1990-11,15.31,8.8,15.7,22.7,4.1,3.46,19.62
1990-12,6.81,4.0,11.7,19.5,-1.8,3.05,17.65
1991-01,22.80,7.3,12.7,18.1,4.2,2.04,11.90
1991-02,39.28,8.2,13.3,18.5,6.3,1.49,11.74
1991-03,173.92,7.7,11.9,16.1,5.4,1.49,8.66
1991-04,1.14,9.8,14.3,18.8,7.8,1.86,9.29
1991-05,0.00,11.6,14.9,18.3,8.8,2.53,7.54
1991-06,0.00,13.9,16.6,19.3,11.0,2.98,7.19
1991-07,0.26,16.3,18.8,21.3,12.9,3.67,8.32
1991-08,1.26,16.7,19.3,22.0,14.6,2.27,7.75
1991-09,0.00,16.2,19.2,22.2,14.1,2.23,9.69
1991-10,8.39,13.8,18.6,23.4,11.5,2.23,14.93
1991-11,0.01,8.7,16.4,24.2,3.6,2.74,22.24
1991-12,46.17,7.2,13.4,19.5,3.1,2.41,14.74
1992-01,64.51,6.5,13.4,20.2,2.6,2.39,15.94
1992-02,104.49,9.4,15.8,22.3,6.3,2.38,17.15
1992-03,89.22,10.5,14.5,18.5,9.1,1.89,8.85
1992-04,5.62,13.1,17.5,21.9,11.3,2.62,12.22
1992-05,0.87,16.4,18.8,21.2,12.7,3.99,9.01
1992-06,0.00,15.3,18.3,21.2,11.6,4.35,9.96
1992-07,2.25,18.0,20.9,23.9,14.4,5.06,12.26
1992-08,6.58,18.8,22.0,25.2,15.2,5.53,12.95
1992-09,0.00,15.7,19.9,24.1,14.3,4.10,13.44
1992-10,6.44,14.3,18.5,22.7,12.8,3.99,12.19
1992-11,0.07,8.7,15.9,23.1,3.3,3.71,19.37
1992-12,74.38,6.8,12.3,17.8,2.4,2.49,12.75
1993-01,286.71,8.6,13.1,17.5,8.9,1.67,10.18
1993-02,98.22,8.6,13.1,17.6,7.5,1.80,9.43
1993-03,34.20,10.7,15.0,19.3,9.4,1.64,9.26
1993-04,0.00,11.2,15.6,20.1,10.0,1.60,9.85
1993-05,0.00,13.9,17.2,20.4,12.1,2.32,8.33
1993-06,20.59,16.0,18.9,21.8,14.0,2.44,7.99
1993-07,0.00,17.5,19.8,22.1,14.7,3.08,7.95
