"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.67,8.2,14.4,20.6,2.7,2.72,15.66,42.9235271610891,-0.76067917080515,-1.2188788413572,-1.52521161697214
"1984-02","1984-02",1984-02-01,1984,"1984",2.41,7.1,13.6,20.1,2.5,2.12,15.17,37.6247942418744,-1.4367404214198,-2.00410981979072,-1.42346924923268
"1984-03","1984-03",1984-03-01,1984,"1984",0.18,9,14.6,20.2,6.1,1.56,13.05,51.0169211743702,-1.94357476090102,-1.84693631198317,-1.67569330362889
"1984-04","1984-04",1984-04-01,1984,"1984",17.76,11,15.4,19.9,6.6,2.23,12.34,58.7435417532426,-2.01269906486956,0.305105255341543,0.0548244849183249
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.3,17.7,22,10.8,1.92,11.24,81.4030254746214,-2.25134556563851,-0.589455797849779,-1.23561193123413
"1984-06","1984-06",1984-06-01,1984,"1984",1.38,16,19.2,22.4,11.7,3.05,11.06,92.7322027455616,-2.35742896831654,0.647671285083379,-1.45147706460897
"1984-07","1984-07",1984-07-01,1984,"1984",0.11,19.4,23,26.6,15.1,3.52,15.48,127.566769990707,-2.39364520232376,0.486566212222422,-2.07769822534587
"1984-08","1984-08",1984-08-01,1984,"1984",0.03,19.5,23,26.5,16.2,2.74,13.01,121.192524865904,-2.31604931878732,0.348123986313546,-2.05240015800668
"1984-09","1984-09",1984-09-01,1984,"1984",2.71,19.7,23.9,28.2,16,3.28,18.47,115.48776372094,-2.27593723579032,0.577480955305272,-2.57259903741625
"1984-10","1984-10",1984-10-01,1984,"1985",6.64,13.1,18.1,23,8.3,3.12,15.76,68.9340897849039,-2.28898987242515,0.361431955068545,0.0959863371111475
"1984-11","1984-11",1984-11-01,1984,"1985",37.08,9.1,14.1,19.1,6.1,1.98,11.25,40.8765585248638,-1.8256137287298,0.797463127729603,1.0138036173398
"1984-12","1984-12",1984-12-01,1984,"1985",110.67,7.7,12.4,17.1,4.2,1.88,9.87,32.8971924683068,-0.724357075516863,1.36833198154202,1.49882894607891
"1985-01","1985-01",1985-01-01,1985,"1985",19.22,6.4,12,17.6,2.7,1.87,11.66,31.7709521193175,-1.15323369336261,-0.451141440052797,-0.441540818521258
"1985-02","1985-02",1985-02-01,1985,"1985",25.47,7.7,12.6,17.6,2.9,2.25,11.43,33.1695502828754,-1.49783412743685,-0.508707056937625,-0.57085387052783
"1985-03","1985-03",1985-03-01,1985,"1985",12.91,6.4,11.6,16.7,4.6,1.55,8.81,34.9033718378648,-1.62196345456431,-0.477473445332095,-0.0458125546625895
"1985-04","1985-04",1985-04-01,1985,"1985",3.83,10.6,14.9,19.3,7.2,1.58,10.59,55.6295264916631,-1.77142787886866,-0.702976334538914,-0.582195956223563
"1985-05","1985-05",1985-05-01,1985,"1985",0,12.9,15.6,18.3,9,2.23,7.49,66.0889847990633,-1.84974829813459,-0.589455797849779,-0.0137012061692367
"1985-06","1985-06",1985-06-01,1985,"1985",0,14.3,17.5,20.7,11.5,1.7,8.36,79.5771047380844,-1.87481262614617,0.0696849203184557,0.317817386636019
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.3,21.6,24.8,14,3.26,13.81,115.008454674704,-1.87291748134695,-0.282216147062508,-1.35987275166381
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.6,20.1,23.6,13.1,2.75,12.54,97.0256331752943,-1.81482770901876,0.282216147062508,0.389273329674172
"1985-09","1985-09",1985-09-01,1985,"1985",4.58,14.9,19.1,23.2,11.8,2.28,13.32,79.7746071640049,-1.6633694157501,0.745679878153952,0.660558061170596
"1985-10","1985-10",1985-10-01,1985,"1986",4.76,13.5,18.4,23.3,9.8,2.38,15.31,70.8296764572713,-1.7650605859803,0.247005965610887,-0.213397437326251
"1985-11","1985-11",1985-11-01,1985,"1986",96.62,9.2,13.9,18.6,6.3,1.5,10.81,39.9241746112202,0.766714078528825,2.04796734484958,2.15396002330374
"1985-12","1985-12",1985-12-01,1985,"1986",29.71,7.2,13.4,19.5,3.6,1.71,14.14,37.3889120501032,-0.318562004004037,-0.170716170136605,-0.418910399171945
"1986-01","1986-01",1986-01-01,1986,"1986",20.26,9.4,14.8,20.3,5.2,1.94,14.09,44.9088095060202,-0.814857649824144,-0.417282768832055,-0.884223021446253
"1986-02","1986-02",1986-02-01,1986,"1986",82.36,8.4,13.3,18.2,7.2,0.76,9.18,36.2650408238646,0.129446684603232,0.657720337715578,0.654022524937536
"1986-03","1986-03",1986-03-01,1986,"1986",80.08,10,14,18,8.4,0.96,7.88,47.6035765385736,0.528818954043653,1.24297987098363,1.32245434545168
"1986-04","1986-04",1986-04-01,1986,"1986",18.67,9.9,14.7,19.5,8.1,1.69,11.11,54.4026967466754,0.684528600917989,0.347064891872401,0.31345069640003
"1986-05","1986-05",1986-05-01,1986,"1986",0,12.1,15.9,19.7,10.3,2.48,8.25,68.1993809025224,0.883332524718185,-0.589455797849779,-0.189775607367363
"1986-06","1986-06",1986-06-01,1986,"1986",0,15.3,18,20.7,12.8,2.94,6.96,83.3637950733455,0.964112643519943,0.0696849203184557,-0.210924324697368
"1986-07","1986-07",1986-07-01,1986,"1986",0.51,15.7,18.9,22.1,13.6,2.69,7.96,92.2637818568009,0.959322366621822,0.759804993249233,1.06151863800549
"1986-08","1986-08",1986-08-01,1986,"1986",0,16.4,19.7,23.1,14.3,2.67,8.81,93.8599864481009,0.925675538345545,0.282216147062508,0.828040282748195
"1986-09","1986-09",1986-09-01,1986,"1986",26.49,13.3,17.1,20.9,11.5,2.31,8.06,66.465063383288,1.40659161191837,1.85864314571762,3.02676838066851
"1986-10","1986-10",1986-10-01,1986,"1987",3.97,11.5,16.5,21.6,9.9,1.87,10.9,59.1704298041346,-0.177079987515589,0.189851989433582,0.528960491255039
"1986-11","1986-11",1986-11-01,1986,"1987",27.43,9.3,16.3,23.3,5.4,2.08,18.38,51.9260338587921,-0.159382677395709,0.488798314459159,0.221540746767958
"1986-12","1986-12",1986-12-01,1986,"1987",34.63,4.4,12.4,20.5,3.7,1.33,15.15,32.8971924683068,-0.297962932737906,-0.0262476484124222,-0.130356476297804
"1987-01","1987-01",1987-01-01,1987,"1987",48.5,5.6,11.6,17.7,1.9,1.69,12.18,30.0423471075864,-0.305908293777845,0.222962914776449,0.360404483561573
"1987-02","1987-02",1987-02-01,1987,"1987",39.97,6.3,12.5,18.7,4.6,1.57,12.37,32.7362554543052,-0.45909551229331,-0.110396364219208,-0.17030111799858
"1987-03","1987-03",1987-03-01,1987,"1987",25.5,7.9,13,18.1,7.5,1.21,9.4,42.1238739958271,-0.532638675485032,0.0419178331367124,0.161644794503215
