PRISM Time Series Data
Location:  Lat: 34.4637   Lon: -120.0696   Elev: 59m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,1.72,7.7,12.8,18.0,3.7,2.04,11.09
1984-02,5.13,7.0,12.3,17.7,2.8,2.10,11.27
1984-03,14.00,9.0,14.0,19.0,5.8,1.69,11.85
1984-04,6.09,8.8,13.8,18.8,3.7,2.61,12.82
1984-05,0.00,10.9,15.9,20.8,7.8,2.15,12.01
1984-06,0.00,12.3,15.9,19.5,9.8,1.61,8.70
1984-07,1.32,14.5,18.1,21.7,12.4,1.25,8.92
1984-08,3.25,15.5,19.3,23.1,13.7,1.57,10.25
1984-09,7.51,17.1,21.7,26.3,13.9,2.86,16.40
1984-10,14.04,11.6,16.3,21.0,6.2,3.41,14.27
1984-11,65.81,8.9,13.2,17.6,5.3,2.23,9.53
1984-12,122.41,7.5,11.1,14.8,2.9,2.36,7.61
1985-01,20.46,6.9,11.0,15.1,1.8,2.52,8.55
1985-02,49.83,7.1,11.7,16.2,2.0,2.38,9.46
1985-03,41.22,7.2,11.3,15.5,3.1,2.03,8.28
1985-04,1.37,9.6,13.8,18.0,5.4,2.09,10.52
1985-05,0.00,9.5,13.6,17.7,5.6,2.28,9.35
1985-06,0.00,12.0,16.2,20.4,9.5,1.48,9.43
1985-07,0.00,14.1,18.7,23.2,10.7,2.22,14.80
1985-08,0.00,12.7,17.3,21.9,10.7,1.91,12.17
1985-09,1.07,12.8,17.5,22.1,9.8,2.53,12.87
1985-10,14.51,11.1,16.1,21.2,7.4,2.55,13.68
