"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",1.72,7.7,12.8,18,3.7,2.04,11.09,40.3353443636659,-0.940912618451153,-1.46515337499272,-1.45923966139558
"1984-02","1984-02",1984-02-01,1984,"1984",5.13,7,12.3,17.7,2.8,2.1,11.27,36.7907983557418,-1.68381428551712,-1.64923456929429,-1.32081440987862
"1984-03","1984-03",1984-03-01,1984,"1984",14,9,14,19,5.8,1.69,11.85,53.8334474070929,-2.31614363262763,-0.907913701940805,-1.09677848260041
"1984-04","1984-04",1984-04-01,1984,"1984",6.09,8.8,13.8,18.8,3.7,2.61,12.82,55.8013647848068,-2.71451531553384,-0.208194311442904,-0.417352496500721
"1984-05","1984-05",1984-05-01,1984,"1984",0,10.9,15.9,20.8,7.8,2.15,12.01,75.7788347263308,-3.21552235977119,-0.674489750196082,-1.77312570487741
"1984-06","1984-06",1984-06-01,1984,"1984",0,12.3,15.9,19.5,9.8,1.61,8.7,75.5750373842819,-3.48374000723198,-0.210428394247925,-0.700204609708974
"1984-07","1984-07",1984-07-01,1984,"1984",1.32,14.5,18.1,21.7,12.4,1.25,8.92,93.1928981797492,-3.48520247811687,1.17101990161566,-1.29963526573451
"1984-08","1984-08",1984-08-01,1984,"1984",3.25,15.5,19.3,23.1,13.7,1.57,10.25,97.0173684422038,-3.11929691161177,1.85238285401529,-1.47369003866868
"1984-09","1984-09",1984-09-01,1984,"1984",7.51,17.1,21.7,26.3,13.9,2.86,16.4,102.605640220373,-2.71773302436645,1.10573300576279,-2.25599649407539
"1984-10","1984-10",1984-10-01,1984,"1985",14.04,11.6,16.3,21,6.2,3.41,14.27,63.5375291405167,-2.6440832004701,0.349970259200816,0.261099710027112
"1984-11","1984-11",1984-11-01,1984,"1985",65.81,8.9,13.2,17.6,5.3,2.23,9.53,41.6416501787367,-1.85628222927113,0.976960781424063,1.15049687621848
"1984-12","1984-12",1984-12-01,1984,"1985",122.41,7.5,11.1,14.8,2.9,2.36,7.61,32.0991051335385,-1.09975099529689,0.908319188388064,1.01384929186442
"1985-01","1985-01",1985-01-01,1985,"1985",20.46,6.9,11,15.1,1.8,2.52,8.55,32.3317966186164,-1.80194280434973,-0.61955271644648,-0.704039128747109
"1985-02","1985-02",1985-02-01,1985,"1985",49.83,7.1,11.7,16.2,2,2.38,9.46,34.2012057922389,-2.22334207187251,-0.349639359489385,-0.457703417451264
"1985-03","1985-03",1985-03-01,1985,"1985",41.22,7.2,11.3,15.5,3.1,2.03,8.28,39.3778977626261,-2.40887346016844,-0.250693480127498,-0.222199809115221
"1985-04","1985-04",1985-04-01,1985,"1985",1.37,9.6,13.8,18,5.4,2.09,10.52,55.8013647848068,-2.51835602859053,-0.686375490848614,-0.721257131571414
"1985-05","1985-05",1985-05-01,1985,"1985",0,9.5,13.6,17.7,5.6,2.28,9.35,60.3272305690351,-2.51538339554304,-0.674489750196082,-0.0179132355635709
"1985-06","1985-06",1985-06-01,1985,"1985",0,12,16.2,20.4,9.5,1.48,9.43,77.6650970500957,-2.49640206516465,-0.210428394247925,-1.28883199581019
