PRISM Time Series Data
Location:  Lat: 34.3741   Lon: -119.4770   Elev: 58m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,2.08,8.6,14.3,20.0,2.4,2.90,14.93
1984-02,0.25,7.0,13.3,19.6,2.0,2.29,14.63
1984-03,11.49,8.9,15.2,21.5,5.1,1.91,15.94
1984-04,2.97,9.2,14.8,20.4,4.9,2.26,14.59
1984-05,0.00,11.7,17.2,22.7,8.6,2.24,14.60
1984-06,0.00,13.1,16.9,20.8,10.5,1.67,10.13
1984-07,0.21,15.8,19.6,23.3,13.1,1.70,11.63
1984-08,8.86,16.9,20.6,24.2,14.3,2.13,11.51
1984-09,19.02,17.9,22.9,27.8,14.0,3.51,19.75
1984-10,8.41,11.9,17.1,22.3,6.1,3.56,16.48
1984-11,66.46,8.6,13.6,18.7,5.2,2.15,11.26
1984-12,127.00,7.2,11.6,16.0,2.7,2.37,9.37
1985-01,28.47,7.0,11.9,16.7,1.8,2.68,10.98
1985-02,45.57,7.1,12.5,17.9,2.0,2.33,12.55
1985-03,36.45,7.1,12.3,17.5,3.8,1.72,10.74
1985-04,0.23,9.9,14.3,18.7,6.0,1.93,11.28
1985-05,0.00,9.9,14.4,19.0,7.0,1.66,10.18
1985-06,0.00,12.6,17.1,21.5,10.1,1.47,11.09
1985-07,0.00,15.5,20.3,25.0,12.1,2.30,16.75
1985-08,0.00,13.6,18.6,23.7,11.8,1.69,14.23
1985-09,1.59,13.4,18.5,23.5,10.1,2.60,15.32
1985-10,12.16,12.0,17.2,22.5,8.0,2.68,15.49
1985-11,100.61,8.5,13.6,18.6,5.2,1.67,11.37
1985-12,25.94,7.3,13.5,19.6,2.5,2.41,14.82
1986-01,64.29,9.9,15.2,20.4,5.5,2.23,13.82
1986-02,206.82,9.6,13.8,18.1,6.4,1.28,9.47
1986-03,144.00,10.0,14.5,19.0,7.6,1.11,9.97
1986-04,40.29,9.8,14.3,18.8,7.8,1.56,10.71
1986-05,0.00,10.3,15.1,19.9,9.3,1.29,10.14
1986-06,0.00,12.4,16.9,21.4,11.7,1.10,10.18
1986-07,0.00,13.3,17.7,22.1,12.2,1.48,10.90
1986-08,0.00,13.8,18.5,23.2,12.5,1.27,12.25
1986-09,26.85,12.7,17.1,21.5,11.0,1.76,11.23
1986-10,0.00,12.3,17.3,22.3,10.2,1.65,13.79
1986-11,32.79,10.9,16.7,22.5,6.6,2.73,17.25
1986-12,7.79,8.1,13.9,19.7,4.7,1.89,13.68
1987-01,46.03,6.4,11.8,17.3,2.6,2.02,11.57
1987-02,50.39,8.1,13.3,18.4,3.8,2.49,12.97
1987-03,66.34,8.0,13.2,18.5,5.6,1.71,11.64
1987-04,0.03,10.4,15.8,21.1,7.4,1.98,14.63
1987-05,2.49,12.5,16.2,20.0,10.1,1.94,9.37
1987-06,0.70,12.9,16.7,20.5,11.2,1.45,8.98
1987-07,0.99,12.7,17.4,22.0,12.0,1.18,10.52
1987-08,0.00,13.6,18.7,23.8,12.7,1.61,13.30
1987-09,0.00,13.6,18.6,23.7,12.5,1.68,12.46
1987-10,35.08,15.0,18.8,22.7,12.4,2.03,12.02
1987-11,28.49,10.3,15.2,20.0,7.9,2.10,12.19
1987-12,89.06,6.2,11.1,15.9,4.2,1.50,8.88
1988-01,65.00,6.8,12.2,17.6,4.4,1.79,11.37
1988-02,37.26,7.6,14.1,20.5,3.2,2.54,16.56
1988-03,29.09,9.4,15.8,22.3,5.5,2.38,18.23
1988-04,83.79,9.7,14.7,19.7,8.6,1.42,11.32
1988-05,0.15,10.5,15.4,20.3,8.9,1.66,11.51
1988-06,1.88,11.4,15.9,20.3,10.9,1.42,9.32
1988-07,0.00,15.2,19.1,22.9,15.3,1.02,7.84
1988-08,0.00,14.5,18.7,22.8,14.1,1.33,8.93
1988-09,1.15,13.3,17.8,22.2,12.6,2.03,11.82
1988-10,0.00,13.2,17.1,21.0,12.2,1.90,10.15
1988-11,24.85,9.7,14.6,19.5,7.8,1.94,11.58
1988-12,88.12,7.6,12.6,17.7,3.1,2.68,13.33
1989-01,12.81,5.9,11.6,17.3,1.4,2.36,13.52
1989-02,72.05,6.3,11.1,16.0,4.0,1.37,9.92
1989-03,21.02,9.2,14.4,19.6,7.3,1.31,11.95
1989-04,6.49,11.7,16.6,21.5,8.5,2.49,15.50
1989-05,4.82,10.3,15.6,20.9,9.1,1.61,11.94
1989-06,0.00,12.4,17.1,21.8,11.3,1.36,11.58
1989-07,0.00,14.1,19.0,23.9,13.2,1.40,13.04
1989-08,0.00,13.9,18.3,22.7,13.6,1.24,10.85
1989-09,3.72,12.9,18.1,23.2,12.6,1.48,14.48
1989-10,9.71,12.2,17.2,22.1,10.0,2.53,14.32
1989-11,7.14,10.2,16.5,22.9,4.8,4.06,19.78
1989-12,0.00,7.7,14.3,20.9,2.7,3.51,17.77
1990-01,64.33,6.9,12.7,18.5,3.8,1.90,13.17
1990-02,59.81,6.1,11.4,16.8,2.7,1.65,11.91
1990-03,0.03,8.6,13.2,17.9,7.4,1.24,10.26
1990-04,3.02,10.8,15.3,19.8,10.3,1.01,10.08
1990-05,22.26,10.5,15.3,20.1,9.6,1.36,11.13
1990-06,0.04,12.7,17.7,22.7,11.0,1.91,14.61
1990-07,0.00,14.9,20.0,25.1,13.9,2.01,14.65
1990-08,0.00,15.0,19.6,24.2,13.3,2.30,13.85
1990-09,1.43,14.2,19.3,24.5,12.3,2.48,15.70
1990-10,0.10,12.3,17.7,23.1,9.2,2.92,16.23
