"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",2.08,8.6,14.3,20,2.4,2.9,14.93,44.4552694306795,-0.973544740190514,-1.38647191063439,-1.55461100535665
"1984-02","1984-02",1984-02-01,1984,"1984",0.25,7,13.3,19.6,2,2.29,14.63,38.3625776887506,-1.71574127494032,-2.54667367537612,-1.30197066688646
"1984-03","1984-03",1984-03-01,1984,"1984",11.49,8.9,15.2,21.5,5.1,1.91,15.94,57.2345442360487,-2.30648988820835,-0.933376863431215,-1.13962812651241
"1984-04","1984-04",1984-04-01,1984,"1984",2.97,9.2,14.8,20.4,4.9,2.26,14.59,58.0954758263406,-2.75679930662768,-0.417551165656345,-0.673918873447586
"1984-05","1984-05",1984-05-01,1984,"1984",0,11.7,17.2,22.7,8.6,2.24,14.6,81.1288615531856,-3.26851773269115,-0.967421566101701,-2.4737825054292
"1984-06","1984-06",1984-06-01,1984,"1984",0,13.1,16.9,20.8,10.5,1.67,10.13,78.7086499344363,-3.51161322616443,-0.282216147062508,-0.50675465084923
"1984-07","1984-07",1984-07-01,1984,"1984",0.21,15.8,19.6,23.3,13.1,1.7,11.63,101.275356259619,-3.5462399133671,NA,-1.30033110034529
"1984-08","1984-08",1984-08-01,1984,"1984",8.86,16.9,20.6,24.2,14.3,2.13,11.51,103.783953316491,-2.82235551240686,2.09198168643036,-0.932153865542976
"1984-09","1984-09",1984-09-01,1984,"1984",19.02,17.9,22.9,27.8,14,3.51,19.75,109.173839999618,-1.9364915212076,1.83183457844078,-1.51307866489499
"1984-10","1984-10",1984-10-01,1984,"1985",8.41,11.9,17.1,22.3,6.1,3.56,16.48,65.0513956021621,-1.9974371189814,0.250063701398914,0.104283547432435
"1984-11","1984-11",1984-11-01,1984,"1985",66.46,8.6,13.6,18.7,5.2,2.15,11.26,40.5658185202897,-1.25075063196111,1.02918257779526,1.26240364832268
"1984-12","1984-12",1984-12-01,1984,"1985",127,7.2,11.6,16,2.7,2.37,9.37,31.4094629853175,-0.625465644134149,0.942137121483886,1.05545822949511
"1985-01","1985-01",1985-01-01,1985,"1985",28.47,7,11.9,16.7,1.8,2.68,10.98,33.359955026226,-1.32022160414213,-0.398427833527216,-0.436610002773761
"1985-02","1985-02",1985-02-01,1985,"1985",45.57,7.1,12.5,17.9,2,2.33,12.55,34.8178739937946,-1.79018706491274,-0.279480885722396,-0.40029805900566
"1985-03","1985-03",1985-03-01,1985,"1985",36.45,7.1,12.3,17.5,3.8,1.72,10.74,41.1124004143693,-2.02512594613267,-0.26412507352761,-0.227111725808685
"1985-04","1985-04",1985-04-01,1985,"1985",0.23,9.9,14.3,18.7,6,1.93,11.28,55.0574158236336,-2.13892957156378,-1.05003966242532,-0.654955671747693
"1985-05","1985-05",1985-05-01,1985,"1985",0,9.9,14.4,19,7,1.66,10.18,61.4578153005956,-2.14570675789451,-0.967421566101701,0.0439781076729383
"1985-06","1985-06",1985-06-01,1985,"1985",0,12.6,17.1,21.5,10.1,1.47,11.09,80.1692206364243,-2.13889130350131,-0.282216147062508,-0.81831015539254
"1985-07","1985-07",1985-07-01,1985,"1985",0,15.5,20.3,25,12.1,2.3,16.75,106.984645749644,-2.16627015425832,NA,-1.71247332861464
"1985-08","1985-08",1985-08-01,1985,"1985",0,13.6,18.6,23.7,11.8,1.69,14.23,88.4731407151884,-2.09031170732825,0.589455797849779,-0.109132119557318
"1985-09","1985-09",1985-09-01,1985,"1985",1.59,13.4,18.5,23.5,10.1,2.6,15.32,78.2167374981909,-2.01318839966368,0.409844940700997,-0.0372597169195271
"1985-10","1985-10",1985-10-01,1985,"1986",12.16,12,17.2,22.5,8,2.68,15.49,65.6469060297115,-1.98894847370584,0.395634964361415,0.258204148303266
"1985-11","1985-11",1985-11-01,1985,"1986",100.61,8.5,13.6,18.6,5.2,1.67,11.37,40.5658185202897,0.695558115782945,1.56720759941142,1.74715015151821
"1985-12","1985-12",1985-12-01,1985,"1986",25.94,7.3,13.5,19.6,2.5,2.41,14.82,39.8120008334418,-0.961399267251788,-0.473667494503491,-0.681668227036566
"1986-01","1986-01",1986-01-01,1986,"1986",64.29,9.9,15.2,20.4,5.5,2.23,13.82,48.9046757220971,-1.23237381967451,0.0942499581793421,-0.0553326383940009
"1986-02","1986-02",1986-02-01,1986,"1986",206.82,9.6,13.8,18.1,6.4,1.28,9.47,40.640230275593,0.451651422434604,1.0763619728411,1.16416715657651
"1986-03","1986-03",1986-03-01,1986,"1986",144,10,14.5,19,7.6,1.11,9.97,53.1689526326011,0.779238099553383,0.941545881195713,1.00164806282147
"1986-04","1986-04",1986-04-01,1986,"1986",40.29,9.8,14.3,18.8,7.8,1.56,10.71,55.0574158236336,0.983065078819564,0.87562410173315,0.87626604660006
"1986-05","1986-05",1986-05-01,1986,"1986",0,10.3,15.1,19.9,9.3,1.29,10.14,66.1902882907206,1.02716926414998,-0.967421566101701,-0.349675924236908
"1986-06","1986-06",1986-06-01,1986,"1986",0,12.4,16.9,21.4,11.7,1.1,10.18,78.7086499344363,1.07065184218829,-0.282216147062508,-0.50675465084923
"1986-07","1986-07",1986-07-01,1986,"1986",0,13.3,17.7,22.1,12.2,1.48,10.9,86.3568341451174,1.01945139885303,NA,0.333694340755421
"1986-08","1986-08",1986-08-01,1986,"1986",0,13.8,18.5,23.2,12.5,1.27,12.25,87.7308813054029,0.971049392685852,0.589455797849779,-0.00642185805519167
"1986-09","1986-09",1986-09-01,1986,"1986",26.85,12.7,17.1,21.5,11,1.76,11.23,69.1653494486039,1.59362813315273,2.21206757283587,2.45498196917405
"1986-10","1986-10",1986-10-01,1986,"1987",0,12.3,17.3,22.3,10.2,1.65,13.79,66.2443683710984,-0.389366765080789,-0.589455797849779,-0.494051868590653
"1986-11","1986-11",1986-11-01,1986,"1987",32.79,10.9,16.7,22.5,6.6,2.73,17.25,55.915313391985,-0.506733384850484,0.284055348464179,-0.0197921698100254
"1986-12","1986-12",1986-12-01,1986,"1987",7.79,8.1,13.9,19.7,4.7,1.89,13.68,41.6708601273137,-1.11579326521614,-1.03150571008196,-1.12455478762164
"1987-01","1987-01",1987-01-01,1987,"1987",46.03,6.4,11.8,17.3,2.6,2.02,11.57,32.9228716605504,-1.19768650961662,-0.122670364871513,-0.0934341762046392
"1987-02","1987-02",1987-02-01,1987,"1987",50.39,8.1,13.3,18.4,3.8,2.49,12.97,38.3625776887506,-1.39540570327776,-0.207862326287417,-0.380199306569258
"1987-03","1987-03",1987-03-01,1987,"1987",66.34,8,13.2,18.5,5.6,1.71,11.64,45.9095865279173,-1.41074268300237,0.192833130900458,0.194499588432207
"1987-04","1987-04",1987-04-01,1987,"1987",0.03,10.4,15.8,21.1,7.4,1.98,14.63,64.3457426479401,-1.8220426386014,-1.32681838272042,-1.36425491918734
"1987-05","1987-05",1987-05-01,1987,"1987",2.49,12.5,16.2,20,10.1,1.94,9.37,73.8789090886128,-2.25388979350946,0.00113463711822721,-0.889686509622561
"1987-06","1987-06",1987-06-01,1987,"1987",0.7,12.9,16.7,20.5,11.2,1.45,8.98,77.2577757265027,-2.50906409392977,0.258981276464907,-0.0957859668545172
"1987-07","1987-07",1987-07-01,1987,"1987",0.99,12.7,17.4,22,12,1.18,10.52,84.0802779655557,-2.5204047361819,NA,0.815110419931224
"1987-08","1987-08",1987-08-01,1987,"1987",0,13.6,18.7,23.8,12.7,1.61,13.3,89.217649639071,-2.41211964777104,0.589455797849779,-0.211015783739275
"1987-09","1987-09",1987-09-01,1987,"1987",0,13.6,18.6,23.7,12.5,1.68,12.46,78.8785011616453,-2.38578955258837,-0.0696849203184557,-0.287580779412071
"1987-10","1987-10",1987-10-01,1987,"1988",35.08,15,18.8,22.7,12.4,2.03,12.02,75.4372675496597,-1.87098762518862,0.964574908125198,0.751655445112002
"1987-11","1987-11",1987-11-01,1987,"1988",28.49,10.3,15.2,20,7.9,2.1,12.19,48.2672847436437,-1.87055224104717,0.156761679971419,0.104019443353112
"1987-12","1987-12",1987-12-01,1987,"1988",89.06,6.2,11.1,15.9,4.2,1.5,8.88,29.319428197131,-1.38527347365029,0.543384363924577,0.618517479476048
"1988-01","1988-01",1988-01-01,1988,"1988",65,6.8,12.2,17.6,4.4,1.79,11.37,34.6836082593539,-1.56717491308622,0.101775321978013,0.170557160619713
"1988-02","1988-02",1988-02-01,1988,"1988",37.26,7.6,14.1,20.5,3.2,2.54,16.56,42.0293964699074,-2.10339399336608,-0.417048989398541,-0.658011890429438
"1988-03","1988-03",1988-03-01,1988,"1988",29.09,9.4,15.8,22.3,5.5,2.38,18.23,60.8044110445101,-2.50802875559019,-0.414615516161287,-0.792579168924272
