PRISM Time Series Data
Location:  Lat: 32.9719   Lon: -117.2497   Elev: 54m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.70,8.4,14.3,20.2,2.9,2.88,14.97
1984-02,1.37,7.7,13.9,20.1,2.8,2.46,14.90
1984-03,1.05,10.1,15.3,20.6,6.8,1.68,13.03
1984-04,18.60,11.5,15.8,20.0,7.5,2.07,12.06
1984-05,0.00,14.1,18.0,21.8,11.3,2.07,10.34
1984-06,1.49,16.2,19.4,22.5,12.0,3.02,10.71
1984-07,0.53,20.1,23.5,26.9,15.9,3.52,14.94
1984-08,0.61,20.0,23.1,26.3,16.1,3.59,12.63
1984-09,0.00,20.5,24.4,28.2,16.5,3.65,17.57
1984-10,4.28,13.8,18.5,23.1,9.4,3.24,14.73
1984-11,45.53,9.7,14.5,19.3,6.6,2.05,10.87
1984-12,115.58,7.8,12.2,16.6,4.6,1.80,9.00
1985-01,10.40,6.8,12.0,17.2,2.7,2.14,11.25
1985-02,22.92,7.1,12.4,17.7,3.2,1.98,11.51
1985-03,18.02,8.0,12.5,17.1,5.5,1.70,8.70
1985-04,9.66,11.4,15.6,19.7,7.7,1.96,11.03
1985-05,0.00,13.7,16.4,19.1,8.8,3.27,8.87
1985-06,0.00,15.2,18.6,22.0,11.2,2.71,10.66
1985-07,0.00,18.8,22.4,26.0,14.6,3.52,15.18
1985-08,0.02,17.5,21.0,24.5,13.5,3.38,13.64
1985-09,9.26,16.3,20.2,24.1,12.1,3.24,14.07
1985-10,5.32,14.4,18.9,23.3,10.4,2.73,14.62
1985-11,100.83,10.0,14.5,18.9,6.2,2.00,11.25
1985-12,36.94,7.6,13.6,19.6,3.7,2.01,14.39
1986-01,14.62,9.6,15.1,20.6,4.9,2.33,14.72
1986-02,84.84,9.5,14.0,18.5,7.4,1.13,9.56
1986-03,94.76,10.9,14.8,18.8,8.3,1.37,9.07
1986-04,22.69,11.1,15.7,20.2,8.8,1.89,11.77
1986-05,0.00,13.1,16.7,20.2,11.0,2.15,8.86
1986-06,0.00,15.9,18.7,21.6,13.3,2.66,8.49
1986-07,1.87,16.8,20.0,23.2,14.6,2.40,9.76
1986-08,0.00,17.7,21.0,24.4,14.9,2.79,11.81
1986-09,23.75,14.8,18.2,21.7,12.2,2.58,9.74
1986-10,14.86,12.9,17.5,22.0,11.2,1.68,11.63
1986-11,23.22,10.4,16.5,22.6,6.6,2.44,16.96
1986-12,31.54,7.1,13.4,19.7,5.5,1.53,13.55
1987-01,39.20,6.2,11.9,17.7,3.2,1.77,11.82
1987-02,32.99,8.1,13.5,18.9,5.0,2.25,12.71
1987-03,28.08,9.4,14.0,18.5,7.0,2.01,10.65
