"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.7,8.4,14.3,20.2,2.9,2.88,14.97,41.0771420490329,-0.606958561539111,-1.05367995277807,-1.2127791152167
"1984-02","1984-02",1984-02-01,1984,"1984",1.37,7.7,13.9,20.1,2.8,2.46,14.9,37.6675203046124,-1.29642881982253,-2.24229401745344,-1.38675304717287
"1984-03","1984-03",1984-03-01,1984,"1984",1.05,10.1,15.3,20.6,6.8,1.68,13.03,53.4574080286013,-1.86641179398761,-2.04003308226192,-1.71599877951547
"1984-04","1984-04",1984-04-01,1984,"1984",18.6,11.5,15.8,20,7.5,2.07,12.06,59.4902115010234,-1.96796319539072,0.248644942068084,0.0236283688505477
"1984-05","1984-05",1984-05-01,1984,"1984",0,14.1,18,21.8,11.3,2.07,10.34,81.7804694914198,-2.25639245387616,-0.764709673786387,-1.17834378870164
"1984-06","1984-06",1984-06-01,1984,"1984",1.49,16.2,19.4,22.5,12,3.02,10.71,92.5331442518219,-2.37671241768006,0.663411764456053,-1.3376099808389
"1984-07","1984-07",1984-07-01,1984,"1984",0.53,20.1,23.5,26.9,15.9,3.52,14.94,131.055425681482,-2.437667209723,0.522473610597393,-2.0230592169313
"1984-08","1984-08",1984-08-01,1984,"1984",0.61,20,23.1,26.3,16.1,3.59,12.63,120.97639738571,-2.3401184076428,0.572595485222943,-1.73986071975568
"1984-09","1984-09",1984-09-01,1984,"1984",0,20.5,24.4,28.2,16.5,3.65,17.57,118.894582500319,-2.45446407166829,-0.282216147062508,-2.47977125980066
"1984-10","1984-10",1984-10-01,1984,"1985",4.28,13.8,18.5,23.1,9.4,3.24,14.73,70.0915726707065,-2.55601663925989,0.0487596031561054,-0.0889306397206326
"1984-11","1984-11",1984-11-01,1984,"1985",45.53,9.7,14.5,19.3,6.6,2.05,10.87,41.4617357532071,0.35287525366421,0.970402571441979,1.2144572110516
"1984-12","1984-12",1984-12-01,1984,"1985",115.58,7.8,12.2,16.6,4.6,1.8,9,30.7396111173583,1.16807617266217,1.48545558306301,1.64593902613131
"1985-01","1985-01",1985-01-01,1985,"1985",10.4,6.8,12,17.2,2.7,2.14,11.25,30.4586417864365,-0.46627816281105,-0.667396070394749,-0.571012730876545
"1985-02","1985-02",1985-02-01,1985,"1985",22.92,7.1,12.4,17.7,3.2,1.98,11.51,31.0013756511447,-0.862463255109253,-0.572767876807852,-0.531279083881858
"1985-03","1985-03",1985-03-01,1985,"1985",18.02,8,12.5,17.1,5.5,1.7,8.7,37.8693478023399,-1.00828719714428,-0.371513867952673,-0.0362962501541065
"1985-04","1985-04",1985-04-01,1985,"1985",9.66,11.4,15.6,19.7,7.7,1.96,11.03,58.2115676373022,-1.09139178507172,-0.322601274820591,-0.389903357038546
"1985-05","1985-05",1985-05-01,1985,"1985",0,13.7,16.4,19.1,8.8,3.27,8.87,69.7741320081472,-1.1874795098842,-0.764709673786387,-0.264012606103586
"1985-06","1985-06",1985-06-01,1985,"1985",0,15.2,18.6,22,11.2,2.71,10.66,86.1199856699084,-1.2483873270589,0,-0.549503060890988
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.8,22.4,26,14.6,3.52,15.18,120.765993716625,-1.33527359267562,-0.210428394247925,-1.55131148424479
"1985-08","1985-08",1985-08-01,1985,"1985",0.02,17.5,21,24.5,13.5,3.38,13.64,102.825597817675,-1.32142364085322,0.23741021147812,-0.0451434775283814
"1985-09","1985-09",1985-09-01,1985,"1985",9.26,16.3,20.2,24.1,12.1,3.24,14.07,86.146412067129,0.160137209192349,1.00531097529515,0.69264095420945
"1985-10","1985-10",1985-10-01,1985,"1986",5.32,14.4,18.9,23.3,10.4,2.73,14.62,72.6960756208377,0.0167571368825339,0.129468827605751,-0.206253995685727
"1985-11","1985-11",1985-11-01,1985,"1986",100.83,10,14.5,18.9,6.2,2,11.25,41.4617357532071,1.22389470751062,2.0282033349457,2.06321664282488
"1985-12","1985-12",1985-12-01,1985,"1986",36.94,7.6,13.6,19.6,3.7,2.01,14.39,36.9970460313609,1.08985126617586,0.0903905864255544,-0.115974896932468
"1986-01","1986-01",1986-01-01,1986,"1986",14.62,9.6,15.1,20.6,4.9,2.33,14.72,45.0735929857938,0.727930166735348,-0.479558200710489,-0.959624441185839
"1986-02","1986-02",1986-02-01,1986,"1986",84.84,9.5,14,18.5,7.4,1.13,9.56,38.1308923102763,0.916170491650412,0.710501398601365,0.699942139685576
"1986-03","1986-03",1986-03-01,1986,"1986",94.76,10.9,14.8,18.8,8.3,1.37,9.07,50.5122321745934,1.58783227710698,1.38586062572787,1.42344567099742
"1986-04","1986-04",1986-04-01,1986,"1986",22.69,11.1,15.7,20.2,8.8,1.89,11.77,58.8494529214134,1.79522746300335,0.451706648615126,0.256776193750133
"1986-05","1986-05",1986-05-01,1986,"1986",0,13.1,16.7,20.2,11,2.15,8.86,71.9651104374358,2.02546496509604,-0.764709673786387,-0.441664332646536
"1986-06","1986-06",1986-06-01,1986,"1986",0,15.9,18.7,21.6,13.3,2.66,8.49,86.911194247226,2.04261083284258,0,-0.677648314657931
"1986-07","1986-07",1986-07-01,1986,"1986",1.87,16.8,20,23.2,14.6,2.4,9.76,99.5401639731108,1.95336557366462,0.872946091923644,0.456813793579546
"1986-08","1986-08",1986-08-01,1986,"1986",0,17.7,21,24.4,14.9,2.79,11.81,102.825597817675,1.81501537531373,0.210428394247925,-0.0474257595013876
