PRISM Time Series Data
Location:  Lat: 33.0105   Lon: -117.2635   Elev: 40m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,3.45,8.0,14.1,20.2,2.8,2.68,15.00
1984-02,1.43,7.2,13.5,19.8,2.6,2.32,14.70
1984-03,1.00,9.6,14.9,20.2,6.6,1.54,12.55
1984-04,18.90,11.1,15.5,19.9,7.3,1.95,12.03
1984-05,0.00,13.8,17.8,21.7,11.2,1.88,10.27
1984-06,1.44,16.0,19.2,22.4,12.0,2.82,10.65
1984-07,0.38,19.8,23.2,26.7,15.8,3.25,14.58
1984-08,0.47,19.6,22.9,26.2,16.0,3.16,12.46
1984-09,0.21,20.0,24.0,28.1,16.4,3.26,17.42
1984-10,3.17,13.4,18.2,23.0,9.2,2.99,14.78
1984-11,43.74,9.3,14.2,19.1,6.4,1.96,10.83
1984-12,116.51,7.4,12.0,16.6,4.4,1.69,9.19
1985-01,10.17,6.4,11.7,17.1,2.7,1.95,11.18
1985-02,22.54,6.8,12.1,17.4,3.0,1.91,11.28
1985-03,18.41,7.5,12.2,16.9,5.3,1.58,8.58
1985-04,8.56,11.0,15.3,19.5,7.6,1.74,10.84
1985-05,0.00,13.4,16.1,18.9,8.8,2.96,8.44
1985-06,0.00,14.9,18.3,21.6,11.3,2.38,10.01
1985-07,0.00,18.5,22.1,25.7,14.5,3.20,14.64
1985-08,0.12,17.0,20.5,24.1,13.3,2.99,12.99
1985-09,7.40,15.8,19.8,23.8,11.9,2.87,13.80
1985-10,4.98,13.9,18.6,23.3,10.3,2.45,14.64
1985-11,99.58,9.6,14.1,18.7,6.1,1.83,11.07
1985-12,36.05,7.2,13.2,19.3,3.5,1.82,14.10
1986-01,14.56,9.2,14.6,20.1,4.9,2.09,14.14
