"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",3.45,8,14.1,20.2,2.8,2.68,15,40.907556458349,-0.574077691470504,-1.17511237602311,-1.30942370651563
"1984-02","1984-02",1984-02-01,1984,"1984",1.43,7.2,13.5,19.8,2.6,2.32,14.7,36.6118195485966,-1.19315592872153,-2.20885142617904,-1.3836341763627
"1984-03","1984-03",1984-03-01,1984,"1984",1,9.6,14.9,20.2,6.6,1.54,12.55,52.0437731202133,-1.71308145733942,-2.0377594102181,-1.73976373873873
"1984-04","1984-04",1984-04-01,1984,"1984",18.9,11.1,15.5,19.9,7.3,1.95,12.03,58.5787573051929,-1.79636737002121,0.269371032648093,0.0814051207528249
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.8,17.8,21.7,11.2,1.88,10.27,81.2834499170212,-2.05324140242309,-0.764709673786387,-1.17387731052601
"1984-06","1984-06",1984-06-01,1984,"1984",1.44,16,19.2,22.4,12,2.82,10.65,91.8809910529484,-2.16641684930568,0.662724862352176,-1.33084594964742
"1984-07","1984-07",1984-07-01,1984,"1984",0.38,19.8,23.2,26.7,15.8,3.25,14.58,128.804821991446,-2.22163381129432,0.703813420014047,-2.00565487762174
"1984-08","1984-08",1984-08-01,1984,"1984",0.47,19.6,22.9,26.2,16,3.16,12.46,119.7850010555,-2.14712712629412,0.526144038927162,-1.8152914178494
"1984-09","1984-09",1984-09-01,1984,"1984",0.21,20,24,28.1,16.4,3.26,17.42,115.97597551254,-2.23201231135249,-0.0087326796806657,-2.45284660261849
"1984-10","1984-10",1984-10-01,1984,"1985",3.17,13.4,18.2,23,9.2,2.99,14.78,68.9845167755992,-2.34325927667666,-0.0136633284115547,-0.137015369809796
"1984-11","1984-11",1984-11-01,1984,"1985",43.74,9.3,14.2,19.1,6.4,1.96,10.83,40.8051414177651,0.236834010665453,0.941547636290898,1.19580035425387
"1984-12","1984-12",1984-12-01,1984,"1985",116.51,7.4,12,16.6,4.4,1.69,9.19,30.6403636436489,0.842138145154258,1.52445035859664,1.68791031786319
"1985-01","1985-01",1985-01-01,1985,"1985",10.17,6.4,11.7,17.1,2.7,1.95,11.18,29.9336641525735,-0.432731926130109,-0.670337360707262,-0.587503529707399
"1985-02","1985-02",1985-02-01,1985,"1985",22.54,6.8,12.1,17.4,3,1.91,11.28,30.4809724459764,-0.795471399898726,-0.573674194501929,-0.553126147741204
"1985-03","1985-03",1985-03-01,1985,"1985",18.41,7.5,12.2,16.9,5.3,1.58,8.58,37.2415503985799,-0.94610251517378,-0.342428901412755,-0.0176434199110699
"1985-04","1985-04",1985-04-01,1985,"1985",8.56,11,15.3,19.5,7.6,1.74,10.84,57.3190210818808,-1.05551005021795,-0.39809529938562,-0.412654972638588
"1985-05","1985-05",1985-05-01,1985,"1985",0,13.4,16.1,18.9,8.8,2.96,8.44,68.711399051973,-1.16093790654533,-0.764709673786387,-0.184367820802583
"1985-06","1985-06",1985-06-01,1985,"1985",0,14.9,18.3,21.6,11.3,2.38,10.01,84.7859876462894,-1.23383905946221,0.0696849203184557,-0.432122227177266
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.5,22.1,25.7,14.5,3.2,14.64,118.746129982517,-1.32145244120117,0.0696849203184557,-1.53074091442297
"1985-08","1985-08",1985-08-01,1985,"1985",0.12,17,20.5,24.1,13.3,2.99,12.99,99.5216047551634,-1.32937393164842,0.356555324334933,0.202868749638412
"1985-09","1985-09",1985-09-01,1985,"1985",7.4,15.8,19.8,23.8,11.9,2.87,13.8,84.0462102935435,-1.13847805532933,0.943996031369703,0.670413443142837
"1985-10","1985-10",1985-10-01,1985,"1986",4.98,13.9,18.6,23.3,10.3,2.45,14.64,71.5411788128708,-1.29470982995868,0.145136404163149,-0.196704573912825
"1985-11","1985-11",1985-11-01,1985,"1986",99.58,9.6,14.1,18.7,6.1,1.83,11.07,40.3252641460367,0.85465836356921,2.03865155435623,2.06561598229966
"1985-12","1985-12",1985-12-01,1985,"1986",36.05,7.2,13.2,19.3,3.5,1.82,14.1,35.9403417695134,0.786858073278663,0.0934087080691955,-0.106492571009621
"1986-01","1986-01",1986-01-01,1986,"1986",14.56,9.2,14.6,20.1,4.9,2.09,14.14,43.3646956713452,0.54356176201219,-0.474750477830842,-0.928773128964642
"1986-02","1986-02",1986-02-01,1986,"1986",86.13,9.1,13.6,18.2,7.3,1,9.18,37.0669182129911,0.707314413258441,0.741364151452143,0.736509202645422
"1986-03","1986-03",1986-03-01,1986,"1986",94.03,10.5,14.4,18.3,8.2,1.22,8.37,49.1535480473911,1.20469810667619,1.3752306207043,1.42836916170921
"1986-04","1986-04",1986-04-01,1986,"1986",22.99,10.7,15.4,20,8.6,1.78,11.59,57.9475109931177,1.39378482500365,0.467383128891926,0.311808114299242
"1986-05","1986-05",1986-05-01,1986,"1986",0,12.7,16.4,20,10.9,2.04,8.63,70.8680172767341,1.60542176538448,-0.764709673786387,-0.36667340398873
"1986-06","1986-06",1986-06-01,1986,"1986",0,15.5,18.4,21.3,13.2,2.58,8.1,85.5629638008116,1.67837308406822,0.0696849203184557,-0.558843609174581
"1986-07","1986-07",1986-07-01,1986,"1986",0.24,16.4,19.6,22.9,14.4,2.36,9.22,97.1286439921637,1.64089332765219,0.63124922884075,0.473917024481875
"1986-08","1986-08",1986-08-01,1986,"1986",0,17.1,20.5,24,14.8,2.53,10.85,99.5216047551634,1.58994183938044,0.282216147062508,0.187969641930402
"1986-09","1986-09",1986-09-01,1986,"1986",20.9,14.1,17.8,21.5,12.1,2.34,9.41,70.3245753011746,1.97522896753628,1.69138646072828,2.98569124993111
"1986-10","1986-10",1986-10-01,1986,"1987",13.27,12.4,17.1,21.9,10.9,1.61,11.46,62.1483522068281,1.96659705591939,0.587950896206748,0.806012762345991
"1986-11","1986-11",1986-11-01,1986,"1987",22.29,9.9,16.2,22.6,6.3,2.22,17.06,50.8754299143306,-0.0759885209331023,0.264297447954307,0.0805125071074752
"1986-12","1986-12",1986-12-01,1986,"1987",31.99,6.4,13,19.6,5,1.45,13.71,35.0334659223468,-0.242998357012732,-0.0228835331578276,-0.208325815264778
"1987-01","1987-01",1987-01-01,1987,"1987",37.52,5.7,11.6,17.5,2.9,1.64,11.72,29.5066360128463,-0.352001591989812,0.138361000847147,0.204259293487599
"1987-02","1987-02",1987-02-01,1987,"1987",31.13,7.4,13,18.7,4.9,2.01,12.53,34.3704304435547,-0.612776562893313,-0.304445730662827,-0.422435675427276
"1987-03","1987-03",1987-03-01,1987,"1987",29.14,8.9,13.6,18.3,7.1,1.85,10.31,44.6685682570355,-0.822311298182777,0.0523933940175153,0.104706380999614
"1987-04","1987-04",1987-04-01,1987,"1987",8.24,11.1,16,20.8,7.6,2.46,13.83,61.776133198091,-1.31059166183074,-0.425382642375634,-0.695617141316368
"1987-05","1987-05",1987-05-01,1987,"1987",0.45,14.1,17.1,20,10.8,2.39,8.21,76.0038906247712,-1.75417637053981,-0.367512579723927,-0.747433142409888
"1987-06","1987-06",1987-06-01,1987,"1987",0,15.1,17.8,20.6,11.8,2.78,8.04,80.9440508253717,-1.98076934616598,0.0696849203184557,0.184148984734406
"1987-07","1987-07",1987-07-01,1987,"1987",1.78,15.8,18.6,21.4,12.1,3.45,9.36,88.9768478813555,-1.9849314757798,1.04893975015216,1.79605450773107
"1987-08","1987-08",1987-08-01,1987,"1987",2.93,16.5,19.8,23,13.9,2.93,10.53,93.898802468433,0.077008754826874,1.32723427662153,1.21688743318686
"1987-09","1987-09",1987-09-01,1987,"1987",3.29,16.1,19.9,23.6,14.1,2.47,11.67,84.7579599010056,0.0651542533906656,0.56987137538345,0.157348994588226
"1987-10","1987-10",1987-10-01,1987,"1988",44.93,15.9,19.9,23.9,13.4,2.12,13.23,80.1067843928086,0.503316762698615,1.42450679909012,1.24098403215317
