PRISM Time Series Data
Location:  Lat: 33.4631   Lon: -117.6830   Elev: 42m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.88,7.8,14.5,21.2,2.3,2.61,16.37
1984-02,0.01,6.5,13.8,21.1,2.3,1.96,16.46
1984-03,2.67,9.6,15.6,21.6,6.1,1.88,15.04
1984-04,9.28,9.9,15.6,21.3,6.4,1.66,14.66
1984-05,0.00,12.9,18.6,24.3,10.6,1.79,15.15
1984-06,2.01,15.2,19.6,24.0,11.6,2.40,13.68
1984-07,3.47,18.4,23.2,27.9,14.6,2.95,18.81
1984-08,2.69,18.4,23.1,27.8,15.9,1.79,15.97
1984-09,6.94,19.0,24.3,29.7,16.0,2.43,21.67
1984-10,5.64,12.5,18.3,24.1,8.1,2.72,17.43
1984-11,46.77,8.5,14.2,20.0,6.0,1.76,12.53
1984-12,125.86,7.6,12.5,17.4,4.1,1.85,10.14
1985-01,21.84,6.2,12.1,18.1,2.4,1.86,12.27
1985-02,28.79,6.7,12.6,18.6,2.9,1.80,12.67
1985-03,15.03,6.5,11.9,17.4,4.9,1.12,9.49
1985-04,0.51,10.0,15.8,21.6,7.1,1.19,13.92
1985-05,0.58,12.1,16.4,20.7,9.2,1.28,10.66
1985-06,0.00,13.9,18.8,23.7,11.5,1.04,13.28
1985-07,0.00,17.5,22.7,28.0,13.7,2.50,20.80
1985-08,0.00,15.4,20.6,25.9,13.0,1.38,16.72
1985-09,6.15,15.1,20.2,25.3,12.1,2.15,16.78
1985-10,5.14,13.1,19.0,24.9,9.9,2.02,17.92
1985-11,86.92,9.6,14.5,19.3,6.6,1.43,11.52
1985-12,17.65,6.9,13.6,20.4,3.8,1.40,14.86
1986-01,25.09,9.3,15.4,21.6,5.4,1.82,15.41
1986-02,88.70,8.7,14.0,19.2,7.3,0.77,10.42
1986-03,77.43,10.2,14.7,19.2,8.5,0.93,9.36
1986-04,22.28,9.9,15.7,21.4,8.4,1.38,13.83
1986-05,0.00,12.0,17.0,22.1,10.5,1.89,12.65
1986-06,0.00,14.5,18.8,23.2,13.0,1.80,11.55
1986-07,1.26,15.2,19.9,24.7,13.9,1.90,13.41
1986-08,0.00,16.0,21.1,26.3,14.8,1.48,15.83
1986-09,28.01,13.4,18.3,23.1,12.4,1.74,12.43
1986-10,7.64,11.7,17.7,23.7,10.6,1.31,15.07
1986-11,20.05,10.5,17.0,23.4,6.4,2.45,18.30
1986-12,24.99,6.5,13.3,20.1,5.1,1.36,13.95
1987-01,46.71,5.7,12.0,18.3,3.0,1.70,12.46
