"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.88,7.8,14.5,21.2,2.3,2.61,16.37,40.9955055201872,-0.92129931422214,-1.11578214089235,-1.28843749730429
"1984-02","1984-02",1984-02-01,1984,"1984",0.01,6.5,13.8,21.1,2.3,1.96,16.46,36.2496699195142,-1.66594202689195,-3.64160821420933,-1.38714790758343
"1984-03","1984-03",1984-03-01,1984,"1984",2.67,9.6,15.6,21.6,6.1,1.88,15.04,54.1711364654059,-2.13872394252083,-1.21290825934706,-1.33012886782523
"1984-04","1984-04",1984-04-01,1984,"1984",9.28,9.9,15.6,21.3,6.4,1.66,14.66,57.1568112566744,-2.30479012530016,-0.0796206614929093,-0.116640558398809
"1984-05","1984-05",1984-05-01,1984,"1984",0,12.9,18.6,24.3,10.6,1.79,15.15,85.5596280546678,-2.58760076237506,-0.508488059109357,-1.18692989117532
"1984-06","1984-06",1984-06-01,1984,"1984",2.01,15.2,19.6,24,11.6,2.4,13.68,93.3839941008947,-2.65351932751436,0.795488075352092,-0.68516229772711
"1984-07","1984-07",1984-07-01,1984,"1984",3.47,18.4,23.2,27.9,14.6,2.95,18.81,127.908852024466,-0.0212976997061362,1.14748343483261,-1.58568709390344
"1984-08","1984-08",1984-08-01,1984,"1984",2.69,18.4,23.1,27.8,15.9,1.79,15.97,120.561633591005,0.101625653814332,1.84286648772184,-1.46705809930583
"1984-09","1984-09",1984-09-01,1984,"1984",6.94,19,24.3,29.7,16,2.43,21.67,117.71210170471,0.15643751579796,0.985192253083859,-2.1354898097663
"1984-10","1984-10",1984-10-01,1984,"1985",5.64,12.5,18.3,24.1,8.1,2.72,17.43,67.7741155933628,0.0561482130441017,0.217907412203701,0.259649753362746
"1984-11","1984-11",1984-11-01,1984,"1985",46.77,8.5,14.2,20,6,1.76,12.53,38.9820112493936,0.357607417912537,1.06276459469733,1.32618417734152
"1984-12","1984-12",1984-12-01,1984,"1985",125.86,7.6,12.5,17.4,4.1,1.85,10.14,31.0447806216056,0.926498275247817,1.34781674458303,1.47803610870984
"1985-01","1985-01",1985-01-01,1985,"1985",21.84,6.2,12.1,18.1,2.4,1.86,12.27,29.9113710975371,-0.680943444839451,-0.354286508635828,-0.281226724289104
"1985-02","1985-02",1985-02-01,1985,"1985",28.79,6.7,12.6,18.6,2.9,1.8,12.67,30.9368194278084,-1.18617967381145,-0.423828596698838,-0.450656859798651
"1985-03","1985-03",1985-03-01,1985,"1985",15.03,6.5,11.9,17.4,4.9,1.12,9.49,33.801367166819,-1.27192762145166,-0.338858285669443,0.0527710890380736
"1985-04","1985-04",1985-04-01,1985,"1985",0.51,10,15.8,21.6,7.1,1.19,13.92,58.4394633513303,-1.26308601814591,-1.31367585894085,-0.793618277967042
"1985-05","1985-05",1985-05-01,1985,"1985",0.58,12.1,16.4,20.7,9.2,1.28,10.66,68.7114438987483,-1.25817231853541,-0.325665921392878,0.0745201535247617
"1985-06","1985-06",1985-06-01,1985,"1985",0,13.9,18.8,23.7,11.5,1.04,13.28,86.8446909392369,-1.25060499991999,-0.139710298881862,-0.0721404000562486
"1985-07","1985-07",1985-07-01,1985,"1985",0,17.5,22.7,28,13.7,2.5,20.8,123.144917865491,-1.2882097480279,0.0696849203184557,-1.49899368079311
"1985-08","1985-08",1985-08-01,1985,"1985",0,15.4,20.6,25.9,13,1.38,16.72,98.7524929832749,-1.22835210323359,0.355490417839531,0.864307598070645
