PRISM Time Series Data
Location:  Lat: 33.2042   Lon: -117.3883   Elev: 22m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.80,8.1,14.2,20.3,3.2,2.43,15.02
1984-02,3.05,7.0,13.4,19.8,2.8,2.00,14.55
1984-03,0.00,8.9,14.4,20.0,6.5,1.35,12.47
1984-04,19.62,11.0,15.2,19.5,6.9,2.11,11.52
1984-05,0.00,13.3,17.5,21.6,11.0,1.74,10.35
1984-06,1.61,16.0,19.1,22.1,11.9,2.90,10.35
1984-07,0.00,19.5,22.9,26.2,15.6,3.15,14.19
1984-08,0.00,19.6,22.9,26.2,16.3,2.78,12.24
1984-09,2.31,19.7,23.8,27.8,16.4,2.99,17.04
1984-10,8.25,13.1,17.9,22.7,8.9,2.79,14.80
1984-11,33.91,9.0,13.9,18.9,6.4,1.82,10.64
1984-12,115.46,7.5,12.2,16.8,4.5,1.68,9.39
1985-01,17.48,6.2,11.8,17.3,2.9,1.70,11.17
1985-02,27.42,7.8,12.5,17.2,3.1,2.20,10.82
1985-03,10.55,6.3,11.2,16.1,4.9,1.43,7.86
1985-04,4.07,10.7,14.5,18.4,7.4,1.54,9.29
1985-05,0.00,12.8,15.4,18.0,9.1,2.22,7.04
1985-06,0.00,14.3,17.2,20.1,11.5,1.72,7.37
1985-07,0.00,18.3,21.3,24.2,14.2,3.10,12.43
1985-08,0.00,16.8,19.9,23.1,13.3,2.77,11.43
1985-09,3.29,14.9,18.9,22.9,12.1,2.12,12.27
1985-10,6.11,13.4,18.2,23.0,10.2,2.16,14.39
1985-11,95.72,8.9,13.7,18.4,6.3,1.34,10.39
1985-12,31.99,7.1,13.0,18.9,3.9,1.50,13.17
1986-01,19.10,9.2,14.5,19.7,5.5,1.79,13.27
1986-02,81.04,8.2,13.0,17.8,7.3,0.71,8.59
1986-03,73.73,9.9,13.8,17.7,8.4,0.92,7.45
1986-04,18.96,9.9,14.5,19.1,8.2,1.67,10.41
1986-05,0.00,12.1,15.7,19.3,10.5,2.18,7.54
1986-06,0.00,15.4,17.9,20.4,12.9,2.92,6.26
1986-07,0.00,15.7,18.7,21.7,13.7,2.73,6.74
1986-08,0.00,16.5,19.4,22.4,14.4,2.73,7.18
1986-09,29.16,13.5,17.1,20.6,11.8,2.46,6.96
1986-10,1.03,11.4,16.3,21.1,10.2,1.98,9.73
1986-11,27.71,9.0,16.1,23.2,5.6,1.81,17.98
1986-12,38.36,3.6,12.0,20.3,4.0,1.20,14.76
1987-01,47.33,5.4,11.3,17.2,2.1,1.47,11.63
1987-02,41.58,6.0,12.2,18.4,4.9,1.38,11.63
1987-03,22.84,7.8,12.6,17.5,7.6,1.10,8.28
1987-04,11.83,10.5,15.2,19.9,8.4,1.80,10.83
1987-05,0.00,13.8,16.4,19.1,11.4,2.03,5.09
1987-06,0.00,14.7,17.2,19.7,12.3,2.21,5.16
1987-07,0.05,15.0,17.8,20.6,12.5,2.61,6.59
1987-08,0.30,15.6,18.8,22.1,13.7,2.73,7.88
1987-09,0.02,15.7,19.1,22.6,13.2,3.32,10.48
1987-10,53.30,15.4,19.0,22.5,12.3,2.31,10.57
1987-11,33.63,9.6,16.1,22.5,7.4,2.34,16.29
1987-12,75.17,4.5,10.5,16.4,3.9,1.12,9.79
1988-01,30.81,5.3,11.7,18.1,4.1,1.31,12.83
