"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.8,8.1,14.2,20.3,3.2,2.43,15.02,42.9762400629454,-0.739501091598463,-1.21586549290806,-1.61191835366364
"1984-02","1984-02",1984-02-01,1984,"1984",3.05,7,13.4,19.8,2.8,2,14.55,37.6962045389576,-1.41054111405163,-1.89032361063482,-1.44791428425017
"1984-03","1984-03",1984-03-01,1984,"1984",0,8.9,14.4,20,6.5,1.35,12.47,51.0511819124114,-1.91376415060793,-1.38299412710064,-1.73821436215684
"1984-04","1984-04",1984-04-01,1984,"1984",19.62,11,15.2,19.5,6.9,2.11,11.52,58.7226478409292,-1.96337114530893,0.367453076315898,0.112032060026597
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.3,17.5,21.6,11,1.74,10.35,81.1601149830766,-2.20825686057242,-0.210428394247925,-1.2241923445644
"1984-06","1984-06",1984-06-01,1984,"1984",1.61,16,19.1,22.1,11.9,2.9,10.35,93.0836453678338,-2.30768908230601,0.850008819629608,-1.51835955719019
"1984-07","1984-07",1984-07-01,1984,"1984",0,19.5,22.9,26.2,15.6,3.15,14.19,127.358787133818,-2.34351930601246,0.508488059109357,-2.05339886147806
"1984-08","1984-08",1984-08-01,1984,"1984",0,19.6,22.9,26.2,16.3,2.78,12.24,121.006701996732,-2.26198974320488,0.508488059109357,-2.01542916028812
"1984-09","1984-09",1984-09-01,1984,"1984",2.31,19.7,23.8,27.8,16.4,2.99,17.04,115.191643814132,-2.24382152990111,0.569532207352781,-2.5787177018903
"1984-10","1984-10",1984-10-01,1984,"1985",8.25,13.1,17.9,22.7,8.9,2.79,14.8,68.726408588212,-2.25242589830594,0.369425347986202,0.0646307773844737
"1984-11","1984-11",1984-11-01,1984,"1985",33.91,9,13.9,18.9,6.4,1.82,10.64,40.9376478972428,-1.85828486603125,0.73749420946046,0.933316219466881
"1984-12","1984-12",1984-12-01,1984,"1985",115.46,7.5,12.2,16.8,4.5,1.68,9.39,33.0048359630139,-0.760738043646629,1.39973412776154,1.51788065363427
"1985-01","1985-01",1985-01-01,1985,"1985",17.48,6.2,11.8,17.3,2.9,1.7,11.17,31.8847599744724,-1.20051513161078,-0.509992555072639,-0.547628677522057
"1985-02","1985-02",1985-02-01,1985,"1985",27.42,7.8,12.5,17.2,3.1,2.2,10.82,33.6986320560336,-1.53543454291283,-0.455756837214211,-0.569318758592845
"1985-03","1985-03",1985-03-01,1985,"1985",10.55,6.3,11.2,16.1,4.9,1.43,7.86,34.0426888448388,-1.65924600532791,-0.585168642156333,-0.104435758728226
"1985-04","1985-04",1985-04-01,1985,"1985",4.07,10.7,14.5,18.4,7.4,1.54,9.29,54.4241033542057,-1.78741076037012,-0.668055392895136,-0.539158532978868
"1985-05","1985-05",1985-05-01,1985,"1985",0,12.8,15.4,18,9.1,2.22,7.04,66.0431584877965,-1.85158271821578,-0.210428394247925,-0.0227631402634347
"1985-06","1985-06",1985-06-01,1985,"1985",0,14.3,17.2,20.1,11.5,1.72,7.37,78.6144412392064,-1.85991827450772,0.0696849203184557,0.424304051791763
"1985-07","1985-07",1985-07-01,1985,"1985",0,18.3,21.3,24.2,14.2,3.1,12.43,113.32094924171,-1.84078924667865,0.508488059109357,-1.29441509712008
"1985-08","1985-08",1985-08-01,1985,"1985",0,16.8,19.9,23.1,13.3,2.77,11.43,96.490119453848,-1.77746177701446,0.508488059109357,0.364077970198986
"1985-09","1985-09",1985-09-01,1985,"1985",3.29,14.9,18.9,22.9,12.1,2.12,12.27,79.4324000895723,-1.68759904920542,0.678362378362418,0.47992983576898
"1985-10","1985-10",1985-10-01,1985,"1986",6.11,13.4,18.2,23,10.2,2.16,14.39,70.5931167525491,-1.78451717140087,0.260502220272807,-0.258737478180117
"1985-11","1985-11",1985-11-01,1985,"1986",95.72,8.9,13.7,18.4,6.3,1.34,10.39,39.9921004547169,0.774573156439167,2.07031731368804,2.14728074262658
"1985-12","1985-12",1985-12-01,1985,"1986",31.99,7.1,13,18.9,3.9,1.5,13.17,36.5639067470808,-0.289370037966838,-0.165366124512135,-0.429750130453157
"1986-01","1986-01",1986-01-01,1986,"1986",19.1,9.2,14.5,19.7,5.5,1.79,13.27,44.4496393140871,-0.785937445660969,-0.453254315295735,-0.974670643155856
"1986-02","1986-02",1986-02-01,1986,"1986",81.04,8.2,13,17.8,7.3,0.71,8.59,35.8985099658423,0.117334559115599,0.626384874642945,0.611482538873862
"1986-03","1986-03",1986-03-01,1986,"1986",73.73,9.9,13.8,17.7,8.4,0.92,7.45,47.6654390305431,0.489369624996968,1.19278054231958,1.25886449323303
"1986-04","1986-04",1986-04-01,1986,"1986",18.96,9.9,14.5,19.1,8.2,1.67,10.41,54.4241033542057,0.642322815990365,0.338213112204533,0.289075910814497
"1986-05","1986-05",1986-05-01,1986,"1986",0,12.1,15.7,19.3,10.5,2.18,7.54,68.1299115274252,0.836936443636435,-0.210428394247925,-0.195132520709532
"1986-06","1986-06",1986-06-01,1986,"1986",0,15.4,17.9,20.4,12.9,2.92,6.26,83.8370675479929,0.921412126422035,0.0696849203184557,-0.33735149799858
"1986-07","1986-07",1986-07-01,1986,"1986",0,15.7,18.7,21.7,13.7,2.73,6.74,91.8649160870177,0.906510239331293,0.508488059109357,1.02601168251024
"1986-08","1986-08",1986-08-01,1986,"1986",0,16.5,19.4,22.4,14.4,2.73,7.18,92.6112862264155,0.876324061381149,0.508488059109357,0.901818295228461
"1986-09","1986-09",1986-09-01,1986,"1986",29.16,13.5,17.1,20.6,11.8,2.46,6.96,67.5950096876521,1.41195650858984,1.87924575222625,3.11955435196662
"1986-10","1986-10",1986-10-01,1986,"1987",1.03,11.4,16.3,21.1,10.2,1.98,9.73,59.0956730686471,-0.266885581655705,-0.189367114900275,0.226427033207648
"1986-11","1986-11",1986-11-01,1986,"1987",27.71,9,16.1,23.2,5.6,1.81,17.98,51.8812399134695,-0.232219821104732,0.534889460259995,0.240204032107497
"1986-12","1986-12",1986-12-01,1986,"1987",38.36,3.6,12,20.3,4,1.2,14.76,32.1368273453382,-0.346879023955296,0.0118423691747143,-0.103917168335349
"1987-01","1987-01",1987-01-01,1987,"1987",47.33,5.4,11.3,17.2,2.1,1.47,11.63,29.7347802359309,-0.357273451869199,0.215928634544344,0.332286436906419
"1987-02","1987-02",1987-02-01,1987,"1987",41.58,6,12.2,18.4,4.9,1.38,11.63,32.4042078144135,-0.492668448634322,-0.0826999781506626,-0.15661097998259
"1987-03","1987-03",1987-03-01,1987,"1987",22.84,7.8,12.6,17.5,7.6,1.1,8.28,41.1624262413482,-0.578685805629318,-0.0428404758292855,0.10878387824481
"1987-04","1987-04",1987-04-01,1987,"1987",11.83,10.5,15.2,19.9,8.4,1.8,10.83,58.7226478409292,-0.874059050283311,-0.0303594085697202,-0.321467709835598
"1987-05","1987-05",1987-05-01,1987,"1987",0,13.8,16.4,19.1,11.4,2.03,5.09,73.0942131458131,-1.28290719016583,-0.210428394247925,-0.602212375606812
"1987-06","1987-06",1987-06-01,1987,"1987",0,14.7,17.2,19.7,12.3,2.21,5.16,78.6144412392064,-1.50351958449348,0.0696849203184557,0.424304051791763
"1987-07","1987-07",1987-07-01,1987,"1987",0.05,15,17.8,20.6,12.5,2.61,6.59,84.8418241744103,-1.52362519724971,0.923400188617587,2.03621095229986
"1987-08","1987-08",1987-08-01,1987,"1987",0.3,15.6,18.8,22.1,13.7,2.73,7.88,88.0369214434794,-1.45511686050929,0.637180655733789,1.56003933578475
"1987-09","1987-09",1987-09-01,1987,"1987",0.02,15.7,19.1,22.6,13.2,3.32,10.48,80.7920754387048,-1.5106911803553,-0.0660917619922192,0.00530566176130436
"1987-10","1987-10",1987-10-01,1987,"1988",53.3,15.4,19,22.5,12.3,2.31,10.57,75.6632710332685,0.46472311388149,1.42821265856242,1.41317866528193
"1987-11","1987-11",1987-11-01,1987,"1988",33.63,9.6,16.1,22.5,7.4,2.34,16.29,51.8812399134695,0.531655100680564,0.728869118948109,0.512319030761273
"1987-12","1987-12",1987-12-01,1987,"1988",75.17,4.5,10.5,16.4,3.9,1.12,9.79,25.9118346662964,0.755252427976732,0.788327968630664,0.954607201948103
"1988-01","1988-01",1988-01-01,1988,"1988",30.81,5.3,11.7,18.1,4.1,1.31,12.83,31.4502118227872,-0.256017025981676,-0.1226222543973,-0.113215229203042
"1988-02","1988-02",1988-02-01,1988,"1988",28.63,6.4,13.2,20,4.5,1.57,15.2,36.7931872269662,-0.623399542680982,-0.419132599581918,-0.622953846785745
"1988-03","1988-03",1988-03-01,1988,"1988",7.34,7.7,13.9,20.1,6.4,1.41,14.62,48.2235910750244,-1.01422229001874,-0.778424374414009,-1.01741046369731
"1988-04","1988-04",1988-04-01,1988,"1988",85.46,9.5,14.2,19,9.2,0.97,10.17,52.620074472002,0.548866131637763,2.06327263681018,1.96445652173694
"1988-05","1988-05",1988-05-01,1988,"1988",0.29,12,15.5,19.1,10.6,1.43,8.13,66.736002385338,0.654488017701374,-0.129519739233549,-0.0559857152937998
"1988-06","1988-06",1988-06-01,1988,"1988",0,12.3,15.7,19,11.9,1.81,5.79,67.8587423644948,0.658797188450643,0.0696849203184557,1.57423820447261
"1988-07","1988-07",1988-07-01,1988,"1988",0,17.6,19.9,22.3,15.2,2.09,4.54,101.555239348406,0.679564565995,0.508488059109357,-0.231889653135457
"1988-08","1988-08",1988-08-01,1988,"1988",5.86,17,20.9,24.7,14.7,2.49,10.55,104.427650930174,0.836243092478533,1.91842292165344,0.0813641568147293
"1988-09","1988-09",1988-09-01,1988,"1988",0,15.2,18.9,22.6,16.3,1.37,7.71,79.4324000895723,0.752144240586097,-0.210428394247925,0.143970163257948
"1988-10","1988-10",1988-10-01,1988,"1989",0,14.3,17.4,20.5,13.7,1.85,7.93,65.657648292074,0.583844332300408,-0.674489750196082,-0.369732014388403
"1988-11","1988-11",1988-11-01,1988,"1989",30.75,8.6,13.7,18.8,7.7,1.89,10.48,39.9921004547169,0.672892860000997,0.637430200628017,0.858789832465404
"1988-12","1988-12",1988-12-01,1988,"1989",80.48,6,12,17.9,2.9,1.98,13.8,32.1368273453382,0.898913923972024,0.878890948637762,0.936323985778898
"1989-01","1989-01",1989-01-01,1989,"1989",11.21,4,10.8,17.6,0,2.12,14.17,27.6422876339361,-0.432289171716924,-0.776177674009098,-0.620575927636765
"1989-02","1989-02",1989-02-01,1989,"1989",19.57,6.7,11.7,16.7,3.5,2.36,11.24,30.2899205093841,-0.839902419214093,-0.727264604175362,-0.696823173804066
"1989-03","1989-03",1989-03-01,1989,"1989",19.53,8.3,12.6,16.9,8.5,0.8,6.02,41.1624262413482,-1.08055858004409,-0.168078279470167,-0.0250123158024737
"1989-04","1989-04",1989-04-01,1989,"1989",0.01,12.2,16.3,20.4,9.2,2.91,13.6,65.7251521543673,-1.59219039101508,-1.58331007948219,-1.70778539566455
"1989-05","1989-05",1989-05-01,1989,"1989",8.34,12.4,15.5,18.6,10.8,1.94,7.29,66.736002385338,-1.70751114138208,0.644874651607997,0.588939872428208
"1989-06","1989-06",1989-06-01,1989,"1989",0.74,14.5,17.1,19.8,12.5,3.96,7.61,77.8788003184087,-1.81316323647515,0.673638206625072,0.616936071606041
"1989-07","1989-07",1989-07-01,1989,"1989",0,16.5,19.4,22.3,14,3.86,8.88,97.4727919534384,-1.8206842165084,0.508488059109357,0.26554900324913
"1989-08","1989-08",1989-08-01,1989,"1989",0,17.1,19.7,22.3,15.9,3.83,8.76,94.9313356060586,-1.75696995016843,0.508488059109357,0.579905306304127
"1989-09","1989-09",1989-09-01,1989,"1989",7,14.6,18.7,22.8,14.3,1.97,11.37,78.0815072966706,-1.50865871766356,0.971467076685845,0.968033863483618
"1989-10","1989-10",1989-10-01,1989,"1990",8.43,13.1,17.1,21.2,12.2,2.33,10.7,63.8420499140045,-1.53867742978008,0.377736385113426,0.382518040153135
"1989-11","1989-11",1989-11-01,1989,"1990",0.26,8.8,17.1,25.5,4.7,2.8,23.67,57.1750574985179,-1.97515947588378,-1.49156187824905,-2.07731029938117
"1989-12","1989-12",1989-12-01,1989,"1990",0,5.4,12.9,20.5,2,2.56,17.52,36.1114776764165,-2.51271084564494,-1.59321881802305,-1.44744939343086
"1990-01","1990-01",1990-01-01,1990,"1990",58.13,5.2,11.9,18.7,2.6,1.98,12.55,32.3215691504399,-2.28678924138338,0.394831665728314,0.496074532666393
"1990-02","1990-02",1990-02-01,1990,"1990",36.94,4.8,10.5,16.2,2.7,1.89,9.65,25.4402862756333,-2.27393065121253,-0.193442911473981,-0.0988678010763942
"1990-03","1990-03",1990-03-01,1990,"1990",7.79,8.3,13.3,18.3,8.3,1.66,10.13,44.9118894016495,-2.49218562782232,-0.749255325635634,-0.791053977537793
"1990-04","1990-04",1990-04-01,1990,"1990",29.24,12,15.4,18.8,9.2,3.07,9.26,59.9734874819898,-2.42757838672793,0.736875852490683,0.497233712298976
"1990-05","1990-05",1990-05-01,1990,"1990",16.03,12.7,16,19.3,10.7,2.71,7.08,70.2412270818284,-2.34242010566071,1.07041407660494,0.897557391758562
"1990-06","1990-06",1990-06-01,1990,"1990",18.65,15.4,18.5,21.5,13.1,2.97,7.94,88.4144411578509,-1.89028082118855,1.99750935134718,1.4096419081442
"1990-07","1990-07",1990-07-01,1990,"1990",0,17.7,20.6,23.5,15.5,3.61,8.41,107.376880458294,-1.88863488368064,0.508488059109357,-0.823870221313859
"1990-08","1990-08",1990-08-01,1990,"1990",1.68,17.6,20.1,22.6,15.6,3.39,7.38,98.0585265864598,-1.71524334859923,1.05731896667899,0.3794592479018
"1990-09","1990-09",1990-09-01,1990,"1990",0,16,20.1,24.2,15,2.83,10.13,87.7209566078046,-1.76840310437414,-0.210428394247925,-0.699146543215361
"1990-10","1990-10",1990-10-01,1990,"1991",0,12.9,18.2,23.4,10.3,3.25,15.67,70.5931167525491,-1.99618202120753,-0.674489750196082,-0.952276547601326
"1990-11","1990-11",1990-11-01,1990,"1991",12.92,8.5,15.2,21.9,4.6,3.46,18.18,47.2856648608492,-2.08958059000598,-0.108428688940602,-0.326626681150141
"1990-12","1990-12",1990-12-01,1990,"1991",6.66,3.2,10.9,18.7,-1,2.84,15.88,27.5219142315793,-2.45095027100184,-1.20949994783895,-0.948353892920698
"1991-01","1991-01",1991-01-01,1991,"1991",23.37,7.1,12.4,17.7,4.5,1.85,11.4,34.5392749124416,-2.63275088045269,-0.319028585594945,-0.436352261893292
"1991-02","1991-02",1991-02-01,1991,"1991",35.23,7.9,12.9,17.9,6.4,1.34,10.89,35.4543142836241,-2.75151675261643,-0.23670734367006,-0.401790186518931
"1991-03","1991-03",1991-03-01,1991,"1991",167.06,7.6,11.8,15.9,5.6,1.46,8.38,37.0311095557104,1.02802260908364,2.47337343320062,2.27716114590782
"1991-04","1991-04",1991-04-01,1991,"1991",1.02,9.7,13.9,18.2,8.2,1.69,7.45,50.8392361190239,1.00585882681181,-1.18602032527495,-0.50449326809672
"1991-05","1991-05",1991-05-01,1991,"1991",0,11.6,14.7,17.8,9.2,2.44,5.75,61.2706342470986,1.10706440060501,-0.210428394247925,0.364743700597788
"1991-06","1991-06",1991-06-01,1991,"1991",0,13.9,16.3,18.7,11.2,2.73,5.57,72.0888525477244,1.17806366773487,0.0696849203184557,1.18848976419855
"1991-07","1991-07",1991-07-01,1991,"1991",0,16.1,18.3,20.5,12.7,3.81,7,88.7173655024611,1.21395793503802,0.508488059109357,1.47086370293334
"1991-08","1991-08",1991-08-01,1991,"1991",0.59,16.5,18.9,21.3,14.8,1.85,5.97,88.793196257924,1.20923503656816,0.738986480046541,1.49864682489386
"1991-09","1991-09",1991-09-01,1991,"1991",0.01,16,18.7,21.4,14.5,1.57,8.31,78.0815072966706,1.12136847668679,-0.0973675575422921,0.284058079890048
"1991-10","1991-10",1991-10-01,1991,"1992",10.73,13.8,18.2,22.5,11.7,1.86,13.35,70.5931167525491,1.05512794896678,0.47540891333247,0.107823292517035
"1991-11","1991-11",1991-11-01,1991,"1992",0,8.4,15.9,23.4,4,2.29,20.99,50.8460425628082,0.7991447541147,-1.59321881802305,-1.52628640047974
"1991-12","1991-12",1991-12-01,1991,"1992",46.98,7,12.8,18.7,3.7,2.26,13.23,35.6611912580467,0.763974146827242,0.225085134581438,0.0426619824086948
"1992-01","1992-01",1992-01-01,1992,"1992",63.42,6.5,12.9,19.2,3.1,2.26,13.94,36.8124338228685,0.802085229898832,0.474353508243144,0.510999598120753
"1992-02","1992-02",1992-02-01,1992,"1992",103.21,9.2,15.5,21.9,6.5,2.28,16.44,47.6697829222821,0.999442559311829,0.92562725816227,0.787787656181295
"1992-03","1992-03",1992-03-01,1992,"1992",82.66,10.5,14.1,17.8,9.2,1.87,7.96,49.3472816012536,1.44917767272588,1.34706851105076,1.37577966569462
"1992-04","1992-04",1992-04-01,1992,"1992",6.28,13.1,17.2,21.2,11.4,2.65,11.08,71.6746893502955,1.44954267039744,-0.437713875630924,-1.67932816549851
"1992-05","1992-05",1992-05-01,1992,"1992",0.07,16.3,18.5,20.7,12.8,3.73,8.12,88.7677525981212,1.49242033856953,-0.182472365054141,-1.7414661085113
"1992-06","1992-06",1992-06-01,1992,"1992",0,15.3,17.9,20.6,11.8,4.17,8.71,83.8370675479929,1.37362103759093,0.0696849203184557,-0.33735149799858
"1992-07","1992-07",1992-07-01,1992,"1992",1.12,17.9,20.5,23.2,14.8,4.36,10.57,106.537684190837,1.31500133016541,1.29471722820349,-0.640397190130999
"1992-08","1992-08",1992-08-01,1992,"1992",4.81,18.9,21.6,24.4,15.6,4.99,10.97,110.124645912982,1.4240650584425,1.73304941127341,-0.745329774482342
"1992-09","1992-09",1992-09-01,1992,"1992",0,15.7,19.5,23.3,14.8,3.74,11.12,83.537631268529,1.32642254931036,-0.210428394247925,-0.280233629506073
"1992-10","1992-10",1992-10-01,1992,"1993",7.68,14.2,18.1,22,13.3,3.5,10.11,69.9687704012369,1.22437727167555,0.342335513480974,-0.0721415527633777
"1992-11","1992-11",1992-11-01,1992,"1993",0.01,8.4,15.4,22.3,3.8,3.47,17.62,48.2928875634438,0.975833205996042,-1.58824294772494,-1.31525990672499
"1992-12","1992-12",1992-12-01,1992,"1993",74.49,6.6,12.1,17.6,2.9,2.32,12.1,32.5697334085353,1.15096324294683,0.776449307805818,0.803126900189636
"1993-01","1993-01",1993-01-01,1993,"1993",263.99,8.4,12.9,17.4,9.7,1.66,10.04,36.8124338228685,2.37817962657283,2.20782470727817,2.09756031208633
"1993-02","1993-02",1993-02-01,1993,"1993",99.83,8.5,12.9,17.3,7.8,1.75,8.93,35.4543142836241,2.53706194811129,0.882877811460037,0.92411416950232
"1993-03","1993-03",1993-03-01,1993,"1993",34.38,10.6,14.6,18.7,9.4,1.68,8.1,52.1992809997859,2.563375749327,0.324761009183068,0.128311131463436
"1993-04","1993-04",1993-04-01,1993,"1993",0,10.9,15.2,19.4,9.9,1.7,8.81,58.7226478409292,2.47246684168936,-1.59321881802305,-1.13151117740596
"1993-05","1993-05",1993-05-01,1993,"1993",0,13.7,16.8,20,12,2.37,7.61,75.9901342184587,2.42442153498492,-0.210428394247925,-0.832838277809954
"1993-06","1993-06",1993-06-01,1993,"1993",22.17,15.9,18.6,21.3,13.8,2.61,7.26,89.186295857581,2.66241815037142,2.13962335858682,1.64269735796466
"1993-07","1993-07",1993-07-01,1993,"1993",0,17.4,19.5,21.7,14.6,3.28,7.39,98.284187284367,2.60645354546128,0.508488059109357,0.161877598214512
"1993-08","1993-08",1993-08-01,1993,"1993",0,17.4,19.6,21.9,15.5,2.12,7,94.1555641913272,2.54085526812161,0.508488059109357,0.687705422694978
"1993-09","1993-09",1993-09-01,1993,"1993",0,15.3,18.5,21.6,14.2,1.58,8.34,76.7394333523215,2.43038181633823,-0.210428394247925,0.419741832273799
"1993-10","1993-10",1993-10-01,1993,"1994",0.11,13.2,17.6,22,12.1,1.28,11.75,66.8787616246785,2.2326152191616,-0.467485802957085,-0.483034199112739
"1993-11","1993-11",1993-11-01,1993,"1994",13.06,8.3,14.8,21.4,5.8,1.31,16.99,45.2955110589987,2.0986781128293,-0.100522710737553,-0.197320490172692
"1993-12","1993-12",1993-12-01,1993,"1994",21.33,6.6,13.2,19.7,3.7,1.23,15.04,37.4751672973264,1.8689901695794,-0.51666590911293,-0.79590832961131
"1994-01","1994-01",1994-01-01,1994,"1994",29.97,5.8,12.7,19.5,3.9,1.12,14.97,35.8965709022323,1.70356393816784,-0.142967817171162,-0.268434511170693
"1994-02","1994-02",1994-02-01,1994,"1994",82.39,6.9,12.1,17.3,4.3,1.28,10.74,31.9770233372143,1.83728156181427,0.646027116600678,0.703119159784146
"1994-03","1994-03",1994-03-01,1994,"1994",71.17,9.3,14.5,19.6,8.7,0.88,10.82,51.62401926405,2.1051683598637,1.1465045781463,1.14206254374963
"1994-04","1994-04",1994-04-01,1994,"1994",33.88,11.2,14.6,17.9,9.7,1.41,6.93,55.0305672562368,2.31034292547618,0.887742102186956,0.853134856186109
"1994-05","1994-05",1994-05-01,1994,"1994",0.09,12.1,14.9,17.6,10.9,1.22,5.49,62.6203232287514,2.34190432054583,-0.176666649563207,0.263954122348102
"1994-06","1994-06",1994-06-01,1994,"1994",0,15,17.9,20.9,13.8,1.51,7.46,83.8370675479929,2.365924660948,0.0696849203184557,-0.33735149799858
"1994-07","1994-07",1994-07-01,1994,"1994",0,17.3,19.4,21.5,15.2,2.35,6.67,97.4727919534384,2.31744987016219,0.508488059109357,0.26554900324913
"1994-08","1994-08",1994-08-01,1994,"1994",0,18.2,21.2,24.2,16.7,2.03,10.37,106.855143520327,2.25450269596617,0.508488059109357,-0.908282999946561
"1994-09","1994-09",1994-09-01,1994,"1994",0,15.9,19.7,23.5,14.5,1.95,11.66,84.9234417577909,2.14161492988589,-0.210428394247925,-0.421417798523684
"1994-10","1994-10",1994-10-01,1994,"1995",1.47,13,17.4,21.7,9.4,2.65,16.04,65.657648292074,1.96596482235804,-0.120816212762035,-0.232111891312111
"1994-11","1994-11",1994-11-01,1994,"1995",7.19,5.5,11.8,18.1,2.1,1.8,14.25,31.4362014615919,1.83829201973006,-0.494989355672393,0.236503770420443
"1994-12","1994-12",1994-12-01,1994,"1995",22.87,5.7,11.4,17.2,3.2,1.42,12.05,29.5859194623638,1.6604781330591,-0.460453790404407,-0.496444517888379
