PRISM Time Series Data
Location:  Lat: 33.3878   Lon: -117.5924   Elev: 17m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.67,7.8,14.3,20.8,2.2,2.65,16.09
1984-02,0.74,6.6,13.5,20.4,2.0,2.03,15.79
1984-03,1.61,9.2,14.9,20.7,5.9,1.80,13.88
1984-04,14.26,10.3,15.4,20.5,6.3,1.96,13.51
1984-05,0.00,13.2,18.1,23.0,10.6,1.91,12.86
1984-06,1.76,15.6,19.3,23.0,11.7,2.77,12.13
1984-07,1.92,18.8,22.9,27.0,14.8,3.24,16.77
1984-08,2.26,18.9,22.9,26.9,16.1,2.16,14.05
1984-09,4.91,19.2,23.9,28.7,16.0,2.84,19.61
1984-10,4.95,12.6,18.1,23.5,8.1,2.80,16.43
1984-11,41.79,8.7,14.1,19.5,5.9,1.87,11.98
1984-12,114.00,7.4,12.2,17.1,4.0,1.79,9.95
1985-01,18.97,6.1,11.9,17.7,2.4,1.83,11.91
1985-02,23.11,7.2,12.5,17.9,2.6,2.12,11.97
1985-03,13.31,6.4,11.8,17.1,4.7,1.28,9.38
1985-04,2.42,10.1,15.3,20.4,7.1,1.32,12.20
1985-05,0.34,12.4,15.8,19.2,9.3,1.65,8.51
1985-06,0.00,14.2,18.1,22.0,11.7,1.31,10.31
1985-07,0.00,17.7,21.9,26.2,13.9,2.75,16.70
1985-08,0.00,15.7,20.0,24.2,13.1,1.81,13.42
1985-09,7.07,15.0,19.5,23.9,12.0,2.17,14.57
1985-10,4.98,13.1,18.5,23.9,9.8,2.13,16.22
1985-11,85.98,9.2,14.1,18.9,6.3,1.41,11.19
1985-12,22.15,6.9,13.3,19.8,3.6,1.48,14.28
1986-01,24.36,9.0,14.9,20.8,5.2,1.71,14.58
1986-02,83.76,8.4,13.5,18.5,7.1,0.76,9.68
1986-03,72.69,10.0,14.2,18.4,8.4,0.94,8.41
1986-04,21.08,9.8,15.1,20.3,8.3,1.49,12.31
1986-05,0.00,12.0,16.3,20.7,10.5,2.37,10.19
1986-06,0.00,14.8,18.1,21.5,13.0,2.20,8.58
1986-07,0.98,15.4,19.2,23.0,13.8,2.16,10.24
1986-08,0.00,16.1,20.4,24.6,14.6,1.89,12.47
1986-09,23.85,13.3,17.5,21.7,12.0,1.87,9.95
1986-10,8.88,11.5,16.9,22.4,10.3,1.43,12.72
1986-11,21.59,9.6,16.4,23.1,5.8,2.25,18.10
1986-12,29.37,5.6,12.8,19.9,4.4,1.32,14.22
1987-01,43.65,5.5,11.7,17.9,2.4,1.67,12.31
1987-02,41.53,6.6,12.8,19.0,4.0,2.01,13.56
1987-03,26.92,8.1,13.3,18.6,6.8,1.71,10.89
1987-04,8.25,10.4,16.1,21.7,7.8,2.24,15.25
1987-05,1.97,13.3,16.8,20.3,10.8,1.97,8.87
1987-06,0.00,14.3,17.6,20.8,12.0,1.99,8.32
1987-07,2.42,14.7,18.2,21.6,12.2,2.35,9.66
1987-08,2.90,15.2,19.3,23.4,13.5,2.23,11.80
1987-09,1.68,14.9,19.6,24.3,13.5,2.11,13.15
1987-10,43.54,14.8,19.3,23.7,12.5,1.97,13.94
1987-11,37.59,9.2,15.6,21.9,7.4,1.91,15.66
1987-12,67.50,4.7,10.7,16.6,3.1,1.29,10.56
1988-01,45.13,5.4,12.0,18.5,3.0,1.62,13.87
1988-02,22.94,6.6,13.6,20.6,3.4,2.03,16.55
1988-03,7.39,7.8,14.3,20.8,5.5,1.75,16.11
1988-04,69.98,9.7,14.8,19.8,8.9,1.20,11.63
1988-05,0.93,11.8,16.0,20.2,10.2,1.57,10.20
1988-06,0.00,12.5,16.3,20.0,11.8,1.76,8.26
1988-07,0.00,17.2,20.5,23.8,15.8,2.06,9.02
1988-08,2.12,16.4,20.5,24.6,15.2,1.94,11.19
1988-09,0.40,14.7,18.9,23.1,14.6,1.86,11.20
1988-10,0.00,14.2,17.8,21.4,12.8,2.11,9.98
1988-11,26.22,8.6,14.1,19.7,7.6,1.78,11.87
1988-12,81.91,5.9,12.3,18.6,2.2,2.27,14.91
1989-01,14.53,4.1,11.0,18.0,0.3,2.03,14.65
1989-02,21.29,6.3,11.9,17.4,4.1,1.68,11.67
1989-03,18.09,8.4,13.4,18.3,8.1,0.95,9.29
1989-04,1.46,12.1,17.0,22.0,9.0,2.72,16.09
1989-05,3.27,12.3,16.2,20.2,10.6,1.82,9.57
1989-06,0.72,14.4,17.8,21.2,12.5,2.98,10.10
1989-07,0.00,16.3,20.3,24.4,14.8,2.26,11.77
1989-08,0.00,16.7,20.3,23.9,15.3,3.20,12.22
1989-09,9.04,14.4,19.5,24.5,14.0,1.63,14.66
1989-10,6.75,13.1,17.7,22.2,11.4,2.37,12.91
1989-11,2.96,9.9,17.5,25.2,4.4,3.19,23.24
1989-12,0.11,6.5,13.9,21.3,2.0,2.74,18.96
1990-01,57.82,6.0,12.6,19.3,2.8,1.98,14.44
1990-02,49.17,5.5,11.2,17.0,2.6,1.84,11.95
1990-03,7.05,8.7,13.9,19.1,7.8,1.37,11.62
1990-04,25.92,12.1,16.1,20.2,10.1,2.01,10.77
1990-05,16.47,12.6,16.8,20.9,10.5,2.48,11.64
1990-06,12.33,15.4,19.5,23.6,13.1,2.66,13.74
1990-07,0.00,17.9,21.4,24.9,15.4,3.32,13.59
1990-08,1.05,17.6,20.7,23.7,15.3,3.12,10.71
1990-09,0.00,16.4,21.1,25.9,14.6,2.93,15.74
1990-10,0.00,13.3,19.0,24.8,10.0,3.26,18.50
1990-11,12.98,9.3,16.1,22.9,4.0,3.55,19.91
1990-12,3.90,5.1,12.1,19.1,-1.3,3.30,16.53
1991-01,26.07,7.3,12.7,18.1,3.9,2.13,12.03
1991-02,53.12,8.5,13.8,19.1,6.3,1.56,12.49
1991-03,165.75,7.6,12.2,16.7,5.3,1.45,9.48
1991-04,1.18,9.9,14.6,19.3,7.3,1.94,11.13
1991-05,0.00,11.6,15.4,19.1,8.8,2.33,9.54
1991-06,0.00,13.7,17.0,20.4,11.2,2.40,9.08
1991-07,0.73,16.1,18.8,21.5,13.3,2.81,8.45
1991-08,2.09,16.8,19.8,22.7,14.7,2.13,9.42
1991-09,0.11,16.2,19.4,22.5,14.5,1.97,9.78
1991-10,5.01,13.6,19.2,24.8,11.8,1.61,16.67
1991-11,0.04,9.1,16.2,23.3,3.7,2.83,20.31
1991-12,39.21,7.5,13.3,19.1,3.5,2.42,13.83
1992-01,57.19,6.6,13.3,20.1,2.9,2.36,15.28
1992-02,125.96,9.6,15.3,21.0,6.1,2.56,15.35
1992-03,120.94,10.5,14.8,19.1,9.1,1.78,9.68
1992-04,5.08,12.7,17.7,22.7,11.3,2.37,13.27
1992-05,5.00,16.1,18.9,21.7,13.2,3.03,9.30
1992-06,0.00,15.1,18.5,21.9,11.8,3.58,10.93
1992-07,4.62,18.1,21.3,24.5,14.9,4.03,12.81
1992-08,5.14,19.0,22.4,25.9,15.8,4.25,13.78
1992-09,0.00,15.7,20.5,25.3,14.3,3.14,15.69
1992-10,12.59,14.5,18.8,23.1,12.6,3.19,13.14
1992-11,0.05,9.3,16.2,23.0,2.8,3.50,19.60
1992-12,88.72,6.8,12.3,17.7,2.3,2.51,12.63
1993-01,315.51,8.6,13.0,17.5,7.3,1.52,9.74
1993-02,119.80,8.3,13.0,17.7,6.8,1.80,10.18
1993-03,35.52,10.7,15.4,20.0,8.9,1.72,11.05
1993-04,0.00,11.3,16.0,20.7,9.5,1.75,11.57
1993-05,0.00,14.0,17.6,21.2,11.7,2.34,10.16
1993-06,20.38,15.8,19.1,22.5,13.8,2.37,9.72
1993-07,0.00,17.3,19.9,22.6,14.6,2.92,9.02
1993-08,0.00,17.1,20.1,23.2,15.3,1.94,9.26
1993-09,0.00,15.2,19.0,22.8,14.1,1.43,9.81
1993-10,2.49,13.8,18.5,23.2,11.6,1.80,14.01
1993-11,18.08,9.6,15.6,21.7,4.5,2.45,17.44
1993-12,20.84,7.5,13.7,19.9,2.8,2.37,15.46
1994-01,22.50,7.0,13.6,20.3,2.7,2.20,16.19
1994-02,87.47,7.6,12.6,17.6,3.1,1.97,11.56
1994-03,58.55,9.9,15.1,20.3,8.0,1.33,12.53
1994-04,24.07,11.3,14.9,18.5,9.4,1.47,7.98
1994-05,4.01,12.7,15.5,18.4,10.8,1.59,6.63
