"Date","Date_ym","Date_ymd","Year","WaterYear","pptmm","tmindegreesC","tmeandegreesC","tmaxdegreesC","tdmeandegreesC","vpdminhPa","vpdmaxhPa","PE","PDSI","SPI","SPEI"
"1984-01","1984-01",1984-01-01,1984,"1984",4.67,7.8,14.3,20.8,2.2,2.65,16.09,41.8318122001049,-0.934209354608755,-1.1425559361765,-1.40992483256975
"1984-02","1984-02",1984-02-01,1984,"1984",0.74,6.6,13.5,20.4,2,2.03,15.79,36.6118362965403,-1.68419754315178,-2.39352933280952,-1.41886932573042
"1984-03","1984-03",1984-03-01,1984,"1984",1.61,9.2,14.9,20.7,5.9,1.8,13.88,52.1004154961605,-2.17496367200144,-1.40915678648553,-1.43120905381562
"1984-04","1984-04",1984-04-01,1984,"1984",14.26,10.3,15.4,20.5,6.3,1.96,13.51,58.076056142105,-2.2674619965191,0.19384813406294,-0.0148338046527996
"1984-05","1984-05",1984-05-01,1984,"1984",0,13.2,18.1,23,10.6,1.91,12.86,83.8146522348252,-2.52616631849704,-0.508488059109357,-1.27775483513556
"1984-06","1984-06",1984-06-01,1984,"1984",1.76,15.6,19.3,23,11.7,2.77,12.13,92.9544484340127,-2.62313330489762,0.678307798185992,-1.18503828379857
"1984-07","1984-07",1984-07-01,1984,"1984",1.92,18.8,22.9,27,14.8,3.24,16.77,126.326539620935,-2.57378428352704,0.888655110864324,-1.90460493440652
"1984-08","1984-08",1984-08-01,1984,"1984",2.26,18.9,22.9,26.9,16.1,2.16,14.05,119.986041172557,-2.3170225213992,1.25747402568136,-1.8854732067679
"1984-09","1984-09",1984-09-01,1984,"1984",4.91,19.2,23.9,28.7,16,2.84,19.61,115.225466076965,-2.17382085916626,0.77403142015459,-2.39120976226596
"1984-10","1984-10",1984-10-01,1984,"1985",4.95,12.6,18.1,23.5,8.1,2.8,16.43,68.3388402057902,-2.23662982482983,0.189864088340181,0.0278933082087142
"1984-11","1984-11",1984-11-01,1984,"1985",41.79,8.7,14.1,19.5,5.9,1.87,11.98,40.2901376407744,-1.65832038096028,0.959758547577127,1.17980952151423
"1984-12","1984-12",1984-12-01,1984,"1985",114,7.4,12.2,17.1,4,1.79,9.95,31.4618769006758,-0.555695491357046,1.3522403912155,1.48713243887585
"1985-01","1985-01",1985-01-01,1985,"1985",18.97,6.1,11.9,17.7,2.4,1.83,11.91,30.7704561271584,-1.16080970023307,-0.436658235275012,-0.408598208199425
"1985-02","1985-02",1985-02-01,1985,"1985",23.11,7.2,12.5,17.9,2.6,2.12,11.97,32.1922611782297,-1.60388846815315,-0.557727001066942,-0.605297145017888
"1985-03","1985-03",1985-03-01,1985,"1985",13.31,6.4,11.8,17.1,4.7,1.28,9.38,35.2780344209804,-1.72321387308691,-0.412275505948847,-0.0316466250277442
"1985-04","1985-04",1985-04-01,1985,"1985",2.42,10.1,15.3,20.4,7.1,1.32,12.2,57.4470550508657,-1.84679749345025,-0.941328633090445,-0.735905138400344
"1985-05","1985-05",1985-05-01,1985,"1985",0.34,12.4,15.8,19.2,9.3,1.65,8.51,66.7823360421297,-1.91292513741975,-0.388720373177233,0.054620204072733
"1985-06","1985-06",1985-06-01,1985,"1985",0,14.2,18.1,22,11.7,1.31,10.31,83.496644116541,-1.93987831866483,-0.139710298881862,-0.0524471473900839
"1985-07","1985-07",1985-07-01,1985,"1985",0,17.7,21.9,26.2,13.9,2.75,16.7,117.241303966919,-1.95831438004084,-0.0696849203184557,-1.41350442558549
"1985-08","1985-08",1985-08-01,1985,"1985",0,15.7,20,24.2,13.1,1.81,13.42,95.6827048935805,-1.88380459024046,0.210428394247925,0.807697790395125
"1985-09","1985-09",1985-09-01,1985,"1985",7.07,15,19.5,23.9,12,2.17,14.57,82.005571686132,0.0873316230321024,0.953728149348458,0.870678913313032
"1985-10","1985-10",1985-10-01,1985,"1986",4.98,13.1,18.5,23.9,9.8,2.13,16.22,70.8820127605755,-0.207661838691044,0.191990011462931,-0.170083193558874
"1985-11","1985-11",1985-11-01,1985,"1986",85.98,9.2,14.1,18.9,6.3,1.41,11.19,40.2901376407744,0.753763537515667,1.92039972285186,2.03935499053714
"1985-12","1985-12",1985-12-01,1985,"1986",22.15,6.9,13.3,19.8,3.6,1.48,14.28,36.3458375239936,-0.505741126187475,-0.392627803652955,-0.605350887120329
"1986-01","1986-01",1986-01-01,1986,"1986",24.36,9,14.9,20.8,5.2,1.71,14.58,44.8068617088107,-0.967215938518509,-0.284472916786861,-0.693871933408006
"1986-02","1986-02",1986-02-01,1986,"1986",83.76,8.4,13.5,18.5,7.1,0.76,9.68,36.6118362965403,0.145656846641438,0.623364552148536,0.612082228334315
"1986-03","1986-03",1986-03-01,1986,"1986",72.69,10,14.2,18.4,8.4,0.94,8.41,48.0738514854751,0.490105825767663,1.08005089220214,1.14632582971837
"1986-04","1986-04",1986-04-01,1986,"1986",21.08,9.8,15.1,20.3,8.3,1.49,12.31,56.1973233634124,0.697650903332069,0.545432974060653,0.447044792965924
"1986-05","1986-05",1986-05-01,1986,"1986",0,12,16.3,20.7,10.5,2.37,10.19,70.3523754531287,0.854055775648735,-0.508488059109357,-0.250854207889736
