PRISM Time Series Data
Location:  Lat: 33.3817   Lon: -117.5783   Elev: 19m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1984-01 - 2019-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2020-Jun-30
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
1984-01,4.72,7.8,14.3,20.8,2.2,2.68,16.15
1984-02,0.87,6.6,13.5,20.5,2.0,2.05,15.88
1984-03,1.50,9.2,14.9,20.7,5.8,1.80,14.00
1984-04,14.68,10.3,15.3,20.4,6.3,1.98,13.39
1984-05,0.00,13.1,18.0,22.8,10.6,1.93,12.69
1984-06,1.69,15.6,19.3,22.9,11.7,2.78,12.02
1984-07,1.38,18.9,22.9,27.0,14.7,3.29,16.72
1984-08,2.25,18.8,22.9,26.9,16.1,2.15,13.96
1984-09,4.61,19.2,23.9,28.6,15.9,2.88,19.63
1984-10,5.05,12.6,18.0,23.4,8.1,2.81,16.37
1984-11,41.56,8.7,14.1,19.5,5.8,1.92,12.02
1984-12,112.50,7.4,12.3,17.1,4.0,1.80,9.99
1985-01,18.64,6.1,11.9,17.7,2.3,1.84,11.96
1985-02,23.17,7.2,12.6,17.9,2.6,2.17,12.09
1985-03,13.42,6.4,11.8,17.2,4.6,1.30,9.48
1985-04,2.68,10.2,15.2,20.3,7.1,1.36,12.06
1985-05,0.33,12.4,15.8,19.1,9.3,1.70,8.38
1985-06,0.00,14.1,18.0,21.9,11.6,1.35,10.17
1985-07,0.00,17.7,21.9,26.0,13.9,2.81,16.47
1985-08,0.00,15.7,19.9,24.2,13.1,1.83,13.38
1985-09,7.17,15.0,19.4,23.8,11.9,2.17,14.50
1985-10,4.93,13.1,18.4,23.8,9.8,2.15,16.13
1985-11,86.39,9.2,14.1,19.0,6.3,1.42,11.28
1985-12,22.61,6.9,13.4,19.8,3.6,1.54,14.42
1986-01,24.13,8.9,14.9,20.8,5.2,1.74,14.75
1986-02,84.38,8.4,13.5,18.6,7.0,0.78,9.78
1986-03,73.42,9.9,14.2,18.5,8.3,0.95,8.54
1986-04,20.81,9.8,15.0,20.2,8.2,1.53,12.21
1986-05,0.00,12.0,16.3,20.5,10.4,2.43,10.03
1986-06,0.00,14.8,18.1,21.4,13.0,2.25,8.42
1986-07,0.97,15.4,19.2,23.0,13.8,2.19,10.11
1986-08,0.00,16.1,20.3,24.5,14.5,1.94,12.29
1986-09,23.37,13.2,17.5,21.7,12.0,1.87,9.84
1986-10,9.38,11.4,16.9,22.3,10.2,1.46,12.59
1986-11,22.21,9.6,16.3,23.1,5.7,2.24,18.23
1986-12,29.52,5.6,12.8,20.0,4.2,1.36,14.40
1987-01,43.88,5.4,11.7,17.9,2.3,1.69,12.42
1987-02,41.73,6.6,12.8,19.1,3.9,2.00,13.61
1987-03,26.78,8.0,13.3,18.6,6.8,1.68,10.97
1987-04,8.27,10.4,16.0,21.6,7.8,2.25,15.02
1987-05,1.93,13.3,16.7,20.2,10.8,2.01,8.67
1987-06,0.00,14.3,17.5,20.7,12.0,2.08,8.18
1987-07,2.47,14.7,18.1,21.6,12.1,2.38,9.57
1987-08,2.92,15.1,19.3,23.4,13.5,2.26,11.70
1987-09,1.66,14.9,19.5,24.2,13.3,2.23,13.06
1987-10,43.78,14.8,19.3,23.7,12.5,2.07,13.85
1987-11,37.94,9.1,15.6,22.0,7.4,1.96,15.83
1987-12,67.64,4.6,10.7,16.7,3.0,1.30,10.65
1988-01,44.78,5.3,12.0,18.6,3.0,1.63,14.00
1988-02,23.19,6.5,13.6,20.7,3.4,2.04,16.71
1988-03,7.29,7.8,14.3,20.8,5.4,1.78,16.26
1988-04,71.72,9.7,14.7,19.8,8.8,1.23,11.55
1988-05,1.36,11.7,15.9,20.1,10.1,1.61,10.06
1988-06,0.00,12.5,16.2,19.9,11.7,1.80,8.15
1988-07,0.00,17.2,20.5,23.7,15.7,2.10,8.87
1988-08,2.38,16.4,20.5,24.6,15.2,2.02,11.16
1988-09,0.25,14.7,18.9,23.0,14.6,1.90,11.20
1988-10,0.00,14.2,17.7,21.3,12.8,2.10,9.91
1988-11,26.83,8.6,14.2,19.8,7.5,1.81,12.02
1988-12,80.76,5.9,12.3,18.6,2.1,2.32,15.06
1989-01,14.39,4.1,11.0,18.0,0.2,2.07,14.76
1989-02,21.01,6.3,11.9,17.5,4.0,1.75,11.84
1989-03,18.03,8.4,13.4,18.4,8.0,0.99,9.49
1989-04,1.42,12.1,17.0,21.9,9.0,2.74,15.93
1989-05,3.56,12.3,16.2,20.0,10.6,1.84,9.41
1989-06,0.76,14.4,17.8,21.1,12.4,3.08,10.02
1989-07,0.00,16.3,20.3,24.3,14.7,2.37,11.63
